tconst,nconst,character,characterId
tt0000439,nm0302368,Little Boy,tt0000439-c10
tt0000439,nm0001908,Bandit,tt0000439-c1
tt0000439,nm0001908,Shot Passenger,tt0000439-c1
tt0000439,nm0001908,Tenderfoot Dancer,tt0000439-c1
tt0000439,nm0007625,Sheriff,tt0000439-c2
tt0000439,nm0055661,Bandit Who Fires at Camera,tt0000439-c4
tt0000439,nm0131750,Sheriff,tt0000439-c8
tt0000439,nm2313241,Fourth Bandit,tt0000439-c9
tt0003740,nm0021935,Sophonisba - Hasdrubal's Daughter,tt0003740-c1
tt0003740,nm0702894,Cabiria - also called Elissa,tt0003740-c2
