tconst,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,averageRating
tt0000012,short,The Arrival of a Train,0,1896.0,,1.0,7.4
tt0000439,short,The Great Train Robbery,0,1903.0,,11.0,7.3
tt0003740,movie,Cabiria,0,1914.0,,148.0,7.1
tt0004972,movie,The Birth of a Nation,0,1915.0,,195.0,6.3
tt0006206,movie,Les vampires,0,1915.0,,421.0,7.3
tt0006333,movie,"20,000 Leagues Under the Sea",0,1916.0,,105.0,6.2
tt0006864,movie,Intolerance: Love's Struggle Throughout the Ages,0,1916.0,,163.0,7.7
tt0009682,movie,Tarzan of the Apes,0,1918.0,,73.0,5.7
tt0012349,movie,The Kid,0,1921.0,,68.0,8.3
tt0013257,movie,Häxan,0,1922.0,,91.0,7.7
