,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0913968/,The Warlords,"Beijing, China",,"北京市, 东城区, 北京市, 100010, China 中国",39.906217,116.3912757
1,/title/tt0913968/,The Warlords,"Shanghai, China",,"上海市, China 中国",31.2322758,121.4692071
2,/title/tt0066955/,Creatures the World Forgot,South Africa,"(jungle scenes with animals, namely antilope, oryx, wildebeest, warthog, brown hyena, crested porcupine, snakes and a scorpion)                        ",South Africa,-28.8166236,24.991639
3,/title/tt0066955/,Creatures the World Forgot,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        ,"Pinewood Studios, Pinewood Green, Iver, Iver Heath, Buckinghamshire, South East, England, SL0 0QJ, United Kingdom",51.54831515,-0.5346765566753087
4,/title/tt0297174/,Hospital Central,Guatemala,,Guatemala,15.6356088,-89.8988087
5,/title/tt0297174/,Hospital Central,"Villaviciosa de Odón, Madrid, Spain",,"Villaviciosa de Odón, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28670, España",40.3573787,-3.9002334
6,/title/tt0086005/,Never Cry Wolf,"Nome, Alaska, USA",,"Nome, Alaska, 99762, United States of America",64.5011111,-165.4063889
7,/title/tt0086005/,Never Cry Wolf,"Yukon, Canada",,"Yukon, Canada",63.000147,-136.002502
8,/title/tt0112389/,The Princess and the Cobbler,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
9,/title/tt0070030/,Emperor of the North Pole,"Cottage Grove, Oregon, USA",,"Cottage Grove, Lane County, Oregon, United States of America",43.7974729,-123.0588963
10,/title/tt0081467/,Het eiland van de nieuwe monsters,"Neptune's Grotto, Capo Cassia, Alghero, Sardinia, Italy",(cave with stalactites)                        ,,,
11,/title/tt0081467/,Het eiland van de nieuwe monsters,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",(round caves in opening scenes-US version)                        ,,,
12,/title/tt0081467/,Het eiland van de nieuwe monsters,Iceland,,Ísland,64.9841821,-18.1059013
13,/title/tt0081467/,Het eiland van de nieuwe monsters,"Grotte del Bue Marino, Dorgali, Nuoro, Italy",(caves seen from sea)                        ,,,
14,/title/tt0081467/,Het eiland van de nieuwe monsters,"R.P.A. Studios, Rome, Lazio, Italy",,,,
15,/title/tt1801045/,Cowboy Ninja Viking,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
