,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1175491/,W.,"Shreveport, Louisiana, USA",,"Shreveport, Caddo Parish, Louisiana, United States of America",32.5221828,-93.7651944
1,/title/tt1175491/,W.,"Stageworks - 400 Clyde Fant Memorial Parkway, Shreveport, Louisiana, USA",(studio)                        ,,,
2,/title/tt0362269/,Kinsey,"Fordham University - 441 E. Fordham Road. Rose Hill, Bronx, New York City, New York, USA",,,,
3,/title/tt0362269/,Kinsey,"Bloomfield, New Jersey, USA",,"Bloomfield, Essex County, New Jersey, 07003, United States of America",40.806767,-74.1854226
4,/title/tt0362269/,Kinsey,"Bronx, New York City, New York, USA",,"Bronx County, New York, United States of America",40.8506558,-73.8665241
5,/title/tt0362269/,Kinsey,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",,,,
6,/title/tt0362269/,Kinsey,"Manhattan, New York City, New York, USA",,"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
7,/title/tt0362269/,Kinsey,"Queens, New York City, New York, USA",,"Queens, Queens County, New York, United States of America",40.7498243,-73.7976337
8,/title/tt0362269/,Kinsey,"Stony Point, New York, USA",,"Stony Point, Town of Stony Point, Rockland County, New York, 10980, United States of America",41.2295386,-73.9870847
9,/title/tt0362269/,Kinsey,"Chelsea, Manhattan, New York City, New York, USA",,"Chelsea, Manhattan Community Board 4, Manhattan, New York County, New York, United States of America",40.7464906,-74.0015283
10,/title/tt1278469/,Temple Grandin,"Georgetown, Texas, USA",,"Georgetown, Williamson County, Texas, United States of America",30.6326942,-97.6772311
11,/title/tt1278469/,Temple Grandin,"Austin Studios - 1901 E. 51st Street, Austin, Texas, USA",,,,
12,/title/tt1278469/,Temple Grandin,"Bastrop, Texas, USA",,"Bastrop County, Texas, United States of America",30.0900753,-97.3127179
13,/title/tt1278469/,Temple Grandin,"Texas, USA",,"Texas, United States of America",31.8160381,-99.5120986
14,/title/tt1278469/,Temple Grandin,"Driftwood, Texas, USA",,"Driftwood, Hays County, Texas, 78619, United States of America",30.1229876,-98.0308425
15,/title/tt1278469/,Temple Grandin,"Luling, Texas, USA",,"Luling, Caldwell County, Texas, 78468, United States of America",29.680314,-97.6473265
16,/title/tt0060665/,A Man for All Seasons,"Studley Priory, Horton Hill, Horton-cum-Studley, Oxfordshire, England, UK",(Thomas More's house)                        ,,,
17,/title/tt0060665/,A Man for All Seasons,"Beaulieu River, Hampshire, England, UK",(River Thames)                        ,"Beaulieu River, Hampshire, South East, England, SO40 4UR, United Kingdom",50.8356809,-1.4565254
18,/title/tt0060665/,A Man for All Seasons,"Horton Hill, Horton-cum-Studley, Oxfordshire, England, UK",,"Horton Hill, Horton-cum-Studley, Cherwell, Oxfordshire, South East, England, OX33 1BA, United Kingdom",51.8072549,-1.1359959
19,/title/tt0060665/,A Man for All Seasons,"Beauline Abbey, Hampshire, England, UK",,,,
20,/title/tt0060665/,A Man for All Seasons,"Hampshire, England, UK",,"Hampshire, Itchen Valley, Winchester, Hampshire, South East, England, United Kingdom",51.04483545,-1.2434093603442158
21,/title/tt0060665/,A Man for All Seasons,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        ,,,
22,/title/tt2431286/,Philomena,"Killyleagh, County Down, Northern Ireland",,"Killyleagh, County Down, Northern Ireland, BT30 9QF, United Kingdom",54.3990651,-5.6505384
23,/title/tt2431286/,Philomena,"Poolesville, Maryland, USA",(exteriors: stop by the church after meeting with Olsson)                        ,"Poolesville, Montgomery County, Maryland, 20837, United States of America",39.1459392,-77.4169311
24,/title/tt2431286/,Philomena,"Shirburn Castle, Watlington, Oxfordshire, England, UK",(Roscrea Convent cemetery)                        ,"Shirburn Castle, Castle Road, Shirburn, South Oxfordshire, Oxfordshire, South East, England, OX49 5DJ, United Kingdom",51.6583828,-0.9943401519552595
25,/title/tt2431286/,Philomena,"Potomac, Maryland, USA",,"Potomac, Montgomery County, Maryland, 20854, United States of America",39.017936,-77.2094542
26,/title/tt2431286/,Philomena,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
27,/title/tt2431286/,Philomena,"Stansted Airport, Essex, England, UK",(UK Airport)                        ,"Stansted Airport, Terminal Road South, Takeley, Uttlesford, Essex, East of England, England, CM22 6PL, United Kingdom",51.8899889,0.26150702197225434
28,/title/tt2431286/,Philomena,"Folger Shakespeare Library, 201 E Capitol St SE, Washington, DC 20003, USA",(exterior of Marcia Weller's office)                        ,"Folger Shakespeare Library, 201, East Capitol Street Southeast, Lincoln Park, Washington, District of Columbia, 20003, United States of America",38.889431200000004,-77.00272423104343
