,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1190634/,The Boys,"Hamilton, Ontario, Canada",(location)                        ,"Hamilton, Golden Horseshoe, Ontario, L8P 0B3, Canada",43.2560802,-79.8728583
1,/title/tt1190634/,The Boys,"University of Toronto, Toronto, Ontario, Canada",(Hugh and Annie conversation)                        ,"University of Toronto, King's College Circle, University—Rosedale, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M5S 1A1, Canada",43.663461999999996,-79.39775965337452
2,/title/tt7221388/,Cobra Kai,"Atlanta, Georgia, USA",,"Atlanta, Georgia, United States of America",33.7490987,-84.3901849
3,/title/tt7221388/,Cobra Kai,"130 Woodlawn Dr NE, Marietta, Georgia, USA",(LaRusso family home)                        ,,,
4,/title/tt7221388/,Cobra Kai,"C.T. Martin Natatorium and Recreation Center - 3201 M.L.K. Jr Dr SW, Atlanta, Georgia, USA",(West Valley High School)                        ,,,
5,/title/tt7221388/,Cobra Kai,"Crossroads Shopping Center - 2779 Lakewood Avenue SW, Atlanta, Georgia, USA",(Cobra Kai Dojo exterior)                        ,,,
6,/title/tt3526078/,Schitt's Creek,"308385 Hockley Rd, Orangeville, Ontario, Canada",(Motel)                        ,,,
7,/title/tt3526078/,Schitt's Creek,"159 Main St Unionville, Unionville, Ontario, Canada",(Blouse Barn)                        ,"159, Main Street Unionville, Unionville, Markham, York Region, Golden Horseshoe, Ontario, L3R 2G9, Canada",43.8666032202397,-79.31145472132894
8,/title/tt3526078/,Schitt's Creek,"797 Colbourne St., Brantford, ON N3S 3S3, Canada, Building","(Sherwood Motel, exterior)                        ",,,
9,/title/tt13143964/,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
10,/title/tt13143964/,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"Spartanburg, South Carolina, USA",,"Spartanburg, Spartanburg County, South Carolina, United States of America",34.9498007,-81.9320157
11,/title/tt13143964/,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"South Carolina, USA",,"South Carolina, United States of America",33.6874388,-80.4363743
12,/title/tt0805647/,The Witches,"Surrey, England, UK",,"Surrey, Mickleham, Mole Valley, Surrey, South East, England, United Kingdom",51.2715316,-0.3414523511290909
13,/title/tt0386676/,The Office,"Scranton, Pennsylvania, USA",,"Scranton, Lackawanna County, Pennsylvania, United States of America",41.4086874,-75.6621294
14,/title/tt0386676/,The Office,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.542586
