,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1650554/,,"Toronto, Ontario, Canada",(Desmond Miller),"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
1,/title/tt1650554/,,"Toronto, Ontario, Canada",,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
2,/title/tt1650554/,,"7145 Appletree Lane, Mississauga, Ontario, Canada",,"7145, Appletree Lane, Meadowvale Station, Meadowvale Village, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5W 1A1, Canada",43.6314652,-79.7299685
3,/title/tt1650554/,,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",,"Pinewood Studios, Pinewood Green, Iver, Iver Heath, Buckinghamshire, South East, England, SL0 0QJ, United Kingdom",51.54831515,-0.5346765566753087
4,/title/tt0092312/,,"Oakridge Shopping Centre, Vancouver, British Columbia, Canada",,,,
5,/title/tt5093026/,,Serbia,,"Србија, Доње Комарице, Град Крагујевац, Шумадијски управни округ, Централна Србија, Србија (Serbia)",44.024322850000004,21.07657433209902
6,/title/tt5093026/,,"Kotor, Montenegro",,"Kotor, Opština Kotor, Crna Gora",42.4248515,18.7710437
7,/title/tt5093026/,,Montenegro,,Crna Gora / Црна Гора,42.9868853,19.5180992
8,/title/tt5093026/,,Malta,,Malta,35.8885993,14.4476911
9,/title/tt0356910/,,"Caltrans District 7 HQ Building - 100 S. Main Street, Downtown, Los Angeles, California, USA",(exteriors: construction site),,,
10,/title/tt0356910/,,"Glenwood Springs, Colorado, USA",,"Glenwood Springs, Garfield County, Colorado, 81601, United States of America",39.5507448,-107.3255001
11,/title/tt0356910/,,"Agua Dulce, California, USA",,"Agua Dulce, Oak Hills, Castroville, Monterey County, California, 95012, United States of America",36.773557,-121.737165
12,/title/tt0356910/,,"City of Industry, California, USA",,,,
13,/title/tt0356910/,,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953583
14,/title/tt0356910/,,"California, USA",(Johnson Valley),"California, United States of America",36.7014631,-118.7559974
15,/title/tt0356910/,,"Stage 14, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio),,,
16,/title/tt0488120/,,"3101 Minnesota St, Los Angeles, California, USA",(Beachum's house),"3101, Minnesota Street, Lincoln Heights, Los Angeles, Los Angeles County, California, 90031, United States of America",34.077687377358494,-118.20894149056603
17,/title/tt0488120/,,"Los Angeles City Hall - 200 North Spring Street, Downtown, Los Angeles, California, USA",(boardrooms),"Los Angeles City Hall, 200, North Spring Street, Civic Center, Downtown, Los Angeles, Los Angeles County, California, 90012, United States of America",34.0537767,-118.2428987
18,/title/tt0488120/,,"Riverfront Stages - 13100 Telfair Avenue, Sylmar, Los Angeles, California, USA",,,,
19,/title/tt0488120/,,"Encino, Los Angeles, California, USA",,"Encino, Los Angeles, Los Angeles County, California, 91316-3402, United States of America",34.1591324,-118.5016166
20,/title/tt2582782/,,"Portales, New Mexico, USA","(2nd heist: 'old man' shooting at robbers, at 201 S Abilene Ave)","Portales, Roosevelt County, New Mexico, 88130, United States of America",34.1861922,-103.3343978
21,/title/tt2582782/,,"Bill's Jumbo Burger, 2113 N Main St, Clovis, New Mexico, USA",(restaurant),,,
22,/title/tt2582782/,,"Blue Ribbon Bar & Grill - 315 5th Street, Estancia, New Mexico, USA",(diner where rangers wait outside the bank for robbers),,,
