,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0275140/,Law & Order: Criminal Intent,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
1,/title/tt0332280/,The Notebook,"Boone Hall Plantation - 1235 Long Point Road, Mount Pleasant, South Carolina, USA",(the Hamilton's beach house)                        ,"Boone Hall Plantation, 1235, Long Point Road, Palmetto Fort, Mount Pleasant, Charleston County, South Carolina, 29466, United States of America",32.85415555,-79.81710750471724
2,/title/tt0332280/,The Notebook,"Edisto Island, South Carolina, USA",,"Edisto Island, Charleston County, South Carolina, 29438, United States of America",32.5593516,-80.2950995
3,/title/tt0332280/,The Notebook,"The Battery, Charleston, South Carolina, USA",,"Battery Point, Charleston County, South Carolina, 29412, United States of America",32.7429553,-79.9489786
4,/title/tt0332280/,The Notebook,"Mount Pleasant, South Carolina, USA",(Seabrook village scenes)                        ,"Mount Pleasant, Charleston County, South Carolina, United States of America",32.7940651,-79.8625851
5,/title/tt0332280/,The Notebook,"Los Angeles, California, USA",(beach scenes)                        ,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
6,/title/tt2177461/,A Discovery of Witches,"Venice, Veneto, Italy",,"Venezia, Veneto, Italia",45.4371908,12.3345898
7,/title/tt2177461/,A Discovery of Witches,"Corn Street, Bristol, UK",,"Corn Street, Old City, City Centre, Bristol, City of Bristol, South West England, England, BS1 1HT, United Kingdom",51.454111,-2.5951212
8,/title/tt2177461/,A Discovery of Witches,"Cardiff, Wales, UK",,"Cardiff, Cymru / Wales, CF, United Kingdom",51.4816546,-3.1791934
9,/title/tt2177461/,A Discovery of Witches,"Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK",,"Weston Library, Broad Street, St Ebbes, City Centre, Oxford, Oxfordshire, South East, England, OX1 3SP, United Kingdom",51.7550536,-1.2551059831608038
10,/title/tt3783958/,La La Land,"Griffith Observatory, 2800 E Observatory Rd, Los Angeles, California, USA",(love dance in the planetarium)                        ,"Griffith Observatory, 2800, East Observatory Road, Griffith Park, Los Angeles, Los Angeles County, California, 90027, United States of America",34.11821875,-118.30029332196601
11,/title/tt3783958/,La La Land,"Hermosa Beach Pier, Pier Ave, Hermosa Beach, California, USA",(Sebastian dances on pier)                        ,,,
12,/title/tt3783958/,La La Land,"Long Beach, California, USA",(3rd St. and Gaviota residential)                        ,"Long Beach, Los Angeles County, California, United States of America",33.7690164,-118.1916048
13,/title/tt3783958/,La La Land,"Watts Towers - 1765 E. 107th Street, Watts, Los Angeles, California, USA",(Mia and Sebastian)                        ,"Watts Towers, East 107th Street, Watts, Los Angeles, Los Angeles County, California, 90002, United States of America",33.9386986,-118.2409481
14,/title/tt3783958/,La La Land,"Rialto Theatre - 1023 S. Fair Oaks Avenue, South Pasadena, California, USA","(exterior; Mia & Sebatian attend ""Rebel Without A Cause"")                        ",,,
15,/title/tt3783958/,La La Land,"The Blind Donkey - 149 Linden Ave, Long Beach, California, USA",(Seb's - interior)                        ,,,
16,/title/tt3783958/,La La Land,"W 4th St, Los Angeles, California, USA",(car interior; Mia & husband in traffic jam before pulling onto offramp)                        ,"West 4th Street, Windsor Square, Los Angeles, Los Angeles County, California, 90036-2829, United States of America",34.0671443,-118.3273089
17,/title/tt3783958/,La La Land,"1648 Wilcox Ave, Los Angeles, California, USA",(Lipton's restaurant - exterior)                        ,"1648, Wilcox Avenue, Hancock Park, Los Angeles, Los Angeles County, California, 90028, United States of America",34.09693573913044,-118.33090597658862
18,/title/tt3783958/,La La Land,"Smoke House Restaurant - 4420 West Lakeside Drive, Burbank, California, USA",(Lipton's restaurant - interior)                        ,,,
19,/title/tt3783958/,La La Land,"8225 Beverly Boulevard, Los Angeles, California, USA",(Mia leaves friends in restaurant and walks to her car)                        ,"Beverly Boulevard, Los Angeles, Los Angeles County, California, 90004, United States of America",34.0762868,-118.3008171
20,/title/tt3783958/,La La Land,"1735 Bird Way, Long Beach, California, USA",(Sebastian drives down alley and turns wrong way onto one-way street)                        ,"1735, Bird Way, Long Beach, Los Angeles County, California, 90802, United States of America",33.768893265306126,-118.17055832653061
21,/title/tt3783958/,La La Land,"Santa Clarita, California, USA",(as Boulder City)                        ,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.542586
22,/title/tt3783958/,La La Land,"Dan Tana's, 9071 California Route 2, West Hollywood, California, USA",(old-timey restaurant where Sebastian plays the piano)                        ,,,
23,/title/tt3783958/,La La Land,"EastWest Studios - 6000 W Sunset Blvd, Hollywood, California, USA",(studio) (Recording Studio - interior)                        ,,,
24,/title/tt3783958/,La La Land,"Cafe Club Fais Do-Do, 5257 W Adams Blvd, Los Angeles, California, USA",(Del Rio Theater - exterior)                        ,"Cafe Club Fais Do Do, 5257, West Adams Boulevard, West Adams, Los Angeles, Los Angeles County, California, 90016, United States of America",34.0327381,-118.35710470408392
25,/title/tt3783958/,La La Land,"Hollywood Center Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA",(Looking into the sound stage set)                        ,"Hollywood Center Studios, Romaine Street, Hollywood, Los Angeles, Los Angeles County, California, 90038, United States of America",34.08981165,-118.33500930891499
26,/title/tt3783958/,La La Land,"Regent Theater - 448 S. Main Street, Downtown, Los Angeles, California, USA",(Sebastian at band's photoshoot)                        ,,,
27,/title/tt3783958/,La La Land,"4533 Estrondo Dr, Encino, Los Angeles, California, USA",(pool party)                        ,"4533, Estrondo Drive, Encino, Los Angeles, Los Angeles County, California, 91436, United States of America",34.15258034353461,-118.50042259497157
28,/title/tt3783958/,La La Land,"880 La Loma Rd., Pasadena, California, USA",(Sebastian playing piano at outdoor wedding reception)                        ,"880, La Loma Road, Pasadena, Los Angeles County, California, 91105, United States of America",34.133842183673465,-118.16848253061225
