,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0805647/,The Witches,"Surrey, England, UK",,"Surrey, Mickleham, Mole Valley, Surrey, South East, England, United Kingdom",51.2715316,-0.3414523511290909
1,/title/tt10324122/,Secret Society of Second-Born Royals,"Mississauga, Ontario, Canada",,"Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada",43.590338,-79.645729
2,/title/tt0107120/,Hocus Pocus,"Plimouth Plantation - 137 Warren Avenue, Plymouth, Massachusetts, USA",(Google Maps)                        ,"Plimouth Plantation, 137, Warren Avenue, Beach Park, Plymouth, Plymouth County, Massachusetts, 02360, United States of America",41.942602,-70.624432
3,/title/tt0107120/,Hocus Pocus,"4 Ocean Ave, Salem, Massachusetts, USA",(Max's house exterior)                        ,"4, Ocean Avenue, South Salem, Salem, Essex County, Massachusetts, 0197, United States of America",42.5088083,-70.88782398677341
4,/title/tt0107120/,Hocus Pocus,"Marblehead, Massachusetts, USA",(cemetery in the daytime)                        ,"Marblehead, Essex County, Massachusetts, 01945, United States of America",42.500096,-70.8578253
5,/title/tt0107120/,Hocus Pocus,"Pioneer Village, Forest River Park - West Avenue, Salem, Massachusetts, USA",,,,
6,/title/tt0107120/,Hocus Pocus,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",,,,
7,/title/tt0107120/,Hocus Pocus,"Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",,,,
8,/title/tt4566758/,Mulan,"Auckland, New Zealand",(studio) (Kumeu Film Studios)                        ,"Auckland, 1010, New Zealand",-36.852095,174.7631803
9,/title/tt4566758/,Mulan,"Xinjiang, China",,"新疆维吾尔自治区, China 中国",42.4804953,85.4633464
10,/title/tt0087538/,Het uur van de waarheid,"Golf 'N' Stuff - 10555 Firestone Blvd., Norwalk, California, USA",,"Golf N' Stuff, 10555, Firestone Boulevard, Norwalk, Los Angeles County, California, 90650, United States of America",33.92711985,-118.10634225393247
11,/title/tt0087538/,Het uur van de waarheid,"19223 Saticoy Street, Reseda, Los Angeles, California, USA",(LaRusso apartment)                        ,"19223, Saticoy Street, Reseda, Los Angeles, Los Angeles County, California, 91335, United States of America",34.2084503125,-118.5520405625
12,/title/tt0087538/,Het uur van de waarheid,"Charles Evans Hughes Jr. High School - 5607 Capistrano, Woodland Hills, Los Angeles, California, USA",,,,
13,/title/tt0087538/,Het uur van de waarheid,"5410 Wilshire Blvd., Los Angeles, California, USA",(Orient Express)                        ,"Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024-3990, United States of America",34.0584002,-118.4453576
14,/title/tt0087538/,Het uur van de waarheid,"4072 Alonzo Avenue, Encino, Los Angeles, California, USA",(Ali's house)                        ,"4072, Alonzo Avenue, Lake Encino, Tarzana, Los Angeles, Los Angeles County, California, 91316, United States of America",34.14450515151112,-118.52545497273
15,/title/tt0087538/,Het uur van de waarheid,"Leo Carrillo State Beach - 35000 W. Pacific Coast Highway, Malibu, California, USA",,,,
16,/title/tt0087538/,Het uur van de waarheid,"The Wig Shop - 5376 Wilshire Boulevard, Los Angeles, California, USA",(Cobrai Kai karate dojo; first view; exterior)                        ,,,
17,/title/tt0087538/,Het uur van de waarheid,"Chatsworth Reservoir - Chatsworth, California, USA",(Daniel trains on Mr. Miyagi's boat)                        ,"Chatsworth, 1, Chatsworth, Los Angeles, Los Angeles County, California, 91311-4127, United States of America",34.2529333,-118.5992976
18,/title/tt0087538/,Het uur van de waarheid,"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",(lobby area of all-valley Karate tournament)                        ,"California State University, Northridge, 18111, Nordhoff Street, Northridge, Los Angeles, Los Angeles County, California, 91330, United States of America",34.2455346,-118.52631936633176
19,/title/tt0087538/,Het uur van de waarheid,"Calabasas, California, USA",,"Calabasas, Los Angeles County, California, United States of America",34.1446643,-118.6440973
20,/title/tt0087538/,Het uur van de waarheid,"Oak Creek Canyon, Arizona, USA",,"Oak Creek Canyon, AZ 89A, Coconino County, Arizona, United States of America",34.9668934,-111.7505694
21,/title/tt0087538/,Het uur van de waarheid,"Apex Import - 5376 Wilshire Boulevard, Los Angeles, California, USA",(first exterior shot of Karate dojo)                        ,,,
22,/title/tt0087538/,Het uur van de waarheid,"Northridge, Los Angeles, California, USA",,"Northridge, Los Angeles, Los Angeles County, California, 91324, United States of America",34.2345615,-118.5369316
23,/title/tt0087538/,Het uur van de waarheid,"Canyon Portal Hotel - 280 N Highway 89a, Sedona, Arizona, USA",,,,
24,/title/tt0087538/,Het uur van de waarheid,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
25,/title/tt0087538/,Het uur van de waarheid,"Canoga Park, Los Angeles, California, USA",,"Canoga Park, Los Angeles, Los Angeles County, California, 91303, United States of America",34.2010541,-118.5977282
26,/title/tt10183988/,Julie and the Phantoms,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
27,/title/tt10183988/,Julie and the Phantoms,"The Bridge Studios, Burnaby, British Columbia, Canada",,"Bridge Studios, Burnaby, Metro Vancouver Regional District, British Columbia, Canada",49.2629905,-123.0205448788792
28,/title/tt0241527/,Harry Potter en de steen der wijzen,"Alnwick Castle, Alnwick, Northumberland, England, UK",(Hogwarts School of Witchcraft and Wizardry: broomstick flying lessons)                        ,"Alnwick Castle, Bailiffgate, Alnwick, Northumberland, North East England, England, NE66 1NQ, United Kingdom",55.41546099999999,-1.7065170268123597
29,/title/tt0241527/,Harry Potter en de steen der wijzen,"Pedestrian Bridge, York Railway Station, Station Road, York, North Yorkshire, England, UK",(Hagrid passes ticket for Platform 9¾ to Harry)                        ,,,
30,/title/tt0241527/,Harry Potter en de steen der wijzen,"Goathland Railway Station, Cow Wath Bank, Goathland, Whitby, North Yorkshire, England, UK",(Hogsmeade station)                        ,,,
31,/title/tt0241527/,Harry Potter en de steen der wijzen,"12 Picket Post Close, Martin's Heron, Bracknell, Berkshire, England, UK",(Dursley house; exterior)                        ,,,
32,/title/tt0241527/,Harry Potter en de steen der wijzen,"Black Park, Iver Heath, Buckinghamshire, England, UK",(dark forest)                        ,"Black Park, Wexham, Iver Heath, Buckinghamshire, South East, England, United Kingdom",51.542492100000004,-0.5441123704462851
33,/title/tt0241527/,Harry Potter en de steen der wijzen,"West Highland Railway Line, Scotland, UK",(Train journey to Hogwarts)                        ,,,
34,/title/tt0241527/,Harry Potter en de steen der wijzen,"Glen Nevis, Fort William, Highland, Scotland, UK",(Quidditch scenes: background landscape)                        ,"Glen Nevis, Highland, Scotland, PH33 6PF, United Kingdom",56.809849,-5.0798829
35,/title/tt0241527/,Harry Potter en de steen der wijzen,"Leadenhall Market, Lime Street, Broadgate, London, England, UK",(The Leaky Cauldron)                        ,,,
36,/title/tt0241527/,Harry Potter en de steen der wijzen,"Duke Humfrey's Library, Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK","(Hogwarts School, library scenes)                        ",,,
37,/title/tt0241527/,Harry Potter en de steen der wijzen,"Divinity School, Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK","(Hogwarts School, sanatorium scenes)                        ",,,
38,/title/tt0241527/,Harry Potter en de steen der wijzen,"Leavesden Studios, Leavesden, Hertfordshire, England, UK",(studio)                        ,"Warner Bros. Studios Leavesden, Abbots Langley, Leavesden, Hertfordshire, East of England, England, WD25 7LP, United Kingdom",51.68980175,-0.4226993868476693
39,/title/tt0241527/,Harry Potter en de steen der wijzen,"England, UK",,"England, United Kingdom",52.7954791,-0.5402402866174321
40,/title/tt0241527/,Harry Potter en de steen der wijzen,"D Stage, Leavesden Studios, Leavesden, Hertfordshire, England, UK",(Dursley house interior; train compartment scenes)                        ,,,
41,/title/tt0241527/,Harry Potter en de steen der wijzen,"F Stage, Leavesden Studios, Leavesden, Hertfordshire, England, UK",(Hut-on-the-Rock; moving marble staircases; Devil's Snare room)                        ,,,
