,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1070874/,,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
1,/title/tt1070874/,,"Illinois, USA",,"Illinois, United States of America",40.0796606,-89.4337288
2,/title/tt1070874/,,"Patterson, New Jersey, USA","(Paterson, New Jersey, USA)","William Patterson Court, Princeton, Mercer County, New Jersey, 08540, United States of America",40.386591,-74.660095
3,/title/tt2306299/,,Ireland,,Éire / Ireland,52.865196,-7.9794599
4,/title/tt2306299/,,"Prince, Ontario, Canada",,"Prince Edward County, Central Ontario, Ontario, Canada",44.031827,-77.246933
5,/title/tt2306299/,,"Morroco, Africa",,,,
6,/title/tt2306299/,,Iceland,,Ísland,64.9841821,-18.1059013
7,/title/tt4786824/,,South Africa,,South Africa,-28.8166236,24.991639
8,/title/tt4786824/,,"New Slains Castle, Cruden Bay, Aberdeenshire, Scotland, UK",(ruins exteriors - Season 1),"New Slains Castle, Buchan coastal Path, Bullers of Buchan, Cruden Bay, Aberdeenshire, Scotland, AB42 0NS, United Kingdom",57.4154724,-1.8321874021044513
9,/title/tt4786824/,,"Old Royal Naval College, Greenwich, London, England, UK",,"Old Royal Naval College, Park Row, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 9NL, United Kingdom",51.4829661,-0.006257671681354558
10,/title/tt4786824/,,"Lancaster House, The Mall, St. James's, London, England, UK",,"Lancaster House, Stable Yard Road, St. James's, Victoria, City of Westminster, London, Greater London, England, SW1A 1BH, United Kingdom",51.5038161,-0.13907955
11,/title/tt4786824/,,"Blythe House, 23 Blythe Road, West Kensington, London, England, UK",(location),"Blythe House, Blythe Road, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 0HP, United Kingdom",51.49640795,-0.21367788226163031
12,/title/tt4786824/,,"Loseley Park, Guildford, Surrey, England, UK",,"Loseley Park, Old Portsmouth Road, Artington, Guildford, Surrey, South East, England, GU3 1LT, United Kingdom",51.2150613,-0.5818821
13,/title/tt4786824/,,"Chenies Manor House, Chenies, Buckinghamshire, England, UK",(Chartwell House),"Chenies Manor, Claypits Lane, Chenies, Buckinghamshire, South East, England, WD3 6EH, United Kingdom",51.6745121,-0.5333020320063464
14,/title/tt4786824/,,"Liverpool, Merseyside, England, UK",(Series 4),,,
15,/title/tt4786824/,,"Englefield House, Theale, Reading, Berkshire, England, UK",,,,
16,/title/tt4786824/,,"Stage 1, Elstree Studios, Borehamwood, Hertfordshire, England, UK",,"Elstree Studios, Shenley Road, Elstree and Borehamwood, Hertsmere, Hertfordshire, East of England, England, WD6 1JG, United Kingdom",51.657052050000004,-0.2675206399488197
17,/title/tt7435316/,,"Udaipur, India",(on location),"Udaipur, Rajasthan, 313001, India",24.578721,73.6862571
18,/title/tt7549996/,,"The Mildmay Club, Newington Green, London, England, UK",,"Mildmay, Newington Green, Canonbury, London Borough of Islington, London, Greater London, England, United Kingdom",51.5502082,-0.08644744510638341
19,/title/tt7549996/,,"Noël Coward Theatre, St. Martin's Lane, Westminster, London, England, UK",(Exterior of the Talk of the Town nightclub),"Noël Coward Theatre, 85-88, St. Martin's Lane, Covent Garden, City of Westminster, London, Greater London, England, WC2N 4AU, United Kingdom",51.511118100000004,-0.12742786283210894
20,/title/tt11656892/,,"Crouch End, London, UK",(As Cranley Gardens house),"Crouch End, London Borough of Haringey, London, Greater London, England, N8 9SW, United Kingdom",51.5787402,-0.1235992
21,/title/tt11656892/,,"HM Prison Holloway, Parkhurst Road, London, England, UK",(Early prison interiors),,,
22,/title/tt3833480/,,"Nu Boyana Film Studios, Sofia, Bulgaria",,,,
23,/title/tt3833480/,,"Radomir, Bulgaria",(the camp),"Радомир, Перник, 2400, България",42.54616,22.96291
24,/title/tt8503618/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
