,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0041838/,Samson and Delilah,"Bou-Saada, Algiers, Algeria",,,,
1,/title/tt0041838/,Samson and Delilah,"Moulayidris, Morocco",,,,
2,/title/tt0041838/,Samson and Delilah,"Volubilis, Meknès, Morocco",,"Volubilis وليلي‎, RP7006, Oualili ⵡⴰⵍⵉⵍⵉ وليلي, caïdat d'Oualili ⵜⴰⵇⴰⵢⴷⴰⵏⵜ ⵏ ⵡⴰⵍⵉⵍⵉ قيادة وليلي, cercle de Zerhoun ⵜⴰⵥⴰⵢⵕⵜ ⵏ ⵥⵕⵀⵓⵏ دائرة زرهون, Prefecture de Meknès عمالة مكناس, Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس, Maroc",34.0734729,-5.555366019087204
3,/title/tt0488988/,Chapter 27,"Central Park West, Manhattan, New York City, New York, USA",,"Central Park West, Columbus Circle, Manhattan Community Board 7, Manhattan, New York County, New York, 10107, United States of America",40.7684282,-73.9815516
4,/title/tt0488988/,Chapter 27,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
5,/title/tt7025976/,L'Empereur de Paris,"Base 217, Brétigny-sur-Orge, Essonne, France",,,,
6,/title/tt7025976/,L'Empereur de Paris,"Château de Fontainebleau, Fontainebleau, Seine-et-Marne, France",,"Château de Fontainebleau, Rue Richelieu, Fontainebleau, Seine-et-Marne, Île-de-France, France métropolitaine, 77300, France",48.4023346,2.7005387366907625
7,/title/tt7628846/,Onyx: Kings of the Grail,"León, León, Castilla y León, Spain",,"León, Castilla y León, España",42.63414505,-5.971415104539984
8,/title/tt6536562/,Payitaht Abdülhamid,"Istanbul, Turkey",,"İstanbul, Beyazıt Meydanı, Beyazıt Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye",41.0096215,28.9651867
9,/title/tt0056264/,Mutiny on the Bounty,"Bora Bora, Leeward Islands, French Polynesia",,"Bora Bora, Bora-Bora, Îles Sous-le-Vent, Polynésie Française, 98730, France",-16.50440635,-151.73666961103527
10,/title/tt0056264/,Mutiny on the Bounty,"Maatvai Bay, Tahiti, French Polynesia",(arrival of the Bounty)                        ,,,
11,/title/tt0056264/,Mutiny on the Bounty,French Polynesia,,"Polynésie Française, France",-16.03442485,-146.0490931059517
12,/title/tt0056264/,Mutiny on the Bounty,"Leeward Islands, French Polynesia",,"Îles Sous-le-Vent, Polynésie Française, France",-16.63083485,-151.50391586630633
13,/title/tt0056264/,Mutiny on the Bounty,"Moorea, French Polynesia",,"Mo’orea, Moorea-Maiao, Îles du Vent, Polynésie Française, 98728, France",-17.533306000000003,-149.83860061183017
14,/title/tt0056264/,Mutiny on the Bounty,"Temae, Moorea, French Polynesia",,"Temae, Moorea-Maiao, Îles du Vent, Polynésie Française, 98728, France",-17.4932275,-149.773768
15,/title/tt0056264/,Mutiny on the Bounty,"O'ahu, Hawaii, USA",,"Oʻahu, Mililani, Honolulu County, Hawaii, United States of America",21.48349555,-158.03640389298
16,/title/tt0056264/,Mutiny on the Bounty,Pacific Ocean,,"Pacific Ocean, Gulf View Executive Homes, Talomo, Davao City, Davao Region, 8024, Philippines",7.0427772,125.5367255
17,/title/tt0019254/,La passion de Jeanne d'Arc,"Boulogne-Billancourt, Hauts-de-Seine, France",(studio)                        ,"Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92100, France",48.8356649,2.240206
18,/title/tt0050613/,Kumonosu-jô,"Gotemba, Shizuoka, Japan",,"御殿場市, 静岡県, 日本 (Japan)",35.301048,138.877573
19,/title/tt0050613/,Kumonosu-jô,"Toho Studios, Tokyo, Japan","(studio) (studio, castle courtyard)                        ","東宝撮影所, 成城六間通り, 船橋, 世田谷区, 東京都, 1570066, 日本 (Japan)",35.634334800000005,139.6047840467249
20,/title/tt0050613/,Kumonosu-jô,"Izu Peninsula, Shizuoka, Japan",(Washizu's mansion)                        ,"伊豆半島, 伊豆市, 静岡県, 日本 (Japan)",34.917385,138.96289465669014
21,/title/tt0765432/,Der Baader Meinhof Komplex,Morocco,,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482
22,/title/tt0765432/,Der Baader Meinhof Komplex,"Bavaria-Ateliers, Geiselgasteig, Grünwald, Bavaria, Germany",(studio)                        ,"Bavaria Film, Heinz-Rühmann-Straße, Geiselgasteig, Grünwald, Landkreis München, Bayern, 82031, Deutschland",48.0640509,11.553769302792979
23,/title/tt0765432/,Der Baader Meinhof Komplex,"Munich, Bavaria, Germany",,"München, Bayern, Deutschland",48.1371079,11.5753822
24,/title/tt0765432/,Der Baader Meinhof Komplex,"Stuttgart, Baden-Württemberg, Germany",,"Stuttgart, Baden-Württemberg, Deutschland",48.7784485,9.1800132
25,/title/tt1135989/,A Tale of Love and Darkness,"Jerusalem, Israel",(location)                        ,"ירושלים, מחוז ירושלים, no, ישראל",31.778345,35.2250786
26,/title/tt1135989/,A Tale of Love and Darkness,"Tel Aviv, Israel",(location)                        ,"תל אביב-יפו, מחוז תל אביב, ישראל",32.0804808,34.7805274
27,/title/tt1135989/,A Tale of Love and Darkness,"Kibbutz Hulda, Israel",(location)                        ,"מסעף קיבוץ חולדה, 411, מועצה אזורית גזר, נפת רמלה, מחוז המרכז, no, ישראל",31.829202,34.879082
28,/title/tt2492296/,Show Me a Hero,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
29,/title/tt0319930/,American Dreams,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",,,,
30,/title/tt0319930/,American Dreams,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",(studio)                        ,,,
31,/title/tt0319930/,American Dreams,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
32,/title/tt0319930/,American Dreams,"Vineland Drive-In Theater - 443 N. Vineland Avenue, City of Industry, California, USA",,,,
33,/title/tt0110963/,La Reine Margot,"Palacio Nacional de Mafra, Mafra, Portugal",,"Palácio Nacional de Mafra, Avenida Movimento das Forças Armadas, Paz, Vilãs, Mafra, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal",38.9368915,-9.32577319812506
34,/title/tt0110963/,La Reine Margot,"Bordeaux, Gironde, France",,"Le Bordeaux, Rue Rolland, Bordeaux Centre, Bordeaux, Nouvelle-Aquitaine, France métropolitaine, 33000, France",44.8427203,-0.5813239
35,/title/tt0110963/,La Reine Margot,"Compiègne, Oise, France",,"Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France",49.4179497,2.8263171
36,/title/tt0110963/,La Reine Margot,"Senlis, Oise, France",,"Senlis, Oise, Hauts-de-France, France métropolitaine, 60300, France",49.2065404,2.5846582
37,/title/tt0427969/,Hollywoodland,"Oakville, Ontario, Canada",,"Oakville, Halton Region, Golden Horseshoe, Ontario, Canada",43.447436,-79.666672
38,/title/tt0427969/,Hollywoodland,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
39,/title/tt0427969/,Hollywoodland,"Parkwood Estate, Oshawa, Ontario, Canada",,"Parkwood Estate, 270, Simcoe Street North, Thornton's Corners, Oshawa, Durham Region, Golden Horseshoe, Ontario, L1G 4T5, Canada",43.904216149999996,-78.867903675
