,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0332280/,,"Cypress Gardens - 3030 Cypress Gardens Road, Moncks Corner, South Carolina, USA",(Boat / Swan scene),,,
1,/title/tt0332280/,,"Montréal, Québec, Canada",,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642
2,/title/tt0332280/,,"Charleston, South Carolina, USA",,"Charleston, Charleston County, South Carolina, United States of America",32.7876012,-79.9402728
3,/title/tt0332280/,,"College of Charleston - 66 George Street, Charleston, South Carolina, USA",(Allie's college),,,
4,/title/tt2177461/,,"University of Oxford, Oxford, Oxfordshire, England, UK",,"Oxford University Museum of Natural History, Parks Road, City Centre, Oxford, Oxfordshire, South East, England, OX1 3PW, United Kingdom",51.75870755,-1.2556684826092037
5,/title/tt2177461/,,"Deanery Lane, Bristol, UK",,"Deanery Road, Wapping Wharf, Canon's Marsh, Bristol, City of Bristol, South West England, England, BS1, United Kingdom",51.4515631,-2.6031761
6,/title/tt2177461/,,"Carew Castle, Carew, Tenby, Pembrokeshire, Wales, UK",,,,
7,/title/tt2177461/,,"St. Donats Castle, Vale of Glamorgan, Wales, UK",,"St Donats Castle, West Drive, St Donats, Vale of Glamorgan, Cymru / Wales, CF61 1ZA, United Kingdom",51.40183465,-3.5337242725796907
8,/title/tt3783958/,,"The Lighthouse Cafe - 30 Pier Ave, Hermosa Beach, California, USA",,,,
9,/title/tt3783958/,,"Angels Flight Railway - 351 S Hill St, Los Angeles, California, USA",(Mia & Sebastian ride the funicular railway),"Angels Flight, South Hill Street, Bunker Hill, Downtown, Los Angeles, Los Angeles County, California, 90071, United States of America",34.0511576,-118.2499232
10,/title/tt3783958/,,"Chateau Marmont - 8221 Sunset Blvd., Hollywood, Los Angeles, California, USA","(Exterior: Future Mia arrives home, driving)","Chateau Marmont, 8221, West Sunset Boulevard, Sunset Strip, Hollywood Hills West, West Hollywood, Los Angeles County, California, 90046, United States of America",34.098249749999994,-118.36840487975618
11,/title/tt3783958/,,"Century Freeway I-105/Harbor Freeway I-110 Interchange, South Los Angeles, Los Angeles, California, USA",(opening number),,,
12,/title/tt3783958/,,"Colorado Street Bridge, Pasadena, California, USA",(Mia & Sebastian walk along bridge sidewalk),"Colorado Street Bridge, Colorado Boulevard, Pasadena, Los Angeles County, California, 91123, United States of America",34.1445005,-118.1652411
13,/title/tt3783958/,,"Mount Hollywood Dr, Los Angeles, California, USA","(""Lovely Night"" Dance at Sunset)","Mount Hollywood Drive, Griffith Park, Los Angeles, Los Angeles County, California, 90068, United States of America",34.1380076,-118.3050561
14,/title/tt3783958/,,"Vine St, Los Angeles, California, USA",(1900 Vine St; Mia walks down road after losing her car),"Vine Street, Whitley Heights Historic District, Hollywood, Los Angeles, Los Angeles County, California, 90028, United States of America",34.102698,-118.3267072
15,/title/tt3783958/,,"Grand Central Market - 317 S. Broadway, Downtown, Los Angeles, California, USA",(Mia & Sebastian eat at a bar-style restaurant),"Grand Central Market, 315, South Broadway, Historic Core District, Downtown, Los Angeles, Los Angeles County, California, 90013, United States of America",34.050924949999995,-118.2489634996624
16,/title/tt3783958/,,"Bernard St, Chinatown, Los Angeles, California, USA",(Mia calls Sebastian and leaves a voicemail),"Bernard Street, Elysian Park, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States of America",34.0679288,-118.2404463
17,/title/tt3783958/,,"4403 W. Magnolia Blvd, Burbank, California, USA","(""Van Beek Tapas and Tunes"")","West Magnolia Boulevard, McNeil, Burbank, Los Angeles County, California, 91505, United States of America",34.1686563,-118.3446849
18,/title/tt3783958/,,"6202 Santa Monica Blvd, Los Angeles, California, USA",(Seb's - exterior),"Santa Monica Boulevard, East Hollywood, Los Angeles, Los Angeles County, California, 90029-1831, United States of America",34.0908737,-118.2892189
19,/title/tt3783958/,,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio) (exteriors on studio backlot),,,
20,/title/tt3783958/,,"Jar, 8225 Beverly Blvd, Los Angeles, California, USA",(restaurant scene),,,
21,/title/tt3783958/,,"Langham Apartments, Normandy, Koreatown, Los Angeles, California, USA",(interior of Mia's apartment),,,
22,/title/tt3783958/,,"8404 Willis Ave, Panorama City, Los Angeles, California, USA",(Sebastian's apartment),"8404, Willis Avenue, Panorama City, Los Angeles, Los Angeles County, California, 91402, United States of America",34.22343717241379,-118.45518910344828
23,/title/tt3783958/,,"Hayworth Theatre, 2511 Wilshire Blvd, Los Angeles, California, USA",(Del Rio Theater - interior),,,
24,/title/tt3783958/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
25,/title/tt3783958/,,"16210 Dorilee Ln, Encino, California, USA",(1980s pool party),,,
26,/title/tt3783958/,,"25851 Mendoza Dr, Santa Clarita, California, USA",(Mia's parent's Boulder City home),"25851, Mendoza Drive, Pardee, Santa Clarita, Los Angeles County, California, 91355, United States of America",34.40745823236756,-118.54656918441903
27,/title/tt3783958/,,"Willis Avenue, Panorama City, Los Angeles, California, USA",(exterior of Sebastian's apartment),"Willis Avenue, Panorama City, Los Angeles, Los Angeles County, California, 91402, United States of America",34.2152059,-118.4553009
28,/title/tt3783958/,,USA,,United States,39.7837304,-100.4458825
29,/title/tt0469494/,,"Thornewood Castle - 8601 N. Thorne Lane SW, Lakewood, Washington, USA",(mansion exterior),"Thornewood Castle, 8601, North Thorne Lane Southwest, Woodbrook, Tillicum, Lakewood, Pierce County, Washington, 98498-2051, United States of America",47.1302059,-122.55158437037625
30,/title/tt0469494/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
31,/title/tt0469494/,,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",,,,
32,/title/tt0469494/,,"Shafter, Texas, USA",,"Shafter, Presidio County, Texas, United States of America",29.8173646,-104.3061281
33,/title/tt0469494/,,USA,,United States,39.7837304,-100.4458825
34,/title/tt1442462/,,"Clinton Diner, Maspeth, Queens, New York City, New York, USA",(restaurant),,,
35,/title/tt1442462/,,"Brooklyn, New York City, New York, USA",,"Brooklyn, Kings County, New York, United States of America",40.6501038,-73.9495823
36,/title/tt0470752/,,"Sognefjord, Norway",,"Sognefjorden, Vestland, 6875, Norge",61.2587915,7.356830840773158
37,/title/tt0470752/,,"Briksdalen, Jostedalsbreen National Park, Norway",(vertical panning shot before waterfall hike),,,
38,/title/tt0470752/,,"Bloomberg Offices, Finsbury Square, Broadgate, London, England, UK",(Caleb's workplace),,,
39,/title/tt0470752/,,UK,,United Kingdom,54.7023545,-3.2765753
40,/title/tt0103772/,,"1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA",(exteriors: Nick Curran's apartment),"1158, Montgomery Street, Telegraph Hill, San Francisco, San Francisco City and County, California, 94133, United States of America",37.79971422940481,-122.40405644588097
41,/title/tt0103772/,,"Garrapatta State Beach, Big Sur, California, USA",(beach: Stinson Beach),,,
42,/title/tt0103772/,,"Carmel Valley, California, USA",(Carmel Valley Village),"Carmel Valley, Monterey County, California, United States of America",36.48290245,-121.71417288463448
43,/title/tt0103772/,,"Chinatown, San Francisco, California, USA",,"Chinatown, San Francisco, San Francisco City and County, California, United States of America",37.7943011,-122.4063757
44,/title/tt0103772/,,"Pier 7, The Embarcadero, San Francisco, California, USA",,,,
