,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt10324122/,,"Casa Loma, Toronto, ON, Canada",(building entrance shown at 1: 04),"Casa Loma, 1, Austin Terrace, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5R 1X9, Canada",43.6781015,-79.409415775
1,/title/tt10324122/,,"University of Toronto Mississauga, 3359 Mississauga Rd, Mississauga, ON L5L 1C6, Canada",,,,
2,/title/tt10324122/,,"Prince's Gate, 11 Princes' Blvd, Toronto, ON M6K 3C3, Canada","(grand arch shown at 1: 15, fake electric sign covers inscription, building to right is fake)",,,
3,/title/tt0107120/,,"Salem, Massachusetts, USA",(Alisons house),"Salem, Essex County, Massachusetts, 01970, United States of America",42.5195292,-70.8967226
4,/title/tt0107120/,,"318 Essex St Salem, Massachusetts, USA",(Alison's house exterior),"Ropes Mansion, 318, Essex Street, North Salem, Salem, Essex County, Massachusetts, 01970-3980, United States of America",42.521212399999996,-70.89979684916119
5,/title/tt0107120/,,"86 Essex Street, Salem, Massachusetts, USA",(Max's high school),"86, Essex Street, South Salem, Salem, Essex County, Massachusetts, 01970-3980, United States of America",42.52301425,-70.88828570000001
6,/title/tt0107120/,,"Whittier, California, USA",(Trick-or-Treating and Allison's house),"Whittier, Los Angeles County, California, United States of America",33.9708782,-118.0308396
7,/title/tt0107120/,,"Ballroom, Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",,,,
8,/title/tt0107120/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
9,/title/tt4566758/,,"Kumeu Film Studios, 116 Access Road, Kumeu, Auckland, New Zealand",(studio),,,
10,/title/tt4566758/,,China,,中国,35.000074,104.999927
11,/title/tt0087538/,,"20924 Gault St, Canoga Park, Los Angeles, California, USA",(Mr. Miyagi's house) (demolished),"20924, Gault Street, Canoga Park, Los Angeles, Los Angeles County, California, 91303, United States of America",34.19913626530612,-118.58905879591836
12,/title/tt0087538/,,"Reseda, Los Angeles, California, USA",,"Reseda, Los Angeles, Los Angeles County, California, 91335-2819, United States of America",34.2000784,-118.5369884
