,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1648190/,The Dark Tower,"Cape Town Film Studios, Cape Town, Western Cape, South Africa",,"Cape Town Film Studios, Film City Boulevard, Houghton, Cape Town Ward 16, Eersterivier, City of Cape Town, Western Cape, 7784, South Africa",-34.0315617,18.719156772105897
1,/title/tt1648190/,The Dark Tower,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
2,/title/tt1648190/,The Dark Tower,South Africa,,South Africa,-28.8166236,24.991639
3,/title/tt1390411/,In the Heart of the Sea,"La Gomera, Canary Islands, Spain",,"La Gomera, Hermigua, Santa Cruz de Tenerife, Canarias, España",28.119242,-17.225640691220967
4,/title/tt1390411/,In the Heart of the Sea,"Canary Islands, Spain",,"Canarias, La Orotava, Santa Cruz de Tenerife, Canarias, España",28.2935785,-16.621447121144122
5,/title/tt1390411/,In the Heart of the Sea,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
6,/title/tt1390411/,In the Heart of the Sea,UK,,United Kingdom,54.7023545,-3.2765753
7,/title/tt0360717/,King Kong,"Shelly Bay, Wellington, New Zealand",(Skull Island)                        ,"Shelly Bay, Shelly Bay Road, Maupuia, Wellington, Wellington City, Wellington, 6021, New Zealand",-41.2952851,174.8193465
8,/title/tt0360717/,King Kong,"Seaview, Wellington, New Zealand",(New York Set)                        ,"Seaview, Lower Hutt, Lower Hutt City, Wellington, 5010, New Zealand",-41.2426034,174.9045756
9,/title/tt0360717/,King Kong,"Hutt Valley, Wellington, New Zealand",(New York City Settings)                        ,"Lower Hutt, Lower Hutt City, Wellington, 5010, New Zealand",-41.2125751,174.9057626
10,/title/tt0360717/,King Kong,"Kapiti Island, Wellington Region, New Zealand",(Venture Ocean Scenes)                        ,,,
11,/title/tt0360717/,King Kong,"Miramar, Wellington, New Zealand",(studio) (various studio warehouses)                        ,"Miramar, Wellington, Wellington City, Wellington, 6021, New Zealand",-41.3133541,174.8196538
12,/title/tt0360717/,King Kong,"Stone Street Studios, Stone Street, Miramar, Wellington, New Zealand",(studio)                        ,,,
13,/title/tt0360717/,King Kong,"Civic Theatre, Queen Street, Auckland Central Business District, Auckland, New Zealand",(New York Alhambra theatre)                        ,"Civic Theatre, 269, Queen Street, Auckland Central, Waitematā, Auckland, 1010, New Zealand",-36.85114095,174.76391209159578
14,/title/tt0978764/,Sucker Punch,Canada,,Canada,61.0666922,-107.9917071
15,/title/tt0978764/,Sucker Punch,"British Columbia, Canada",,"British Columbia, Canada",55.001251,-125.002441
16,/title/tt0363547/,Dawn of the Dead,"Thornhill Square Mall, Thornhill, Ontario, Canada",(demolished shortly after film came out)                        ,,,
17,/title/tt0363547/,Dawn of the Dead,"Park Lake, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",,,,
18,/title/tt0363547/,Dawn of the Dead,"Santa Catalina Island, Channel Islands, California, USA",(sailboat scenes)                        ,,,
19,/title/tt0363547/,Dawn of the Dead,"Brampton, Ontario, Canada",,"Brampton, Peel Region, Golden Horseshoe, Ontario, Canada",43.6858146,-79.7599337
20,/title/tt0363547/,Dawn of the Dead,"Clearwater, Florida, USA",(exploding group near end scene)                        ,"Clearwater, Pinellas County, Florida, United States of America",27.9658533,-82.8001026
21,/title/tt0363547/,Dawn of the Dead,"5 Garden Wood Avenue, Caledon, Ontario, Canada",(Ana's house)                        ,"87170, 5, Garden Wood Avenue, Valleywood, Mayfield West, Caledon, Peel Region, Golden Horseshoe, Ontario, L7C 4C3, Canada",43.7446815,-79.8274045326087
22,/title/tt7394816/,Primal,Puerto Rico,,"Puerto Rico, Orocovis, Puerto Rico, United States of America",18.2214149,-66.41328179513847
23,/title/tt0120667/,Fantastic Four,"Surrey, British Columbia, Canada",(Central City building)                        ,"Surrey, Metro Vancouver Regional District, British Columbia, Canada",49.1913033,-122.8491439
24,/title/tt0120667/,Fantastic Four,"University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada",,,,
25,/title/tt0120667/,Fantastic Four,"New Orleans, Louisiana, USA",,"New Orleans, Orleans Parish, Louisiana, United States of America",29.9499323,-90.0701156
26,/title/tt3606756/,Incredibles 2,"Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA",,,,
27,/title/tt3606756/,Incredibles 2,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
28,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","St John Street, Clerkenwell, London, England, UK",(JD's bar)                        ,"St. John Street, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1M 6PE, United Kingdom",51.5197935,-0.1017052
29,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","The Royal Oak Public House, Columbia Road, Bethnal Green, London, England, UK",(Samoan Jo's - the South Seas bar)                        ,,,
30,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","19, Park Street, Borough, SE1, London, England, UK",(the hideout)                        ,"Lloyd Recruitment Services, 19, Park Street, Broad Green, London Borough of Croydon, London, Greater London, England, CR0 1YF, United Kingdom",51.3736157,-0.0982058
31,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Bethnal Green Town Hall, Bethnal Green, London, England, UK",,"Bethnal Green, Roman Road, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0HU, United Kingdom",51.5272449,-0.054752
32,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Borough Market, Borough, London, England, UK",,"Borough Market, Winchester Walk, Borough, Southwark, London Borough of Southwark, London, Greater London, England, SE1 9AQ, United Kingdom",51.50558625,-0.090487028540277
33,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Royal Oak Hotel - 73 Columbia Road, Bethnal Green, London, England, UK",,,,
34,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Cheshire Street, Shoreditch, London, England, UK",,"Cheshire Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E2 6EH, United Kingdom",51.5236463,-0.0686077
35,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Southwark Bridge, Southwark, London, England, UK",,"Southwark Bridge, Bankside, Southwark, London Borough of Southwark, City of London, Greater London, England, SE1 9HA, United Kingdom",51.5088978,-0.0940433
36,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","13-15 Park Street, London, England, UK",,"Park Street, Mayfair, City of Westminster, London, Greater London, England, W1K 2JS, United Kingdom",51.5108885,-0.1546327
37,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels",UK,,United Kingdom,54.7023545,-3.2765753
38,/title/tt4172430/,13 Hours,"Attard, Malta",,"Ħ'Attard, Malta, ATD 1301, Malta",35.8909172,14.4430093
39,/title/tt4172430/,13 Hours,Morocco,,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482
40,/title/tt4172430/,13 Hours,"Ta' Qali, Malta",(Film Set)                        ,"Ta' Qali, Ħ'Attard, Malta, MST 4128, Malta",35.8923492,14.4196785
41,/title/tt5688068/,Above Suspicion,"Lexington, Kentucky, USA",,"Lexington, Fayette County, Kentucky, United States of America",38.0464066,-84.4970393
42,/title/tt5688068/,Above Suspicion,"Berry, Kentucky, USA",(Bank)                        ,"Berry, Harrison County, Kentucky, 41003, United States of America",38.5206283,-84.3843829
43,/title/tt5688068/,Above Suspicion,"Cawood, Kentucky, USA",,"Cawood, Harlan County, Kentucky, 40815, United States of America",36.7839771,-83.2282326
44,/title/tt1617661/,Jupiter Ascending,"Natural History Museum, South Kensington, London, England, UK",(interiors)                        ,"Natural History Museum, Queen's Gate, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 5QL, United Kingdom",51.4955742,-0.1790756
45,/title/tt1617661/,Jupiter Ascending,"Guggenheim Museum, Bilbao, Vizcaya, País Vasco, Spain",(Exterior shots)                        ,"Guggenheim, Abandoibarra etorbidea / Avenida Abandoibarra, Abando, Bilbao, Bilboaldea, Bizkaia, Euskadi, 48009, España",43.2686489,-2.93667
46,/title/tt1617661/,Jupiter Ascending,"Bilbao, Bizkaia, Spain",(Exterior shots)                        ,"Bilbao, Bilboaldea, Bizkaia, Euskadi, España",43.2630051,-2.9349915
47,/title/tt1617661/,Jupiter Ascending,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
48,/title/tt1617661/,Jupiter Ascending,"Littlebrook Power Station, Dartford, Kent, England, UK",,"Littlebrook Power Station, Dartford, Kent, South East, England, United Kingdom",51.46404855,0.24677313297357115
49,/title/tt1617661/,Jupiter Ascending,"Leavesden Studios, Leavesden, Hertfordshire, England, UK",,"Warner Bros. Studios Leavesden, Abbots Langley, Leavesden, Hertfordshire, East of England, England, WD25 7LP, United Kingdom",51.68980175,-0.4226993868476693
50,/title/tt1617661/,Jupiter Ascending,"England, UK",,"England, United Kingdom",52.7954791,-0.5402402866174321
51,/title/tt1617661/,Jupiter Ascending,"The Willis Tower, Chicago, Illinois, USA",(Caine shows his new wings)                        ,"Willis Tower, 233, South Wacker Drive, Loop, Chicago, Cook County, Illinois, 60606, United States of America",41.878871700000005,-87.63590893936448
52,/title/tt0187636/,Farscape,"Bondi Beach, Sydney, New South Wales, Australia",,"Bondi Beach, Sydney, Waverley Council, New South Wales, 2026, Australia",-33.8906977,151.2724119
53,/title/tt0187636/,Farscape,"Sydney Olympic Park, Sydney, New South Wales, Australia","(Season 2, 3, 4)                        ","Sydney Olympic Park, Mountain X BMX, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",-33.8387399,151.06909245693873
54,/title/tt0187636/,Farscape,"Woolwich, Sydney, New South Wales, Australia",,"Woolwich, Sydney, The Council of the Municipality of Hunters Hill, New South Wales, 2110, Australia",-33.8401988,151.1710614
55,/title/tt0112442/,Bad Boys,"Miami, Florida, USA",,"Miami, Miami-Dade County, Florida, United States of America",25.7742658,-80.1936589
56,/title/tt0112442/,Bad Boys,"Art Deco District, South Beach, Miami Beach, Florida, USA",,,,
57,/title/tt0112442/,Bad Boys,"Park Avenue, Miami Beach, Florida, USA",,"Park Avenue, Miami Beach, Miami-Dade County, Florida, 33139, United States of America",25.7970004,-80.1308407
58,/title/tt0112442/,Bad Boys,USA,,United States,39.7837304,-100.4458825
59,/title/tt0112442/,Bad Boys,"Coral Gables, Florida, USA",,"Coral Gables, Miami-Dade County, Florida, United States of America",25.72149,-80.2683838
