Code,Show Name,Location,Scene
/title/tt0067959/,Walkabout,"Alice Springs, Northern Territory, Australia",
/title/tt0067959/,Walkabout,"Darwin, Northern Territory, Australia",
/title/tt0067959/,Walkabout,"Central Australia, Australia",
/title/tt0067959/,Walkabout,"Iron Knob, South Australia, Australia",
/title/tt0067959/,Walkabout,"New South Wales, Australia",
/title/tt0067959/,Walkabout,"South Australia, Australia",
/title/tt0067959/,Walkabout,"Outback, South Australia, Australia",
/title/tt0067959/,Walkabout,"Mid Northern South Australia, South Australia, Australia",
/title/tt0067959/,Walkabout,"Whyalla, South Australia, Australia",
/title/tt0103442/,Highlander,"Scotland, UK",
/title/tt0103442/,Highlander,"Vancouver, British Columbia, Canada",
/title/tt0103442/,Highlander,"Bordeaux, Gironde, France",
/title/tt0103442/,Highlander,"Paris, France",
/title/tt0063951/,Sesame Street,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",(1993-present)                        
/title/tt0063951/,Sesame Street,"New York City, New York, USA",
/title/tt0063951/,Sesame Street,"Colossal Cave Mountain Park, Vail, Arizona, USA",(Sesame Street Goes Western)                        
/title/tt0063951/,Sesame Street,"Sonoran Desert, Arizona, USA",(Sesame Street Goes Western)                        
/title/tt0063951/,Sesame Street,"Town Theater - 55TH St and 9th Av, New York City, New York, USA",
/title/tt1979388/,The Good Dinosaur,"New York City Studio, New York City, New York, USA",
/title/tt1979388/,The Good Dinosaur,"Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA",
/title/tt4547056/,The Girl with All the Gifts,"Stoke-on-Trent, Staffordshire, England, UK",(Hanley Bus Station)                        
/title/tt4547056/,The Girl with All the Gifts,"Pripyat, Ukraine",(as urban London) (only drone footage)                        
/title/tt4547056/,The Girl with All the Gifts,"Church Street, Birmingham City Centre, England, UK",
/title/tt4547056/,The Girl with All the Gifts,"Dudley, West Midlands, England, UK",(First night spent in the derelict hospital)                        
/title/tt4547056/,The Girl with All the Gifts,"Cardington Studios, Bedford, UK",
/title/tt0095489/,Platvoet en zijn vriendjes,"Sullivan Bluth Studios - Phoenix House, Conyngham Road, Northside, Dublin, Ireland",
/title/tt5103758/,Troy: Fall of a City,"Cape Town Film Studios, Cape Town, Western Cape, South Africa",
/title/tt0237534/,Brotherhood of the Wolf,"Château de Roquetaillade, Mazères, Gironde, France",
/title/tt0811080/,Speed Racer,"Potsdam, Brandenburg, Germany",
/title/tt0811080/,Speed Racer,"Victoria Park, Kreuzberg, Berlin, Germany",
/title/tt0095956/,Rambo III,"Chiang Mai, Thailand",(Buddhist Monestary)                        
/title/tt0095956/,Rambo III,"Bangkok, Thailand",
/title/tt0095956/,Rambo III,"Imperial County, California, USA",
/title/tt0095956/,Rambo III,"Yuma, Arizona, USA",
/title/tt0095956/,Rambo III,"Eagletail Mountains, Arizona, USA",
/title/tt0095956/,Rambo III,"Eilat, Israel",
/title/tt0095956/,Rambo III,"Beit Guvrin National Park, Israel",(underground cave scenes)                        
/title/tt0095956/,Rambo III,"Yuma Territorial Prison State Park - 206 N. Fourth Avenue, Yuma, Arizona, USA",
/title/tt0049730/,The Searchers,"Edmonton, Alberta, Canada",
/title/tt0049730/,The Searchers,"Aspen, Colorado, USA",
/title/tt0049730/,The Searchers,"Gunnison, Colorado, USA",
/title/tt0049730/,The Searchers,"Teec Nos Pos, Arizona, USA",
/title/tt0049730/,The Searchers,"Mexican Water, Arizona, USA",
