Code,Show Name,Location,Scene
/title/tt1175491/,W.,"Shreveport, Louisiana, USA",
/title/tt1175491/,W.,"Stageworks - 400 Clyde Fant Memorial Parkway, Shreveport, Louisiana, USA",(studio)                        
/title/tt0362269/,Kinsey,"Fordham University - 441 E. Fordham Road. Rose Hill, Bronx, New York City, New York, USA",
/title/tt0362269/,Kinsey,"Bloomfield, New Jersey, USA",
/title/tt0362269/,Kinsey,"Bronx, New York City, New York, USA",
/title/tt0362269/,Kinsey,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
/title/tt0362269/,Kinsey,"Manhattan, New York City, New York, USA",
/title/tt0362269/,Kinsey,"Queens, New York City, New York, USA",
/title/tt0362269/,Kinsey,"Stony Point, New York, USA",
/title/tt0362269/,Kinsey,"Chelsea, Manhattan, New York City, New York, USA",
/title/tt1278469/,Temple Grandin,"Georgetown, Texas, USA",
/title/tt1278469/,Temple Grandin,"Austin Studios - 1901 E. 51st Street, Austin, Texas, USA",
/title/tt1278469/,Temple Grandin,"Bastrop, Texas, USA",
/title/tt1278469/,Temple Grandin,"Texas, USA",
/title/tt1278469/,Temple Grandin,"Driftwood, Texas, USA",
/title/tt1278469/,Temple Grandin,"Luling, Texas, USA",
/title/tt0060665/,A Man for All Seasons,"Studley Priory, Horton Hill, Horton-cum-Studley, Oxfordshire, England, UK",(Thomas More's house)                        
/title/tt0060665/,A Man for All Seasons,"Beaulieu River, Hampshire, England, UK",(River Thames)                        
/title/tt0060665/,A Man for All Seasons,"Horton Hill, Horton-cum-Studley, Oxfordshire, England, UK",
/title/tt0060665/,A Man for All Seasons,"Beauline Abbey, Hampshire, England, UK",
/title/tt0060665/,A Man for All Seasons,"Hampshire, England, UK",
/title/tt0060665/,A Man for All Seasons,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        
/title/tt2431286/,Philomena,"Killyleagh, County Down, Northern Ireland",
/title/tt2431286/,Philomena,"Poolesville, Maryland, USA",(exteriors: stop by the church after meeting with Olsson)                        
/title/tt2431286/,Philomena,"Shirburn Castle, Watlington, Oxfordshire, England, UK",(Roscrea Convent cemetery)                        
/title/tt2431286/,Philomena,"Potomac, Maryland, USA",
/title/tt2431286/,Philomena,"London, England, UK",
/title/tt2431286/,Philomena,"Stansted Airport, Essex, England, UK",(UK Airport)                        
/title/tt2431286/,Philomena,"Folger Shakespeare Library, 201 E Capitol St SE, Washington, DC 20003, USA",(exterior of Marcia Weller's office)                        
/title/tt1191113/,Fab Five: The Texas Cheerleader Scandal,"New Orleans, Louisiana, USA",
/title/tt0430308/,Get Rich or Die Tryin',"Toronto, Ontario, Canada",
/title/tt0430308/,Get Rich or Die Tryin',"New York City, New York, USA",
/title/tt0430308/,Get Rich or Die Tryin',Canada,
/title/tt0430308/,Get Rich or Die Tryin',"Dublin, County Dublin, Ireland",
/title/tt0430308/,Get Rich or Die Tryin',Ireland,
/title/tt9115530/,The Eyes of Tammy Faye,"North Carolina, USA",
/title/tt6316138/,Ayla: The Daughter of War,"Seoul, South Korea",(location)                        
/title/tt0419749/,Find Me Guilty,"Newark, New Jersey, USA",(courthouse)                        
/title/tt0419749/,Find Me Guilty,"New York City, New York, USA",
/title/tt0821642/,The Soloist,"Skid Row, Central City East, Los Angeles, California, USA",
/title/tt0821642/,The Soloist,"Cleveland, Ohio, USA",
/title/tt0821642/,The Soloist,"Downtown, Los Angeles, California, USA",
/title/tt0821642/,The Soloist,"The 110 Interstate, Los Angeles, California, USA",(location)                        
/title/tt0821642/,The Soloist,"Elysian Park, Los Angeles, California, USA",
/title/tt0821642/,The Soloist,"Pershing Square, Downtown, Los Angeles, California, USA",
/title/tt0821642/,The Soloist,USA,
/title/tt1723808/,Reagan,"Atlanta, Georgia, USA",
/title/tt1028576/,Secretariat,"Churchill Downs - 700 Central Avenue, Louisville, Kentucky, USA",
/title/tt1028576/,Secretariat,"Kentucky, USA",
/title/tt1028576/,Secretariat,"Evangeline Downs, Carencro, Louisiana, USA",
/title/tt6233618/,Unsolved,"Las Vegas, Nevada, USA","(Las Vegas Blvd, Strip)                        "
/title/tt3246874/,Wish Man,"Prescott, Arizona, USA",
/title/tt1230168/,Same Kind of Different as Me,"Jackson, Mississippi, USA",(location)                        
/title/tt1230168/,Same Kind of Different as Me,"Mississippi, USA",
/title/tt1586752/,Machine Gun Preacher,South Africa,
/title/tt1586752/,Machine Gun Preacher,"Detroit, Michigan, USA",
/title/tt1586752/,Machine Gun Preacher,"Detroit Masonic Temple, Detroit, Michigan, USA",
/title/tt1266029/,Nowhere Boy,"Liverpool, Merseyside, England, UK",
/title/tt1266029/,Nowhere Boy,"Hatch End, Middlesex, England, UK",(exetriors: 'Mendips')                        
/title/tt1266029/,Nowhere Boy,"Sacred Heart Catholic College, Crosby, Liverpool, Merseyside, England, UK",(interiors: school)                        
/title/tt1266029/,Nowhere Boy,"Blackpool, Lancashire, England, UK",(Blackpool Evening Gazette)                        
/title/tt7388562/,"Paul, Apostle of Christ",Malta,
/title/tt0113987/,Nixon,"Santa Anita Park & Racetrack - 285 West Huntington Drive, Arcadia, California, USA",
/title/tt0113987/,Nixon,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",
