Code,Show Name,Location,Scene
/title/tt1190634/,The Boys,"Hamilton, Ontario, Canada",(location)                        
/title/tt1190634/,The Boys,"University of Toronto, Toronto, Ontario, Canada",(Hugh and Annie conversation)                        
/title/tt7221388/,Cobra Kai,"Atlanta, Georgia, USA",
/title/tt7221388/,Cobra Kai,"130 Woodlawn Dr NE, Marietta, Georgia, USA",(LaRusso family home)                        
/title/tt7221388/,Cobra Kai,"C.T. Martin Natatorium and Recreation Center - 3201 M.L.K. Jr Dr SW, Atlanta, Georgia, USA",(West Valley High School)                        
/title/tt7221388/,Cobra Kai,"Crossroads Shopping Center - 2779 Lakewood Avenue SW, Atlanta, Georgia, USA",(Cobra Kai Dojo exterior)                        
/title/tt3526078/,Schitt's Creek,"308385 Hockley Rd, Orangeville, Ontario, Canada",(Motel)                        
/title/tt3526078/,Schitt's Creek,"159 Main St Unionville, Unionville, Ontario, Canada",(Blouse Barn)                        
/title/tt3526078/,Schitt's Creek,"797 Colbourne St., Brantford, ON N3S 3S3, Canada, Building","(Sherwood Motel, exterior)                        "
/title/tt13143964/,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"Los Angeles, California, USA",
/title/tt13143964/,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"Spartanburg, South Carolina, USA",
/title/tt13143964/,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,"South Carolina, USA",
/title/tt0805647/,The Witches,"Surrey, England, UK",
/title/tt0386676/,The Office,"Scranton, Pennsylvania, USA",
/title/tt0386676/,The Office,"Santa Clarita, California, USA",
/title/tt0386676/,The Office,"Chandler Valley Center Studios - 13927 Saticoy St, Panorama City, California, USA",(studio)                        
/title/tt10986410/,Ted Lasso,"Hayes & Yeading United Football Club, Beaconsfield Road, Hayes, England, UK",(location)                        
/title/tt10986410/,Ted Lasso,"Crystal Palace FC's Selhurst Park Stadium, South Norwood, London, England, UK",(Part of AFC Richmond's Stadium)                        
/title/tt8962124/,Emily in Paris,"Paris, France",
/title/tt4955642/,The Good Place,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        
/title/tt4955642/,The Good Place,"Universal City, California, USA",
/title/tt4955642/,The Good Place,"California, USA",
/title/tt10324122/,Secret Society of Second-Born Royals,"Mississauga, Ontario, Canada",
/title/tt0107120/,Hocus Pocus,"Plimouth Plantation - 137 Warren Avenue, Plymouth, Massachusetts, USA",(Google Maps)                        
/title/tt0107120/,Hocus Pocus,"4 Ocean Ave, Salem, Massachusetts, USA",(Max's house exterior)                        
/title/tt0107120/,Hocus Pocus,"Marblehead, Massachusetts, USA",(cemetery in the daytime)                        
/title/tt0107120/,Hocus Pocus,"Pioneer Village, Forest River Park - West Avenue, Salem, Massachusetts, USA",
/title/tt0107120/,Hocus Pocus,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",
/title/tt0107120/,Hocus Pocus,"Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",
/title/tt0108778/,Friends,"New York City, New York, USA",
/title/tt0108778/,Friends,"Stage 24, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt0108778/,Friends,"Los Angeles, California, USA",
/title/tt0108778/,Friends,"Park Boulevard, Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA",
/title/tt8367814/,The Gentlemen,"West London Film Studios, London, England, UK",(studio)                        
/title/tt8367814/,The Gentlemen,"The Princess Victoria, 217 Uxbridge Road, Shepherd's Bush, London W12 9DH, UK",(Mickey Pearson's meeting spot)                        
/title/tt1826940/,New Girl,"837 Traction Avenue, Los Angeles, California, USA",(loft exteriors)                        
/title/tt1826940/,New Girl,"Los Angeles, California, USA",
/title/tt1826940/,New Girl,"The Griffin Bar - 3000 Los Feliz Boulevard in Atwater Village, Los Angeles, California, USA",(Bar exteriors)                        
/title/tt1442437/,Modern Family,"Los Angeles County, California, USA",
/title/tt1442437/,Modern Family,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt1586680/,Shameless,"2119 S Homan Ave, Chicago, Illinois, USA",(Gallagher House)                        
/title/tt1586680/,Shameless,"Chicago, Illinois, USA",
/title/tt1586680/,Shameless,"Backlot, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(The Alibi Room)                        
/title/tt1586680/,Shameless,"1955 S Trumbull Ave, Chicago, Illinois, USA",(Milkovich House)                        
/title/tt0898266/,The Big Bang Theory,"Stage 25, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt1439629/,Community,"Los Angeles City College - 855 North Vermont Avenue, Los Angeles, California, USA",
/title/tt1439629/,Community,"Camino Theater, Los Angeles City College - 855 North Vermont Avenue, Los Angeles, California, USA",
/title/tt1439629/,Community,USA,
/title/tt10183988/,Julie and the Phantoms,"Vancouver, British Columbia, Canada",
/title/tt10183988/,Julie and the Phantoms,"The Bridge Studios, Burnaby, British Columbia, Canada",
/title/tt8946378/,Knives Out,"Ames Borderland Mansion, 259 Massapoag Avenue, North Easton, Massachusetts, USA",(Thrombey House Library Interior)                        
/title/tt8946378/,Knives Out,"Maynard, Massachusetts, USA","(Car chase, John's Cleaners and laundromat - former Gruber's Furniture)                        "
/title/tt8946378/,Knives Out,"Medfield, Massachusetts, USA",(Medfield State Hospital)                        
/title/tt8946378/,Knives Out,"Boston, Massachusetts, USA",
/title/tt11024272/,The Babysitter: Killer Queen,"Los Angeles, California, USA",
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Glod, Romania",(Kazakhstan)                        
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Romania,(Kazakhstan)                        
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Roanoke, Virginia, USA",
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Adolphus Hotel - 1321 Commerce Street, Dallas, Texas, USA",
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Brandin' Iron Saloon - 320 S. E St, San Bernardino, California, USA",(mechanical bull riding)                        
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Four Seasons Kosher Bed & Breakfast - 15 Madoc Street, Newton, Massachusetts, USA",(The Bed & Breakfast run by the Jewish couple)                        
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Salem Civic Center - 1001 Roanoke Blvd., Salem, Virginia, USA",(National anthem at rodeo scene)                        
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Birmingham, Alabama, USA",
/title/tt0443453/,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"South Carolina, USA",
