Code,Show Name,Location,Scene
/title/tt7846844/,Enola Holmes,"Minley manor, Minley Rd, Fleet GU17 9JT, United Kingdom",(Mrs Harrison's finishing school)                        
/title/tt7846844/,Enola Holmes,"Arley, Bewdley, DY12 3NE, UK",(Arley train station where Enola meets Sherlock)                        
/title/tt7846844/,Enola Holmes,"Old Royal Naval College, Greenwich, London, England, UK",(London street and Convent Garden columns)                        
/title/tt7846844/,Enola Holmes,"Hatfield House, Hatfield, Hertfordshire, England, UK",(The home of the Tewksbury family)                        
/title/tt7846844/,Enola Holmes,"HM Treasury, 1 Horse Guards Road Westminster, London, England, UK",(Meeting at the courtyard)                        
/title/tt1190634/,The Boys,"Hamilton, Ontario, Canada",(location)                        
/title/tt1190634/,The Boys,"University of Toronto, Toronto, Ontario, Canada",(Hugh and Annie conversation)                        
/title/tt7423538/,Ratched,"Cannery Row, Monterey, California, USA",
/title/tt7423538/,Ratched,"King Gillette Ranch, Malibu Creek State Park - Mulholland Highway, Calabasas, California, USA",(Lucia State Hospital exterior shots)                        
/title/tt7423538/,Ratched,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt7423538/,Ratched,"638 S Beacon St, Los Angeles, California, USA",
/title/tt7423538/,Ratched,"California, USA",(studio)                        
/title/tt2802850/,Fargo,"Calgary, Alberta, Canada",
/title/tt2802850/,Fargo,"High River, Alberta, Canada",
/title/tt2802850/,Fargo,"Calgary Public Library, Calgary, Alberta, Canada",(FBI Headquarters in Fargo)                        
/title/tt2802850/,Fargo,"Inglewood, Calgary, Alberta, Canada",(Bemidji downtown)                        
/title/tt2802850/,Fargo,"319 6th Street, Beiseker, Alberta, Canada",(Eden Valley Public Library and Eden Valley Police Department)                        
/title/tt2802850/,Fargo,"232 6th Street, Beiseker, Alberta, Canada","(Red Owl Market, Horn & Gill Outdoor Shop; Eden Valley)                        "
/title/tt2802850/,Fargo,"504 7th Street, Beiseker, Alberta, Canada",(Eden Valley UFA Gas Station)                        
/title/tt7395114/,The Devil All the Time,"The Peerless Grille, Anniston, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"33 W 10th Street, Anniston, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Pine Flat Presbyterian Church, Deatsville, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Forest Park, Birmingham, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Oak Mountain State Park, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Jacksonville, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Pell City, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Dora, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Deatsville, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Birmingham, Alabama, USA",
/title/tt7395114/,The Devil All the Time,USA,
/title/tt4052886/,Lucifer,"Vancouver, British Columbia, Canada",(Season 1 & 2)                        
/title/tt4052886/,Lucifer,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt2442560/,Peaky Blinders,"Port Sunlight, Wirral, Merseyside, England, UK",(Series 2 - unknown)                        
/title/tt2442560/,Peaky Blinders,"Ellesmere Port, Cheshire, England, UK",(Series 2 - unknown)                        
/title/tt2442560/,Peaky Blinders,"Leeds Town Hall, The Headrow, Leeds, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Little Germany, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"City Varieties Music Hall, Swan Street, Leeds, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Bradford City Hall, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Cheshire, England, UK",
/title/tt2442560/,Peaky Blinders,"West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Keighley and Worth Valley Railway, Haworth, Keighley, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Ilkley, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"King's Hall and Winter Gardens, Station Road, Ilkley, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Undercliffe Cemetery, The Lodge, 127 Undercliffe Lane, Undercliffe, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Bradford Club, 1 Piece Hall Yard, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Glasgow, Scotland, UK",(Season 6)                        
/title/tt0903747/,Breaking Bad,"3828 Piermont Dr NE, Albuquerque, New Mexico, USA",(Walter White's House)                        
/title/tt0903747/,Breaking Bad,"Lead Ave. SE & Terrace St. SE, Albuquerque, New Mexico, USA",(Jesse Pinkman's Apartment)                        
/title/tt0903747/,Breaking Bad,"322 16th Street Southwest, Albuquerque, New Mexico, USA",(Jesse Pinkman's house)                        
/title/tt0903747/,Breaking Bad,"1213 Jefferson Street Northeast, Albuquerque, New Mexico, USA",(Gus Fring's house)                        
/title/tt0903747/,Breaking Bad,"9560 Snow Heights Circle NE, Albuquerque, New Mexico, USA",(exteriors-Car Wash)                        
/title/tt0903747/,Breaking Bad,"1617 de Candelaria Street, Albuquerque, New Mexico, USA",(Laundry - Lab)                        
/title/tt0903747/,Breaking Bad,"9615 Broadway Blvd SE, Albuquerque, New Mexico, USA",(Los Pollos Hermanos Factory Farm)                        
/title/tt0903747/,Breaking Bad,"Albuquerque, New Mexico, USA",
/title/tt0903747/,Breaking Bad,"Dalies Rd, Los Lunas, New Mexico, USA","(Hector ""Tio"" Salamanca's residence)                        "
/title/tt0903747/,Breaking Bad,"478 Highway 165, Placitas, New Mexico, USA",(Don Eladio's Hacienda)                        
/title/tt0903747/,Breaking Bad,"John B. Robert Dam, Albuquerque, New Mexico, USA",(The Extractor's pickup point)                        
/title/tt0903747/,Breaking Bad,USA,
/title/tt2741602/,The Blacklist,"Pleasantville, New York, USA",
/title/tt2741602/,The Blacklist,"Tottenville, Staten Island, New York, USA",(The Blacklist)                        
/title/tt0452046/,Criminal Minds,"Vancouver, British Columbia, Canada",
/title/tt0452046/,Criminal Minds,"Altadena, California, USA",
/title/tt0452046/,Criminal Minds,"Santa Clarita, California, USA",
/title/tt0452046/,Criminal Minds,USA,
/title/tt8367814/,The Gentlemen,"West London Film Studios, London, England, UK",(studio)                        
/title/tt8367814/,The Gentlemen,"The Princess Victoria, 217 Uxbridge Road, Shepherd's Bush, London W12 9DH, UK",(Mickey Pearson's meeting spot)                        
/title/tt5753856/,Dark,"Saarmund, Brandenburg, Germany",
/title/tt5753856/,Dark,"Tremsdorf, Potsdam-Mittelmark, Brandenburg, Germany",
/title/tt8784956/,Ava,"Boston, Massachusetts, USA",
/title/tt1475582/,Sherlock,"187 North Gower Street, Somers Town, London, England, UK",(exterior: 221B Baker Street)                        
/title/tt1475582/,Sherlock,"St. Bartholomew's Hospital, London, England, UK",(hospital scenes)                        
/title/tt8946378/,Knives Out,"Ames Borderland Mansion, 259 Massapoag Avenue, North Easton, Massachusetts, USA",(Thrombey House Library Interior)                        
/title/tt8946378/,Knives Out,"Maynard, Massachusetts, USA","(Car chase, John's Cleaners and laundromat - former Gruber's Furniture)                        "
/title/tt8946378/,Knives Out,"Medfield, Massachusetts, USA",(Medfield State Hospital)                        
/title/tt8946378/,Knives Out,"Boston, Massachusetts, USA",
/title/tt5071412/,Ozark,"Lake Ozark, Missouri, USA",(Bagnell Dam Strip)                        
/title/tt5071412/,Ozark,"6979 Bells Ferry Rd, Canton, Georgia, USA",(Blue Cat Lodge)                        
/title/tt5071412/,Ozark,"6025 Oakbrook Pkwy, Norcross, Georgia, USA",(Lickety Splitz)                        
/title/tt5071412/,Ozark,"Mausoleum and Abbey of Westview Cemetery, Atlanta, Georgia, USA","(Navarro's estate in Michoacán, Mexico)                        "
/title/tt5071412/,Ozark,"Chicago Illinois, USA",(street scenes)                        
/title/tt1124373/,Sons of Anarchy,"Sun Valley, Los Angeles, California, USA",
/title/tt1124373/,Sons of Anarchy,"Tujunga, Los Angeles, California, USA",
/title/tt1124373/,Sons of Anarchy,"California, USA",
/title/tt0141842/,The Sopranos,"Satin Dolls - 230 State Route 17 S., Lodi, New Jersey, USA",(Bada Bing Club)                        
/title/tt0141842/,The Sopranos,"East Brunswick, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Newburgh, New York, USA",
/title/tt0141842/,The Sopranos,"Lincoln Tunnel, New York City, New York, USA",(opening credits)                        
/title/tt0141842/,The Sopranos,"Silvercup Studios - 4222 22nd Street, Long Island City, Queens, New York City, New York, USA",(studio)                        
/title/tt0141842/,The Sopranos,"Atlantic Beach, Long Island, New York, USA",(Numerous Beach Scenes)                        
/title/tt0141842/,The Sopranos,"Bloomfield, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Fort Lee, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Lodi, New Jersey, USA",
/title/tt0141842/,The Sopranos,"New Jersey Turnpike, Jersey City, New Jersey, USA",(opening credits)                        
/title/tt0141842/,The Sopranos,"Passaic, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Pulaski Skyway, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Secaucus, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Wayne, New Jersey, USA",
/title/tt0141842/,The Sopranos,"New York City, New York, USA",
/title/tt0141842/,The Sopranos,"East Rutherford, New Jersey, USA",
/title/tt0141842/,The Sopranos,"Matarazzo Farm - 216 Mountain Avenue, North Caldwell, New Jersey, USA",
/title/tt0141842/,The Sopranos,"North Arlington, New Jersey, USA",
/title/tt0203259/,Law & Order: Special Victims Unit,"North Bergen, New Jersey, USA",
/title/tt0203259/,Law & Order: Special Victims Unit,"New York City, New York, USA",
/title/tt2467372/,Brooklyn Nine-Nine,"CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA",(studio)                        
/title/tt0364845/,NCIS: Naval Criminal Investigative Service,"Valencia Studios - 26030 Avenue Hall, Valencia, California, USA",(interiors)                        
/title/tt2294189/,The Fall,"Belfast, County Antrim, Northern Ireland, UK",
/title/tt2294189/,The Fall,UK,
/title/tt2294189/,The Fall,"125-153 Millfield, Belfast, Northern Ireland, UK",(Belfast Metropolitan College)                        
/title/tt2294189/,The Fall,"16 Skipper St, Belfast, Northern Ireland, UK",(The Merchant Hotel - Detective Stella Gibson's residence)                        
/title/tt2294189/,The Fall,"40 Hope St, Belfast, Northern Ireland, UK",(The Holiday Inn)                        
/title/tt2294189/,The Fall,"1 Victoria Square, Belfast, Northern Ireland, UK",(Victoria Square)                        
/title/tt2294189/,The Fall,"Airport Rd, Belfast, Northern Ireland, UK",(Belfast International Airport)                        
/title/tt7713068/,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"Los Angeles, California, USA",
/title/tt7713068/,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"730 South Hill Street, Los Angeles, California, USA",(taco restaurant)                        
/title/tt7713068/,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"433 South Spring Street, Downtown, Los Angeles, California, USA",
/title/tt7713068/,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"Downtown, Los Angeles, California, USA",
/title/tt6468322/,La Casa de Papel,"Nuevos Ministerios, Madrid, Spain",(Exterior scene representing the Bank of Spain in Season 3.)                        
/title/tt6468322/,La Casa de Papel,"Panama City, Panama",(location)                        
/title/tt6468322/,La Casa de Papel,"Madrid, Spain",
/title/tt6468322/,La Casa de Papel,Thailand,(location)                        
/title/tt6468322/,La Casa de Papel,Spain,
/title/tt6468322/,La Casa de Papel,"Colmenar Viejo, Madrid, Spain",(Interior scenes)                        
/title/tt3032476/,Better Call Saul,"Albuquerque, New Mexico, USA",
/title/tt3032476/,Better Call Saul,"Cottonwood Mall, 10000 Coors Blvd Bypass NW, Albuquerque, New Mexico, USA","(Cinnabon, as Gene at Omaha location)                        "
/title/tt3032476/,Better Call Saul,"1520 Tejana Mesa Pl NE, Albuquerque, New Mexico, USA",(Kettleman's house)                        
/title/tt3032476/,Better Call Saul,"102 Marquette Ave NE, Albuquerque, New Mexico, USA",(Mike's workplace)                        
/title/tt3032476/,Better Call Saul,USA,
/title/tt7286456/,Joker,"Harlem, Manhattan, New York City, New York, USA",
/title/tt7286456/,Joker,"Bronx, New York City, New York, USA",(street scenes)                        
/title/tt7286456/,Joker,"Market Street at Washington Street, Newark, New Jersey, USA",(Climactic riot with Joker on top of the police car)                        
/title/tt7286456/,Joker,"New York City, New York, USA",
/title/tt7286456/,Joker,"Newark Paramount Theatre, Market St, Newark, New Jersey, USA",(Arthur Fleck works as a clown in the street)                        
/title/tt7286456/,Joker,"Hudson County Courthouse, Jersey City, New Jersey, USA",(The Wayne Hall)                        
/title/tt7286456/,Joker,"Disused lower level platforms, 9th Avenue Subway Station, Brooklyn, New York City, New York, USA",(Subway station)                        
/title/tt7286456/,Joker,"New York, USA",
/title/tt7286456/,Joker,"Paramount Theatre, Newark, New Jersey, USA","(Porn theater playing ""Strip Search"")                        "
/title/tt7286456/,Joker,"Seagram Building, New York City, New York, USA",(Wayne Industries)                        
/title/tt7286456/,Joker,"Loew's Jersey Theatre, Jersey City, New Jersey, USA",(Crime Alley)                        
/title/tt7286456/,Joker,USA,
/title/tt5743796/,Warrior,"Cape Town Film Studios, Cape Town, Western Cape, South Africa",
/title/tt11656892/,Des,"HM Prison Shepton Mallet, Shepton Mallet, Somerset, England, UK",(Later prison interiors)                        
/title/tt11656892/,Des,"Watford, Hertfordshire, England, UK",(As Melrose Avenue house)                        
