Code,Show Name,Location,Scene
/title/tt0041838/,Samson and Delilah,"Bou-Saada, Algiers, Algeria",
/title/tt0041838/,Samson and Delilah,"Moulayidris, Morocco",
/title/tt0041838/,Samson and Delilah,"Volubilis, Meknès, Morocco",
/title/tt0488988/,Chapter 27,"Central Park West, Manhattan, New York City, New York, USA",
/title/tt0488988/,Chapter 27,"New York City, New York, USA",
/title/tt7025976/,L'Empereur de Paris,"Base 217, Brétigny-sur-Orge, Essonne, France",
/title/tt7025976/,L'Empereur de Paris,"Château de Fontainebleau, Fontainebleau, Seine-et-Marne, France",
/title/tt7628846/,Onyx: Kings of the Grail,"León, León, Castilla y León, Spain",
/title/tt6536562/,Payitaht Abdülhamid,"Istanbul, Turkey",
/title/tt0056264/,Mutiny on the Bounty,"Bora Bora, Leeward Islands, French Polynesia",
/title/tt0056264/,Mutiny on the Bounty,"Maatvai Bay, Tahiti, French Polynesia",(arrival of the Bounty)                        
/title/tt0056264/,Mutiny on the Bounty,French Polynesia,
/title/tt0056264/,Mutiny on the Bounty,"Leeward Islands, French Polynesia",
/title/tt0056264/,Mutiny on the Bounty,"Moorea, French Polynesia",
/title/tt0056264/,Mutiny on the Bounty,"Temae, Moorea, French Polynesia",
/title/tt0056264/,Mutiny on the Bounty,"O'ahu, Hawaii, USA",
/title/tt0056264/,Mutiny on the Bounty,Pacific Ocean,
/title/tt0019254/,La passion de Jeanne d'Arc,"Boulogne-Billancourt, Hauts-de-Seine, France",(studio)                        
/title/tt0050613/,Kumonosu-jô,"Gotemba, Shizuoka, Japan",
/title/tt0050613/,Kumonosu-jô,"Toho Studios, Tokyo, Japan","(studio) (studio, castle courtyard)                        "
/title/tt0050613/,Kumonosu-jô,"Izu Peninsula, Shizuoka, Japan",(Washizu's mansion)                        
/title/tt0765432/,Der Baader Meinhof Komplex,Morocco,
/title/tt0765432/,Der Baader Meinhof Komplex,"Bavaria-Ateliers, Geiselgasteig, Grünwald, Bavaria, Germany",(studio)                        
/title/tt0765432/,Der Baader Meinhof Komplex,"Munich, Bavaria, Germany",
/title/tt0765432/,Der Baader Meinhof Komplex,"Stuttgart, Baden-Württemberg, Germany",
/title/tt1135989/,A Tale of Love and Darkness,"Jerusalem, Israel",(location)                        
/title/tt1135989/,A Tale of Love and Darkness,"Tel Aviv, Israel",(location)                        
/title/tt1135989/,A Tale of Love and Darkness,"Kibbutz Hulda, Israel",(location)                        
/title/tt2492296/,Show Me a Hero,"New York City, New York, USA",
/title/tt0319930/,American Dreams,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",
/title/tt0319930/,American Dreams,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",(studio)                        
/title/tt0319930/,American Dreams,"Vancouver, British Columbia, Canada",
/title/tt0319930/,American Dreams,"Vineland Drive-In Theater - 443 N. Vineland Avenue, City of Industry, California, USA",
/title/tt0110963/,La Reine Margot,"Palacio Nacional de Mafra, Mafra, Portugal",
/title/tt0110963/,La Reine Margot,"Bordeaux, Gironde, France",
/title/tt0110963/,La Reine Margot,"Compiègne, Oise, France",
/title/tt0110963/,La Reine Margot,"Senlis, Oise, France",
/title/tt0427969/,Hollywoodland,"Oakville, Ontario, Canada",
/title/tt0427969/,Hollywoodland,"Los Angeles, California, USA",
/title/tt0427969/,Hollywoodland,"Parkwood Estate, Oshawa, Ontario, Canada",
/title/tt0427969/,Hollywoodland,"5355 E La Pasada Street, Long Beach, California, USA",(Apartment 21 exterior shots and swimming pool Adrian Brody spits his gum into while the old guy is lifting weights.)                        
/title/tt0427969/,Hollywoodland,"Oshawa, Ontario, Canada",
/title/tt0427969/,Hollywoodland,"Downtown, Los Angeles, California, USA",
/title/tt0427969/,Hollywoodland,USA,
/title/tt0075560/,Poldark,"Boconnoc, Lostwithiel, Cornwall, England, UK",(as Penrice)                        
/title/tt0075560/,Poldark,"Pentireglaze, Cornwall, England, UK","(Demelza and Hugh Armitage scene on cliffs, Season 2)                        "
/title/tt0075560/,Poldark,"St Just, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Braddock Church, Braddock, Cornwall, England, UK",(Drake and Morwenna's wedding)                        
/title/tt0075560/,Poldark,"Doyden Castle, Port Quin, Cornwall, England, UK","(Dwight Enys' house, Season 1)                        "
/title/tt0075560/,Poldark,"Land's End, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Lundy Bay, Port Quin, Cornwall, England, UK","(Shipwreck scene and Warleggan's fences, Season 1)                        "
/title/tt0075560/,Poldark,"Pendeen, Cornwall, England, UK",(as Nampara cove)                        
/title/tt0075560/,Poldark,"Roscarrock Manor Farm, Port Isaac, Cornwall, England, UK",(as Nampara exterior)                        
/title/tt0075560/,Poldark,"St. Winnow's Church, Lostwithiel, Cornwall, England, UK",(Dwight Enys and Caroline Penvenen's wedding)                        
/title/tt0075560/,Poldark,"Illogan Woods, Illogan, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Lanhydrock House, Bodmin, Cornwall, England, UK",(Sir Francis Basset's house)                        
/title/tt0075560/,Poldark,"Mount's Bay, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Perranporth, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Porthcurno Beach, Porthcurno, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Portholland, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Prussia Cove, Rosudgeon, Cornwall, England, UK",(Season 1)                        
/title/tt0075560/,Poldark,"St Mawes Castle, St Mawes, Cornwall, England, UK","(Fort Baton, Season 2)                        "
/title/tt0075560/,Poldark,"Stippy Stappy, Town Hill, St Agnes, Cornwall, England, UK",
/title/tt0075560/,Poldark,"Trelissick House, Feock, Cornwall, England, UK",(Ralph Allen Daniell's house)                        
/title/tt0075560/,Poldark,"Trevellas Coombe, St Agnes, Cornwall, England, UK",
/title/tt1864750/,El tiempo entre costuras,"Tangier, Morocco",
/title/tt1864750/,El tiempo entre costuras,"Madrid, Spain",
/title/tt1864750/,El tiempo entre costuras,"San Lorenzo de El Escorial, Madrid, Spain",
/title/tt1864750/,El tiempo entre costuras,"Estación de Algodor, Aranjuez, Madrid, Spain",(Train station)                        
/title/tt1784141/,Öyle Bir Geçer Zaman ki,"Istanbul, Turkey",(location)                        
