Code,Show Name,Location,Scene
/title/tt3467114/,Halo 5: Guardians,"Chicago, Illinois, USA",
/title/tt1619880/,Sharktopus,"Puerto Vallarta, Jalisco, Mexico",(Marina Vallarta)                        
/title/tt2852400/,Tian zhu ding,"Chongqing, China",(San'er episode)                        
/title/tt2852400/,Tian zhu ding,"Wushan, Chongqing, China",(boat landing)                        
/title/tt2852400/,Tian zhu ding,"Dongguan, Guangdong, China",(Xiaohui and Lianrong episode)                        
/title/tt0082924/,Supersmeris,"Miami, Florida, USA",
/title/tt0093828/,Real Men,"Hanford, California, USA",
/title/tt0093828/,Real Men,"Woodland Hills, Los Angeles, California, USA",(Bob's house)                        
/title/tt0093828/,Real Men,"Los Angeles, California, USA",
/title/tt0048990/,De ondergang van de Graf Spee,"Cromarty Firth, Invergordon, Highland, Scotland, UK",(re-fuelling scene)                        
/title/tt0048990/,De ondergang van de Graf Spee,"Harbour, Montevideo, Uruguay",(harbour scenes - showing crowds)                        
/title/tt0048990/,De ondergang van de Graf Spee,Malta,(Grand Harbour)                        
/title/tt0048990/,De ondergang van de Graf Spee,Atlantic Ocean,
/title/tt1637728/,Ferocious Planet,"Dublin, County Dublin, Ireland",
/title/tt0032762/,Het teken van Zorro,"Stage 6, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",
/title/tt11388416/,Ida Red,"Tulsa, Oklahoma, USA",
/title/tt1702009/,Strippers vs Werewolves,"Croydon, UK",
/title/tt3707110/,Call of Duty: Advanced Warfare,"New York City, New York, USA",
/title/tt3707110/,Call of Duty: Advanced Warfare,"Detroit, Michigan, USA",
/title/tt3707110/,Call of Duty: Advanced Warfare,"Baghdad, Iraq",
/title/tt0210234/,Pokémon 2: De Film - Op Eigen Kracht,"Setagaya, Tokyo, Japan","(OLM, Inc.)                        "
/title/tt0210234/,Pokémon 2: De Film - Op Eigen Kracht,"New York City, New York, USA",(4Kids Entertainment)                        
/title/tt1629377/,Secuestrados,"Las Rozas, Madrid, Spain",
/title/tt0059549/,Operation Crossbow,"Pinewoods, Holkham, Norfolk, England, UK",(Peenemünde flying bomb site)                        
/title/tt0059549/,Operation Crossbow,"St. Pancras Power Station, St. Pancras, London, England, UK",(Underground rocket factory)                        
/title/tt0059549/,Operation Crossbow,"Purfleet Street, King's Lynn, Norfolk, England, UK",(exterior scenes)                        
/title/tt0059549/,Operation Crossbow,"MGM British Studios, Borehamwood, Hertfordshire, England, UK",(studio)                        
/title/tt0067148/,Gojira tai Hedora,"Mt. Fuji, Japan",
/title/tt0338763/,Batoru rowaiaru II: Chinkonka,Pakistan,
/title/tt1918965/,Murder 2,"Film City, Goregaon, Mumbai, Maharashtra, India",
/title/tt0089122/,Fair Game,"Outback, South Australia, Australia",
/title/tt0089122/,Fair Game,"Booborowie, South Australia, Australia",(country town: Midgee)                        
/title/tt0089122/,Fair Game,"Worlds End Creek, South Australia, Australia",(Jessica escapes from the kangaroo hunters)                        
/title/tt0089122/,Fair Game,"Clare Valley, South Australia, Australia",
/title/tt0060728/,Murderers' Row,"Isle of Wight, England, UK",(hovercraft and helicopter scenes)                        
/title/tt0060728/,Murderers' Row,"Villefranche-sur-Mer, Alpes-Maritimes, France",
/title/tt0053825/,Flaming Star,"Janss Conejo Ranch, Thousand Oaks, California, USA",
/title/tt0053825/,Flaming Star,"Delle, Utah, USA",
/title/tt0053825/,Flaming Star,"Thousand Oaks, California, USA",
/title/tt0053825/,Flaming Star,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt0451192/,Scarface: The World Is Yours,"Miami, Florida, USA",
/title/tt1987028/,Werewolf: The Beast Among Us,"Transylvania, Romania",
/title/tt1987028/,Werewolf: The Beast Among Us,"Bethlen Castle, Kreisch, Mures, Romania",
/title/tt1987028/,Werewolf: The Beast Among Us,"Bucharest, Romania",
/title/tt1987028/,Werewolf: The Beast Among Us,"Castel Film Studios, Bucharest, Romania",(studio)                        
/title/tt0821442/,Biyeolhan geori,South Korea,
/title/tt0114697/,Top Dog,"San Diego, California, USA",
/title/tt10808968/,Joseonroko Nokdujeon,"Dongmakgol, Pyeongchang-gun, Gangwon Province, South Korea",(location)                        
/title/tt1027747/,Stiletto,"Los Angeles, California, USA",
/title/tt0098321/,Terminator II,"Venice, Italy",(additional location)                        
/title/tt0046906/,Destry,"Alabama Hills, Lone Pine, California, USA",
/title/tt0046906/,Destry,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        
/title/tt0085183/,Ator l'invincibile,Italy,
/title/tt0959086/,Flash Gordon,"Aldergrove, British Columbia, Canada",
/title/tt0101366/,Arena,"Empire Studios, Rome, Lazio, Italy",(studio)                        
/title/tt4224588/,Jekyll & Hyde,"39 High Street, Rochester, Kent, England, UK",(as Empire Music Hall)                        
/title/tt4224588/,Jekyll & Hyde,"Fort Amherst, Chatham, Kent, England, UK",(tunnels)                        
/title/tt4224588/,Jekyll & Hyde,"Ingatestone Hall, Ingatestone, Essex, England, UK",(Renata Jezequiel's house)                        
/title/tt0070993/,Harry O,"RMS Queen Mary - 1126 Queens Highway, Long Beach, California, USA",
/title/tt0070993/,Harry O,"Tiffinanny's Delicatessen, San Diego, California, USA",
/title/tt0070993/,Harry O,"Midway High School, San Diego, California, USA",
/title/tt0070993/,Harry O,"Stage 19, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt5932368/,The Longest Night,"Biloxi, Mississippi, USA",
/title/tt5932368/,The Longest Night,"Gulfport, Mississippi, USA",
/title/tt1575694/,The Hit List,"Spokane, Washington, USA",
/title/tt1575694/,The Hit List,"The Peyton Building - 10 N Post St, Spokane, Washington, USA",
/title/tt1575694/,The Hit List,"The Lamp Post Tavern - 408 W Sprague Ave, Spokane, Washington, USA",
/title/tt1575694/,The Hit List,"Spokane International Airport - 9000 W Airport Dr, Spokane, Washington, USA",
/title/tt1575694/,The Hit List,"152 S Jefferson St, Spokane, Washington, USA",
/title/tt0115086/,The Adventures of Sinbad,"Cape Town, Western Cape, South Africa",
/title/tt1538503/,Los Bandoleros,Dominican Republic,
/title/tt13075730/,One Way,"Oklahoma, USA",
Code,Show Name,Location,Scene
/title/tt0079550/,Meteor,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        
/title/tt13119450/,God of War: Ragnarök,"New York City, New York, USA",(Dig site)                        
/title/tt0069278/,Vlucht 502 antwoordt niet,"Mojave Airport - 1434 Flightline Street, Mojave, California, USA",(Stand-in for Moscow Airport)                        
/title/tt0069278/,Vlucht 502 antwoordt niet,"Metropolitan Oakland International Airport - 1 Airport Drive, Oakland, California, USA",
/title/tt3814634/,Bloodborne,"Chicago Illinois, USA",(Woods Scenes)                        
/title/tt0384819/,Azumi,Japan,
/title/tt0044413/,Bend of the River,"Mount Hood, Oregon, USA",
/title/tt0044413/,Bend of the River,"Columbia River, Oregon, USA",
/title/tt0044413/,Bend of the River,"Cape Horn, Columbia River Gorge, Washington, USA",(steamboat scene)                        
/title/tt0044413/,Bend of the River,"Palmer Glacier, Mount Hood, Oregon, USA",
/title/tt0044413/,Bend of the River,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        
/title/tt0050904/,Robbery Under Arms,"Quorn, South Australia, Australia",(environs)                        
/title/tt0050904/,Robbery Under Arms,"Flinders Ranges, South Australia, Australia",(the picture was shot in and around)                        
/title/tt0050904/,Robbery Under Arms,"New South Wales, Australia",
/title/tt0050904/,Robbery Under Arms,"Pagewood Studios, Sydney, New South Wales, Australia",(interiors)                        
/title/tt0050904/,Robbery Under Arms,"South Australia, Australia",
/title/tt0050904/,Robbery Under Arms,"Wilpena Pound, South Australia, Australia",
/title/tt0115289/,The New Adventures of Robin Hood,"Vilnius, Lithuania",
/title/tt10850450/,Cabal,"Red Rock Bar - Palo Cedro, California, USA",
/title/tt10850450/,Cabal,"The Redding Jet Center - Redding, California, USA",
/title/tt10850450/,Cabal,Double Creek Ranch,
/title/tt0045679/,The Desert Rats,"Mojave Desert, Arizona, USA",
/title/tt0045679/,The Desert Rats,"Yuma, Arizona, USA",
