Code,Show Name,Location,Scene
/title/tt1814614/,A Cinderella Story: Once Upon a Song,"Wilmington, North Carolina, USA",
/title/tt0094747/,Bird,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",
/title/tt0094747/,Bird,"Sacramento, California, USA",
/title/tt0094747/,Bird,"Locke, Sacramento, California, USA",
/title/tt0094747/,Bird,"Stage 3, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt0094747/,Bird,"Stockton, California, USA",
/title/tt2870648/,Amy,"Camden, London, England, UK",
/title/tt0078382/,Thank God It's Friday,"333 S La Cienega Blvd, Los Angeles, California, USA","(as Zoo Disco, demolished)                        "
/title/tt0078382/,Thank God It's Friday,"Jack's Leather & Suedes - 808 S Los Angeles St, Los Angeles, California, USA",(exterior: biker takes off with Marv Gomez's clothes rack)                        
/title/tt0078382/,Thank God It's Friday,"La Cienega Boulevard, Los Angeles, California, USA",
/title/tt0078382/,Thank God It's Friday,"Los Angeles, California, USA",
/title/tt6018502/,Kenzo World,"Dorothy Chandler Pavilion, Los Angeles County Music Center - 135 N. Grand Avenue, Downtown, Los Angeles, California, USA",(location)                        
/title/tt0297037/,Brown Sugar,"Central Park, Manhattan, New York City, New York, USA",
/title/tt0297037/,Brown Sugar,"New York City, New York, USA",
/title/tt0102065/,House Party 2,"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",
/title/tt0088178/,Stop Making Sense,"Pantages Theater - 6233 Hollywood Blvd., Hollywood, Los Angeles, California, USA",(concert venue)                        
/title/tt4559006/,Ae Dil Hai Mushkil,"Vienna, Austria",
/title/tt4559006/,Ae Dil Hai Mushkil,"Southwark, London, England, UK",(outdoor location)                        
/title/tt4559006/,Ae Dil Hai Mushkil,"Shoreditch, London, England, UK",
/title/tt4559006/,Ae Dil Hai Mushkil,"The Roundhouse, Chalk Farm Road, Camden, London, England, UK",(Indoor Concert Scene)                        
/title/tt4559006/,Ae Dil Hai Mushkil,"The Ring Road, Vienna, Austria",
/title/tt4559006/,Ae Dil Hai Mushkil,"Graben, Vienna, Austria",
/title/tt4559006/,Ae Dil Hai Mushkil,"Grand Ferdinand Hotel, Vienna, Austria",
/title/tt4559006/,Ae Dil Hai Mushkil,"Trattnerhof, Vienna, Austria",
/title/tt0098090/,The Phantom of the Opera,"London, England, UK",
/title/tt0098090/,The Phantom of the Opera,"Manhattan, New York City, New York, USA",
/title/tt3594982/,Sex & Drugs & Rock & Roll,"New York City, New York, USA",
/title/tt2515086/,One Direction: This Is Us,"Tokyo, Japan",
/title/tt2515086/,One Direction: This Is Us,"O2 Arena, London, England, UK",(concert scenes)                        
/title/tt2515086/,One Direction: This Is Us,"East Bowling, Bradford, West Yorkshire, England, UK",
/title/tt2515086/,One Direction: This Is Us,"Bradford, West Yorkshire, England, UK",
/title/tt0102411/,The Marrying Man,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",
/title/tt0102411/,The Marrying Man,"Los Angeles, California, USA",
/title/tt0206917/,The Man Who Cried,"Bourne Woods, Farnham, Surrey, England, UK",
/title/tt0206917/,The Man Who Cried,"Place de la Concorde, Paris 8, Paris, France",
/title/tt0206917/,The Man Who Cried,"Rue de l'Hôtel de Ville, Pontoise, Val-d'Oise, France",
/title/tt0047757/,The Mickey Mouse Club,"Morrison Ranch, Agoura, California, USA",
/title/tt0067820/,Taking Off,"Greenwich Village, Manhattan, New York City, New York, USA",
/title/tt0047749/,The Dodge Dancing Party,"Hollywood Palladium - 6215 Sunset Blvd., Hollywood, Los Angeles, California, USA",
/title/tt0047749/,The Dodge Dancing Party,"Los Angeles, California, USA",
/title/tt2172935/,Metallica Through the Never,"Rexall Place- 7424 118 Avenue NW, Edmonton, Alberta, Canada",(Live Concert Footage)                        
/title/tt2172935/,Metallica Through the Never,"New York City, New York, USA",
/title/tt2172935/,Metallica Through the Never,"Newark, New Jersey, USA",
/title/tt9077184/,Accidentally in Love,China,
/title/tt0388139/,It's All Gone Pete Tong,"Ibiza, Balearic Islands, Spain",
/title/tt0393596/,Pixel Perfect,"Salt Lake City, Utah, USA",
/title/tt0052472/,Hawaiian Eye,"Stage 27A, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt0052472/,Hawaiian Eye,"Stage 26, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt9022950/,The Kelly Clarkson Show,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(stages)                        
/title/tt0361693/,Happy Endings,"Glendale, California, USA",
/title/tt7090140/,Coda,"Maison symphonique, Place des Arts, Montréal, Québec, Canada",(Concert hall)                        
/title/tt7090140/,Coda,"Sils in Engadin, Switzerland",
/title/tt7090140/,Coda,"New York City, New York, USA",
/title/tt0101891/,The Five Heartbeats,"New York City, New York, USA",
/title/tt0101891/,The Five Heartbeats,"Tinsel Townsend Studios, Hollywood, Los Angeles, California, USA",(studio)                        
/title/tt0103129/,Truly Madly Deeply,"Goldney Hall - Bristol University, Lower Clifton Hill, Clifton, Bristol, England, UK",
/title/tt0081635/,Times Square,"Times Square, Manhattan, New York City, New York, USA",(main location)                        
/title/tt0081635/,Times Square,"Hudson River, Manhattan, New York City, New York, USA",(Nicky & Pamela's crash pad)                        
/title/tt0090110/,Sweet Dreams,"Hagerstown, Maryland, USA",
/title/tt0090110/,Sweet Dreams,"Winter Street Elementary School, 59 Winter Street, Hagerstown, Maryland, USA",
/title/tt0090110/,Sweet Dreams,"Ryman Auditorium - 116 5th Avenue N., Downtown, Nashville, Tennessee, USA",
/title/tt0072608/,The Adventure of Sherlock Holmes' Smarter Brother,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        
/title/tt0020697/,Der blaue Engel,"Berlin, Germany",
/title/tt0020697/,Der blaue Engel,"Universum-Film-Aktengesellschaft Studios, Berlin, Germany",(studio)                        
/title/tt9196186/,Dior J'adore: The New Absolu,"Origo Studios, Budapest, Hungary",
/title/tt0056778/,The Patty Duke Show,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",(1966)                        
/title/tt1798243/,Rudderless,"Oklahoma City, Oklahoma, USA",
/title/tt1798243/,Rudderless,"Oklahoma, USA",
