Code,Show Name,Location,Scene
/title/tt2568760/,Theevram,"Kerala, India",
/title/tt0040076/,De nieuwe avonturen van Don Juan,"Warner Ranch, Calabasas, California, USA",
/title/tt0040076/,De nieuwe avonturen van Don Juan,"Providencia Ranch, Hollywood Hills, Los Angeles, California, USA",
/title/tt0040076/,De nieuwe avonturen van Don Juan,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt0083565/,Anno 2020 - I gladiatori del futuro,Italy,
/title/tt12605548/,Kamen Raidâ Seibâ,"Tokyo, Japan",
/title/tt0101509/,Breathing Fire,"Point Dume, Malibu, California, USA",(Where Charlie and Tony fight Alan)                        
/title/tt0101509/,Breathing Fire,"Fontana, California, USA",
/title/tt1826956/,Operation Ragnarök,"Landskrona, Skåne län, Sweden",(Citadellet)                        
/title/tt5901326/,Ice Sharks,"Utah, USA",
/title/tt2215457/,Run,"Brooklyn, New York City, New York, USA",
/title/tt0468988/,Category 7: The End of the World,"Selkirk, Manitoba, Canada",
/title/tt0185284/,Do Not Disturb,"Amsterdam, Noord-Holland, Netherlands",
/title/tt1808555/,The Legend of Zelda: The Hero of Time,"Atlanta, Georgia, USA",
/title/tt4018604/,Baiohazâdo reberêshonzu 2,"Chicago Illinois, USA",
/title/tt0283160/,Extreme Ops,"Berlin, Germany",
/title/tt0283160/,Extreme Ops,"Innsbruck, Tyrol, Austria",
/title/tt0283160/,Extreme Ops,"Montréal, Québec, Canada",
/title/tt0283160/,Extreme Ops,"Studio Babelsberg, Potsdam, Brandenburg, Germany",(studio)                        
/title/tt0283160/,Extreme Ops,"Vancouver, British Columbia, Canada",
/title/tt0111552/,Cui hua kuang mo,"Prince Georges County, Maryland, USA",
/title/tt0069279/,Slaughter,"Hotel Camino Real, Mexico City, Distrito Federal, Mexico",
/title/tt0069279/,Slaughter,"Churubusco Studios, Mexico City, Distrito Federal, Mexico",
/title/tt0106970/,Frogtown II,"Paramount Ranch - 2813 Cornell Road, Agoura, California, USA","(Western town set, pre-restoration Longhorn building, and backroad areas used)                        "
/title/tt0099987/,The Last Samurai,South Africa,
/title/tt0074214/,Black Shampoo,"Sunset Strip, West Hollywood, California, USA",
/title/tt0041014/,Captain Video and His Video Rangers,"Ambassador Theatre - 219 West 49th Street, Manhattan, New York City, New York, USA",
/title/tt0041014/,Captain Video and His Video Rangers,"Wanamaker Building - 770 Broadway, Greenwich Village, Manhattan, New York City, New York, USA",
/title/tt0044072/,Sergeant Zack,"Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",
/title/tt3958022/,Insomnia,"Moscow, Russia",
/title/tt3958022/,Insomnia,Cambodia,
