Code,Show Name,Location,Scene
/title/tt0275140/,Law & Order: Criminal Intent,"New York City, New York, USA",
/title/tt0332280/,The Notebook,"Boone Hall Plantation - 1235 Long Point Road, Mount Pleasant, South Carolina, USA",(the Hamilton's beach house)                        
/title/tt0332280/,The Notebook,"Edisto Island, South Carolina, USA",
/title/tt0332280/,The Notebook,"The Battery, Charleston, South Carolina, USA",
/title/tt0332280/,The Notebook,"Mount Pleasant, South Carolina, USA",(Seabrook village scenes)                        
/title/tt0332280/,The Notebook,"Los Angeles, California, USA",(beach scenes)                        
/title/tt2177461/,A Discovery of Witches,"Venice, Veneto, Italy",
/title/tt2177461/,A Discovery of Witches,"Corn Street, Bristol, UK",
/title/tt2177461/,A Discovery of Witches,"Cardiff, Wales, UK",
/title/tt2177461/,A Discovery of Witches,"Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK",
/title/tt3783958/,La La Land,"Griffith Observatory, 2800 E Observatory Rd, Los Angeles, California, USA",(love dance in the planetarium)                        
/title/tt3783958/,La La Land,"Hermosa Beach Pier, Pier Ave, Hermosa Beach, California, USA",(Sebastian dances on pier)                        
/title/tt3783958/,La La Land,"Long Beach, California, USA",(3rd St. and Gaviota residential)                        
/title/tt3783958/,La La Land,"Watts Towers - 1765 E. 107th Street, Watts, Los Angeles, California, USA",(Mia and Sebastian)                        
/title/tt3783958/,La La Land,"Rialto Theatre - 1023 S. Fair Oaks Avenue, South Pasadena, California, USA","(exterior; Mia & Sebatian attend ""Rebel Without A Cause"")                        "
/title/tt3783958/,La La Land,"The Blind Donkey - 149 Linden Ave, Long Beach, California, USA",(Seb's - interior)                        
/title/tt3783958/,La La Land,"W 4th St, Los Angeles, California, USA",(car interior; Mia & husband in traffic jam before pulling onto offramp)                        
/title/tt3783958/,La La Land,"1648 Wilcox Ave, Los Angeles, California, USA",(Lipton's restaurant - exterior)                        
/title/tt3783958/,La La Land,"Smoke House Restaurant - 4420 West Lakeside Drive, Burbank, California, USA",(Lipton's restaurant - interior)                        
/title/tt3783958/,La La Land,"8225 Beverly Boulevard, Los Angeles, California, USA",(Mia leaves friends in restaurant and walks to her car)                        
/title/tt3783958/,La La Land,"1735 Bird Way, Long Beach, California, USA",(Sebastian drives down alley and turns wrong way onto one-way street)                        
/title/tt3783958/,La La Land,"Santa Clarita, California, USA",(as Boulder City)                        
/title/tt3783958/,La La Land,"Dan Tana's, 9071 California Route 2, West Hollywood, California, USA",(old-timey restaurant where Sebastian plays the piano)                        
/title/tt3783958/,La La Land,"EastWest Studios - 6000 W Sunset Blvd, Hollywood, California, USA",(studio) (Recording Studio - interior)                        
/title/tt3783958/,La La Land,"Cafe Club Fais Do-Do, 5257 W Adams Blvd, Los Angeles, California, USA",(Del Rio Theater - exterior)                        
/title/tt3783958/,La La Land,"Hollywood Center Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA",(Looking into the sound stage set)                        
/title/tt3783958/,La La Land,"Regent Theater - 448 S. Main Street, Downtown, Los Angeles, California, USA",(Sebastian at band's photoshoot)                        
