,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0091225/,Howard the Duck,"Petaluma, California, USA","(Petaluma River is used for almost all waterway scenes, with takeoff from Western Avenue)                        ","Petaluma, Sonoma County, California, United States of America",38.270022,-122.60612241304348
1,/title/tt0091225/,Howard the Duck,"Modesto, California, USA",,"Modesto, Stanislaus County, California, United States of America",37.6390972,-120.9968782
2,/title/tt0091225/,Howard the Duck,"Black Point, California, USA",(Ultralight loops the Sears Point Bridge)                        ,"Black Point, Fresno County, California, 93605, United States of America",37.2380008,-119.2601236
3,/title/tt0091225/,Howard the Duck,"Oakland, California, USA",,"Oakland, Alameda County, California, United States of America",37.8044557,-122.2713563
4,/title/tt0091225/,Howard the Duck,"Sacramento, California, USA",,"Sacramento, Sacramento County, California, United States of America",38.5815719,-121.4943996
5,/title/tt0091225/,Howard the Duck,"Irving Street, San Francisco, California, USA","(Taxi goes from 9th Avenue onto Irving, then through the 800 block of Irving Street)                        ","Irving Street, Inner Sunset, San Francisco, San Francisco City and County, California, 94122, United States of America",37.7635724,-122.4771362
6,/title/tt0091225/,Howard the Duck,"Carneros Highway, Napa, California, USA","(Joe Roma's Cajun/Sushi Café; exterior) (coordinates: 38°15'19.7""N 122°19'44.9""W)                        ","Carneros Highway, Stanly, Napa, Napa County, California, 94559, United States of America",38.2575826,-122.3027297
7,/title/tt0091225/,Howard the Duck,"Industrial Light and Magic - 3210 Kerner Boulevard, San Rafael, California, USA",(studio)                        ,,,
8,/title/tt2531344/,Blockers,"Atlanta, Georgia, USA",,"Atlanta, Georgia, United States of America",33.7490987,-84.3901849
9,/title/tt2531344/,Blockers,"Illinois, USA",(establishing shots)                        ,"Illinois, United States of America",40.0796606,-89.4337288
10,/title/tt4034354/,Swiss Army Man,"Humboldt, California, USA",(unknown)                        ,"Humboldt County, California, United States of America",40.5997415,-123.8997734
11,/title/tt4034354/,Swiss Army Man,"Redwood City, California, USA",(unknown)                        ,"Redwood City, San Mateo County, California, United States of America",37.4863239,-122.2325233
12,/title/tt0094889/,Cocktail,"Dunn's River Falls, Ocho Rios, St. Ann, Jamaica",,,,
13,/title/tt0094889/,Cocktail,"Lakeview Restaurant - 1132 Dundas St. W, Toronto, Ontario, Canada",,"The Lakeview Restaurant, 1132, Dundas Street West, Ossington Strip, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M6J 1X2, Canada",43.649556849999996,-79.42032009643091
14,/title/tt0094889/,Cocktail,"Lee's Palace, Toronto, Ontario, Canada",(Jamaican club interior)                        ,"Lee's Palace, 529, Bloor Street West, University—Rosedale, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M5S 1Y5, Canada",43.665315,-79.409429
15,/title/tt0094889/,Cocktail,"Dragon Bay Beach Portland Parish, Jamaica",(Beach Bar in Jamaica)                        ,,,
16,/title/tt0094889/,Cocktail,"Casa Loma, Toronto, Ontario, Canada",(Jordan's parents' penthouse)                        ,"Casa Loma, 1, Austin Terrace, Toronto—St. Paul's, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M5R 1X9, Canada",43.6781015,-79.409415775
17,/title/tt0094889/,Cocktail,"Stoopy's Tavern, Toronto, Ontario, Canada",(Hippy Hippy Shakes scene)                        ,,,
18,/title/tt0094889/,Cocktail,"Canada Life Building, Toronto, Ontario, Canada",(lobby of Jordan's parents' building)                        ,"Canada Life, 330, University Avenue, Spadina—Fort York, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M5H, Canada",43.65167769999999,-79.3876147149821
19,/title/tt0094889/,Cocktail,Jamaica,,"Jamaica, Spanish Town, Saint Catherine, Middlesex County, Jamaika",18.1152958,-77.1598454610168
20,/title/tt0094889/,Cocktail,"Regency Theatre, New York City, New York, USA",,,,
21,/title/tt0094889/,Cocktail,"Ocho Rios, St. Ann, Jamaica",,"Ocho Rios, Saint Ann, Middlesex County, JM19, Jamaika",18.4081045,-77.1011092
22,/title/tt0094889/,Cocktail,Canada,,Canada,61.0666922,-107.9917071
23,/title/tt0094889/,Cocktail,USA,,United States,39.7837304,-100.4458825
24,/title/tt2103188/,Grand Theft Auto V,"Los Angeles, California, USA",(Los Santos)                        ,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
25,/title/tt2103188/,Grand Theft Auto V,"Koreatown, Los Angeles, California, USA",,"Koreatown, Wilshire Boulevard, Koreatown, Los Angeles, Los Angeles County, California, 90005, United States of America",34.0617936,-118.3054475
26,/title/tt0083564/,Annie,"Woodrow Wilson Hall, Monmouth College - 45 Elm Road, West Long Branch, New Jersey, USA",(Daddy Warbucks townhouse)                        ,,,
27,/title/tt0083564/,Annie,"Plaza Hotel, New Jersey, USA",,"The Plaza, West Englewood, Teaneck Township, Bergen County, New Jersey, 07666, United States of America",40.902331,-74.0053771
28,/title/tt0083564/,Annie,"East Newark, New Jersey, USA",,"East Newark, Hudson County, New Jersey, United States of America",40.7501076,-74.1611525
29,/title/tt0083564/,Annie,"Radio City Music Hall - 1260 6th Avenue, Rockefeller Center, Manhattan, New York City, New York, USA",(interiors)                        ,,,
30,/title/tt0083564/,Annie,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
31,/title/tt0083564/,Annie,"Greenwich Village, Manhattan, New York City, New York, USA",,"Greenwich Village, 7th Avenue South, West Village, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States of America",40.7335844,-74.0028172
32,/title/tt0083564/,Annie,"Brownstone Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",,,,
33,/title/tt0386588/,Hitch,"Battery Park, Manhattan, New York City, New York, USA",,"Battery Park, Manhattan, New York County, New York, United States of America",40.7030119,-74.01582493946844
34,/title/tt0386588/,Hitch,"Felt Forum, Madison Square Garden - 4 Pennsylvania Plaza, Manhattan, New York City, New York, USA","(May 3rd, 4th. 5th)                        ",,,
35,/title/tt0386588/,Hitch,"12th Street and 7th Avenue, Manhattan, New York City, New York, USA",,"7th Avenue, Theater District, Manhattan Community Board 5, Manhattan, New York County, New York, 10019, United States of America",40.7611521,-73.9832097
36,/title/tt0386588/,Hitch,"Tavern on the Green - Central Park at W. 67th Street, Central Park, Manhattan, New York City, New York, USA",,,,
37,/title/tt0386588/,Hitch,"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",(Hitch and Pete meet in front of the arch at the beginning of the movie)                        ,,,
38,/title/tt0386588/,Hitch,"Tribeca, Manhattan, New York City, New York, USA",(Hitch's and Sara's apartments)                        ,"Tribeca, Manhattan Community Board 1, Manhattan, New York County, New York, United States of America",40.7153802,-74.0093063
39,/title/tt0386588/,Hitch,"Metropolitan Museum of Art, Manhattan, New York City, New York, USA",,"The Metropolitan Museum of Art, 1000, 5th Avenue, Manhattan Community Board 8, Manhattan, New York County, New York, 10035, United States of America",40.779443650000005,-73.96336411385192
40,/title/tt0103484/,Mad About You,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",,,,
41,/title/tt0103484/,Mad About You,"5th Avenue and 12th Street, Manhattan, New York City, New York, USA",(exterior of Paul & Jamie's New York City Apartment)                        ,"12, 5th Avenue, Greenwich Village, Manhattan Community Board 2, Manhattan, New York County, New York, 10011, United States of America",40.73252866666667,-73.99627333333333
42,/title/tt0099329/,Cry-Baby,"Maryland House of Correction - House of Correction Road, Jessup, Maryland, USA",(prison)                        ,"Maryland House of Correction, House of Correction Road, Georgetown, Jessup, Anne Arundel County, Maryland, United States of America",39.144173800000004,-76.77716824496665
43,/title/tt0099329/,Cry-Baby,"Ellicott City, Maryland, USA",,"Ellicott City, Howard County, Maryland, United States of America",39.2673284,-76.7983067
44,/title/tt0099329/,Cry-Baby,"The Enchanted Forest - Route 40, Ellicott City, Maryland, USA",,,,
45,/title/tt0099329/,Cry-Baby,"Franklin Middle School, Reisterstown, Maryland, USA",(Frankling High School)                        ,"Franklin Middle School, West Chatsworth Avenue, Glyndon, Glen Falls, Reisterstown, Baltimore County, Maryland, 21136, United States of America",39.4650372,-76.83232180049774
46,/title/tt0099329/,Cry-Baby,"Milford Mill, Maryland, USA",,"Milford Mill, Baltimore County, Maryland, 21244, United States of America",39.3478838,-76.7699739
47,/title/tt0099329/,Cry-Baby,"Westport Power Plant, Baltimore, Maryland, USA",,,,
48,/title/tt0099329/,Cry-Baby,"Baltimore, Maryland, USA",,"Baltimore, Maryland, United States of America",39.2908816,-76.610759
49,/title/tt0389860/,Click,"Shreveport, Louisiana, USA",,"Shreveport, Caddo Parish, Louisiana, United States of America",32.5221828,-93.7651944
50,/title/tt0389860/,Click,"Downtown, Los Angeles, California, USA",,"Downtown, Los Angeles, Los Angeles County, California, United States of America",34.0428494,-118.2476732
51,/title/tt0389860/,Click,"Manhattan, New York City, New York, USA",,"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
52,/title/tt0389860/,Click,"Thousand Oaks, California, USA",,"Thousand Oaks, Ventura County, California, United States of America",34.17142715,-118.91058772974445
53,/title/tt0389860/,Click,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
54,/title/tt0389860/,Click,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        ,,,
55,/title/tt0119190/,George uit de jungle,"Kaua'i, Hawaii, USA",,"Kauaʻi, Kauaʻi County, Hawaii, United States of America",22.050466550000003,-159.55876775017003
56,/title/tt0119190/,George uit de jungle,"755 Vallejo Street, San Francisco, California, USA",,"755, Vallejo Street, North Beach, San Francisco, San Francisco City and County, California, 94133, United States of America",37.79842097058824,-122.40936132352941
57,/title/tt0119190/,George uit de jungle,"Filoli Estate - 86 Cañada Road, Woodside, California, USA",,"Filoli Estate, 86, Cañada Road, Highlands, San Mateo County, California, 94062, United States of America",37.469806250000005,-122.31060788438967
58,/title/tt0119190/,George uit de jungle,"San Francisco, California, USA",,"San Francisco, San Francisco City and County, California, United States of America",37.7790262,-122.4199061
59,/title/tt0119190/,George uit de jungle,"Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",,,,
60,/title/tt0119190/,George uit de jungle,"Las Vegas, Nevada, USA",,"Las Vegas, Clark County, Nevada, United States of America",36.1672559,-115.1485163
61,/title/tt0119190/,George uit de jungle,"Lombard Street, San Francisco, California, USA",(George runs along a crooked street)                        ,"Lombard Street, Russian Hill, San Francisco, San Francisco City and County, California, 94133-1312, United States of America",37.802076,-122.4188091
62,/title/tt0170016/,Dr. Seuss' How the Grinch Stole Christmas,"Stage 16, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(converted into the hair and makeup staging area)                        ,,,
63,/title/tt0170016/,Dr. Seuss' How the Grinch Stole Christmas,"Utah, USA",,"Utah, United States of America",39.4225192,-111.7143584
64,/title/tt0170016/,Dr. Seuss' How the Grinch Stole Christmas,"Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",,,,
65,/title/tt0170016/,Dr. Seuss' How the Grinch Stole Christmas,"Stage 12, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        ,,,
66,/title/tt1193138/,Up in the Air,"Cheshire Inn, St. Louis, Missouri, USA",(Wedding shower scene)                        ,"Cheshire Inn, 6300, Clayton Road, Hi-Pointe, Clayton, Saint Louis County, Missouri, 63117, United States of America",38.633254050000005,-90.30696562825736
67,/title/tt1193138/,Up in the Air,"Affton High School, Affton, Missouri, USA",,"Affton High School, Lola Drive, Gardenville Hills, Affton, Saint Louis County, Missouri, 63123, United States of America",38.5596161,-90.32438255747178
68,/title/tt1193138/,Up in the Air,"Omaha, Nebraska, USA",,"Omaha, Douglas County, Nebraska, United States of America",41.2587459,-95.9383758
69,/title/tt1193138/,Up in the Air,"Detroit Metropolitan Wayne County Airport, Michigan, USA",,"Detroit Metropolitan Airport, Tobine Street, Romulus, Wayne County, Michigan, 48174, United States of America",42.205699100000004,-83.35297537621658
70,/title/tt1193138/,Up in the Air,"Howard St & S 11th St, Omaha, Nebraska, USA",,,,
71,/title/tt1193138/,Up in the Air,"Ontario International Airport - 2900 E. Airport Drive, Ontario, California, USA",,,,
72,/title/tt1193138/,Up in the Air,"Missouri, USA",,"Missouri, United States of America",38.7604815,-92.5617875
73,/title/tt1193138/,Up in the Air,USA,,United States,39.7837304,-100.4458825
74,/title/tt0460740/,Cashback,"Sainsbury's, Whitechapel, London, England, UK",,"Sainsbury's, 65, Leman Street, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8PT, United Kingdom",51.5131811,-0.0699725
75,/title/tt0460740/,Cashback,"The Spread Eagle, Kingsland Road, Shoreditch, London, England, UK",(Stripper pub)                        ,"The Spread Eagle, 3, Kingsland Road, Shoreditch, London Borough of Hackney, London, Greater London, England, E2 8AA, United Kingdom",51.5274787,-0.07820047811211836
76,/title/tt0460740/,Cashback,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        ,"Pinewood Studios, Pinewood Green, Iver, Iver Heath, Buckinghamshire, South East, England, SL0 0QJ, United Kingdom",51.54831515,-0.5346765566753087
77,/title/tt0472181/,The Smurfs,"Times Square, Manhattan, New York City, New York, USA",,"Times Square, West 45th Street, Times Square, Manhattan Community Board 5, Times Square, New York County, New York, 10036, United States of America",40.757280550000004,-73.98585503545917
78,/title/tt0472181/,The Smurfs,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
79,/title/tt0472181/,The Smurfs,"Queens, New York City, New York, USA",,"Queens, Queens County, New York, United States of America",40.7498243,-73.7976337
80,/title/tt0472181/,The Smurfs,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
81,/title/tt6807662/,The New Legends of Monkey,"Kumeu Film Studios, 116 Access Rd, Kumeu 0891, New Zealand",,,,
82,/title/tt0075686/,Annie Hall,"36 East 68th Street, Manhattan, New York City, New York, USA",(Annie's apartment: front street and terrace)                        ,"36, East 68th Street, Upper East Side, Manhattan Community Board 8, Manhattan, New York County, New York, 10065, United States of America",40.768796,-73.96683787832356
83,/title/tt0075686/,Annie Hall,"Bethesda Fountain, Central Park, Manhattan, New York City, New York, USA",,"Bethesda Fountain, Bethesda Terrace, Manhattan, New York County, New York, 10023-5104, United States of America",40.7743182,-73.9708319
84,/title/tt0075686/,Annie Hall,"8301 Sunset Blvd., Hollywood, Los Angeles, California, USA",(break-up lunch at the then Source Restaurant)                        ,"Sunset Boulevard, East Hollywood, Los Angeles, Los Angeles County, California, 90029-2105, United States of America",34.0951672,-118.2834134
85,/title/tt0075686/,Annie Hall,"2nd Avenue, Manhattan, New York City, New York, USA",,"2nd Avenue, East Houston Street, East Village, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States of America",40.723402,-73.989938
86,/title/tt0075686/,Annie Hall,"Astroland Park, Coney Island, Brooklyn, New York City, New York, USA",,,,
87,/title/tt0075686/,Annie Hall,"Long Island, New York, USA","(Lobster scene, beach and beach house)                        ","Long Island, Suffolk County, New York, United States of America",40.85172235,-73.09921882199973
88,/title/tt0075686/,Annie Hall,"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",,,,
89,/title/tt0075686/,Annie Hall,"The Hamptons, Long Island, New York, USA","(Lobster scene, beach and beach house)                        ",,,
90,/title/tt0075686/,Annie Hall,"West Hollywood, California, USA",(break-up lunch at the then Source Restaurant)                        ,"West Hollywood, Los Angeles County, California, United States of America",34.0923014,-118.3692894
91,/title/tt0075686/,Annie Hall,"W. Century Blvd. & Airport Blvd, Los Angeles, California, USA",(Alvy driving from airport)                        ,,,
92,/title/tt0075686/,Annie Hall,"South Street, New York City, New York, USA",(Annie driving after tennis)                        ,"South Street, Financial District, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States of America",40.7032681,-74.0078705
93,/title/tt0075686/,Annie Hall,"Beverly Hills, California, USA",,"Beverly Hills, Los Angeles County, California, United States of America",34.0696501,-118.3963062
94,/title/tt0075686/,Annie Hall,"Coney Island, Brooklyn, New York City, New York, USA",,"Coney Island, Brooklyn, Kings County, New York, 11224, United States of America",40.57592745,-73.99219674341339
95,/title/tt0075686/,Annie Hall,"Steve's Famous Clam Bar - 515 Atlantic Avenue, Brooklyn, New York City, New York, USA",(Flashback)                        ,,,
96,/title/tt0075686/,Annie Hall,"Thunderbolt Rollercoaster, Coney Island, Brooklyn, New York City, New York, USA",(Alvy's home as a child)                        ,,,
97,/title/tt0075686/,Annie Hall,"Wall Street, Manhattan, New York City, New York, USA",(Sport Club)                        ,"Wall Street, Financial District, Manhattan Community Board 1, Manhattan, New York County, New York, 10005, United States of America",40.704756,-74.006889
98,/title/tt0075686/,Annie Hall,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
99,/title/tt0475394/,Smokin' Aces,"South Lake Tahoe, California, USA",,"South Lake Tahoe, Amador, California, United States of America",38.9332411,-119.9843482
100,/title/tt0475394/,Smokin' Aces,"Las Vegas, Nevada, USA",,"Las Vegas, Clark County, Nevada, United States of America",36.1672559,-115.1485163
101,/title/tt0475394/,Smokin' Aces,"El Dorado County, California, USA",,"El Dorado, California, United States of America",38.7574137,-120.5276129
102,/title/tt0475394/,Smokin' Aces,"California, USA",,"California, United States of America",36.7014631,-118.7559974
103,/title/tt0406375/,Zathura: A Space Adventure,"South Pasadena, California, USA",,"South Pasadena, Los Angeles County, California, 91030, United States of America",34.1133062,-118.1478291
104,/title/tt0406375/,Zathura: A Space Adventure,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        ,,,
105,/title/tt8050756/,The Owl House,Paris France,(location)                        ,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
106,/title/tt1714206/,The Spectacular Now,"Athens, Georgia, USA",,"Athens, Athens-Clarke County, Georgia, 303341458, United States of America",33.9597677,-83.376398
107,/title/tt1714206/,The Spectacular Now,USA,,United States,39.7837304,-100.4458825
108,/title/tt0097428/,Ghostbusters II,"Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA",(interiors: Ghostbusters headquarters)                        ,"Fire Station 23, 225, East 5th Street, Skid Row, Downtown, Los Angeles, Los Angeles County, California, 90013, United States of America",34.0458225,-118.24658608422999
109,/title/tt0097428/,Ghostbusters II,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",,,,
110,/title/tt0097428/,Ghostbusters II,"Val's Restaurant, 10130 Riverside Drive, Toluca Lake, California, USA",(restaurant where Dana and Peter have dinner)                        ,,,
111,/title/tt0097428/,Ghostbusters II,"Stage 15, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        ,,,
112,/title/tt0097428/,Ghostbusters II,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        ,,,
113,/title/tt8404614/,The Two Popes,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953583
114,/title/tt8404614/,The Two Popes,Spain,,España,39.3262345,-4.8380649
115,/title/tt8404614/,The Two Popes,Argentina,,Argentina,-34.9964963,-64.9672817
116,/title/tt8404614/,The Two Popes,"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",,,,
117,/title/tt0374536/,Bewitched,"Book Soup - 8818 W. Sunset Blvd., West Hollywood, California, USA",,,,
118,/title/tt0374536/,Bewitched,"510 S Lucerne Blvd., Los Angeles, California, USA",,"510, South Lucerne Boulevard, Windsor Square, Los Angeles, Los Angeles County, California, 90020, United States of America",34.06504789795918,-118.3242613877551
119,/title/tt0374536/,Bewitched,"Beverly Hills, California, USA",,"Beverly Hills, Los Angeles County, California, United States of America",34.0696501,-118.3963062
120,/title/tt0374536/,Bewitched,"Pann's Restaurant, Los Angeles, California, USA",(interiors)                        ,"Pann's Coffee Shop, South La Tijera Boulevard, Westchester, Los Angeles, Los Angeles County, California, 90056, United States of America",33.9781387,-118.37056510020327
121,/title/tt0374536/,Bewitched,"Torrance, California, USA",,"Torrance, Los Angeles County, California, United States of America",33.8358492,-118.3406288
122,/title/tt0401445/,A Good Year,"Chateau la Canorgue, Bonnieux, Vaucluse, France",(Chateau La Siroque)                        ,,,
123,/title/tt0401445/,A Good Year,"Chateau les Eydins, Bonnieux, Vaucluse, France",(Duflot's farmhouse)                        ,,,
124,/title/tt0401445/,A Good Year,"Hotel le Renaissance, Gordes, Vaucluse, France",(Fanny Chenal's bistro)                        ,,,
125,/title/tt0401445/,A Good Year,"Ménerbes, Vaucluse, France",(lost Max drives through country intersection)                        ,"Ménerbes, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84560, France",43.8321696,5.206383
