,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0181422/,Crash Bandicoot: Warped,"Chicago Illinois, USA",(beach scenes)                        ,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
1,/title/tt1792794/,Almighty Thor,"Ernest E. Debs Regional Park - 4235 Monterey Road, Montecito Heights, Los Angeles, California, USA",,,,
2,/title/tt1792794/,Almighty Thor,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",,,,
3,/title/tt2186715/,Hon zin,"Hong Kong, China",,"香港島 Hong Kong Island, 香港 Hong Kong, China 中国",22.2793278,114.1628131
4,/title/tt0054489/,Young Jesse James,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        ,,,
5,/title/tt7025210/,El-Khaliyyah,"Cairo, Egypt",,"القاهرة, Egypt / مصر",30.048819,31.243666
6,/title/tt4156346/,Star Citizen,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
7,/title/tt0073756/,Gekitotsu! Satsujin ken,"Toei-Kyoto Studios, Kyoto, Japan",,,,
8,/title/tt0073756/,Gekitotsu! Satsujin ken,"Tokyo, Japan",,"東京都, 日本 (Japan)",35.6828387,139.7594549
9,/title/tt0091603/,The Naked Cage,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
10,/title/tt1811376/,Vatos Locos,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
11,/title/tt0305396/,The Crocodile Hunter: Collision Course,"Canberra, Australian Capital Territory, Australia",,"Canberra, Australian Capital Territory, 2601, Australia",-35.2975906,149.1012676
12,/title/tt0305396/,The Crocodile Hunter: Collision Course,"Queensland, Australia",,"Queensland, Australia",-22.1646782,144.5844903
13,/title/tt4738174/,Bon Cop Bad Cop 2,"Montréal, Québec, Canada",,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642
14,/title/tt4738174/,Bon Cop Bad Cop 2,"Danville, Quebec, Canada",(filming location)                        ,"Danville, Les Sources, Estrie, Québec, Canada",45.785278,-72.0158562
15,/title/tt0115647/,Behind Enemy Lines,Philippines,,Philippines,12.7503486,122.7312101
16,/title/tt0295914/,Crash Bandicoot,"Chicago Illinois, USA",(beach scenes)                        ,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
17,/title/tt1334456/,Ice Twisters,"Portland, Oregon, USA",,"Portland, Multnomah County, Oregon, United States of America",45.5202471,-122.6741949
18,/title/tt1334456/,Ice Twisters,"Pitt Meadows, British Columbia, Canada",,"Pitt Meadows, Metro Vancouver Regional District, British Columbia, Canada",49.2207623,-122.6901534
19,/title/tt0075627/,Aces High,"EMI Elstree Studios, Borehamwood, Hertfordshire, England, UK",(studio) (studio: filmed at)                        ,,,
20,/title/tt0075627/,Aces High,"Booker Airfield, High Wycombe, Buckinghamshire, England, UK","(filmed on location at Wycombe Air Park, Booker)                        ",,,
21,/title/tt0106257/,American Ninja 5,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953583
22,/title/tt0106257/,American Ninja 5,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
23,/title/tt1555186/,Borderlands,"Plano, Texas, USA",,"Plano, Collin County, Texas, United States of America",33.0136764,-96.6925096
24,/title/tt2717870/,Chuck Hank and the San Diego Twins,"Ventura, California, USA",,"Ventura County, California, United States of America",34.4458248,-119.0779359
25,/title/tt0080132/,The Wild Wild West Revisited,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA",,"Old Tucson, 201, Kinney Road, Tucson Estates, Pima County, Arizona, 85735, United States of America",32.2186224,-111.1300273
26,/title/tt0080132/,The Wild Wild West Revisited,"Sierrita Mountains, Arizona, USA",,,,
27,/title/tt0080132/,The Wild Wild West Revisited,"Sonoran Desert, Arizona, USA",,"Sonoran Desert, Bates Well Road, Pima County, Arizona, United States of America",32.2598642,-112.9262583
