,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0100168/,,"Brooklyn Bridge, New York City, New York, USA",,"Brooklyn Bridge, Dover Street, Financial District, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States of America",40.70569125,-73.9963578678543
1,/title/tt0100168/,,"America Restaurant - 9 East 18th Street, Manhattan, New York City, New York, USA",(The Dizzy Club),,,
2,/title/tt0100168/,,"141st Street, Manhattan, New York City, New York, USA",(Brownstone Stoop - Indigo waits for Bleek),,,
3,/title/tt0100168/,,"Brooklyn Heights, Brooklyn, New York City, New York, USA",,"Brooklyn Heights, Brooklyn, Kings County, New York, United States of America",40.696084850000005,-73.9950278391265
4,/title/tt0100168/,,"Cherry Lane Theatre - 38 Commerce Street, Greenwich Village, Manhattan, New York City, New York, USA",,,,
5,/title/tt0100168/,,"Fort Greene, Brooklyn, New York City, New York, USA",,"Fort Greene, Brooklyn, Kings County, New York, 11227, United States of America",40.6907711,-73.9766245
6,/title/tt0100168/,,"Harlem Hospital Center, Harlem, Manhattan, New York City, New York, USA",(135th Street at Lenox Avenue),"NYC Health + Hospitals/Harlem, 506, Malcolm X Boulevard, Harlem, Manhattan Community Board 10, Manhattan, New York County, New York, 10037, United States of America",40.814705950000004,-73.93928034602104
7,/title/tt0100168/,,"Manhattan, New York City, New York, USA",,"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
8,/title/tt0100168/,,"Prospect Park, Brooklyn, New York City, New York, USA",,"Prospect Park, Windsor Terrace, Brooklyn, Kings County, New York, United States of America",40.661774300000005,-73.97108902901994
9,/title/tt0403217/,,"Portland, Oregon, USA",,"Portland, Multnomah County, Oregon, United States of America",45.5202471,-122.6741949
10,/title/tt2764784/,,"Wroclaw, Dolnoslaskie, Poland",(Nelly's arrival at the station),"Wrocław, województwo dolnośląskie, Polska",51.1089776,17.0326689
11,/title/tt2764784/,,"Alte Gasthaus, Seestrasse 2, Kirchmöser, Brandenburg an der Havel, Brandenburg, Germany",(scene in the beer garden),,,
12,/title/tt2764784/,,"Eisenbahner-KulturhausKirchmöser, Brandenburg an der Havel, Brandenburg, Germany",,,,
13,/title/tt2764784/,,"Nadodrze Station - 50 Plac Stanislawa Staszica, Wroclaw, Dolnoslaskie, Poland",(train station),,,
14,/title/tt2764784/,,Germany,,Deutschland,51.0834196,10.4234469
15,/title/tt0060010/,,"Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA",,,,
16,/title/tt0086946/,,"Fresh Pond Road, Ridgewood, Queens, New York City, New York, USA",,"Fresh Pond Road, 62nd Street, Ridgewood, Queens County, New York, 11385, United States of America",40.7062234,-73.8959256
17,/title/tt0086946/,,"New York City, New York, USA",(general setting),"New York, United States of America",40.7127281,-74.0060152
18,/title/tt0086946/,,"Queens, New York City, New York, USA",,"Queens, Queens County, New York, United States of America",40.7498243,-73.7976337
19,/title/tt0086946/,,USA,,United States,39.7837304,-100.4458825
20,/title/tt3397754/,,"Ossining, New York, USA",(Location shots),"Ossining, Town of Ossining, Westchester County, New York, 10562, United States of America",41.1613168,-73.8620367
21,/title/tt0420087/,,"Mickey's Diner - 36 W. 7th Street, St. Paul, Minnesota, USA",,,,
22,/title/tt8884430/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
23,/title/tt0150915/,,"County Sessions House, Liverpool, Merseyside, England, UK",,,,
24,/title/tt0150915/,,"George's Dock, Liverpool, Merseyside, England, UK",(stands in for Moscow),,,
25,/title/tt0150915/,,"St George's Hall, St George's Place, Liverpool, Merseyside, England, UK",(Concert scenes),,,
26,/title/tt0150915/,,"Upper Parliament Street, Liverpool, Merseyside, England, UK",,,,
27,/title/tt0150915/,,"Liverpool, Merseyside, England, UK",,,,
28,/title/tt0150915/,,"Shepperton Studios, Shepperton, Surrey, England, UK",,,,
29,/title/tt9577852/,,"Studio Instrumental Rentals, Manhattan, New York City, New York, USA",(location),,,
30,/title/tt9577852/,,"Providence, Rhode Island, USA",(location),"Providence, Providence County, Rhode Island, United States of America",41.8239891,-71.4128343
31,/title/tt9577852/,,"Clinton Correctional Facility, New Jersey, USA",(location),,,
32,/title/tt9577852/,,"High St & Winthrop St, Taunton, Massachusetts, USA",(Just before Jimmy Carter footage camera moves northeast towards Winthrop Street Baptist Church - steeple since removed),"Winthrop Street, Wades Corner, Taunton, Bristol County, Massachusetts, 02764, United States of America",41.882256,-71.153364
33,/title/tt9577852/,,"Plimouth Plantation - 137 Warren Avenue, Plymouth, Massachusetts, USA",(Man passes out leaflets in front of Mayflower II and Ginsberg talks about pilgrims/indians),"Plimouth Plantation, 137, Warren Avenue, Beach Park, Plymouth, Plymouth County, Massachusetts, 02360, United States of America",41.942602,-70.624432
34,/title/tt9577852/,,"Plymouth Memorial Hall - 83 Court St, Plymouth, Massachusetts, USA",(interview) (first concert; tickets being sold at a card table just before Sharon Stone interview),"Plymouth, 385, Court Street, Cordage, Plymouth, Plymouth County, Massachusetts, 02360-7310, United States of America",41.9812299,-70.6904474
35,/title/tt9577852/,,"Manhattan, New York City, New York, USA",,"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
36,/title/tt9577852/,,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
37,/title/tt9577852/,,"Rhode Island, USA",,"Rhode Island, United States of America",41.7962409,-71.5992372
38,/title/tt9577852/,,"Taunton, Massachusetts, USA",,"Taunton, Bristol County, Massachusetts, United States of America",41.8946107,-71.11113
39,/title/tt9577852/,,"Newport, Rhode Island, USA",,"Newport, Newport County, Rhode Island, 02840, United States of America",41.4899827,-71.3137707
40,/title/tt9577852/,,Canada,,Canada,61.0666922,-107.9917071
41,/title/tt2039345/,,"Las Palmas de Gran Canaria, Gran Canaria, Canary Islands, Spain",,"Las Palmas de Gran Canaria, Calle Lucas Fernández Navarro, Puerto, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35007, España",28.1373026,-15.4305696
42,/title/tt2039345/,,Spain,,España,39.3262345,-4.8380649
43,/title/tt10516984/,,"Les Baux-De-Provence, France",,"Les Baux-de-Provence, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13520, France",43.7436371,4.795125
44,/title/tt0086423/,,"Waxahachie, Texas, USA",,"Waxahachie, Ellis County, Texas, 75165, United States of America",32.3944908,-96.8439365
45,/title/tt0088001/,,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.542586
46,/title/tt0088001/,,"Walt Disney's Golden Oak Ranch - 19802 Placerita Canyon Road, Newhall, California, USA",,,,
47,/title/tt0088001/,,"Tennessee, USA",,"Tennessee, United States of America",35.7730076,-86.2820081
48,/title/tt8351520/,,"Birmingham, England, UK",,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom",52.4796992,-1.9026911
49,/title/tt8351520/,,"Dover, England, UK",,"Dover, Kent, South East, England, United Kingdom",51.1251275,1.3134228
50,/title/tt0018037/,,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
51,/title/tt0018037/,,"Orchard Street Synagogue, New York City, New York, USA",(synagogue scenes),,,
52,/title/tt0018037/,,"Chatsworth, Los Angeles, California, USA",,"Chatsworth, Los Angeles, Los Angeles County, California, United States of America",34.2595715,-118.6023247
53,/title/tt0018037/,,"KTLA Studios - 5858 Sunset Blvd., Hollywood, Los Angeles, California, USA",(studio),,,
54,/title/tt0437714/,,"Kenner, Louisiana, USA",,"Kenner, Jefferson Parish, Louisiana, United States of America",29.9942265,-90.2417806
55,/title/tt0437714/,,"New Orleans, Louisiana, USA",,"New Orleans, Orleans Parish, Louisiana, United States of America",29.9499323,-90.0701156
56,/title/tt0437714/,,"Jefferson Parish, Louisiana, USA",,"Jefferson Parish, Louisiana, United States of America",29.8502657,-90.1293894
57,/title/tt0158371/,,"Fresh Pond Rail Yards, Queens, New York City, New York, USA",,,,
58,/title/tt0158371/,,"Rye Playland, Rye, New York, USA",,"Rye Playland, Playland Parkway, Milton, Rye, Westchester County, New York, 10587, United States of America",40.965966550000005,-73.67316183140163
59,/title/tt4537842/,,"Carlyle Hotel - 35 East 76th Street, Upper East Side, Manhattan, New York City, New York, USA",,,,
60,/title/tt4537842/,,"Bemelmans Bar at The Carlyle Hotel, 35 East 76th St, New York City, New York, USA",,,,
