,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0077687/,,USA,,United States,39.7837304,-100.4458825
1,/title/tt4903242/,,"Atlanta, Georgia, USA",(season 1),"Atlanta, Georgia, United States of America",33.7490987,-84.3901849
2,/title/tt4903242/,,Puerto Rico,(episodes 2.11 and 2.12),"Puerto Rico, Orocovis, Puerto Rico, United States of America",18.2214149,-66.41328179513847
3,/title/tt0091129/,,"Chung King Court, Los Angeles, California, USA",(Tommy Tong's restaurant),"Chung King, Fairview Avenue, San Gabriel, Los Angeles County, California, 91776, United States of America",34.0897984,-118.0906267
4,/title/tt0091129/,,"Judd St, Pacoima, California, USA",(following the bikers to their safehouse),"Judd Street, Pacoima, Los Angeles, Los Angeles County, California, 91331-2536, United States of America",34.2704392,-118.4216884
5,/title/tt0091129/,,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",,,,
6,/title/tt0091129/,,"Pink's Hot Dogs - 709 N. La Brea Blvd., Los Angeles, California, USA",(opening credits),,,
7,/title/tt0091129/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
8,/title/tt0313911/,,"School of Theology, University of British Columbia, Robson Square Campus - 800 Robson Street, Vancouver, British Columbia, Canada",(William Donovan Preparatory School),,,
9,/title/tt0313911/,,"Burnaby, British Columbia, Canada",,"Burnaby, Metro Vancouver Regional District, British Columbia, Canada",49.2433804,-122.9725459
10,/title/tt0313911/,,"Surrey, British Columbia, Canada",,"Surrey, Metro Vancouver Regional District, British Columbia, Canada",49.1913033,-122.8491439
11,/title/tt0313911/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
12,/title/tt0313911/,,"Industrial District, Seattle, Washington, USA","(second-unit helicopter shots) (coordinates for shot: 47°34'34.1""N, 122°19'36.6""W)",,,
13,/title/tt0313911/,,Canada,,Canada,61.0666922,-107.9917071
14,/title/tt0313911/,,"Service Station, Simon Fraser University - 8888 University Drive, Burnaby, British Columbia, Canada","(CIA recruitment center/Kamp Woody Gate) (coordinates: 49°16'50.4""N, 122°55'17.5""W)",,,
15,/title/tt0313911/,,"Chesterfield Avenue, North Vancouver, British Columbia, Canada",(Cody chases a woman's runaway car and saves a child) (in between 5th Street W and Carrie Gates Court),"Chesterfield Avenue, Upper Lonsdale, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V7N 4N5, Canada",49.3388213,-123.0750417
16,/title/tt0313911/,,"NW Marine Drive and Tolmie Street, Vancouver, British Columbia, Canada",(Ronica gives Cody her car),,,
17,/title/tt0313911/,,"Britannia Beach Dock, Britannia Beach, British Columbia, Canada","(Rusty's Fly Fishing) (coordinates: 49°37'27.3""N, 123°12'26.5""W)",,,
18,/title/tt0329774/,,"Washington, District of Columbia, USA",,"Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581
19,/title/tt0329774/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
20,/title/tt0402901/,,"Bucharest, Romania",,"Municipiul București, România",44.4361414,26.1027202
21,/title/tt0402901/,,"Zarnesti, Romania",,"Zărnești, Brașov, 505800, România",45.5594763,25.3154513
22,/title/tt0402901/,,"MediaPro Studios, Bucharest, Romania",,,,
23,/title/tt0402901/,,Mexico,,"Ciudad de México, 06060, México",19.4326296,-99.1331785
24,/title/tt0816436/,,"Darwin, Northern Territory, Australia",,"Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.46044,130.8410469
25,/title/tt0816436/,,"Northern Territory, Australia",,"Northern Territory, Australia",-19.8516101,133.2303375
26,/title/tt0816436/,,"Oatley, New South Wales, Australia",,"Oatley, St George, Georges River Council, New South Wales, 2223, Australia",-33.9841882,151.0743856
27,/title/tt0076740/,,"Bisti-De-Na-Zin Wilderness, New Mexico, USA",(last truck breaking down),"Bisti/De-Na-Zin Wilderness, San Juan County, New Mexico, United States of America",36.3019149,-108.12185487797129
28,/title/tt0076740/,,"Zócalo, Veracruz, Veracruz, Mexico",(opening scene),"Zócalo, CENTRO, Centro, Municipio de Veracruz, Veracruz de Ignacio de la Llave, México",19.20021645,-96.13850131188718
29,/title/tt0076740/,,"Alto Gracia, Dominican Republic",,,,
30,/title/tt0076740/,,"Pré Catelan, Bois de Boulogne, Paris 16, Paris, France",(restaurant where Pascal commits suicide),,,
31,/title/tt0076740/,,"Angel Peak National Recreation Area, Bloomfield, New Mexico, USA",,,,
32,/title/tt0076740/,,"Veracruz, Veracruz, Mexico",,"Veracruz, Municipio de Veracruz, Veracruz de Ignacio de la Llave, 91910, México",19.1798858,-96.135648
33,/title/tt0076740/,,"La Bourse, Paris 2, Paris, France",(stock exchange),"Bourse, Place de la Bourse, Quartier Vivienne, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",48.8686296,2.3414739
34,/title/tt0076740/,,"Chambre de Commerce av Fiedland Paris, France",(Bourse Offices & corridor),,,
35,/title/tt0076740/,,USA,,United States,39.7837304,-100.4458825
36,/title/tt0067334/,,"Circuit des 24 Heures du Mans, Le Mans, Sarthe, France",,"Circuit des 24 Heures du Mans, Cité des Pins, Le Houx, Le Mans, Sarthe, Pays de la Loire, France métropolitaine, 72100, France",47.9579416,0.2128319
37,/title/tt1320291/,,"Port Lincoln, South Australia, Australia",(environs) (shark footage) (location: Neptune Islands),"City of Port Lincoln, South Australia, 5606, Australia",-34.7284175,135.8563199414681
38,/title/tt1320291/,,"Hervey Bay, Queensland, Australia",,"Hervey Bay, Fraser Coast Regional, Queensland, 4655, Australia",-25.2985784,152.8535216
39,/title/tt1320291/,,"Coast, South Australia, Australia",(shark footage) (location: Neptune Islands),"Copper Coast Council, South Australia, Australia",-33.9403987,137.73171829846203
40,/title/tt1320291/,,"Neptune Island, South Australia, Australia",(shark footage),,,
41,/title/tt1320291/,,"Neptune Islands Conservation Park, South Australia, Australia",(shark footage),"Neptune Islands Conservation Park, South Australia, Australia",-35.23105615,136.07023325913505
42,/title/tt1320291/,,"South Neptune Island, Neptune Islands, South Australia, Australia",(shark footage),,,
43,/title/tt1320291/,,"Lady Elliot Island, Queensland, Australia",(underwater swimming scenes),"Lady Elliot Island, Queensland, Australia",-24.113146,152.7150238579305
44,/title/tt1320291/,,"South Australia, Australia",(shark footage) (location: Neptune Islands),"South Australia, Australia",-30.5343665,135.6301212
45,/title/tt0116039/,,"Bossier City, Louisiana, USA",,"Bossier City, Bossier Parish, Louisiana, United States of America",32.5369356,-93.6952689
46,/title/tt0116039/,,"Isle of Capri Casino - 3033 Hilton Drive, Bossier City, Louisiana, USA",,,,
47,/title/tt0116039/,,"Maxim Hotel & Casino - 160 E. Flamingo Road, Las Vegas, Nevada, USA",,,,
48,/title/tt0116039/,,"Santa Monica Pier, Santa Monica, California, USA",,"Santa Monica Pier, Santa Monica, Los Angeles County, California, United States of America",34.00889605,-118.49740225045329
49,/title/tt0116039/,,"Shreveport, Louisiana, USA",,"Shreveport, Caddo Parish, Louisiana, United States of America",32.5221828,-93.7651944
50,/title/tt0105466/,,"Britannia Beach, British Columbia, Canada",,"Britannia Beach, Area D (Elaho/Garibaldi), Squamish-Lillooet Regional District, British Columbia, V0N 1J0, Canada",49.626392,-123.206005
51,/title/tt0105466/,,"Florence, Arizona, USA",,"Florence, Pinal County, Arizona, 85132, United States of America",33.0314508,-111.3873431
52,/title/tt0277941/,,"Clunes, Victoria, Australia",,"Clunes, Shire of Hepburn, Victoria, 3370, Australia",-37.287625,143.78029158071917
53,/title/tt0277941/,,"Ballarat, Victoria, Australia",(Melbourne),"Ballarat, City of Ballarat, Victoria, 3350, Australia",-37.5622632,143.8607215
54,/title/tt0277941/,,"Mount Rothwell, Little River, Victoria, Australia",,,,
55,/title/tt0277941/,,"Melbourne, Victoria, Australia",,"Melbourne, City of Melbourne, Victoria, 3000, Australia",-37.8142176,144.9631608
56,/title/tt0277941/,,"Broadford, Victoria, Australia",,"Broadford, Shire of Mitchell, Victoria, 3658, Australia",-37.2019939,145.0504004
