,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1650554/,Kick-Ass 2,"Toronto, Ontario, Canada",(Desmond Miller)                        ,"Toronto, Peel, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
1,/title/tt1650554/,Kick-Ass 2,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",,"Pinewood Toronto Studios, Munition Street, Toronto—Danforth, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M4M 3P2, Canada",43.6465663,-79.35106457413957
2,/title/tt1650554/,Kick-Ass 2,"Southgate, London, England, UK",,"Southgate, London Borough of Enfield, London, Greater London, England, N14 6NJ, United Kingdom",51.6281547,-0.123596
3,/title/tt1650554/,Kick-Ass 2,"Revival 629, 629 Eastern Avenue, Toronto, Ontario, Canada",(Carp Shop)                        ,,,
4,/title/tt0092312/,21 Jump Street,"New Westminster Secondary School, New Westminster, British Columbia, Canada",(Annala)                        ,"New Westminster Secondary School, Dublin Street, Kelvin, Moody Park, New Westminster, Metro Vancouver Regional District, British Columbia, V3M 4K4, Canada",49.2163776,-122.92913229640288
5,/title/tt0092312/,21 Jump Street,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
6,/title/tt5093026/,Papillon,"Belgrade, Serbia",,"Београд, Град Београд, Централна Србија, 11000, Србија (Serbia)",44.8178131,20.4568974
7,/title/tt5093026/,Papillon,"Niksic, Montenegro",,"Nikšić, Opština Nikšić, 81400, Crna Gora",42.7739559,18.9488746
8,/title/tt5093026/,Papillon,"Ulcinj, Montenegro",,"Улцињ - Ulqin, Opština Ulcinj, 8536, Crna Gora",41.926012,19.2055563
9,/title/tt5093026/,Papillon,"Kalkara, Malta",(Times of Malta 30-11-2016)                        ,"Il-Kalkara, Xlokk, Malta",35.8898771,14.5290867
10,/title/tt5093026/,Papillon,"Rabat, Malta",(Times of Malta 30-11-2016)                        ,"Ir-Rabat, Għawdex, Malta",36.0428907,14.2398479
11,/title/tt0356910/,Mr. & Mrs. Smith,"1565 San Pasqual Street, Pasadena, California, USA",(exteriors: Smith residence)                        ,"1565, San Pasqual Street, Pasadena, Los Angeles County, California, 91106, United States of America",34.137899657894735,-118.11792723684209
12,/title/tt0356910/,Mr. & Mrs. Smith,"The Cicada Restaurant and Club - 617 S Olive St, Los Angeles, California, USA","(restaurant, dance club)                        ",,,
13,/title/tt0356910/,Mr. & Mrs. Smith,"Quality Coffee Shop - 1238 West 7th Street, Los Angeles, California, USA",,,,
