,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt7846844/,Enola Holmes,"Minley manor, Minley Rd, Fleet GU17 9JT, United Kingdom",(Mrs Harrison's finishing school)                        ,,,
1,/title/tt7846844/,Enola Holmes,"Arley, Bewdley, DY12 3NE, UK",(Arley train station where Enola meets Sherlock)                        ,,,
2,/title/tt7846844/,Enola Holmes,"Old Royal Naval College, Greenwich, London, England, UK",(London street and Convent Garden columns)                        ,"Old Royal Naval College, Park Row, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 9NL, United Kingdom",51.4829661,-0.006257671681354558
3,/title/tt7846844/,Enola Holmes,"Hatfield House, Hatfield, Hertfordshire, England, UK",(The home of the Tewksbury family)                        ,"Hatfield House, The Stable Yard, Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, AL9 5NF, United Kingdom",51.7605139,-0.20879851305478084
4,/title/tt7846844/,Enola Holmes,"HM Treasury, 1 Horse Guards Road Westminster, London, England, UK",(Meeting at the courtyard)                        ,"HM Treasury, 1, Horse Guards Road, Westminster, Millbank, City of Westminster, London, Greater London, England, SW1A 2BQ, United Kingdom",51.5019442,-0.1279467
5,/title/tt7423538/,Ratched,"Cannery Row, Monterey, California, USA",,"Cannery Row, Monterey, Monterey County, California, 93944, United States of America",36.6134933,-121.8979357
6,/title/tt7423538/,Ratched,"King Gillette Ranch, Malibu Creek State Park - Mulholland Highway, Calabasas, California, USA",(Lucia State Hospital exterior shots)                        ,,,
7,/title/tt7423538/,Ratched,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        ,,,
8,/title/tt7423538/,Ratched,"638 S Beacon St, Los Angeles, California, USA",,"San Pedro Municipal Building, 638, South Beacon Street, San Pedro, Los Angeles, Los Angeles County, California, 90731, United States of America",33.738087050000004,-118.28028292505583
9,/title/tt7423538/,Ratched,"California, USA",(studio)                        ,"California, United States of America",36.7014631,-118.7559974
