,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt8385474/,A Dog's Journey,"Winnipeg, Manitoba, Canada",,"Winnipeg, Winnipeg (city), Manitoba, Canada",49.8955367,-97.1384584
1,/title/tt8385474/,A Dog's Journey,"Chicago Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
2,/title/tt8385474/,A Dog's Journey,"Selkirk, Manitoba, Canada",,"Selkirk, Winnipeg (city), Manitoba, Canada",50.146986,-96.880188
3,/title/tt0396752/,Nanny McPhee,"Dorset, England, UK",,"Dorset, Cheselbourne, Dorset, South West England, England, United Kingdom",50.79683685,-2.34473226124306
4,/title/tt0396752/,Nanny McPhee,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
5,/title/tt0396752/,Nanny McPhee,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        ,"Pinewood Studios, Pinewood Green, Iver, Iver Heath, Buckinghamshire, South East, England, SL0 0QJ, United Kingdom",51.54831515,-0.5346765566753087
6,/title/tt0396752/,Nanny McPhee,"L Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",,,,
7,/title/tt0396555/,Meet the Robinsons,"Burbank, California, USA",(studio)                        ,"Burbank, Los Angeles County, California, United States of America",34.1816482,-118.3258554
8,/title/tt0986264/,Taare Zameen Par,"Panchgani, Maharashtra, India",(New Era High School)                        ,"Panchgani, Mahabaleshwar, Satara, Maharashtra, 412805, India",17.9239543,73.7992681
9,/title/tt0986264/,Taare Zameen Par,"St. Xavier's High School, Mumbai, Maharashtra, India",(Ishaan's first school)                        ,"St. Xavier's High School, Carnac Road, Police Colony, A Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400001, India",18.94467135,72.83064688884215
10,/title/tt0986264/,Taare Zameen Par,"Bungalow No. 55, Mysore Colony, Chembur, Maharashtra, India",,,,
11,/title/tt0986264/,Taare Zameen Par,"Bungalow No. 4, B P Housing Colony, Chembur, Maharashtra, India",,,,
12,/title/tt0986264/,Taare Zameen Par,"Borla Uttam Society, Mumbai, Maharashtra, India",,,,
13,/title/tt0986264/,Taare Zameen Par,"New Era High School, Chesson Rd, Panchgani, Maharashtra, India",(Ishaan's boarding school)                        ,"New Era High School, Chesson Road, Lad, Panchgani, Mahabaleshwar, Satara, Maharashtra, 412805, India",17.9263632,73.7966196
14,/title/tt0986264/,Taare Zameen Par,"Il Palazzo Hotel, Shirinbai Davierwalla Marg, Dist. Satara, Panchgani, Maharashtra, India",,,,
15,/title/tt1985966/,Het regent gehaktballen 2,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
16,/title/tt0396991/,LazyTown,"380° Studios - Miðhraun 4, Garðabær, Iceland",(studio)                        ,,,
17,/title/tt0088727/,Anne of Green Gables,"Prince Edward Island, Canada",,"Prince Edward Island, Queens County, Prince Edward Island, Canada",46.503545349999996,-63.595517139914485
18,/title/tt0088727/,Anne of Green Gables,"Black Creek Pioneer Village, North York, Toronto, Ontario, Canada",,"Black Creek Pioneer Village, 1000, Murray Ross Parkway, Humber River—Black Creek, North York, Toronto, Peel, Golden Horseshoe, Ontario, M3J 2P3, Canada",43.77365555,-79.51712969035796
19,/title/tt0088727/,Anne of Green Gables,"Wentworth Heritage Village, Rockton, Ontario, Canada",,,,
20,/title/tt0088727/,Anne of Green Gables,Canada,,Canada,61.0666922,-107.9917071
21,/title/tt0088727/,Anne of Green Gables,"Doon Pioneer Village, Waterloo, Ontario, Canada",,,,
22,/title/tt0088727/,Anne of Green Gables,"Ontario, Canada",,"Ontario, Canada",50.000678,-86.000977
23,/title/tt0088727/,Anne of Green Gables,"Pickering Museum Village, Pickering, Ontario, Canada",,"Pickering Museum Village, Greenwood, Pickering, Durham Region, Golden Horseshoe, Ontario, Canada",43.9256861,-79.07214304036856
24,/title/tt0088727/,Anne of Green Gables,"Rustico Summer Haven Resort, Prince Edward Island, Canada",,,,
25,/title/tt0088727/,Anne of Green Gables,"Spadina House - 285 Spadina Road, Toronto, Ontario, Canada",,"Spadina House, 285, Spadina Road, Toronto—St. Paul's, Old Toronto, Toronto, Peel, Golden Horseshoe, Ontario, M5R 1X9, Canada",43.679018049999996,-79.40811569159052
26,/title/tt0110006/,Heavyweights,"Camp Ton-A-Wandah - 300 W Ton-A-Wondah Road, Hendersonville, North Carolina, USA",,,,
27,/title/tt0110006/,Heavyweights,"Asheville, North Carolina, USA",,"Asheville, Buncombe County, North Carolina, United States of America",35.6009498,-82.5540161
28,/title/tt0110006/,Heavyweights,"Flat Rock, North Carolina, USA",,"Flat Rock, Henderson County, North Carolina, United States of America",35.271228,-82.441508
29,/title/tt6125438/,In Stranger Company,"Grand Rapids, Michigan, USA",,"Grand Rapids, Kent County, Michigan, United States of America",42.9632405,-85.6678639
