,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0049287/,,"Jack Ingram Ranch - 22255 Mulholland Drive, Woodland Hills, Los Angeles, California, USA",,,,
1,/title/tt10983006/,,"San Francisco, California, USA",,"San Francisco, San Francisco City and County, California, United States of America",37.7790262,-122.4199061
2,/title/tt0048535/,,"Murphys Hotel, 457 Main Street, Murphys, California, USA",(Lynch Mob scene),"Murphys, Main Street, Rocky Hill, Murphys, Calaveras County, California, 95247, United States of America",38.1374168,-120.4618951
3,/title/tt0048535/,,"Ratto Ranch ,Sonora California, USA",(Farmhouse),"Ratto Road, Saratoga Acres, Rancho Sonora Estates, Columbia, Tuolumne County, California, 95364, United States of America",37.997567,-120.413967
4,/title/tt0048535/,,"Sonora, California, USA",,"Sonora, Tuolumne County, California, 95364, United States of America",37.9840911,-120.3821381
5,/title/tt9485592/,,"Malibu, California, USA",,"Malibu, Los Angeles County, California, 90265-4797, United States of America",34.035591,-118.689423
6,/title/tt9485592/,,"Honolulu, Hawaii, USA",,"Honolulu, Honolulu County, Hawaii, United States of America",21.304547,-157.8556764
7,/title/tt9485592/,,"Toronto, Ontario, Canada",,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
8,/title/tt9485592/,,"Adelaide, South Australia, Australia",,"Adelaide, Adelaide City Council, South Australia, Australia",-34.9281805,138.5999312
9,/title/tt9485592/,,"Bartlett, Ohio, USA",,"Bartlett, Washington County, Ohio, 45713, United States of America",39.4195178,-81.8156907
10,/title/tt9485592/,,"White Sands, New Mexico, USA",,"White Sands, Doña Ana County, New Mexico, 88002, United States of America",32.381369,-106.4789925
11,/title/tt1691453/,,"Aldergrove, British Columbia, Canada",,"Aldergrove, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 0Y7, Canada",49.0596635,-122.4922381
12,/title/tt2497808/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
13,/title/tt0109138/,,"Los Angeles City Hall - 200 North Spring Street, Downtown, Los Angeles, California, USA",,"Los Angeles City Hall, 200, North Spring Street, Civic Center, Downtown, Los Angeles, Los Angeles County, California, 90012, United States of America",34.0537767,-118.2428987
14,/title/tt0099460/,,"San Pedro, Los Angeles, California, USA",,"San Pedro, Los Angeles, Los Angeles County, California, 90731, United States of America",33.7358518,-118.2922934
15,/title/tt1307861/,,"Hollywood, Los Angeles, California, USA",,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States of America",34.0980031,-118.329523
16,/title/tt1307861/,,"Palm Springs, California, USA",,"Palm Springs, Riverside County, California, United States of America",33.8246269,-116.540303
17,/title/tt0068281/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
18,/title/tt0068281/,,"Sunset Boulevard and North Sweetzer Avenue, West Hollywood, California, USA",(opening credits),,,
19,/title/tt0068281/,,"3000 South Vermont Avenue, Los Angeles, California, USA",(Trojan liquor store),"South Vermont Avenue, Vermont Knolls, Los Angeles, Los Angeles County, California, 90044-3530, United States of America",33.9686401,-118.2915681
20,/title/tt0068281/,,"Hollywood Park Racetrack - 1050 S. Prairie Avenue, Inglewood, California, USA",(horse race track),,,
21,/title/tt0068281/,,"San Pedro, Los Angeles, California, USA","(dock, warehouse - Vincent Thomas suspension bridge in the background)","San Pedro, Los Angeles, Los Angeles County, California, 90731, United States of America",33.7358518,-118.2922934
22,/title/tt0052946/,,"Versailles, Yvelines, France",(Versailles palace),"Versailles, Yvelines, Île-de-France, France métropolitaine, 78000, France",48.8035403,2.1266886
23,/title/tt0052946/,,"London, England, UK",(King James's Palace),"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
24,/title/tt0052946/,,"Dénia, Alicante, Comunitat Valenciana, Spain",,"Dénia, la Marina Alta, Alacant / Alicante, Comunitat Valenciana, España",38.8408382,0.1061105
25,/title/tt10044182/,,"Quezon City, Philippines",,"Quezon City, Second District, Metro Manila, Philippines",14.6509905,121.0486155
