,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt3344686/,Viena and the Fantomes,"Nevada, USA",,"Nevada, United States of America",39.5158825,-116.8537227
1,/title/tt0047472/,Seven Brides for Seven Brothers,"Corral Creek Canyon, Sun Valley, Idaho, USA",,,,
2,/title/tt0047472/,Seven Brides for Seven Brothers,"Tioga Pass, California, USA",,"Tioga Pass, Tuolumne County, California, United States of America",37.9109049,-119.2578847
3,/title/tt0104237/,Damage,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        ,,,
4,/title/tt0104237/,Damage,"Kyoto Garden, Holland Park, London, England, UK",(Damage 1992)                        ,,,
5,/title/tt0104237/,Damage,"Paris, France",,"Paris, Île-de-France, France métropolitaine, 75004, France",48.8566969,2.3514616
6,/title/tt7798646/,The Photograph,"Queens Museum, Queens, New York, USA",(A Filming location in trailer)                        ,"Queens Museum, Avenue of the States, Queens, Queens County, New York, 11368, United States of America",40.745874799999996,-73.84674493683517
7,/title/tt0052948/,Journey to the Center of the Earth,"Carlsbad Caverns National Park - 727 Carlsbad Caverns Highway, Carlsbad, New Mexico, USA",(the center of the earth)                        ,,,
8,/title/tt0052948/,Journey to the Center of the Earth,"Edinburgh, Scotland, UK",,"Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom",55.9533456,-3.1883749
9,/title/tt0052948/,Journey to the Center of the Earth,"Leo Carrillo State Beach - 35000 W. Pacific Coast Highway, Malibu, California, USA",(underground ocean and cave)                        ,,,
10,/title/tt0052948/,Journey to the Center of the Earth,"Old Quad, Edinburgh University, Edinburgh, Scotland, UK",,,,
11,/title/tt0052948/,Journey to the Center of the Earth,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        ,,,
12,/title/tt0052948/,Journey to the Center of the Earth,"St. Giles' Cathedral, High Street, Edinburgh, Scotland, UK",(Church)                        ,"St Giles' Cathedral, High Street, Old Town, Edinburgh, City of Edinburgh, Scotland, EH1 1RE, United Kingdom",55.94945385,-3.190847306766459
13,/title/tt0482527/,It's a Boy Girl Thing,"Mississauga, Ontario, Canada",,"Mississauga, Peel Region, Golden Horseshoe, Ontario, Canada",43.590338,-79.645729
