,tconst,tLabel,Location,Scene,geocodedLocation,latitude,longitude
10,tt0406375,Zathura: A Space Adventure,"South Pasadena, California, USA",,"South Pasadena, Los Angeles County, California, 91030, United States of America",34.113306200000004,-118.1478291
20,tt0374536,Bewitched,"Beverly Hills, California, USA",,"Beverly Hills, Los Angeles County, California, United States of America",34.0696501,-118.3963062
24,tt3289724,Welcome to Marwen,"Maple Ridge, British Columbia, Canada",,"Maple Ridge, Metro Vancouver Regional District, British Columbia, Canada",49.219734499999994,-122.5997078
25,tt3289724,Welcome to Marwen,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.11395290000002
27,tt9010360,The Legend of the Five,Australia,(on location),Australia,-24.7761086,134.755
32,tt1731141,Ender's Game,"Duffey Lake, British Columbia, Canada",(Lake scenery),"Duffey Lake, Duffey Lake Road, Area B (Cayoosh/Pavilion), Squamish-Lillooet Regional District, British Columbia, Canada",50.40516465,-122.31228433118095
34,tt0412175,Medium,"10010 Yolanda Ave, Northridge, California, USA",(Dubois' house exterior),"Yolanda Avenue, Northridge, Los Angeles, Los Angeles County, California, 91324, United States of America",34.2273376,-118.54047109999999
42,tt0816520,Return to Halloweentown,"Provo, Utah, USA",,"Provo, Utah County, Utah, United States of America",40.233843799999995,-111.6585337
46,tt0107362,Last Action Hero,"1st Street Bridge, Los Angeles, California, USA",(car goes off bridge),"1st Street, Long Beach Boulevard, Long Beach, Los Angeles County, California, 90802, United States of America",33.768714700000004,-118.18939879999999
52,tt0107362,Last Action Hero,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
85,tt3810192,Cyberpunk 2077,"Los Angeles, California, USA",(location),"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
90,tt0938330,Silent Hill: Revelation,"Toronto, Ontario, Canada",,"Toronto, Peel, Golden Horseshoe, Ontario, Canada",43.6534817,-79.38393470000001
93,tt5220122,Hotel Transylvania 3: Summer Vacation,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
118,tt6908274,Durante la tormenta,"L'Ametlla del Vallés, Barcelona",,"Carretera de Barcelona, Can Camp, Can Noble, l'Ametlla del Vallès, Vallès Oriental, Catalunya, 08480, España",41.661889200000005,2.2665778
123,tt0460791,The Fall,"Jodhpur, Rajasthan, India",(blue city),"Jodhpur, Jodhpur Tehsil, Jodhpur District, Rajasthan, India",26.2967719,73.0351433
137,tt0460791,The Fall,"Paris, France",,"Paris, Île-de-France, France métropolitaine, France",48.856696899999996,2.3514616000000004
156,tt0460791,The Fall,"Consuegra, Toledo, Castilla-La Mancha, Spain",(Riding horses in windmills scene),"Consuegra, Mancha Alta de Toledo, Toledo, Castilla-La Mancha, España",39.460918,-3.6070786
197,tt0097758,Little Monsters,"Wilmington, North Carolina, USA",,"Wilmington, New Hanover County, North Carolina, United States of America",34.2257282,-77.9447107
205,tt1528071,Horns,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.11395290000002
255,tt0120655,Dogma,"Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA",,"Carnegie Mellon University, 5000, Forbes Avenue, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15213, United States of America",40.4441619,-79.94272825922499
256,tt0120655,Dogma,"600 Grant Street, Pittsburgh, Pennsylvania, USA",,"U.S. Steel Tower, 600, Grant Street, Downtown, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States of America",40.44137720000001,-79.99475645200744
261,tt0120655,Dogma,"New Jersey, USA",,"New Jersey, United States of America",40.0757384,-74.4041622
290,tt0385752,The Golden Compass,"Pitt-Rivers Museum, Parks Road, Oxford, Oxfordshire, England, UK",,"Pitt Rivers Museum, 3, Parks Road, City Centre, Oxford, Oxfordshire, South East, England, OX1 3PP, United Kingdom",51.75875945,-1.2550636261836865
295,tt1714915,Only Lovers Left Alive,"MMC Studios, Cologne, North Rhine-Westphalia, Germany",(studio) (apartment interiors) (as MMC Independent Studios Cologne),"MMC Cologne, 1, Am Coloneum, Am Butzweilerhof, Ossendorf, Ehrenfeld, Köln, Nordrhein-Westfalen, 50829, Deutschland",50.987513799999995,6.896316499999999
297,tt0101889,The Fisher King,"Grand Central Station, Manhattan, New York City, New York, USA",,"Grand Central Terminal, 89, East 42nd Street, Midtown East, Manhattan Community Board 5, Manhattan, New York County, New York, 10017, United States of America",40.7527012,-73.97724987363358
335,tt0387575,Seed of Chucky,USA,,United States,39.7837304,-100.4458825
338,tt1121096,Seventh Son,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.11395290000002
364,tt0486576,Fantastic 4: Rise of the Silver Surfer,"Pemberton, British Columbia, Canada",(Village of Pemberton),"Pemberton, Squamish-Lillooet Regional District, British Columbia, V0N 2L1, Canada",50.3203804,-122.8080783
389,tt2120120,Pixels,"Toronto, Ontario, Canada",,"Toronto, Peel, Golden Horseshoe, Ontario, Canada",43.6534817,-79.38393470000001
422,tt0207201,What Women Want,"Long Beach, California, USA",,"Long Beach, Los Angeles County, California, United States of America",33.7690164,-118.1916048
425,tt0093493,Mannequin,"Philadelphia, Pennsylvania, USA",,"Philadelphia, Philadelphia County, Pennsylvania, United States of America",39.9527237,-75.16352619999999
463,tt0138510,Idle Hands,"589 East Jackson Street, Pasadena, California, USA",(Molly's house),"589, East Jackson Street, Orange Heights, Pasadena, Los Angeles County, California, 91104, United States of America",34.163881245614036,-118.13836068421051
480,tt1686821,Vampire Academy,"University College London, Gower Street, Bloomsbury, London, England, UK",(Witness),"University College London, University Street, Somers Town, London Borough of Camden, London, Greater London, England, WC1E 6DE, United Kingdom",51.52412645,-0.13293023735954784
481,tt1686821,Vampire Academy,"Brent Cross Shopping Centre, Hendon, London, England, UK",(shopping scene),"Brent Cross Shopping Centre, Hendon Way, Brent Cross, London Borough of Barnet, London, Greater London, England, NW4 3RB, United Kingdom",51.5764561,-0.22343784482304346
492,tt1098327,Dragonball Evolution,"Victoria de Durango, Durango, Mexico",,"Durango, Municipio de Durango, Durango, México",24.022008,-104.6547415
505,tt0115243,Lexx,"Berlin, Germany",,"Berlin, 10117, Deutschland",52.517036499999996,13.388859900000002
506,tt0115243,Lexx,"Bangkok, Thailand",,"กรุงเทพมหานคร, เขตพระนคร, กรุงเทพมหานคร, 10200, ประเทศไทย",13.754252900000001,100.493087
527,tt0307453,Shark Tale,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
536,tt11228748,The King: Youngwonui Gunjoo,"Woljeonggyo Bridge, Gyeongju, South Korea",(Kingdom of Corea palace scenes),"월정교, 월성동, 경상북도, 38164, 대한민국",35.829566899999996,129.218142
567,tt0443649,"10,000 BC","Queenstown, Otago, New Zealand",,"Queenstown, Queenstown-Lakes District, Otago, 9348, New Zealand",-45.0321923,168.66099999999997
569,tt0443649,"10,000 BC","Wanaka, Otago, New Zealand",,"Wanaka, Queenstown-Lakes District, Otago, 9305, New Zealand",-44.694169099999996,169.13646369999998
580,tt3411444,Ferdinand,"Ronda, Málaga, Andalucía, Spain",(bridge - inspirated),"Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España",36.7421339,-5.166591599999999
584,tt0429591,Aquamarine,"Kingscliff, New South Wales, Australia",,"Kingscliff, Tweed Shire Council, New South Wales, 2487, Australia",-28.2566667,153.5761111
