lconst,lLabel,lAltLabel,lat,long
l9753,"Times Square, West 45th Street, Times Square, Manhattan Community Board 5, Times Square, New York County, New York, 10036, United States of America","Times Square, Manhattan, New York City, New York, USA",40.75728055,-73.98585503545918
l6846,"New York, United States of America","New York City, New York, USA",40.7127281,-74.0060152
l7961,"Queens, Queens County, New York, United States of America","Queens, New York City, New York, USA",40.74982429999999,-73.7976337
l6846,"New York, United States of America","New York, USA",40.7127281,-74.0060152
l4199,"Gold Coast City, Queensland, Australia","Gold Coast, Queensland, Australia",-28.002373100000003,153.4145987
l1950,"Brisbane City, Queensland, Australia","Brisbane, Queensland, Australia",-27.4689682,153.02349909999995
l10244,"Village Roadshow Studios, Entertainment Road, Oxenford, Gold Coast City, Queensland, 4210, Australia","Village Roadshow Studios, Oxenford, Queensland, Australia",-27.91052770000001,153.3118145855983
l9078,"South Pasadena, Los Angeles County, California, 91030, United States of America","South Pasadena, California, USA",34.113306200000004,-118.1478291
l7371,"Paris, Île-de-France, France métropolitaine, France",Paris France,48.8566969,2.3514616000000004
l3786,"Fire Station 23, 225, East 5th Street, Skid Row, Downtown, Los Angeles, Los Angeles County, California, 90013, United States of America","Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA",34.0458225,-118.24658608423
