Code,Show Name,Location,Scene
/title/tt6905542/,The Dark Crystal: Age of Resistance,UK,
/title/tt0435625/,The Descent,"Perth and Kinross, Scotland, UK",
/title/tt0435625/,The Descent,"Berkhamsted, Hertfordshire, England, UK",
/title/tt0435625/,The Descent,"Tring, Hertfordshire, England, UK",
/title/tt0816462/,Conan the Barbarian,Bulgaria,
/title/tt0816462/,Conan the Barbarian,"Blue Grotto, Zurrieq, Malta",(sea side)                        
/title/tt0816462/,Conan the Barbarian,"Vitosha, Bulgaria",
/title/tt0816462/,Conan the Barbarian,Malta,
/title/tt0816462/,Conan the Barbarian,"New Boyana Film Studios, Sofia, Bulgaria",
/title/tt0316654/,Spider-Man 2,"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",(bank)                        
/title/tt0316654/,Spider-Man 2,"Ivar Theatre - 1605 N. Ivar Avenue, Hollywood, Los Angeles, California, USA",
/title/tt0316654/,Spider-Man 2,"Barclay Inter-Continental Hotel - 111 E. 48th Street, Manhattan, New York City, New York, USA",
/title/tt0316654/,Spider-Man 2,"Chicago, Illinois, USA",(train)                        
/title/tt0316654/,Spider-Man 2,"Cypress Hills Cemetery, Brooklyn, New York City, New York, USA",
/title/tt0316654/,Spider-Man 2,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        
/title/tt0316654/,Spider-Man 2,"Sunnyside, Queens, New York City, New York, USA",
/title/tt0316654/,Spider-Man 2,"Forest Hills, Queens, New York City, New York, USA",
/title/tt1320253/,The Expendables,Brazil,
/title/tt1320253/,The Expendables,"Rio de Janeiro, Brazil",
/title/tt1320253/,The Expendables,"Louisiana, USA",
/title/tt1320253/,The Expendables,"Fort Macomb, New Orleans, Louisiana, USA",(Barney's fight scene)                        
/title/tt1320253/,The Expendables,USA,
/title/tt1320253/,The Expendables,"Los Angeles, California, USA",
/title/tt3663490/,The Librarians,"Portland, Oregon, USA",
/title/tt3475734/,Agent Carter,"Los Angeles, California, USA",
/title/tt3475734/,Agent Carter,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(street scenes)                        
/title/tt0120783/,The Parent Trap,"Napa Valley, California, USA",(Staglin Family Vineyard)                        
/title/tt0120783/,The Parent Trap,"23 Egerton Terrace, Kensington, London, England, UK",(exterior: Elizabeth James Home)                        
/title/tt0120783/,The Parent Trap,"Lake Gregory, California, USA",
/title/tt0120783/,The Parent Trap,"RMS Queen Mary - 1126 Queens Highway, Long Beach, California, USA",
/title/tt0120783/,The Parent Trap,"The Langham Huntington Hotel - 1401 South Oak Knoll Avenue, Pasadena, California, USA",(interior: Stafford Hotel)                        
/title/tt0120783/,The Parent Trap,"Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt0120783/,The Parent Trap,"Santa Clarita, California, USA",
/title/tt0120783/,The Parent Trap,"Long Beach Airport - 4101 E. Donald Douglas Drive, Long Beach, California, USA",
/title/tt0120783/,The Parent Trap,"Los Angeles, California, USA",
/title/tt0120783/,The Parent Trap,"California, USA",
/title/tt1133985/,Green Lantern,"San Diego, California, USA",(aeriel city shots)                        
/title/tt1133985/,Green Lantern,"Main St & St Mary St, Madisonville, Louisiana, USA",
/title/tt1133985/,Green Lantern,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt1133985/,Green Lantern,"Soggy Dry Lake, Lucerne Valley, California, USA",
/title/tt1133985/,Green Lantern,"Los Angeles, California, USA",(reshoots)                        
/title/tt1133985/,Green Lantern,USA,
/title/tt1133985/,Green Lantern,"Burbank, California, USA",
/title/tt0480249/,I Am Legend,"USS Intrepid, New York City, New York, USA",(golf practice)                        
/title/tt0480249/,I Am Legend,"West Amwell, New Jersey, USA",
/title/tt0480249/,I Am Legend,"Dumbo, Brooklyn, New York City, New York, USA",
/title/tt0480249/,I Am Legend,"Washington Heights, Manhattan, New York City, New York, USA",
/title/tt0480249/,I Am Legend,"11 Washington Square North, Greenwich Village, Manhattan, New York City, New York, USA",(exteriors: Robert Neville's house)                        
/title/tt0480249/,I Am Legend,"Herald Square, Manhattan, New York City, New York, USA",(Neville driving)                        
/title/tt0480249/,I Am Legend,"New York City, New York, USA",
/title/tt0480249/,I Am Legend,"20 East Fourth Street, Manhattan, New York City, New York, USA",(video store)                        
/title/tt0480249/,I Am Legend,"Temple of Dendur, Metropolitan Museum of Art, Manhattan, New York City, New York, USA",(Neville fishing)                        
/title/tt0480249/,I Am Legend,"Los Angeles, California, USA",
/title/tt0480249/,I Am Legend,"Madison Square Park, Manhattan, New York City, New York, USA",(deer hunting)                        
/title/tt0480249/,I Am Legend,"Mt. Airy, New Jersey, USA",(Vermont survivors settlement)                        
/title/tt0080455/,The Blues Brothers,"Dixie Square Mall - 151st Street & Dixie Highway, Harvey, Illinois, USA",(Shopping Mall Complex)                        
/title/tt0080455/,The Blues Brothers,"Pilgrim Baptist Church - 9114 S. Burley Avenue, South Chicago, Chicago, Illinois, USA",(Church scene with James Brown)                        
/title/tt0080455/,The Blues Brothers,"22 W. Van Buren Street, The Loop, Downtown, Chicago, Illinois, USA",(Jake and Elwood's apartment)                        
/title/tt0080455/,The Blues Brothers,"West Wind Motel - 28W721 Roosevelt Rd., West Chicago, Illinois, USA",(Motel scene with Twiggy)                        
/title/tt0080455/,The Blues Brothers,"Chez Paul Restaurant - 660 N. Rush Street, Near North Side, Chicago, Illinois, USA",(Restaurant)                        
/title/tt0080455/,The Blues Brothers,"Cooks Picnic Grove, Bangs Lake, Wauconda, Illinois, USA",(beach scene)                        
/title/tt0080455/,The Blues Brothers,"Joliet Prison - Collins Street, Joliet, Illinois, USA",(Prison)                        
/title/tt0080455/,The Blues Brothers,"Daniel Hoan Memorial Bridge, Milwaukee, Wisconsin, USA",(Car chase with Nazis - car hangs off bridge)                        
