Code,Show Name,Location,Scene
/title/tt7435316/,The Glorias,"Savannah, Georgia, USA",(Harvard Scene)                        
/title/tt7435316/,The Glorias,"New York City, New York, USA",(on location)                        
/title/tt7549996/,Judy,"Hackney Empire, 291 Mare St, London, England, UK","(doubling for the ""Talk of the Town"" nightclub)                        "
/title/tt7549996/,Judy,"West London Film Studios, London, England, UK",(studio)                        
/title/tt7549996/,Judy,"The Hill Garden & Pergola, The Pergola, Inverforth Cl, London NW3 7EX, United Kingdom",(Judy gets spun round.)                        
/title/tt8503618/,Hamilton,"Richard Rodgers Theatre - 226 W. 46th Street, Manhattan, New York City, New York, USA",
/title/tt1950186/,Le Mans '66,"Savannah, Georgia, USA",(Circuit de la Sarthe)                        
/title/tt1950186/,Le Mans '66,"Auto Club Speedway - 9300 Cherry Avenue, Fontana, California, USA",(24 Hours at Daytona)                        
/title/tt1950186/,Le Mans '66,"Ontario International Airport - 2900 E. Airport Drive, Ontario, California, USA",(Shelby America factory/hangar)                        
/title/tt1950186/,Le Mans '66,"645 N Avenue 64, Los Angeles, California, USA",(Ken's auto repair)                        
/title/tt1950186/,Le Mans '66,"Statesboro, Georgia, USA",(racing track scenes)                        
/title/tt1950186/,Le Mans '66,"Agua Dulce Airpark - 33638 Agua Dulce Canyon Rd, Santa Clarita, California, USA",(Circuit de la Sarthe - pits and grandstands)                        
/title/tt1950186/,Le Mans '66,"Ontario, California, USA",
/title/tt1950186/,Le Mans '66,"California, USA",
/title/tt1950186/,Le Mans '66,USA,
/title/tt4916630/,Just Mercy,"East Point, Georgia, USA",(Dry Cleaners)                        
/title/tt4916630/,Just Mercy,"Dexter Avenue, Montgomery, Alabama, USA",(location)                        
/title/tt4916630/,Just Mercy,"Georgia, USA",
/title/tt4916630/,Just Mercy,"Alabama, USA",
/title/tt4669788/,On the Basis of Sex,"276 St-Jaques West, Old Montréal, Canada",(Office scene with a young Ruth Bader Ginsburg)                        
/title/tt0993846/,The Wolf of Wall Street,"Portofino, Genoa, Liguria, Italy",(when Jordan and Naomi receive news of death of aunt Emma)                        
/title/tt0993846/,The Wolf of Wall Street,"Shalimar Diner, 63-68 Austin St, Rego Park, New York City, New York, USA",(Azoff approaches Belfort for work)                        
/title/tt0993846/,The Wolf of Wall Street,"White Plains, New York, USA",(location)                        
/title/tt0993846/,The Wolf of Wall Street,"Las Vegas, Nevada, USA",(location)                        
/title/tt0993846/,The Wolf of Wall Street,"Mamaroneck, New York, USA",(location)                        
/title/tt0993846/,The Wolf of Wall Street,"300 East 55th Street, Manhattan, New York City, New York, USA",(Belfort's downtown apartment)                        
/title/tt0993846/,The Wolf of Wall Street,"Trump Tower - 725 Fifth Avenue, Manhattan, New York City, New York, USA",(Belfort caught with Naomi in limo)                        
/title/tt0993846/,The Wolf of Wall Street,"Air Hollywood - 13240 Weidner Street, Pacoima, Los Angeles, California, USA",(location)                        
/title/tt0993846/,The Wolf of Wall Street,"Brooklyn, New York City, New York, USA",(night shot of bridge)                        
/title/tt0993846/,The Wolf of Wall Street,"JC Studios, Brooklyn, New York City, New York, USA",(location)                        
/title/tt0993846/,The Wolf of Wall Street,"Geneva, Canton de Genève, Switzerland",(view from swiss bank meeting room)                        
/title/tt0993846/,The Wolf of Wall Street,"Nassau Street, Manhattan, New York City, New York, USA",(location)                        
/title/tt0993846/,The Wolf of Wall Street,"10 Vanderbilt Drive, Sands Point, Port Washington, New York, USA",(Belfort beach house)                        
/title/tt0993846/,The Wolf of Wall Street,"Sands Point, Port Washington, New York, USA",
/title/tt0993846/,The Wolf of Wall Street,"Port Washington, New York, USA",
/title/tt0993846/,The Wolf of Wall Street,USA,
/title/tt6394270/,Bombshell,"Los Angeles, California, USA",
/title/tt6394270/,Bombshell,"Los Angeles Center Studios, Los Angeles, California, USA",
/title/tt2788432/,American Crime Story,"1006 N Rexford Drive, Beverly Hills, California, USA",(O.J. Simpson's house)                        
/title/tt2788432/,American Crime Story,"917 South Bundy Drive, Brentwood, Los Angeles, California, USA",(Nicole Simpson's condo exterior- set built in a driveway with use of CGI)                        
/title/tt2788432/,American Crime Story,"3314 Club Drive, Los Angeles, California, USA",(Marcia Clark's house)                        
/title/tt2788432/,American Crime Story,"Hollywood Forever Cemetery - 6000 Santa Monica Blvd., Hollywood, Los Angeles, California, USA",(Chapel & grave- Nicole Simpson's funeral)                        
/title/tt2788432/,American Crime Story,"Long Beach Freeway- Interstate 710, Alhambra, California, USA",(freeway chase scenes- doubling as the 405 freeway)                        
/title/tt2788432/,American Crime Story,"Chin Chin- 11740 San Vicente Blvd, Los Angeles, California, USA",(Kardashian Father's Day restaurant scenes)                        
/title/tt2788432/,American Crime Story,"Mount St. Mary's College, Doheny Mansion - 10 Chester Pl, Los Angeles, California, USA",(Dominick Dunne's dinner party)                        
/title/tt2788432/,American Crime Story,"Omni Los Angeles Hotel at California Plaza - 251 S Olive St, Los Angeles, California, USA",(jurors hotel)                        
/title/tt2788432/,American Crime Story,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",(interiors- court building and LAPD offices)                        
/title/tt2788432/,American Crime Story,"1999 Avenue of the Stars, Los Angeles, California, USA",(Robert Shapiro's office- interiors)                        
/title/tt2788432/,American Crime Story,"Le Petit Bistro - 631 N La Cienega Blvd, West Hollywood, California, USA",(F. Lee Bailey & Robert Shapiro's lunch)                        
/title/tt2788432/,American Crime Story,"The American Legion, Hollywood Post 43 - 2035 N Highland Ave, Los Angeles, California, USA",(birthday party in Oakland)                        
/title/tt2788432/,American Crime Story,"Stage 10, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt2788432/,American Crime Story,"Stone Harbor, New Jersey, USA",(Jersey Shore)                        
/title/tt2788432/,American Crime Story,"Wilmington, Delaware, USA",(Residence)                        
/title/tt0099685/,Goodfellas,"New Rochelle, New York, USA",
/title/tt0099685/,Goodfellas,"Tampa, Florida, USA",
/title/tt0099685/,Goodfellas,"56-26 Maspeth Avenue, Maspeth, New York City, New York, USA",(Diner)                        
/title/tt0099685/,Goodfellas,"Marlboro, New Jersey, USA",(closing scene - Henry goes outside to get the paper)                        
/title/tt0099685/,Goodfellas,"2995 Richmond Avenue, Staten Island, New York City, New York, USA",
/title/tt0099685/,Goodfellas,"1080 Inwood Terrace, Fort Lee, New Jersey, USA",(Henry & Karen's house after Henry's prison time.)                        
/title/tt0099685/,Goodfellas,"Babbage Street, Richmond Hill, Queens, New York City, New York, USA",(two bodies found in the pink cadillac)                        
/title/tt0099685/,Goodfellas,"Copacabana Nightclub - 10 East 60th Street, East Side, Manhattan, New York City, New York, USA",(kitchen scene: tracking shot)                        
/title/tt0099685/,Goodfellas,"George Washington Bridge, Manhattan, New York City, New York, USA",
/title/tt0099685/,Goodfellas,"Salerno's Restaurant - 11711 Hillside Avenue, Richmond Hill, Queens, New York City, New York, USA",(Henry and Karen on date)                        
/title/tt0099685/,Goodfellas,"19 Alfred Lane, New Rochelle, New York, USA",(Karen's parents house)                        
/title/tt0099685/,Goodfellas,"Catalina Beach Club - 2041 Park Street, Atlantic Beach, Long Island, New York, USA",(upmarket beach club)                        
/title/tt0099685/,Goodfellas,"Fifth Avenue, Manhattan, New York City, New York, USA",
/title/tt0099685/,Goodfellas,"Hawaii Kai Restaurant, 49th Street, Broadway, Manhattan, New York City, New York, USA",(Bamboo Lounge - funny guy scene)                        
/title/tt0099685/,Goodfellas,"Prospect Park, Brooklyn, New York City, New York, USA",
/title/tt0099685/,Goodfellas,"Richmond Avenue, Staten Island, New York City, New York, USA",(shopping mall: paranoid Henry Hill makes phone call about being tailed by a helicopter)                        
/title/tt0099685/,Goodfellas,"Valley Stream, Long Island, New York, USA",
/title/tt0099685/,Goodfellas,"JFK International Airport, Jamaica, Queens, New York City, New York, USA",(cargo buildings: Idlewild Airport)                        
