Code,Show Name,Location,Scene
/title/tt1650554/,Kick-Ass 2,"Toronto, Ontario, Canada",(Desmond Miller)                        
/title/tt1650554/,Kick-Ass 2,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",
/title/tt1650554/,Kick-Ass 2,"Southgate, London, England, UK",
/title/tt1650554/,Kick-Ass 2,"Revival 629, 629 Eastern Avenue, Toronto, Ontario, Canada",(Carp Shop)                        
/title/tt0092312/,21 Jump Street,"New Westminster Secondary School, New Westminster, British Columbia, Canada",(Annala)                        
/title/tt0092312/,21 Jump Street,"Vancouver, British Columbia, Canada",
/title/tt5093026/,Papillon,"Belgrade, Serbia",
/title/tt5093026/,Papillon,"Niksic, Montenegro",
/title/tt5093026/,Papillon,"Ulcinj, Montenegro",
/title/tt5093026/,Papillon,"Kalkara, Malta",(Times of Malta 30-11-2016)                        
/title/tt5093026/,Papillon,"Rabat, Malta",(Times of Malta 30-11-2016)                        
/title/tt0356910/,Mr. & Mrs. Smith,"1565 San Pasqual Street, Pasadena, California, USA",(exteriors: Smith residence)                        
/title/tt0356910/,Mr. & Mrs. Smith,"The Cicada Restaurant and Club - 617 S Olive St, Los Angeles, California, USA","(restaurant, dance club)                        "
/title/tt0356910/,Mr. & Mrs. Smith,"Quality Coffee Shop - 1238 West 7th Street, Los Angeles, California, USA",
/title/tt0356910/,Mr. & Mrs. Smith,"Brooklyn Bridge, New York City, New York, USA",
/title/tt0356910/,Mr. & Mrs. Smith,"Pasadena, California, USA",
/title/tt0356910/,Mr. & Mrs. Smith,"Vincent Thomas Bridge, San Pedro, Los Angeles, California, USA",
/title/tt0356910/,Mr. & Mrs. Smith,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",(studio)                        
/title/tt0356910/,Mr. & Mrs. Smith,"570 Lexington Avenue, New York City, New York, USA",(Mrs. Smith's office)                        
/title/tt1297754/,Republic of Doyle,"St John's, Newfoundland and Labrador, Canada",
/title/tt0488120/,Fracture,"4411 Noeline Avenue, Encino, Los Angeles, California, USA",(Crawford's house)                        
/title/tt0488120/,Fracture,"Fairmont Miramar Hotel Santa Monica - 101 Wilshire Blvd., Santa Monica, California, USA",
/title/tt0488120/,Fracture,"Standard Hotel - 550 S. Flower Street, Los Angeles, California, USA",
/title/tt0488120/,Fracture,"Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt0488120/,Fracture,"Los Angeles, California, USA",
/title/tt2582782/,Hell or High Water,"Clovis, New Mexico, USA",
/title/tt2582782/,Hell or High Water,"Tucumcari, New Mexico, USA",(location)                        
/title/tt2582782/,Hell or High Water,"Albuquerque, New Mexico, USA",(Rangers headquarters at 320 Gold Ave SW)                        
/title/tt2582782/,Hell or High Water,"Route 66 Casino and Hotel, Albuquerque New Mexico, USA",(as Comanche 66 casino in Oklahoma)                        
/title/tt2582782/,Hell or High Water,"New Mexico, USA",
/title/tt2582782/,Hell or High Water,"NM-156, Caprock Escarpment, Quay County, New Mexico, USA",(winding road)                        
/title/tt2582782/,Hell or High Water,"Safford, Arizona, USA",
/title/tt2582782/,Hell or High Water,"Sunset Motel, East 501 Rte 66, Moriarity, New Mexico, USA",(location)                        
/title/tt2582782/,Hell or High Water,"To'hajiilee, New Mexico, USA",(Shootout scene)                        
/title/tt1535109/,Captain Phillips,Malta,
/title/tt1535109/,Captain Phillips,"Malta Freeport Terminals, Port of Marsaxlokk, Malta",
/title/tt1535109/,Captain Phillips,"Sidi Bibi, Morocco",
/title/tt1535109/,Captain Phillips,"Massachusetts, USA",
/title/tt1535109/,Captain Phillips,"Virginia Beach, Virginia, USA",
/title/tt1535109/,Captain Phillips,"Agadir, Morocco",
/title/tt1535109/,Captain Phillips,"Longcross Studios, Chobham Lane, Longcross, Surrey, England, UK",(studio)                        
/title/tt1535109/,Captain Phillips,"Boston, Massachusetts, USA",
/title/tt1535109/,Captain Phillips,"Lincoln, Massachusetts, USA",(filming across from Sister's house)                        
/title/tt1535109/,Captain Phillips,"Worcester, Massachusetts, USA",(airport)                        
/title/tt5691670/,Under the Silver Lake,"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",(Crypt Bar interior)                        
/title/tt5691670/,Under the Silver Lake,"Griffith Observatory, 2800 E Observatory Rd, Los Angeles, California, USA",(Exterior: James Dean bust and Isaac Newton statue)                        
/title/tt5691670/,Under the Silver Lake,"Hollywood Forever Cemetery - 6000 Santa Monica Blvd., Hollywood, Los Angeles, California, USA",(Outdoor movie screening and Cathedral Mausoleum interior)                        
/title/tt5691670/,Under the Silver Lake,"Fern Dell, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",(Woodland paths beside stream)                        
/title/tt5691670/,Under the Silver Lake,"Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA","(Sam finds the hidden location, with a mysterious hut, which has been erased from online maps)                        "
/title/tt5691670/,Under the Silver Lake,"Griffith Park, Los Angeles, California, USA",
/title/tt5691670/,Under the Silver Lake,"Canfield-Moreno Estate - 1923 Micheltorena Street, Silver Lake, Los Angeles, California, USA",(Songwriter's house)                        
/title/tt0340855/,Monster,"Daytona Beach, Florida, USA",(Daytona International Speedway)                        
/title/tt0340855/,Monster,"Sanford, Florida, USA",
/title/tt0340855/,Monster,"Kissimmee, Florida, USA",
/title/tt0106489/,A Bronx Tale,"Gravesend Neck Road & East 15th Street, Brooklyn, New York City, New York, USA",(Jane's neighborhood)                        
/title/tt0106489/,A Bronx Tale,"Jersey City, New Jersey, USA",(the boxing match scene is filmed at the armory in jersey city)                        
/title/tt0106489/,A Bronx Tale,"Bronx, New York City, New York, USA",
/title/tt0106489/,A Bronx Tale,"4408 30th Avenue, Astoria, Queens, New York City, New York, USA",(Anello family's apartment)                        
/title/tt0106489/,A Bronx Tale,"4810 31st Avenue, Astoria, Queens, New York City, New York, USA",(high school)                        
/title/tt0299658/,Chicago,"Ontario Legislature Building, Queen's Park, Toronto, Ontario, Canada",(as courthouse steps for press conference)                        
/title/tt0299658/,Chicago,"Casa Loma, Toronto, Ontario, Canada","(as office of Billy Flynn, interior)                        "
/title/tt0299658/,Chicago,"Toronto, Ontario, Canada",
/title/tt0299658/,Chicago,"Chicago, Illinois, USA",(exterior shots)                        
/title/tt0299658/,Chicago,"Osgoode Hall, Toronto, Ontario, Canada",(Hospital exterior)                        
/title/tt0299658/,Chicago,"Downsview Park Studios, 40 Carl Hall Road, Toronto, Ontario, Canada",
/title/tt0299658/,Chicago,"Elgin Theatre, Toronto, Ontario, Canada",(as the Chicago Theatre interior)                        
/title/tt1596343/,Fast & Furious 5,Puerto Rico,
/title/tt1596343/,Fast & Furious 5,"Rio de Janeiro, Rio de Janeiro, Brazil",
/title/tt1596343/,Fast & Furious 5,"Parker, Arizona, USA",
/title/tt1596343/,Fast & Furious 5,"Los Angeles, California, USA",
/title/tt1596343/,Fast & Furious 5,"Middle Georgia Regional Airport, 1000 Terminal Dr, Macon, GA 31297, USA",(Hobbs arrives in Rio de Janeiro)                        
/title/tt0056758/,General Hospital,"ABC Television Center - 4151 Prospect Avenue, Los Angeles, California, USA",(studio) (formerly ABC Television Center) (studio D: 1963-77) (studio 54: 1989-)                        
/title/tt0056758/,General Hospital,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",
/title/tt0056758/,General Hospital,"Mount Rushmore National Memorial - Highway 244, Keystone, South Dakota, USA",
/title/tt0056758/,General Hospital,"Hollywood, Los Angeles, California, USA",
/title/tt0056758/,General Hospital,"Cahuenga Studios, Los Angeles, California, USA",(studio) (1977-78)                        
/title/tt2005151/,War Dogs,Romania,
/title/tt2005151/,War Dogs,"Casablanca, Morocco",
/title/tt2005151/,War Dogs,"El Centro, California, USA",
/title/tt2005151/,War Dogs,"Las Vegas, Nevada, USA",
/title/tt2005151/,War Dogs,"Palace of the Parliament, Bucharest, Romania","(as Tirana, Albania) (background exterior)                        "
/title/tt2005151/,War Dogs,USA,
/title/tt0887883/,Burn After Reading,"Bronx Community College - University Avenue at West 181 Street, Bronx, New York City, New York, USA",
/title/tt0887883/,Burn After Reading,"Tower Records - 809 Route 17, Paramus, New Jersey, USA",(Hardbodies Gym)                        
/title/tt0887883/,Burn After Reading,"Clearview Cinemas Chelsea West - 333 West 23rd Street, New York, USA",(interiors)                        
/title/tt0887883/,Burn After Reading,"Costco Wholesale - 1 Industrial Lane, New Rochelle, New York, USA",(location)                        
/title/tt0887883/,Burn After Reading,"New York City, New York, USA",
/title/tt0887883/,Burn After Reading,"Steiner Studios - 15 Washington Avenue, Brooklyn Navy Yard, Brooklyn, New York City, New York, USA",(studio)                        
/title/tt0887883/,Burn After Reading,"Washington, District of Columbia, USA",
/title/tt0047885/,Blackboard Jungle,"El Segundo, California, USA",
/title/tt0101114/,Heartbeat,"Goathland Garage, Goathland, Whitby, North Yorkshire, England, UK",(Bernie Scripps' garage and funeral parlour)                        
/title/tt0101114/,Heartbeat,"Goathland Railway Station, Cow Wath Bank, Goathland, Whitby, North Yorkshire, England, UK",(Aidensfield station)                        
/title/tt0101114/,Heartbeat,"Brow House Farm, Goathland, Whitby, North Yorkshire, England, UK",(Claude Greengrass' farm)                        
/title/tt0101114/,Heartbeat,"Whitby, North Yorkshire, England, UK",(Whitby)                        
/title/tt0101114/,Heartbeat,"Glendale House, Goathland, Whitby, North Yorkshire, England, UK",(Dr Ferrenby's and Kate Rowan's surgery)                        
/title/tt0101114/,Heartbeat,"Ripon Court House Museum, Ripon, North Yorkshire, England, UK",(Ashfordly Magistrate's Court)                        
/title/tt0101114/,Heartbeat,"Beck Hole, North Yorkshire, England, UK",
/title/tt0101114/,Heartbeat,"Grosmont Railway Station, Front Street, Grosmont, Whitby, North Yorkshire, England, UK",
/title/tt0101114/,Heartbeat,"Grosmont, Whitby, North Yorkshire, England, UK",
/title/tt1032755/,RocknRolla,"Connaught Tunnel, near London City Airport, Newham, East London, London, England, UK",(Chase on railway with Russians after robbery.)                        
/title/tt1032755/,RocknRolla,"Wembley Stadium, Wembley, London, England, UK",
/title/tt1032755/,RocknRolla,"Barbican, London, England, UK",(The scene with the counciler getting his plums squeezed by Lenny)                        
/title/tt1032755/,RocknRolla,"Stoke Park House, Park Road, Stoke Poges, Buckinghamshire, England, UK",(golf course scene)                        
/title/tt1032755/,RocknRolla,"Geffrye Museum of the Home, London, England, UK",(Final scene)                        
/title/tt1298644/,The Hustle,"Majorca, Balearic Islands, Spain",
/title/tt0099422/,Dick Tracy,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt0099422/,Dick Tracy,"Los Angeles, California, USA",
/title/tt0099422/,Dick Tracy,USA,
/title/tt0452623/,Gone Baby Gone,"Boston, Massachusetts, USA",
