Code,Show Name,Location,Scene
/title/tt0805647/,The Witches,"Surrey, England, UK",
/title/tt10324122/,Secret Society of Second-Born Royals,"Mississauga, Ontario, Canada",
/title/tt0107120/,Hocus Pocus,"Plimouth Plantation - 137 Warren Avenue, Plymouth, Massachusetts, USA",(Google Maps)                        
/title/tt0107120/,Hocus Pocus,"4 Ocean Ave, Salem, Massachusetts, USA",(Max's house exterior)                        
/title/tt0107120/,Hocus Pocus,"Marblehead, Massachusetts, USA",(cemetery in the daytime)                        
/title/tt0107120/,Hocus Pocus,"Pioneer Village, Forest River Park - West Avenue, Salem, Massachusetts, USA",
/title/tt0107120/,Hocus Pocus,"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",
/title/tt0107120/,Hocus Pocus,"Park Plaza Hotel - 607 S. Park View Street, Los Angeles, California, USA",
/title/tt4566758/,Mulan,"Auckland, New Zealand",(studio) (Kumeu Film Studios)                        
/title/tt4566758/,Mulan,"Xinjiang, China",
/title/tt0087538/,Het uur van de waarheid,"Golf 'N' Stuff - 10555 Firestone Blvd., Norwalk, California, USA",
/title/tt0087538/,Het uur van de waarheid,"19223 Saticoy Street, Reseda, Los Angeles, California, USA",(LaRusso apartment)                        
/title/tt0087538/,Het uur van de waarheid,"Charles Evans Hughes Jr. High School - 5607 Capistrano, Woodland Hills, Los Angeles, California, USA",
/title/tt0087538/,Het uur van de waarheid,"5410 Wilshire Blvd., Los Angeles, California, USA",(Orient Express)                        
/title/tt0087538/,Het uur van de waarheid,"4072 Alonzo Avenue, Encino, Los Angeles, California, USA",(Ali's house)                        
/title/tt0087538/,Het uur van de waarheid,"Leo Carrillo State Beach - 35000 W. Pacific Coast Highway, Malibu, California, USA",
/title/tt0087538/,Het uur van de waarheid,"The Wig Shop - 5376 Wilshire Boulevard, Los Angeles, California, USA",(Cobrai Kai karate dojo; first view; exterior)                        
/title/tt0087538/,Het uur van de waarheid,"Chatsworth Reservoir - Chatsworth, California, USA",(Daniel trains on Mr. Miyagi's boat)                        
/title/tt0087538/,Het uur van de waarheid,"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",(lobby area of all-valley Karate tournament)                        
/title/tt0087538/,Het uur van de waarheid,"Calabasas, California, USA",
/title/tt0087538/,Het uur van de waarheid,"Oak Creek Canyon, Arizona, USA",
/title/tt0087538/,Het uur van de waarheid,"Apex Import - 5376 Wilshire Boulevard, Los Angeles, California, USA",(first exterior shot of Karate dojo)                        
/title/tt0087538/,Het uur van de waarheid,"Northridge, Los Angeles, California, USA",
/title/tt0087538/,Het uur van de waarheid,"Canyon Portal Hotel - 280 N Highway 89a, Sedona, Arizona, USA",
/title/tt0087538/,Het uur van de waarheid,"Los Angeles, California, USA",
/title/tt0087538/,Het uur van de waarheid,"Canoga Park, Los Angeles, California, USA",
/title/tt10183988/,Julie and the Phantoms,"Vancouver, British Columbia, Canada",
/title/tt10183988/,Julie and the Phantoms,"The Bridge Studios, Burnaby, British Columbia, Canada",
/title/tt0241527/,Harry Potter en de steen der wijzen,"Alnwick Castle, Alnwick, Northumberland, England, UK",(Hogwarts School of Witchcraft and Wizardry: broomstick flying lessons)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"Pedestrian Bridge, York Railway Station, Station Road, York, North Yorkshire, England, UK",(Hagrid passes ticket for Platform 9¾ to Harry)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"Goathland Railway Station, Cow Wath Bank, Goathland, Whitby, North Yorkshire, England, UK",(Hogsmeade station)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"12 Picket Post Close, Martin's Heron, Bracknell, Berkshire, England, UK",(Dursley house; exterior)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"Black Park, Iver Heath, Buckinghamshire, England, UK",(dark forest)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"West Highland Railway Line, Scotland, UK",(Train journey to Hogwarts)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"Glen Nevis, Fort William, Highland, Scotland, UK",(Quidditch scenes: background landscape)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"Leadenhall Market, Lime Street, Broadgate, London, England, UK",(The Leaky Cauldron)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"Duke Humfrey's Library, Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK","(Hogwarts School, library scenes)                        "
/title/tt0241527/,Harry Potter en de steen der wijzen,"Divinity School, Bodleian Library, Broad Street, Oxford, Oxfordshire, England, UK","(Hogwarts School, sanatorium scenes)                        "
/title/tt0241527/,Harry Potter en de steen der wijzen,"Leavesden Studios, Leavesden, Hertfordshire, England, UK",(studio)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"England, UK",
/title/tt0241527/,Harry Potter en de steen der wijzen,"D Stage, Leavesden Studios, Leavesden, Hertfordshire, England, UK",(Dursley house interior; train compartment scenes)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"F Stage, Leavesden Studios, Leavesden, Hertfordshire, England, UK",(Hut-on-the-Rock; moving marble staircases; Devil's Snare room)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"A Stage, Leavesden Studios, Leavesden, Hertfordshire, England, UK",(Gringotts vaults; moving portraits; Gryffindor common room and boys dormitory; girls' bathroom; Quidditch scenes; Hermione sets Snape's cloak on fire)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"H Stage, Leavesden Studios, Leavesden, Hertfordshire, England, UK",(Harry discovers the dead unicorn in the forest)                        
/title/tt0241527/,Harry Potter en de steen der wijzen,"North Yorkshire Moors Railway, 12 Park Street, Pickering, North Yorkshire, England, UK",
/title/tt0241527/,Harry Potter en de steen der wijzen,"Goathland, Whitby, North Yorkshire, England, UK",
/title/tt0436992/,Doctor Who,"Cardiff, Wales, UK",
/title/tt0436992/,Doctor Who,"Penarth, Vale of Glamorgan, Wales, UK",
/title/tt0436992/,Doctor Who,"London, England, UK",
/title/tt0436992/,Doctor Who,"Swansea, Wales, UK",
/title/tt0436992/,Doctor Who,"Tredegar House, Newport, Wales, UK",
/title/tt0436992/,Doctor Who,"Tenerife, Canary Islands, Spain",(Location)                        
/title/tt0100944/,The Witches,"Headland Hotel, Newquay, Cornwall, England, UK",
/title/tt0100944/,The Witches,"Cookham Dean, Berkshire, England, UK",(Helga's English House + Village Scenes)                        
/title/tt0100944/,The Witches,"Charnwold, Hills Lane, Cookham, Berkshire, England, UK",(Woman in Black approaches Luke)                        
/title/tt0100944/,The Witches,"Dean Manor, Hills Lane, Cookham, Berkshire, England, UK",(Helga's house)                        
/title/tt0100944/,The Witches,"Bigfrith Lane, Cookham, Berkshire, England, UK",(Children walking to school)                        
/title/tt0100944/,The Witches,"Hardangerjøkulen glacier, Finse, Norway",(opening sequence gliding over the snowy mountain tops)                        
/title/tt1620981/,The Addams Family,"Cinesite Studios - 565 Great Northern Way, Vancouver, British Columbia, Canada",
/title/tt2850386/,The Croods: A New Age,"Los Angeles, California, USA",(beach scenes)                        
/title/tt4532038/,The War with Grandpa,"Atlanta, Georgia, USA",
/title/tt1094229/,Heartland,"Longview, Alberta, Canada",
/title/tt1094229/,Heartland,"High River, Alberta, Canada",
/title/tt1094229/,Heartland,"Millarville, Alberta, Canada",
/title/tt2771200/,Beauty and the Beast,"Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt2771200/,Beauty and the Beast,"Ashridge Estate, Hertfordshire, England, UK",(Mob of villagers march to the Beast's castle)                        
/title/tt2771200/,Beauty and the Beast,UK,
/title/tt2771200/,Beauty and the Beast,"A Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(castle entrance; castle terrace; rooftop walkway)                        
/title/tt2771200/,Beauty and the Beast,"C Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(ballroom)                        
/title/tt2771200/,Beauty and the Beast,"E Stage, Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt2771200/,Beauty and the Beast,"G Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(interior of Gaston's tavern)                        
/title/tt6587640/,Trolls World Tour,"Glendale, California, USA",(DreamWorks Animation)                        
/title/tt0107688/,The Nightmare Before Christmas,"Skellington Productions - 375 7th Street, San Francisco, California, USA",(studio)                        
/title/tt4633694/,Spider-Man: Een nieuw universum,"Chicago, Illinois, USA",(Train and Bar Flashback Scene)                        
/title/tt4123430/,Fantastic Beasts: The Crimes of Grindelwald,"Lacock Abbey, Lacock, Wiltshire, England, UK",(Hogwarts School)                        
/title/tt4123430/,Fantastic Beasts: The Crimes of Grindelwald,"The Seven Sisters, Sussex, England, UK",(on location)                        
/title/tt4123430/,Fantastic Beasts: The Crimes of Grindelwald,"Ashbridge, Hertfordshire, UK",
/title/tt0330373/,Harry Potter en de vuurbeker,"Glenfinnan Viaduct, Fort William, Highland, Scotland, UK",(Hogwarts Express)                        
/title/tt0330373/,Harry Potter en de vuurbeker,"Black Park, Iver Heath, Buckinghamshire, England, UK",(dark forest)                        
/title/tt0330373/,Harry Potter en de vuurbeker,"Steall Falls, Glen Nevis, Highland, Scotland, UK",
/title/tt0330373/,Harry Potter en de vuurbeker,"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",(backdrop to the Quidditch World Cup)                        
/title/tt0330373/,Harry Potter en de vuurbeker,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        
/title/tt0330373/,Harry Potter en de vuurbeker,"Virginia Water, Surrey, England, UK",
/title/tt0101862/,Father of the Bride,"843 S. El Molino Avenue, Pasadena, California, USA",(Banks family home)                        
/title/tt0101862/,Father of the Bride,"1015 California Avenue, Santa Monica, California, USA",(wedding church interiors)                        
/title/tt0101862/,Father of the Bride,"Cheval Bistro, 41 South Delacy Street, Pasadena, California, USA",(bar)                        
/title/tt0101862/,Father of the Bride,"Melrose Place, West Hollywood, California, USA",(boutique of Franck Eggelhoffer)                        
/title/tt0101862/,Father of the Bride,"Trinity Baptist Church - 2040 W. Jefferson Boulevard, Santa Monica, California, USA",(wedding church exteriors)                        
/title/tt0101862/,Father of the Bride,"Pasadena, California, USA",
/title/tt6105098/,The Lion King,South Africa,
/title/tt6105098/,The Lion King,Africa,
/title/tt0097647/,The Karate Kid Part III,"Ennis House - 2607 Glendower Avenue, Los Feliz, Los Angeles, California, USA",
/title/tt0097647/,The Karate Kid Part III,"135 N. Avenue 50, Los Angeles, California, USA",(Bonsai Tree Shop)                        
/title/tt0097647/,The Karate Kid Part III,"19223 Saticoy Street, Reseda, Los Angeles, California, USA",(Daniel's apartment)                        
/title/tt0097647/,The Karate Kid Part III,"Palisades Park, Santa Monica, California, USA",
/title/tt0097647/,The Karate Kid Part III,"5225 Lankershim Boulevard, North Hollywood, Los Angeles, California, USA",(karate dojo)                        
/title/tt0097647/,The Karate Kid Part III,"1816 Oak Street, Los Angeles, California, USA",(The Downstairs Dance Club)                        
/title/tt0097647/,The Karate Kid Part III,"Reseda, Los Angeles, California, USA",
/title/tt0097647/,The Karate Kid Part III,"Los Feliz, Los Angeles, California, USA",
/title/tt0097647/,The Karate Kid Part III,"California, USA",
/title/tt0089218/,The Goonies,"Cannon Beach, Oregon, USA",(truck rally in the opening)                        
/title/tt0089218/,The Goonies,"368 38th Street, Astoria, Oregon, USA",(Walsh family house)                        
/title/tt0089218/,The Goonies,"Goat Rock State Beach, Jenner, California, USA",(Cauldron Point)                        
/title/tt0089218/,The Goonies,"Gower Street, Cannon Beach, Clatsop, Oregon, USA",(The Fratellis wonder why they're here)                        
/title/tt0089218/,The Goonies,"Flavel House Museum - 441 8th Street, Astoria, Oregon, USA",(museum where Irving Walsh works)                        
/title/tt0089218/,The Goonies,"East Mooring Basin, Astoria, Oregon, USA",(Stef has her head in a barrel of crabs)                        
/title/tt0089218/,The Goonies,"32 Skyline Avenue, Astoria, Oregon, USA",(Mouth's house)                        
/title/tt0089218/,The Goonies,"Clatsop County Jail - 732 Duane Street, Astoria, Oregon, USA",(opening jail escape)                        
/title/tt0089218/,The Goonies,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(Grotto with pirate ship)                        
/title/tt0089218/,The Goonies,"Ecola State Park - Highway 101, Cannon Beach, Oregon, USA",(Lighthouse Lounge)                        
/title/tt0108927/,"Sister, Sister","Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",
/title/tt0071007/,Het kleine huis op de prairie,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA","(As the town of Mankato, Minnesota)                        "
/title/tt0071007/,Het kleine huis op de prairie,"San Rafael Ranch State Park, Patagonia, Arizona, USA",
