Code,Show Name,Location,Scene
/title/tt9170108/,Raised by Wolves,"Film Afrika Studios, Cape Town, South Africa",
/title/tt4052886/,Lucifer,"Vancouver, British Columbia, Canada",(Season 1 & 2)                        
/title/tt4052886/,Lucifer,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt0805647/,The Witches,"Surrey, England, UK",
/title/tt4685762/,The Craft: Legacy,"Toronto, Ontario, Canada",
/title/tt6905686/,Lovecraft Country,"Illinois, USA",
/title/tt6905686/,Lovecraft Country,"Cinespace Film Studios, Chicago, Illinois, USA",(studio)                        
/title/tt6905686/,Lovecraft Country,"Blackhall Studios, Atlanta, Georgia, USA",
/title/tt0944947/,Game of Thrones,"Split, Split-Dalmatia County, Croatia",
/title/tt0944947/,Game of Thrones,"Dubrovnik, Croatia",
/title/tt0944947/,Game of Thrones,"Ouarzazate, Morocco",
/title/tt0944947/,Game of Thrones,"Harland and Wolff Paint Hall, Titanic-Quarter, Belfast, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Valletta, Malta",
/title/tt0944947/,Game of Thrones,"Klis Fortress, Klis, Croatia",
/title/tt0944947/,Game of Thrones,"Seville, Andalucia, Spain",
/title/tt0944947/,Game of Thrones,"Real Alcázar, Seville, Andalucia, Spain",(Water Gardens of Dorne)                        
/title/tt0944947/,Game of Thrones,"Doune Castle, Doune, Stirling, Scotland, UK",
/title/tt0944947/,Game of Thrones,"Ballymoney, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Belfast, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Carncastle, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Ramparts, Essaouira, Morocco",(ramparts of Astapor)                        
/title/tt0944947/,Game of Thrones,"El Chorrillo, Pechina, Almeria, Andalucia, Spain",(Vaes Dothrak)                        
/title/tt0944947/,Game of Thrones,"Svínafellsjökull Glacier, Iceland",
/title/tt0944947/,Game of Thrones,"Cordoba, Andalucía, Spain",(Long Bridge of Volantis)                        
/title/tt0944947/,Game of Thrones,"Giant's Causeway, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Canet de Mar, Barcelona, Catalonia, Spain",(location)                        
/title/tt0944947/,Game of Thrones,"Barrika, Vizcaya, País Vasco, Spain",(Dragonstone beach exterior scenes)                        
/title/tt0944947/,Game of Thrones,"Malpartida de Cáceres, Cáceres, Extremadura, Spain",
/title/tt0944947/,Game of Thrones,"Los Angeles, California, USA",
