Code,Show Name,Location,Scene
/title/tt1070874/,The Trial of the Chicago 7,"Chicago, Illinois, USA",
/title/tt1070874/,The Trial of the Chicago 7,USA,
/title/tt1070874/,The Trial of the Chicago 7,"New Jersey, USA",
/title/tt2306299/,Vikings,"Ballyhenry Studios, Ashford, Co Wicklow, Ireland",
/title/tt2306299/,Vikings,"Searchmont, Ontario, Canada",
/title/tt2306299/,Vikings,"Ashford studios, Ballyhenry, County Wicklow, Ireland",
/title/tt2306299/,Vikings,"Hellesylt, Norway",(Backgrounds)                        
/title/tt4786824/,The Crown,"Ardverikie estate, Highland, Scotland, UK",(Balmoral Castle in Scotland)                        
/title/tt4786824/,The Crown,"Ely Cathedral, Chapter House, The College, Ely, Cambridgeshire, England, UK",
/title/tt4786824/,The Crown,"Waddesdon Manor, Waddesdon, Buckinghamshire, England, UK",(Season 2)                        
/title/tt4786824/,The Crown,"Cruden Bay, Aberdeenshire, Scotland, UK",
/title/tt4786824/,The Crown,"Woodchester Mansion, Gloucestershire, England, UK",(Gordonstoun school - Season 2)                        
/title/tt4786824/,The Crown,"Elstree Studios, Borehamwood, Hertfordshire, England, UK",(studio)                        
/title/tt4786824/,The Crown,"Wrotham Park, Barnet, Hertfordshire, England, UK",
/title/tt4786824/,The Crown,"Wilton House, Wilton, Salisbury, Wiltshire, England, UK",
/title/tt4786824/,The Crown,"Hatfield House, Hatfield, Hertfordshire, England, UK",
/title/tt4786824/,The Crown,"Theatre Royal Drury Lane, London, England, UK",
/title/tt4786824/,The Crown,"Dover Castle, Dover, Kent, England, UK",
/title/tt7435316/,The Glorias,"Savannah, Georgia, USA",(Harvard Scene)                        
/title/tt7435316/,The Glorias,"New York City, New York, USA",(on location)                        
/title/tt7549996/,Judy,"Hackney Empire, 291 Mare St, London, England, UK","(doubling for the ""Talk of the Town"" nightclub)                        "
/title/tt7549996/,Judy,"West London Film Studios, London, England, UK",(studio)                        
/title/tt7549996/,Judy,"The Hill Garden & Pergola, The Pergola, Inverforth Cl, London NW3 7EX, United Kingdom",(Judy gets spun round.)                        
/title/tt5743796/,Warrior,"Cape Town Film Studios, Cape Town, Western Cape, South Africa",
/title/tt11656892/,Des,"HM Prison Shepton Mallet, Shepton Mallet, Somerset, England, UK",(Later prison interiors)                        
/title/tt11656892/,Des,"Watford, Hertfordshire, England, UK",(As Melrose Avenue house)                        
/title/tt4179452/,The Last Kingdom,"Korda Studios, Etyek, Hungary",
/title/tt3833480/,The Outpost,Bulgaria,
/title/tt3833480/,The Outpost,"Sofia, Bulgaria",
/title/tt8503618/,Hamilton,"Richard Rodgers Theatre - 226 W. 46th Street, Manhattan, New York City, New York, USA",
/title/tt7366338/,Chernobyl,"Vilnius, Lithuania",(as Pripyat)                        
/title/tt7366338/,Chernobyl,"Chernobyl, Ukraine",(on location)                        
/title/tt7366338/,Chernobyl,"Kyiv, Ukraine",(as Moscow exterior scenes)                        
/title/tt7366338/,Chernobyl,Ukraine,
/title/tt1983079/,Call the Midwife,"Chatham Historic Dockyard, Chatham, Kent, England, UK",(London street exteriors)                        
/title/tt1983079/,Call the Midwife,"Club House, Barrow Hills Golf Course, Longcross Road, Chertsey, Surrey, England, UK",(Nonnatus House: Series 3-)                        
/title/tt1983079/,Call the Midwife,"Admiral's Offices, Historic Dockyard Chatham, Chatham, Kent, England, UK",(maternity hospital)                        
/title/tt1983079/,Call the Midwife,"HMS Cavalier, Historic Dockyard Chatham, Chatham, Kent, England, UK",(location)                        
/title/tt1442449/,Spartacus: Blood and Sand,New Zealand,
/title/tt1442449/,Spartacus: Blood and Sand,"Mount Wellington, Auckland, New Zealand",(studio)                        
/title/tt0185906/,Band of Brothers,"Giessbach Hotel, Brienz, Kanton Bern, Switzerland",
/title/tt0185906/,Band of Brothers,"Hertfordshire, England, UK",
/title/tt0185906/,Band of Brothers,"Goldings, Hertfordshire, England, UK",
/title/tt0108052/,Schindler's List,"Auschwitz-Birkenau Concentration Camp, Oswiecim, Malopolskie, Poland",
/title/tt0108052/,Schindler's List,"Plaszów, Kraków, Malopolskie, Poland",
/title/tt0108052/,Schindler's List,"Kraków, Malopolskie, Poland","(main location) (as Krakow, Poland)                        "
/title/tt0108052/,Schindler's List,"Jerusalem, Israel",
/title/tt0108052/,Schindler's List,Israel,
/title/tt6048922/,Greyhound,"Baton Rouge, Louisiana, USA",
/title/tt0758790/,The Tudors,"Drimnagh Castle, Drimnagh, Dublin, County Dublin, Ireland",
/title/tt0758790/,The Tudors,"Kilmainham Jail, Dublin, County Dublin, Ireland",
/title/tt0758790/,The Tudors,"Cathedral of the Holy Trinity, Christ Church Cathedral, Christchurch, Dublin, County Dublin, Ireland",
/title/tt0758790/,The Tudors,"Kilruddery House, Bray, County Wicklow, Ireland",(season 4)                        
/title/tt0758790/,The Tudors,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",
/title/tt7984766/,The King,"Szilvásvárad, Hungary",(location)                        
/title/tt7984766/,The King,"Komarom, Hungary",(location)                        
/title/tt7984766/,The King,"Lincolnshire, England, UK",(location)                        
/title/tt7984766/,The King,"Battle Abbey, Butter Cross, High St, Battle TN33 0AE, United Kingdom",(Exterior shots with Hal and his sister)                        
/title/tt6924650/,Midway,"Montréal, Québec, Canada",
/title/tt6924650/,Midway,"Schofield Barracks, Wilkina Drive, O'ahu, Hawaii, USA",
/title/tt5057130/,Medici,"Florence, Tuscany, Italy","(Palazzo Vecchio, Florence Cathedral, Florence Baptistery, Basilica of St Lawrence, Bargello Palace)                        "
/title/tt5057130/,Medici,"Montepulciano, Siena, Tuscany, Italy",
/title/tt5057130/,Medici,"Tivoli, Rome, Lazio, Italy","(Hadrian's Villa, Villa d'Este)                        "
/title/tt5057130/,Medici,"Bagno Vignoni, San Quirico d'Orcia, Siena, Tuscany, Italy",
/title/tt5057130/,Medici,"Pistoia, Tuscany, Italy",
/title/tt5057130/,Medici,"Viterbo, Lazio, Italy",
/title/tt2235759/,The Great,"Royal Palace, Caserta, Campania, Italy",
/title/tt2235759/,The Great,"Hever Castle, Hever, Kent, England, UK",
/title/tt2235759/,The Great,"Three Mills Studios, Three Mill Lane, Bow, London, England, UK",(studio)                        
/title/tt2235759/,The Great,"Castle Howard, York, North Yorkshire, England, UK",
/title/tt2235759/,The Great,"Hatfield, Hertfordshire, England, UK",
/title/tt2235759/,The Great,"Bow, London, England, UK",
/title/tt2235759/,The Great,"Richmond, Surrey, England, UK",
/title/tt2235759/,The Great,"England, UK",
/title/tt2235759/,The Great,Italy,
/title/tt0979432/,Boardwalk Empire,"Ridgewood, Queens, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Fairview Avenue, Staten Island, New York City, New York, USA",(Season 3)                        
/title/tt0979432/,Boardwalk Empire,"Miller Field, Staten Island, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Knox Place, Staten Island, New York City, New York, USA",(Season 3)                        
/title/tt0979432/,Boardwalk Empire,"Cortlandt Alley, Manhattan, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Housman Avenue, Staten Island, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Seguine Equestrian Center, Staten Island, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Sylvan Terrace, Washington Heights, Manhattan, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Washington Heights, Manhattan, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"New York, USA",
/title/tt0979432/,Boardwalk Empire,"Gramercy Park, Manhattan, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Gold Street, Brooklyn, New York City, New York, USA",(Season 3)                        
/title/tt0979432/,Boardwalk Empire,"Queens, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,"Clinton Avenue, Brooklyn, New York City, New York, USA",
/title/tt0979432/,Boardwalk Empire,USA,
/title/tt4846340/,Hidden Figures,"East Point, Georgia, USA",(Katherine's home)                        
/title/tt4846340/,Hidden Figures,"Canton, Georgia, USA",(Exterior of Library)                        
/title/tt4846340/,Hidden Figures,"Atlanta, Georgia, USA",
/title/tt4846340/,Hidden Figures,"Madison, Georgia, USA",(Road scenes)                        
/title/tt4846340/,Hidden Figures,"Emory University - 201 Dowman Drive, Atlanta, Georgia, USA",(interior scenes)                        
/title/tt5013056/,Dunkirk,"Urk, Flevoland, Netherlands",
/title/tt5013056/,Dunkirk,"Weymouth, Dorset, England, UK",(English port)                        
/title/tt5013056/,Dunkirk,"Plage de Malo-les-Bains, Dunkerque, Nord, France",(Operation Dynamo)                        
/title/tt5013056/,Dunkirk,"Dunkerque, Nord, France",
/title/tt5013056/,Dunkirk,"La dune Dewulf France, Dunkerque, Nord, France",(Operation Dynamo)                        
/title/tt5013056/,Dunkirk,"Rue Belle Rade, Dunkerque, Nord, France",(street barricade held by French soldiers)                        
/title/tt5013056/,Dunkirk,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt5013056/,Dunkirk,"Los Angeles, California, USA",
/title/tt5013056/,Dunkirk,USA,
/title/tt9244556/,Mrs. America,"Toronto, Ontario, Canada",
/title/tt0332452/,Troy,Morocco,
/title/tt0332452/,Troy,"Fort Ricasoli, Kalkara, Malta",
/title/tt0332452/,Troy,"Golden Sands Beach, Malta",
/title/tt0332452/,Troy,"Mediterranean Film Studios, Kalkara, Malta",
/title/tt0332452/,Troy,"Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt0112573/,Braveheart,"Fort William, Glen Coe, Highland, Scotland, UK",
/title/tt0112573/,Braveheart,"Aonach Eagach, Highland, Scotland, UK",(opening sequence)                        
/title/tt0112573/,Braveheart,"Glen Nevis, Fort William, Highland, Scotland, UK",
/title/tt0112573/,Braveheart,"Loch Leven, Onich, Highland, Scotland, UK",
/title/tt0112573/,Braveheart,"Ballymore Eustace, County Kildare, Ireland",
/title/tt0112573/,Braveheart,"Curragh Plains, County Kildare, Ireland",(Battle of Stirling Bridge)                        
/title/tt0112573/,Braveheart,"Dunsoghly Castle, County Dublin, Ireland",(Edinburgh Castle)                        
/title/tt0112573/,Braveheart,"Dunsany Castle, County Meath, Ireland",
/title/tt0112573/,Braveheart,"Scotland, UK",
/title/tt0112573/,Braveheart,"Sally's Gap, County Wicklow, Ireland",
/title/tt0112573/,Braveheart,"Kippure Estate, Blessington, County Wicklow, Ireland",
/title/tt0112573/,Braveheart,"St Margarets, Dublin, County Dublin, Ireland",
/title/tt0112573/,Braveheart,UK,
/title/tt1707386/,Les Misérables,"Old Royal Naval College, Greenwich, London, England, UK",
/title/tt1707386/,Les Misérables,"Pultney Bridge and Weir, Bath, Somerset, UK",
/title/tt1707386/,Les Misérables,"Winchester Cathedral, Winchester, Hampshire, England, UK",
/title/tt1707386/,Les Misérables,"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",(winter countryside outside Paris)                        
/title/tt1707386/,Les Misérables,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",
/title/tt1707386/,Les Misérables,"Winchester, Hampshire, England, UK",
/title/tt1707386/,Les Misérables,France,
/title/tt1707386/,Les Misérables,"Frithsden Beeches, Hertfordshire, England, UK",(woodlands)                        
/title/tt10244612/,Oktoberfest: Beer & Blood,"Deutenhausen, Bavaria, Germany",(scene in inn)                        
/title/tt10244612/,Oktoberfest: Beer & Blood,"Praha, New Town, Prague, Czech Republic",
/title/tt10244612/,Oktoberfest: Beer & Blood,"Burg Trausnitz, Landshut, Bavaria, Germany",
/title/tt8417308/,The Spanish Princess,"Almería, Andalucía, Spain",
/title/tt3636060/,Poldark,"Poldark Mine, Trenear, Helston, Cornwall, UK",(underground mining scenes)                        
/title/tt3636060/,Poldark,"Wheal Owles Mine, Penwith, St Just, Cornwall, England, UK",(Wheal Leisure mine)                        
/title/tt3636060/,Poldark,"St Fagans National History Museum, St Fagans, South Glamorgan, Wales, UK",(interiors)                        
/title/tt3636060/,Poldark,"Gunwalloe Church Cove, nr Helston, Cornwall, England, UK",
/title/tt3636060/,Poldark,"Lizard Point, Landewednack, nr Helston, Cornwall, England, UK",(shipwreck)                        
/title/tt3636060/,Poldark,"Town Hall, Corsham, Wiltshire, England, UK",
/title/tt3636060/,Poldark,"Levant Mine, Trewellard, St Just, Cornwall, England, UK",
/title/tt3636060/,Poldark,"Chavenage Chapel, Tetbury, Gloucestershire, England, UK",(Sawle church)                        
/title/tt3636060/,Poldark,"Prior Park, Bath, Somerset, England, UK",
/title/tt3636060/,Poldark,"Porthcothan, Cornwall, England, UK",(Nampara cove)                        
/title/tt3636060/,Poldark,"Constantine Bay, near Padstow, Cornwall, England, UK",
/title/tt3636060/,Poldark,"Bristol, England, UK",(studio)                        
/title/tt2119532/,Hacksaw Ridge,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",
/title/tt2119532/,Hacksaw Ridge,"Sydney, New South Wales, Australia",
/title/tt2119532/,Hacksaw Ridge,"Southern Highlands, New South Wales, Australia",
/title/tt2119532/,Hacksaw Ridge,"Newington Armory, Sydney Olympic Park, New South Wales, Australia",(Fort Jackson)                        
/title/tt2119532/,Hacksaw Ridge,"Manly, Sydney, New South Wales, Australia",(School of Artillery)                        
/title/tt2119532/,Hacksaw Ridge,"North Carolina, USA",
/title/tt1663202/,The Revenant,"Ushuaia, Tierra del Fuego, Argentina",(final fight between Glass and Fitzgerald)                        
/title/tt1663202/,The Revenant,"British Columbia, Canada",
/title/tt1663202/,The Revenant,"Calgary, Alberta, Canada",
/title/tt1663202/,The Revenant,"San Francisco Peaks, Arizona, USA",
/title/tt1663202/,The Revenant,"White Mountains, Arizona, USA",
/title/tt1663202/,The Revenant,"Morley Indian Reserve, Morley, Alberta, Canada",(Indians attack)                        
/title/tt1663202/,The Revenant,"Fortress Mountain, Kananaskis Country, Alberta, Canada",(Glass chasing Fitzgerald)                        
/title/tt1663202/,The Revenant,"Sierra Madre del Sur, Mexico",
/title/tt1663202/,The Revenant,"Alberta, Canada",
/title/tt1663202/,The Revenant,"Durango, Mexico",(Mexico)                        
/title/tt0348914/,Deadwood,"Melody Ranch - 24715 Oak Creek Avenue, Newhall, California, USA",
/title/tt0348914/,Deadwood,"San Gabriel River, Azusa, California, USA",
/title/tt1213641/,First Man,"Atlanta, Georgia, USA",
/title/tt1213641/,First Man,"690 Rounsaville Rd, Roswell, Georgia, USA",(house was built on empty lot just for filming)                        
/title/tt1213641/,First Man,"Cape Canaveral, Florida, USA",(Kennedy Space Center)                        
/title/tt1213641/,First Man,USA,
/title/tt1596363/,The Big Short,"New Orleans, Louisiana, USA",(primarily the Algiers neighborhood)                        
/title/tt1596363/,The Big Short,"Las Vegas, Nevada, USA",
/title/tt1596363/,The Big Short,USA,
/title/tt1596363/,The Big Short,"Houston St & Lafayette St, New York City, New York, USA",(Mark Baum on cell phone)                        
/title/tt0108358/,Tombstone,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA",
/title/tt0108358/,Tombstone,"Arizona, USA",
/title/tt0108358/,Tombstone,"Little Dragoon Mountains, Arizona, USA",
/title/tt0108358/,Tombstone,"Elgin, Arizona, USA",
/title/tt0108358/,Tombstone,"Mescal, Arizona, USA",
/title/tt0108358/,Tombstone,"San Simon Valley, Arizona, USA",
/title/tt0108358/,Tombstone,"Chiricahua National Monument, Arizona, USA",
/title/tt0108358/,Tombstone,"San Pedro River, Arizona, USA",
/title/tt0108358/,Tombstone,"Tucson Mountains, Arizona, USA",
/title/tt0108358/,Tombstone,"Fort Crittenden, Sonoita, Arizona, USA",
/title/tt0108358/,Tombstone,"Mt. Lemmon, Arizona, USA",
/title/tt0108358/,Tombstone,"Tucson, Arizona, USA",
/title/tt0108358/,Tombstone,"Sierrita Mountains, Arizona, USA",
/title/tt0108358/,Tombstone,"Sonoita, Arizona, USA",
/title/tt2024544/,12 Years a Slave,"Madame John's Legacy, the French Quarter, New Orleans, Louisiana, USA",(slave pen)                        
/title/tt2024544/,12 Years a Slave,"Magnolia Plantation - Highway 311, Schriever, Louisiana, USA",(Ford's house)                        
/title/tt2024544/,12 Years a Slave,"Audubon Park, New Orleans, Louisiana, USA",
/title/tt2024544/,12 Years a Slave,"Bocage Plantation, Darrow, Louisiana, USA",(Shaw farm)                        
/title/tt2024544/,12 Years a Slave,"Columns Hotel - 3811 St Charles Avenue, New Orleans, Louisiana, USA","(hotel in Washington, DC)                        "
/title/tt2024544/,12 Years a Slave,"Magnolia Lane Plantation - 2141 River Rd, Bridge City, Louisiana, USA",(Judge Turner's house)                        
/title/tt2024544/,12 Years a Slave,USA,
/title/tt9071322/,Dark Waters,"Cincinnati, Ohio, USA",(interior and exterior locations)                        
/title/tt9071322/,Dark Waters,"U.S. Bank - 425 Walnut Street, Cincinnati, Ohio, USA",(Taft Law's office building)                        
/title/tt9071322/,Dark Waters,"221 Court Street, Hamilton, Ohio, USA",(restaurant in Parkersburg)                        
/title/tt9071322/,Dark Waters,"Fountain Square, Cincinnati, Ohio, USA",(Rob and colleagues take a break)                        
/title/tt9071322/,Dark Waters,"910 Park Avenue, Hamilton, Ohio, USA",(Bilott's Grandma's house in Parkersburg)                        
/title/tt0384766/,Rome,"Boyana Film Studios, Sofia, Bulgaria",
/title/tt0384766/,Rome,"Rome, Lazio, Italy",
/title/tt4995776/,Operation Brothers,"Cape Town, Western Cape, South Africa",
/title/tt4995776/,Operation Brothers,Namibia,
/title/tt4995776/,Operation Brothers,South Africa,
/title/tt0112384/,Apollo 13,"Kennedy Space Center, Titusville, Florida, USA",
/title/tt0112384/,Apollo 13,"Ellington Field, Texas, USA",
/title/tt0112384/,Apollo 13,"Stage 36, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(spacecraft interiors)                        
/title/tt0112384/,Apollo 13,"Santa Catalina Island, Channel Islands, California, USA",(Splashdown)                        
/title/tt0112384/,Apollo 13,"Lankershim Boulevard & Hesby Street - North Hollywood, California, USA",(Motorist heckles Jim Lovell at traffic light)                        
/title/tt0112384/,Apollo 13,"Safari Inn - 1911 W. Olive Avenue, Burbank, California, USA",(motel)                        
/title/tt0112384/,Apollo 13,"18325 Index Street - Porter Ranch, California, USA",(Lovell residence)                        
/title/tt9148706/,Misbehaviour,"Eltham Palace, Court Yard, London, England, UK",
/title/tt5952634/,The Spy,"Rabat, Morocco",
/title/tt5952634/,The Spy,"Kenitra, Morocco",
/title/tt5952634/,The Spy,"Budapest, Hungary",
/title/tt7137906/,When They See Us,"New York City, New York, USA",
/title/tt5083738/,The Favourite,"Hatfield House, Hatfield, Hertfordshire, England, UK",(main location)                        
/title/tt5083738/,The Favourite,"Divinity School, Oxford, England, UK",
/title/tt5083738/,The Favourite,"Hatfield, Hertfordshire, England, UK",
/title/tt5083738/,The Favourite,"Hertfordshire, England, UK",
/title/tt5083738/,The Favourite,UK,
/title/tt1649419/,The Impossible,"Khao Lak Orchid Beach Resort, Phang Nga, Thailand",
