Code,Show Name,Location,Scene
/title/tt0082933/,Possession,"87 Sebastianstraße, Kreuzberg, Berlin, Germany",(monster's apartment)                        
/title/tt0082933/,Possession,"Bernauer Straße, Berlin, Germany","(opening with final pieces of the ""Wall houses"")                        "
/title/tt0082933/,Possession,"U-Platz der Luftbrücke Subway Station, Berlin, Germany",(Anna screams and smashes bottles)                        
/title/tt0082933/,Possession,"Adalbertstraße, Kreuzberg, Berlin, Germany",(tailing Anna)                        
/title/tt0082933/,Possession,"Fehrbelliner Platz, Berlin, Germany",(Mark checking out the money)                        
/title/tt0082933/,Possession,"Restaurant Stiege - 47a Oranienstraße, Kreuzberg, Berlin, Germany",(Mark kills Heinrich) (only exterior)                        
/title/tt0082933/,Possession,Germany,
/title/tt2963254/,Salem,"Shreveport, Louisiana, USA",
/title/tt0455760/,Dead Silence,"Toronto, Ontario, Canada",
/title/tt1714915/,Only Lovers Left Alive,"Hamburg, Germany",(rock club)                        
/title/tt1714915/,Only Lovers Left Alive,"Detroit, Michigan, USA",
/title/tt1714915/,Only Lovers Left Alive,"Cologne, North Rhine-Westphalia, Germany",(studio)                        
/title/tt1714915/,Only Lovers Left Alive,"MMC Studios, Cologne, North Rhine-Westphalia, Germany",(studio) (apartment interiors) (as MMC Independent Studios Cologne)                        
/title/tt1714915/,Only Lovers Left Alive,Germany,"(Leichlingen, Germany)                        "
/title/tt0795351/,Case 39,"Portland, Oregon, USA",(flyover shots)                        
/title/tt0795351/,Case 39,"Riverview Hospital, Coquitlam, British Columbia, Canada",
/title/tt0795351/,Case 39,"The Bridge Studios, Burnaby, British Columbia, Canada",(studio)                        
/title/tt0464154/,Piranha 3D,"Lake Havasu, Arizona, USA",
/title/tt5968394/,Captive State,"Chicago, Illinois, USA",
/title/tt0013442/,Nosferatu,"Orava Castle, Oravsky Podzámok, Slovakia",
/title/tt0013442/,Nosferatu,"Salzspeicher, Lübeck, Schleswig-Holstein, Germany",(Graf Orlok's house in Wisborg)                        
/title/tt0013442/,Nosferatu,Slovakia,
/title/tt0013442/,Nosferatu,Germany,
/title/tt0013442/,Nosferatu,"Oravsky Podzámok, Slovakia",
/title/tt0013442/,Nosferatu,"Lauenburg, Schleswig-Holstein, Germany",
/title/tt0013442/,Nosferatu,"Schleswig-Holstein, Germany",
/title/tt0013442/,Nosferatu,"Uppsala University, Uppsala, Uppsala län, Sweden",(stock footage)                        
/title/tt0013442/,Nosferatu,"Orava Castle, Oravsky Podzámok, Slovakia",(Castle)                        
/title/tt2377322/,Deliver Us from Evil,"Abu Dhabi, United Arab Emirates",(location)                        
/title/tt3086442/,"Ich seh, Ich seh","Schloßgasse 2 3824, Raabs an der Thaya, Austria",(location)                        
/title/tt0095444/,Killer Klowns from Outer Space,"Santa Cruz Beach Boardwalk, Santa Cruz, California, USA",
/title/tt0095444/,Killer Klowns from Outer Space,"Santa Cruz County, California, USA",
/title/tt0095444/,Killer Klowns from Outer Space,"Santa Cruz Beach, Santa Cruz, California, USA",
/title/tt0095444/,Killer Klowns from Outer Space,"231 Union Street,Watsonville, California, USA","(Police station in film, which was at the time of filming the Watsonville Police Department)                        "
/title/tt0095444/,Killer Klowns from Outer Space,"Santa Cruz, California, USA",
/title/tt0387575/,Seed of Chucky,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",(shot where ambulance pulls up to hospital at 71 mins.)                        
/title/tt0387575/,Seed of Chucky,Romania,
/title/tt0387575/,Seed of Chucky,USA,
/title/tt0387575/,Seed of Chucky,"Bucharest, Romania",
/title/tt1311067/,Halloween II,"New Milford, Connecticut, USA",(additional filming)                        
/title/tt1311067/,Halloween II,"Atlanta, Georgia, USA",
/title/tt1311067/,Halloween II,"Madison, Georgia, USA",
