Code,Show Name,Location,Scene
/title/tt10183988/,Julie and the Phantoms,"Vancouver, British Columbia, Canada",
/title/tt10183988/,Julie and the Phantoms,"The Bridge Studios, Burnaby, British Columbia, Canada",
/title/tt8503618/,Hamilton,"Richard Rodgers Theatre - 226 W. 46th Street, Manhattan, New York City, New York, USA",
/title/tt1327801/,Glee,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio)                        
/title/tt1327801/,Glee,"Alex Theatre - 216 North Brand Boulevard, Glendale, California, USA",
/title/tt2771200/,Beauty and the Beast,"Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt2771200/,Beauty and the Beast,"Ashridge Estate, Hertfordshire, England, UK",(Mob of villagers march to the Beast's castle)                        
/title/tt2771200/,Beauty and the Beast,UK,
/title/tt2771200/,Beauty and the Beast,"A Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(castle entrance; castle terrace; rooftop walkway)                        
/title/tt2771200/,Beauty and the Beast,"C Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(ballroom)                        
/title/tt2771200/,Beauty and the Beast,"E Stage, Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt2771200/,Beauty and the Beast,"G Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(interior of Gaston's tavern)                        
/title/tt6587640/,Trolls World Tour,"Glendale, California, USA",(DreamWorks Animation)                        
/title/tt0107688/,The Nightmare Before Christmas,"Skellington Productions - 375 7th Street, San Francisco, California, USA",(studio)                        
/title/tt0077631/,Grease,"Huntington Park High School - 6020 Miles Avenue, Huntington Park, California, USA",(classroom and big dance contest scenes)                        
/title/tt0077631/,Grease,"Pickwick Drive-In Theater - 1100 W. Alameda Avenue, Burbank, California, USA",(drive-in theatre - now demolished)                        
/title/tt0077631/,Grease,"Leo Carrillo State Beach - 35000 W. Pacific Coast Highway, Malibu, California, USA",(Opening beach scene)                        
/title/tt0077631/,Grease,"4524 Kingswell Avenue, Hollywood, Los Angeles, California, USA",(The Slumber Party)                        
/title/tt0077631/,Grease,"Virgil Junior High School - 152 N. Vermont Avenue, Los Angeles, California, USA",
/title/tt0077631/,Grease,"Silver Lake, Los Angeles, California, USA",
/title/tt0077631/,Grease,"6th Street Viaduct, Los Angeles, California, USA",(Thunder Road Car Race)                        
/title/tt0077631/,Grease,"Los Angeles, California, USA",
/title/tt0077631/,Grease,"Burbank, California, USA",
/title/tt6105098/,The Lion King,South Africa,
/title/tt6105098/,The Lion King,Africa,
/title/tt3521164/,Vaiana,Polynesia,
/title/tt1485796/,The Greatest Showman,"1 E 78th St, New York City, New York, USA",(James B. Duke House)                        
/title/tt1485796/,The Greatest Showman,"Marcy Armory, 355 Marcy Ave, Brooklyn, New York, USA",(Circus interior)                        
/title/tt1485796/,The Greatest Showman,"Gould Memorial Library, Bronx Community College - University Avenue at West 181 Street, Bronx, New York City, New York, USA",(Barnum's troupe take a stand against the upper class)                        
/title/tt1485796/,The Greatest Showman,"Howard Gilman Opera House - 30 Lafayette Avenue, Brooklyn, New York City, New York, USA",(Jenny Lind's first performance)                        
/title/tt1485796/,The Greatest Showman,"Historic Richmond Town, Staten Island, New York, USA",(interior historic house)                        
/title/tt4520988/,Frozen II,"Norway, Norge",
/title/tt4520988/,Frozen II,"Chicago Illinois, USA",(forest)                        
/title/tt6139732/,Aladdin,"Wadi Rum, Jordan",(location)                        
/title/tt6139732/,Aladdin,"Petra, Jordan",(location)                        
/title/tt0367594/,Charlie and the Chocolate Factory,"Gengenbach, Baden-Württemberg, Germany","(Dusseldorf, Germany)                        "
/title/tt0367594/,Charlie and the Chocolate Factory,"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(model of the factory; the Chocolate Room)                        
/title/tt0367594/,Charlie and the Chocolate Factory,"Compair Factory, High Wycombe, Buckinghamshire, England, UK",(Compressed Air Factory)                        
/title/tt0367594/,Charlie and the Chocolate Factory,"London, England, UK",
/title/tt0367594/,Charlie and the Chocolate Factory,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        
/title/tt0367594/,Charlie and the Chocolate Factory,"D Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",
/title/tt0367594/,Charlie and the Chocolate Factory,"S Stage, Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt0367594/,Charlie and the Chocolate Factory,"Toronto, Ontario, Canada",(Nestle Chocolate Factory of Toronto)                        
/title/tt0367594/,Charlie and the Chocolate Factory,USA,
/title/tt0367594/,Charlie and the Chocolate Factory,"Backlot, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(Cherry Street)                        
/title/tt0367594/,Charlie and the Chocolate Factory,"B Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(Swiss restaurant where young Willy tries chocolate fondue; nut room)                        
/title/tt0073629/,The Rocky Horror Picture Show,"Oakley Court, Windsor Road, Oakley Green, Windsor, Berkshire, England, UK","(castle exterior, criminologist's study, Brad's room, Janet's room, dining room, Columbia's room, entrance hall and stairs)                        "
/title/tt0073629/,The Rocky Horror Picture Show,"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",(studio)                        
/title/tt2294629/,Frozen,"Walt Disney Animation Studios - 2100 W Riverside Drive, Burbank, California, USA",(studio)                        
/title/tt6911608/,Mamma Mia! Here We Go Again,"Vis, Croatia",
/title/tt6911608/,Mamma Mia! Here We Go Again,"Jastozera Restaurant, Komiza, Vis Island, Croatia",(Taverna)                        
/title/tt6911608/,Mamma Mia! Here We Go Again,"Barjaci, Vis Island, Croatia",(Jetty)                        
