Code,Show Name,Location,Scene
/title/tt0055277/,The Parent Trap,"Bluff Lake, Big Bear Valley, San Bernardino National Forest, California, USA",
/title/tt0055277/,The Parent Trap,"Pebble Beach, California, USA",(Golf course scenes)                        
/title/tt0055277/,The Parent Trap,"Santa Clarita, California, USA",
/title/tt0055277/,The Parent Trap,"Lake Arrowhead, San Bernardino National Forest, California, USA",
/title/tt0055277/,The Parent Trap,"Monterey, California, USA",
/title/tt0055277/,The Parent Trap,"Monterey Peninsula Airport - 200 Fred Kane Drive, Monterey, California, USA",
/title/tt0207275/,The 10th Kingdom,"Falls, Krimml, Salzburg, Austria",
/title/tt0207275/,The 10th Kingdom,"Black Park Country Park, Wexham, Buckinghamshire, England, UK",
/title/tt0207275/,The 10th Kingdom,"Frensham Little Pond, Farnham, Surrey, England, UK",(Entry to the Third Kingdom across pond by boat)                        
/title/tt0207275/,The 10th Kingdom,"Kaysersberg, Haut-Rhin, France",(Kissing Town sequences)                        
/title/tt0207275/,The 10th Kingdom,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        
/title/tt0207275/,The 10th Kingdom,"Schloss Werfen, Salzburg, Austria",
/title/tt0207275/,The 10th Kingdom,"Turckheim, Haut-Rhin, France",(Kissing Town sequences)                        
/title/tt0207275/,The 10th Kingdom,"Weald & Downland Open Air Museum, Singleton, Chichester, West Sussex, England, UK",(All Little Lamb Village Sequences)                        
/title/tt0207275/,The 10th Kingdom,"New York City, New York, USA",
/title/tt1986770/,Anger Management,"Los Angeles, California, USA",
/title/tt0062595/,One Life to Live,"Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA",(1988 episode)                        
/title/tt0062595/,One Life to Live,"Kingston, Jamaica",
/title/tt0062595/,One Life to Live,"Buenos Aires, Federal District, Argentina",
/title/tt0062595/,One Life to Live,"Iguazú Waterfalls, Misiones, Argentina",
/title/tt0062595/,One Life to Live,"New Vernon, New Jersey, USA","(St. James Church, exteriors)                        "
/title/tt0062595/,One Life to Live,"Ocho Rios, St. Ann, Jamaica",
/title/tt0062595/,One Life to Live,"Salzburg, Salzburg, Austria",
/title/tt0062595/,One Life to Live,"Southampton, New York, USA",
/title/tt7413448/,Pretty Little Liars: The Perfectionists,"Portland, Oregon, USA",(Pilot)                        
/title/tt7413448/,Pretty Little Liars: The Perfectionists,"Forest Grove, Oregon, USA",
/title/tt0112883/,Don Juan DeMarco,"New York, USA",
/title/tt0112883/,Don Juan DeMarco,"Santa Clarita, California, USA",
/title/tt0112883/,Don Juan DeMarco,"S.S. Lane Victory, Pier 94, San Pedro, Los Angeles, California, USA",
/title/tt0037096/,Mrs. Parkington,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        
/title/tt0047437/,Sabrina,"George Lewis Mansion - Benedict Canyon Drive, Bel Air, Los Angeles, California, USA",(Larrabee estate) (demolished in the 1960's)                        
/title/tt0047437/,Sabrina,"30 Broad Street, Manhattan, New York City, New York, USA",(exteriors: Larrabee companies headquarters)                        
/title/tt0047437/,Sabrina,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio)                        
/title/tt0352248/,Cinderella Man,"Distillery District, Toronto, Ontario, Canada",(exterior scenes)                        
