Code,Show Name,Location,Scene
/title/tt3606756/,Incredibles 2,"Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA",
/title/tt3606756/,Incredibles 2,"Chicago, Illinois, USA",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","St John Street, Clerkenwell, London, England, UK",(JD's bar)                        
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","The Royal Oak Public House, Columbia Road, Bethnal Green, London, England, UK",(Samoan Jo's - the South Seas bar)                        
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","19, Park Street, Borough, SE1, London, England, UK",(the hideout)                        
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Bethnal Green Town Hall, Bethnal Green, London, England, UK",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Borough Market, Borough, London, England, UK",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Royal Oak Hotel - 73 Columbia Road, Bethnal Green, London, England, UK",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Cheshire Street, Shoreditch, London, England, UK",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Southwark Bridge, Southwark, London, England, UK",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","13-15 Park Street, London, England, UK",
/title/tt0120735/,"Lock, Stock and Two Smoking Barrels",UK,
/title/tt0120484/,The Waterboy,"Stetson University - 421 N. Woodland Boulevard, DeLand, Florida, USA",(Inside and outside shots)                        
/title/tt0120484/,The Waterboy,"Lakeland, Florida, USA",
/title/tt0120484/,The Waterboy,"Orlando, Florida, USA",
/title/tt0120484/,The Waterboy,"Jacksonville, Florida, USA",(Alltel stadium/Everbank Field in the opening shot)                        
/title/tt0120484/,The Waterboy,"University of South Carolina, Columbia, South Carolina, USA",(Williams-Brice Stadium)                        
/title/tt1604099/,Victorious,"Nickelodeon on Sunset - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",
/title/tt1791528/,Inherent Vice,"Arrowhead Springs Hotel - 24918 Arrowhead Springs Road, San Bernardino, California, USA",(Chryskylodone)                        
/title/tt1791528/,Inherent Vice,"Las Vegas, Nevada, USA",
/title/tt1791528/,Inherent Vice,"906 Loma Vista Drive, Beverly Hills, California, USA",(Wolfman's house)                        
/title/tt1791528/,Inherent Vice,"Ocean Drive, Manhattan Beach, California, USA",(Sportello's beach house)                        
/title/tt1791528/,Inherent Vice,"Los Angeles, California, USA",
/title/tt0112442/,Bad Boys,"Miami, Florida, USA",
/title/tt0112442/,Bad Boys,"Art Deco District, South Beach, Miami Beach, Florida, USA",
/title/tt0112442/,Bad Boys,"Park Avenue, Miami Beach, Florida, USA",
/title/tt0112442/,Bad Boys,USA,
/title/tt0112442/,Bad Boys,"Coral Gables, Florida, USA",
/title/tt0112442/,Bad Boys,"South Beach, Miami Beach, Florida, USA",
