Code,Show Name,Location,Scene
/title/tt5773402/,Dominion,Australia,
/title/tt12789550/,Hopper/Welles,"Beverly Hills, California, USA",
/title/tt0386032/,Sicko,"Havana, Cuba",
/title/tt0386032/,Sicko,Canada,
/title/tt0386032/,Sicko,"Denver, Colorado, USA",
/title/tt0386032/,Sicko,"Downtown, Los Angeles, California, USA",
/title/tt0386032/,Sicko,"Greenwich, London, England, UK",
/title/tt0386032/,Sicko,"Hammersmith, London, England, UK",
/title/tt0386032/,Sicko,"London, England, UK",
/title/tt0386032/,Sicko,"Los Angeles, California, USA",
/title/tt0386032/,Sicko,"Palais de Chaillot, Paris 16, Paris, France",
/title/tt0386032/,Sicko,"Pont Alexandre III, Paris 7, Paris, France",
/title/tt0386032/,Sicko,"St. Joseph's Medical Center - 1000 Carondelet Drive, Kansas City, Missouri, USA",
/title/tt0386032/,Sicko,"Victor Hugo, Porte des Lilas, Le Métro, Paris, France",
/title/tt5598102/,Visages villages,"Musée du Louvre, Paris 1, Paris, France",(museum gallery)                        
/title/tt5598102/,Visages villages,"Sainte-Marguerite-sur-Mer, Seine-Maritime, France",(bunker fallen from cliff)                        
/title/tt5598102/,Visages villages,"Bonnieux, Vaucluse, France","(postman, woman with umbrella, bell ringer)                        "
/title/tt5598102/,Visages villages,"Goult, Vaucluse, France",(multiple locations)                        
/title/tt5598102/,Visages villages,"Terminal de France - Port du Havre, Seine-Maritime, France",(docks)                        
/title/tt5598102/,Visages villages,"Le Havre, Seine-Maritime, France",
/title/tt5598102/,Visages villages,"Rue Daguerre, Paris 14, Paris, France",(Agnès meeting with J.R.)                        
/title/tt5598102/,Visages villages,"Montjustin, Alpes-de-Haute-Provence, France",(Henri Cartier-Bresson and Martine Franck's graves)                        
/title/tt0841119/,Lake of Fire,"Atlanta, Georgia, USA",
/title/tt0841119/,Lake of Fire,"California, USA",
/title/tt0841119/,Lake of Fire,"Florida, USA",
/title/tt0841119/,Lake of Fire,"Minnesota, USA",
/title/tt0841119/,Lake of Fire,"Pensacola, Florida, USA",
/title/tt0841119/,Lake of Fire,"Sioux Falls, South Dakota, USA",
/title/tt3521134/,The Look of Silence,Indonesia,
/title/tt0077599/,Gay USA,"New York City, New York, USA",(gay pride parade)                        
/title/tt0077599/,Gay USA,"San Diego, California, USA",(gay pride parade)                        
/title/tt0077599/,Gay USA,"Chicago, Illinois, USA",(gay pride parade)                        
/title/tt0077599/,Gay USA,"Philadelphia, Pennsylvania, USA",(Gay Pride Parade)                        
/title/tt0167166/,Freiheit für die Liebe,"Lund, Sweden","(1968, First International Exhibition of Erotic Art)                        "
/title/tt0167166/,Freiheit für die Liebe,"London, England, UK",(interview) (UK censorship interviews)                        
/title/tt0167166/,Freiheit für die Liebe,"New York City, New York, USA",(interview) (Gus Weill interview)                        
/title/tt0167166/,Freiheit für die Liebe,"Chicago, Illinois, USA",(interview) (Hugh Hefner interview)                        
/title/tt1922612/,Glee: The 3D Concert Movie,"Continental Airlines Arena, East Rutherford, New Jersey, USA",
/title/tt6256978/,Framing John DeLorean,"Belfast, County Antrim, Northern Ireland, UK",
/title/tt6256978/,Framing John DeLorean,"London, England, UK",
/title/tt6256978/,Framing John DeLorean,"Chicago, Illinois, USA",
/title/tt0075244/,The Song Remains the Same,"Loch Ness, Highland, Scotland, UK",(Moonlit mountain climb)                        
/title/tt0075244/,The Song Remains the Same,"Felt Forum, Madison Square Garden - 4 Pennsylvania Plaza, Manhattan, New York City, New York, USA",(live musical performances)                        
/title/tt0075244/,The Song Remains the Same,"Santa Pod Raceway, Podington, Bedfordshire, England, UK",
/title/tt0075244/,The Song Remains the Same,"Manhattan, New York City, New York, USA",
/title/tt4130418/,Hip-Hop Evolution,"New York City, New York, USA",
/title/tt0013427/,Nanook of the North,"Hudson Bay, Québec, Canada",
/title/tt0013427/,Nanook of the North,"Hopewell Sound, Québec, Canada",
/title/tt0418753/,Inside Deep Throat,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio) (exterior shot of the famous Paramount Studios arch over the entrance to the studio lot)                        
/title/tt0418753/,Inside Deep Throat,"Los Angeles, California, USA",(interview) (multiple interviews)                        
/title/tt0418753/,Inside Deep Throat,"Manhattan, New York City, New York, USA","(interview) (multiple interviews, home of Helen Gurley Brown)                        "
/title/tt0418753/,Inside Deep Throat,"Miami Beach, Florida, USA","(home of Sepy Dobronyi, home of Arthur Sommer)                        "
/title/tt0418753/,Inside Deep Throat,"Baltimore, Maryland, USA",(home of John Waters)                        
