Code,Show Name,Location,Scene
/title/tt7846844/,Enola Holmes,"Minley manor, Minley Rd, Fleet GU17 9JT, United Kingdom",(Mrs Harrison's finishing school)                        
/title/tt7846844/,Enola Holmes,"Arley, Bewdley, DY12 3NE, UK",(Arley train station where Enola meets Sherlock)                        
/title/tt7846844/,Enola Holmes,"Old Royal Naval College, Greenwich, London, England, UK",(London street and Convent Garden columns)                        
/title/tt7846844/,Enola Holmes,"Hatfield House, Hatfield, Hertfordshire, England, UK",(The home of the Tewksbury family)                        
/title/tt7846844/,Enola Holmes,"HM Treasury, 1 Horse Guards Road Westminster, London, England, UK",(Meeting at the courtyard)                        
/title/tt7423538/,Ratched,"Cannery Row, Monterey, California, USA",
/title/tt7423538/,Ratched,"King Gillette Ranch, Malibu Creek State Park - Mulholland Highway, Calabasas, California, USA",(Lucia State Hospital exterior shots)                        
/title/tt7423538/,Ratched,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt7423538/,Ratched,"638 S Beacon St, Los Angeles, California, USA",
/title/tt7423538/,Ratched,"California, USA",(studio)                        
/title/tt2802850/,Fargo,"Calgary, Alberta, Canada",
/title/tt2802850/,Fargo,"High River, Alberta, Canada",
/title/tt2802850/,Fargo,"Calgary Public Library, Calgary, Alberta, Canada",(FBI Headquarters in Fargo)                        
/title/tt2802850/,Fargo,"Inglewood, Calgary, Alberta, Canada",(Bemidji downtown)                        
/title/tt2802850/,Fargo,"319 6th Street, Beiseker, Alberta, Canada",(Eden Valley Public Library and Eden Valley Police Department)                        
/title/tt2802850/,Fargo,"232 6th Street, Beiseker, Alberta, Canada","(Red Owl Market, Horn & Gill Outdoor Shop; Eden Valley)                        "
/title/tt2802850/,Fargo,"504 7th Street, Beiseker, Alberta, Canada",(Eden Valley UFA Gas Station)                        
/title/tt9170108/,Raised by Wolves,"Film Afrika Studios, Cape Town, South Africa",
/title/tt7395114/,The Devil All the Time,"The Peerless Grille, Anniston, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"33 W 10th Street, Anniston, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Pine Flat Presbyterian Church, Deatsville, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Forest Park, Birmingham, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Oak Mountain State Park, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Jacksonville, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Pell City, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Dora, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Deatsville, Alabama, USA",
/title/tt7395114/,The Devil All the Time,"Birmingham, Alabama, USA",
/title/tt7395114/,The Devil All the Time,USA,
/title/tt8303474/,Utopia,"Rockwood Conservation Area, Ontario, Canada",
/title/tt8303474/,Utopia,"Chicago, Illinois, USA",
/title/tt7221388/,Cobra Kai,"Atlanta, Georgia, USA",
/title/tt7221388/,Cobra Kai,"130 Woodlawn Dr NE, Marietta, Georgia, USA",(LaRusso family home)                        
/title/tt7221388/,Cobra Kai,"C.T. Martin Natatorium and Recreation Center - 3201 M.L.K. Jr Dr SW, Atlanta, Georgia, USA",(West Valley High School)                        
/title/tt7221388/,Cobra Kai,"Crossroads Shopping Center - 2779 Lakewood Avenue SW, Atlanta, Georgia, USA",(Cobra Kai Dojo exterior)                        
/title/tt1520211/,The Walking Dead,"Senoia, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Peachtree City, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Georgia, USA",
/title/tt1520211/,The Walking Dead,"Jekyll Island, Georgia, USA",
/title/tt1520211/,The Walking Dead,USA,
/title/tt1520211/,The Walking Dead,"Griffin, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Palmetto, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Woodbury, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Austell, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Haralson, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Turin, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Milner, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Williamson, Georgia, USA",
/title/tt1520211/,The Walking Dead,"Manchester, Georgia, USA",
/title/tt2661044/,The 100,"Vancouver, British Columbia, Canada",(As drop site/forest)                        
/title/tt2661044/,The 100,"Seymour Mainline, North Vancouver, British Columbia, Canada",
/title/tt2661044/,The 100,"Vancouver Film Studios, Vancouver, British Columbia, Canada",(studio)                        
/title/tt4052886/,Lucifer,"Vancouver, British Columbia, Canada",(Season 1 & 2)                        
/title/tt4052886/,Lucifer,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt4685762/,The Craft: Legacy,"Toronto, Ontario, Canada",
/title/tt6905686/,Lovecraft Country,"Illinois, USA",
/title/tt6905686/,Lovecraft Country,"Cinespace Film Studios, Chicago, Illinois, USA",(studio)                        
/title/tt6905686/,Lovecraft Country,"Blackhall Studios, Atlanta, Georgia, USA",
/title/tt0944947/,Game of Thrones,"Split, Split-Dalmatia County, Croatia",
/title/tt0944947/,Game of Thrones,"Dubrovnik, Croatia",
/title/tt0944947/,Game of Thrones,"Ouarzazate, Morocco",
/title/tt0944947/,Game of Thrones,"Harland and Wolff Paint Hall, Titanic-Quarter, Belfast, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Valletta, Malta",
/title/tt0944947/,Game of Thrones,"Klis Fortress, Klis, Croatia",
/title/tt0944947/,Game of Thrones,"Seville, Andalucia, Spain",
/title/tt0944947/,Game of Thrones,"Real Alcázar, Seville, Andalucia, Spain",(Water Gardens of Dorne)                        
/title/tt0944947/,Game of Thrones,"Doune Castle, Doune, Stirling, Scotland, UK",
/title/tt0944947/,Game of Thrones,"Ballymoney, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Belfast, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Carncastle, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Ramparts, Essaouira, Morocco",(ramparts of Astapor)                        
/title/tt0944947/,Game of Thrones,"El Chorrillo, Pechina, Almeria, Andalucia, Spain",(Vaes Dothrak)                        
/title/tt0944947/,Game of Thrones,"Svínafellsjökull Glacier, Iceland",
/title/tt0944947/,Game of Thrones,"Cordoba, Andalucía, Spain",(Long Bridge of Volantis)                        
/title/tt0944947/,Game of Thrones,"Giant's Causeway, County Antrim, Northern Ireland, UK",
/title/tt0944947/,Game of Thrones,"Canet de Mar, Barcelona, Catalonia, Spain",(location)                        
/title/tt0944947/,Game of Thrones,"Barrika, Vizcaya, País Vasco, Spain",(Dragonstone beach exterior scenes)                        
/title/tt0944947/,Game of Thrones,"Malpartida de Cáceres, Cáceres, Extremadura, Spain",
/title/tt0944947/,Game of Thrones,"Los Angeles, California, USA",
/title/tt0944947/,Game of Thrones,"Itálica, Santiponce, Sevilla, Andalucía, Spain",(Dragonpit summit)                        
/title/tt0944947/,Game of Thrones,"Almodóvar del Río, Córdoba, Andalucía, Spain",(Interior castle)                        
/title/tt0944947/,Game of Thrones,"La Alcazaba, Almería, Almería, Andalucia, Spain","(House Martell, Water gardens of Dorne)                        "
/title/tt0073486/,One Flew Over the Cuckoo's Nest,"Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, USA",
/title/tt0073486/,One Flew Over the Cuckoo's Nest,"Fort Bragg, California, USA",(Fishing scene)                        
/title/tt0073486/,One Flew Over the Cuckoo's Nest,"Oregon, USA",
/title/tt1844624/,American Horror Story,"New Orleans, Louisiana, USA",(season 3 & 4)                        
/title/tt1844624/,American Horror Story,"Los Angeles, California, USA","(seasons 1, 2 & 5)                        "
/title/tt1844624/,American Horror Story,"Hidden Valley, Thousand Oaks, California, USA",(exteriors: Season 2)                        
/title/tt1844624/,American Horror Story,"1120 Westchester Pl, Los Angeles, California, USA",(Season 1 & 8)                        
/title/tt1844624/,American Horror Story,"Oakhurst, California, USA",(Season 9)                        
/title/tt10199914/,The Boys in the Band,"Julius Bar, 159 West 10th Street, Greenwich Village, Manhattan, New York City, New York, USA",
/title/tt10199914/,The Boys in the Band,"New York City, New York, USA",
/title/tt10199914/,The Boys in the Band,"615 S Broadway, Los Angeles, California, USA",
/title/tt0460681/,Supernatural,"Buntzen Lake, Anmore, British Columbia, Canada",
/title/tt0460681/,Supernatural,"Vancouver, British Columbia, Canada",
/title/tt0460681/,Supernatural,"Old Terminal Pub, New Westminster, British Columbia, Canada",
/title/tt0460681/,Supernatural,"Riverview Hospital, Coquitlam, British Columbia, Canada",
/title/tt0460681/,Supernatural,"South Terminal, Vancouver International Airport, Sea Island, Richmond, British Columbia, Canada",
/title/tt0460681/,Supernatural,"Heritage Village Museum, Burnaby, British Columbia, Canada",
/title/tt0460681/,Supernatural,"Richmond, British Columbia, Canada",
/title/tt4574334/,Stranger Things,"Jackson, Georgia, USA",
/title/tt4574334/,Stranger Things,"Gwinnett Place Mall, Duluth, Georgia, USA",(Starcourt Mall)                        
/title/tt4574334/,Stranger Things,"Emory University - 201 Dowman Dr, Atlanta, Georgia, USA",(Hawkins National Laboratory)                        
/title/tt4574334/,Stranger Things,"Tiffany's Kitchen - 7413 Lee Road, Lithia Springs, Georgia, USA",(Benny's Burgers)                        
/title/tt4574334/,Stranger Things,"Patrick Henry High School - 109 S Lee Street, Stockbridge, Georgia, USA",(School)                        
/title/tt4574334/,Stranger Things,"North Oak Street, Jackson, Georgia, USA",(Downtown)                        
/title/tt4574334/,Stranger Things,"Jackson Drug - 4 2nd Street, Jackson, Georgia, USA",(General Store)                        
/title/tt4574334/,Stranger Things,"Malibu, California, USA",(Beach)                        
/title/tt4574334/,Stranger Things,"12 Oak Street, Jackson, Georgia, USA",(Cinema)                        
/title/tt4574334/,Stranger Things,"Douglas County, Georgia, USA",
/title/tt1070874/,The Trial of the Chicago 7,"Chicago, Illinois, USA",
/title/tt1070874/,The Trial of the Chicago 7,USA,
/title/tt1070874/,The Trial of the Chicago 7,"New Jersey, USA",
/title/tt0413573/,Grey's Anatomy,"Veterans Hospital - 1611 Plummer Street, North Hills, Los Angeles, California, USA",(as Seattle Grace Hospital)                        
/title/tt0413573/,Grey's Anatomy,"Seattle, Washington, USA",
/title/tt0413573/,Grey's Anatomy,"Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA",(Cristina and Owen Firehouse)                        
/title/tt10266874/,Helstrom,"Vancouver, British Columbia, Canada",
/title/tt10986410/,Ted Lasso,"Hayes & Yeading United Football Club, Beaconsfield Road, Hayes, England, UK",(location)                        
/title/tt10986410/,Ted Lasso,"Crystal Palace FC's Selhurst Park Stadium, South Norwood, London, England, UK",(Part of AFC Richmond's Stadium)                        
/title/tt8962124/,Emily in Paris,"Paris, France",
/title/tt4955642/,The Good Place,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        
/title/tt4955642/,The Good Place,"Universal City, California, USA",
/title/tt4955642/,The Good Place,"California, USA",
/title/tt2442560/,Peaky Blinders,"Port Sunlight, Wirral, Merseyside, England, UK",(Series 2 - unknown)                        
/title/tt2442560/,Peaky Blinders,"Ellesmere Port, Cheshire, England, UK",(Series 2 - unknown)                        
/title/tt2442560/,Peaky Blinders,"Leeds Town Hall, The Headrow, Leeds, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Little Germany, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"City Varieties Music Hall, Swan Street, Leeds, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Bradford City Hall, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Cheshire, England, UK",
/title/tt2442560/,Peaky Blinders,"West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Keighley and Worth Valley Railway, Haworth, Keighley, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Ilkley, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"King's Hall and Winter Gardens, Station Road, Ilkley, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Undercliffe Cemetery, The Lodge, 127 Undercliffe Lane, Undercliffe, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Bradford Club, 1 Piece Hall Yard, Bradford, West Yorkshire, England, UK",
/title/tt2442560/,Peaky Blinders,"Glasgow, Scotland, UK",(Season 6)                        
/title/tt2306299/,Vikings,"Ballyhenry Studios, Ashford, Co Wicklow, Ireland",
/title/tt2306299/,Vikings,"Searchmont, Ontario, Canada",
/title/tt2306299/,Vikings,"Ashford studios, Ballyhenry, County Wicklow, Ireland",
/title/tt2306299/,Vikings,"Hellesylt, Norway",(Backgrounds)                        
/title/tt0903747/,Breaking Bad,"3828 Piermont Dr NE, Albuquerque, New Mexico, USA",(Walter White's House)                        
/title/tt0903747/,Breaking Bad,"Lead Ave. SE & Terrace St. SE, Albuquerque, New Mexico, USA",(Jesse Pinkman's Apartment)                        
/title/tt0903747/,Breaking Bad,"322 16th Street Southwest, Albuquerque, New Mexico, USA",(Jesse Pinkman's house)                        
/title/tt0903747/,Breaking Bad,"1213 Jefferson Street Northeast, Albuquerque, New Mexico, USA",(Gus Fring's house)                        
/title/tt0903747/,Breaking Bad,"9560 Snow Heights Circle NE, Albuquerque, New Mexico, USA",(exteriors-Car Wash)                        
/title/tt0903747/,Breaking Bad,"1617 de Candelaria Street, Albuquerque, New Mexico, USA",(Laundry - Lab)                        
