Code,Show Name,Location,Scene
/title/tt0100168/,Mo' Better Blues,"Brooklyn Bridge, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"Shinbone Alley, Manhattan, New York City, New York, USA",(Bleek and Giant are assaulted)                        
/title/tt0100168/,Mo' Better Blues,"Broadway, Manhattan, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"Brooklyn, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"East Village, Manhattan, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"Greenwich Village, Manhattan, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"Harlem, Manhattan, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"Park Slope, Brooklyn, New York City, New York, USA",
/title/tt0100168/,Mo' Better Blues,"Tower Records - 1961 Broadway, Manhattan, New York City, New York, USA",(Clark works as jazz section cashier)                        
/title/tt1182937/,Rab Ne Bana Di Jodi,"Amritsar, Punjab, India",
/title/tt0403217/,Last Days,"Garrison, New York, USA",
/title/tt2764784/,Phoenix,"Legnica, Dolnoslaskie, Poland",(Berlin in 1945)                        
/title/tt2764784/,Phoenix,"Kirchmöser, Brandenburg an der Havel, Brandenburg, Germany",(Spitz barge Nelly used as hide out)                        
/title/tt2764784/,Phoenix,"Plauer Schloss, Schlossstrasse 27, Brandenburg an der Havel, Brandenburg, Germany",
/title/tt2764784/,Phoenix,"18 Ignacego Daszynskiego, Legnica, Dolnoslaskie, Poland",(Johnny's apartment)                        
/title/tt2764784/,Phoenix,Poland,
/title/tt0060010/,The Monkees,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",
/title/tt0086946/,Beat Street,"Fresh Pond Road Train Station, Fresh Pond Road, Ridgewood, Queens, New York City, New York, USA",
/title/tt0086946/,Beat Street,"South Bronx, New York City, New York, USA",
/title/tt0086946/,Beat Street,"Ridgewood, Queens, New York City, New York, USA",
/title/tt0086946/,Beat Street,"New York, USA",
/title/tt3397754/,"10,000 Saints","Tarrytown, New York, USA",
/title/tt3397754/,"10,000 Saints","Briarcliff Manor, New York, USA",
/title/tt0420087/,A Prairie Home Companion,"Fitzgerald Theater - 10 Exchange Street E., St. Paul, Minnesota, USA",
/title/tt0420087/,A Prairie Home Companion,"St. Paul, Minnesota, USA",
/title/tt8884430/,Echo in the Canyon,"Los Angeles, California, USA",
