Code,Show Name,Location,Scene
/title/tt0090329/,Witness,"Paul Krantz Farm - 758 Bunker Hill Road, Strasburg, Pennsylvania, USA",(Amish farm)                        
/title/tt0090329/,Witness,"Lancaster County, Pennsylvania, USA",
/title/tt0090329/,Witness,"Lancaster, Pennsylvania, USA",
/title/tt0062407/,Two for the Road,"Saint-Tropez, Var, France",
/title/tt0062407/,Two for the Road,"French Riviera, Alpes-Maritimes, France",
/title/tt0062407/,Two for the Road,"Beauvallon, Drôme, France",
/title/tt0062407/,Two for the Road,"Grimaud, Var, France",
/title/tt0062407/,Two for the Road,"Nice, Alpes-Maritimes, France",
/title/tt0062407/,Two for the Road,"Port de Nice, Nice, Alpes-Maritimes, France",(ferry disembarkment sequence)                        
/title/tt0062407/,Two for the Road,"Studios de la Victorine - 16 avenue Edoard Grinda, Nice, Alpes-Maritimes, France",(studio)                        
/title/tt0062407/,Two for the Road,France,
/title/tt0102492/,My Girl,"Bartow, Florida, USA",
/title/tt0102492/,My Girl,"Sanford, Florida, USA",
/title/tt0102492/,My Girl,"Ocoee, Florida, USA",(bingo scene)                        
/title/tt0102492/,My Girl,"Orlando, Florida, USA",
/title/tt0102492/,My Girl,"112 East 1st Street, Sanford, Florida, USA",(Cafe / Harry & Vada see Mrs Sennett)                        
/title/tt0102492/,My Girl,"Sand Lake Road, Orlando, Florida, USA",(Warehouse used for interior sets)                        
/title/tt0102492/,My Girl,"East 1st Street, Sanford, Florida, USA",(Main Street scenes)                        
/title/tt0102492/,My Girl,"Florida, USA",
/title/tt9683478/,The Half of It,"Piermont, New York, USA","(Last scene, outside restaurant where Aster works)                        "
/title/tt9683478/,The Half of It,"New York City, New York, USA",
/title/tt0099731/,The Handmaid's Tale,"Duke University, Durham, North Carolina, USA",
/title/tt0099731/,The Handmaid's Tale,"Raleigh, North Carolina, USA",
/title/tt2914762/,The 7.39,"Woking Station, Woking, Surrey, England, UK",
/title/tt2914762/,The 7.39,"Waterloo Station, Waterloo, London, England, UK",
/title/tt2914762/,The 7.39,"Seven Sisters, East Sussex, England, UK",(Carl's parents seaside holiday cottage)                        
/title/tt2802008/,Once Upon a Time in Wonderland,"Vancouver, British Columbia, Canada",
/title/tt0138097/,Shakespeare in Love,"Barnes, London, England, UK",(River Scenes)                        
/title/tt0138097/,Shakespeare in Love,"Holkham Hall and Estate, Norfolk, England, UK",(beach in final scene/Viola's declaration to Will)                        
/title/tt0138097/,Shakespeare in Love,"Eton College, Eton, Berkshire, England, UK",
/title/tt0138097/,Shakespeare in Love,"Spitalfields, London, England, UK",
/title/tt0138097/,Shakespeare in Love,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        
/title/tt0107822/,The Piano,"Auckland, New Zealand",
/title/tt0107822/,The Piano,"Piha, Waitakere, Auckland Region, New Zealand",
/title/tt2053425/,De rouille et d'os,"Marineland, Antibes, Alpes-Maritimes, France",
/title/tt2053425/,De rouille et d'os,"Antibes, Alpes-Maritimes, France",
/title/tt2053425/,De rouille et d'os,"Boulevard de la Croisette, Cannes, Alpes-Maritimes, France",(sea front)                        
/title/tt2053425/,De rouille et d'os,"Mandelieu-la-Napoule, Alpes-Maritimes, France",(shopping center)                        
/title/tt2053425/,De rouille et d'os,"Saint-Laurent-du-Var, Alpes-Maritimes, France",(night-club L'Annexe)                        
/title/tt0067328/,The Last Picture Show,"605 South Ash Street, Archer City, Texas, USA",(high school)                        
/title/tt0067328/,The Last Picture Show,"Hamilton Hospital, Olney, Texas, USA",(hospital where Sonny recovers from beating)                        
/title/tt0067328/,The Last Picture Show,"Lovett-Meredith Clinic, Olney, Texas, USA",(Doctor's office where Sonny takes Mrs. Popper)                        
/title/tt0067328/,The Last Picture Show,"200 S. Walnut Street, Holliday, Texas, USA",(Ruth Popper's house)                        
/title/tt0067328/,The Last Picture Show,"North Center Street, Archer City, Texas, USA","(pool room at 111 N Center St, now demolished)                        "
/title/tt0120746/,The Mask of Zorro,"Durango, Mexico",
/title/tt0120746/,The Mask of Zorro,"San Blas hacienda, Lopez Mateos, Tlaxcala, Mexico",
/title/tt0120746/,The Mask of Zorro,"Atotonilico de Tula, Hidalgo, Mexico",
/title/tt0120746/,The Mask of Zorro,"Tetlapayac, Hidalgo, Mexico",
/title/tt0120746/,The Mask of Zorro,"Orlando, Florida, USA",
/title/tt0120746/,The Mask of Zorro,"Estudios Churubusco Azteca, Mexico City, Distrito Federal, Mexico",(studio)                        
/title/tt0126886/,Election,"5011 Cass Street, Omaha, Nebraska, USA",(Jim and Diane's house)                        
/title/tt0126886/,Election,"Memorial Park, Omaha, Nebraska, USA",(where the Immaculate Heart soccer team plays)                        
/title/tt0126886/,Election,"Godfather's Pizza - 7920 South 84th Street, La Vista, Nebraska, USA",(Restaurant where Dave and Tracy begin their affair)                        
/title/tt0126886/,Election,"OPPD North Omaha Station - 444 S 16th Street Mall, Omaha, Nebraska, USA","(power station scenes, exteriors)                        "
/title/tt0126886/,Election,"1562 S 187th Circle, Omaha, Nebraska, USA",(Chris Klein's characters house)                        
/title/tt0126886/,Election,"3539 Hascall St, Omaha, Nebraska, USA",(Tracy Flick's House - DELETED SCENE)                        
/title/tt0126886/,Election,"Adelphi University, Garden City, Long Island, New York, USA",
/title/tt0126886/,Election,"16th St NW & H St NW, Washington, District of Columbia, USA",
/title/tt0126886/,Election,"Henry Doorly Zoo - 3701 S. 10th Street, Omaha, Nebraska, USA",(location)                        
/title/tt0126886/,Election,"Central Park West, Manhattan, New York City, New York, USA",
/title/tt0126886/,Election,"National Mall, Washington, District of Columbia, USA",
/title/tt0126886/,Election,"Washington, District of Columbia, USA",
/title/tt0151738/,Never Been Kissed,"Navy Pier - 600 E. Grand Avenue, Near North Side, Chicago, Illinois, USA",
/title/tt0151738/,Never Been Kissed,"Chicago, Illinois, USA",(Boystown)                        
/title/tt0151738/,Never Been Kissed,"Monrovia, California, USA",
/title/tt0151738/,Never Been Kissed,"Santa Clarita, California, USA",
/title/tt0151738/,Never Been Kissed,"408 S. Myrtle Avenue, Monrovia, California, USA",(Tiki Post)                        
/title/tt0151738/,Never Been Kissed,"1177 N. Elston Avenue, Chicago, Illinois, USA",(Delruser Hall)                        
/title/tt0151738/,Never Been Kissed,"4526 Wilshire Blvd, Los Angeles, California, USA",(Prom exteriors)                        
/title/tt0151738/,Never Been Kissed,"Jackie Robinson Baseball Stadium - Constitution Avenue, UCLA, Westwood, Los Angeles, California, USA",
/title/tt0151738/,Never Been Kissed,"Los Angeles, California, USA",
/title/tt0091867/,A Room with a View,"Fiesole, Florence, Tuscany, Italy",(Florentine countryside)                        
/title/tt0091867/,A Room with a View,"Estonian Embassy, Hyde Park Gate, South Kensington, London, England, UK",
/title/tt0091867/,A Room with a View,"Villa di Maiano, Maiano, Florence, Tuscany, Italy",(Pensione Bertolini's interiors)                        
/title/tt0091867/,A Room with a View,"Piazza della Signoria, Florence, Tuscany, Italy",(George carries uncouncious Lucy under the Loggia della Signoria)                        
/title/tt0091867/,A Room with a View,"Saint Mary's Church, Chiddingstone, Kent, England, UK",
/title/tt0091867/,A Room with a View,"Florence, Tuscany, Italy",(on location)                        
/title/tt0091867/,A Room with a View,UK,
/title/tt0091867/,A Room with a View,Italy,
/title/tt0091867/,A Room with a View,"Via de Bardi, Florence, Tuscany, Italy",(set: window offering the view in the final scene)                        
/title/tt0091867/,A Room with a View,"Chiddingstone, Kent, England, UK",(church and village center)                        
/title/tt0283111/,National Lampoon's Van Wilder,"Vancouver, British Columbia, Canada",
/title/tt0283111/,National Lampoon's Van Wilder,"Los Angeles, California, USA",
/title/tt0283111/,National Lampoon's Van Wilder,"Royce Hall - 340 Royce Drive, UCLA, Westwood, Los Angeles, California, USA",
/title/tt0098258/,Say Anything...,"Seattle, Washington, USA",
/title/tt0098258/,Say Anything...,"Kitsilano Beach, Vancouver, British Columbia, Canada",(The bleacher scene at graduation.)                        
/title/tt8045936/,Yasak Elma,"Istanbul, Turkey",
/title/tt5971474/,The Little Mermaid,Puerto Rico,
/title/tt5971474/,The Little Mermaid,"Cape Town, South Africa",
/title/tt0241303/,Chocolat,"Flavigny-sur-Ozerain, Côte-d'Or, France",(village/shop/church/Mayor's home)                        
/title/tt0241303/,Chocolat,"Bara Hall, Hayes, Middlesex, England, UK",
/title/tt0241303/,Chocolat,"Noyers-sur-Serein, Yonne, France",
/title/tt0241303/,Chocolat,"Beynac, Dordogne, France",
/title/tt0241303/,Chocolat,"Thionville, Moselle, France",
/title/tt0241303/,Chocolat,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        
/title/tt0298148/,Shrek 2,"Los Angeles, California, USA",(Far Far Away Kingdom)                        
/title/tt0106057/,Lois & Clark: The New Adventures of Superman,"Pacific Mutual Building, Newport Beach, California, USA",(Daily Planet headquarters)                        
/title/tt0106057/,Lois & Clark: The New Adventures of Superman,"Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt0106057/,Lois & Clark: The New Adventures of Superman,"Stage 20, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",
/title/tt0128445/,Rushmore,"North Shore High School - 13501 Hollypark Drive, Houston, Texas, USA",
/title/tt0128445/,Rushmore,"Baytown, Texas, USA",
/title/tt0128445/,Rushmore,"Forest Club - 9950 Memorial Drive, Houston, Texas, USA",(swimming and tennis scenes)                        
/title/tt0128445/,Rushmore,"St. John's School - 2401 Claremont Lane, Houston, Texas, USA",(Rushmore Academy)                        
/title/tt0128445/,Rushmore,"219 East 11th Street, Houston, Texas, USA",(Barber shop)                        
/title/tt0128445/,Rushmore,"108 Emerald Court, Houston, Texas, USA",(Max's house)                        
/title/tt0128445/,Rushmore,"Hollywood Cemetery - 3506 N Main St, Houston, Texas, USA",(the cemetery)                        
/title/tt0128445/,Rushmore,"Texas, USA",
/title/tt0095690/,Mystic Pizza,"Mystic, Connecticut, USA",
/title/tt0095690/,Mystic Pizza,"Stonington, Connecticut, USA",
/title/tt0095690/,Mystic Pizza,"Main Street, Mystic, Connecticut, USA","(Bridge, Jojo shouting at Bill)                        "
/title/tt0095690/,Mystic Pizza,"Rhode Island, USA",
/title/tt0095690/,Mystic Pizza,"Westerly, Rhode Island, USA",
/title/tt0095690/,Mystic Pizza,"Church Street, Stonington Borough, Connecticut, USA",(Charlie's house)                        
/title/tt0095690/,Mystic Pizza,"187 Mechanic Street, Pawcatuck, Connecticut, USA",(Daisy and Kat's house)                        
/title/tt0095690/,Mystic Pizza,"730 State Pier Road, New London, Connecticut, USA",(Church)                        
/title/tt0095690/,Mystic Pizza,"15 Riverview Avenue, Noank, Connecticut, USA",(Ferriera Lobsters)                        
/title/tt0120855/,Tarzan,"Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA",
/title/tt0255653/,Tortilla Soup,"Marshall Fundamental Secondary School - 990 Allen Avenue, Pasadena, California, USA",(School where Leticia Naranjo teaches)                        
/title/tt0255653/,Tortilla Soup,"Los Angeles, California, USA",
/title/tt0259446/,My Big Fat Greek Wedding,"Ryerson Polytechnic University, Toronto, Ontario, Canada",
