,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt11419114/,Resident Evil 3,"Chicago Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
1,/title/tt0484562/,The Dark Is Rising,"MediaPro Studios, Bucharest, Romania",,,,
2,/title/tt0484562/,The Dark Is Rising,"Saschiz, Romania",,"Saschiz, Mureș, 547510, România",46.1941249,24.961897
3,/title/tt0090274/,Volunteers,"Mae Hong Son, Thailand",(location)                        ,"จังหวัดแม่ฮ่องสอน, ประเทศไทย",19.3927456,98.2031112
4,/title/tt0090274/,Volunteers,"Yale University, New Haven, Connecticut, USA",(location)                        ,"Yale University Art Gallery, 1111, Chapel Street, Downtown, New Haven, New Haven County, Connecticut, 06515, United States of America",41.3084354,-72.93087953034963
5,/title/tt0058092/,Father Goose,"Ocho Rios, St. Ann, Jamaica",,"Ocho Rios, Saint Ann, Middlesex County, JM19, Jamaika",18.4081045,-77.1011092
6,/title/tt0058092/,Father Goose,"Republic Studios - 4024 Radford Avenue, North Hollywood, Los Angeles, California, USA",(studio)                        ,,,
7,/title/tt0058092/,Father Goose,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        ,,,
8,/title/tt7539608/,Trolls: The Beat Goes On!,"Glendale, California, USA",(DreamWorks Animation)                        ,"Glendale, Los Angeles County, California, United States of America",34.1469416,-118.2478471
9,/title/tt1127715/,Sin nombre,"Torreón, Coahuíla, Mexico",,"Torreón, Coahuila de Zaragoza, 27289, México",25.542698,-103.410512
10,/title/tt0929629/,Stargate: Continuum,"Applied Physics Laboratory Ice Station, Arctic",(as the Arctic Ice Cap)                        ,,,
11,/title/tt0087365/,"Greystoke: The Legend of Tarzan, Lord of the Apes","Blenheim Palace, Woodstock, Oxfordshire, England, UK",(Greystoke Mansion)                        ,"Blenheim Palace, Grand Bridge, Blenheim, West Oxfordshire, Oxfordshire, South East, England, OX20 1PX, United Kingdom",51.841967249999996,-1.3625986224673587
12,/title/tt0087365/,"Greystoke: The Legend of Tarzan, Lord of the Apes","Albert Memorial, Kensington Gardens, Kensington, London, England, UK",(ape escaping)                        ,"The Albert Memorial, South Carriage Drive, Knightsbridge, City of Westminster, London, Greater London, England, SW7 5ET, United Kingdom",51.5023975,-0.1776843914853914
13,/title/tt0087365/,"Greystoke: The Legend of Tarzan, Lord of the Apes","Bimbia, Southwest Province, Cameroon",(Africa)                        ,"Bimbia Slave Trade Site, Dikolo, Limbé III, Communauté urbaine de Limbé, Fako, Sud-Ouest, Cameroon;Cameroun",3.9638128,9.2574476
14,/title/tt0087365/,"Greystoke: The Legend of Tarzan, Lord of the Apes","Floors Castle, Kelso, Scottish Borders, Scotland, UK",(greystoke mansion exteriors)                        ,"Floors Castle, Farm Lodge, Kelso, Scottish Borders, Scotland, TD5 7SF, United Kingdom",55.604972700000005,-2.4598260671243946
15,/title/tt0087365/,"Greystoke: The Legend of Tarzan, Lord of the Apes","Hatfield House, Hatfield, Hertfordshire, England, UK",(Greystoke Mansion)                        ,"Hatfield House, The Stable Yard, Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, AL9 5NF, United Kingdom",51.7605139,-0.20879851305478084
16,/title/tt0087365/,"Greystoke: The Legend of Tarzan, Lord of the Apes","Elstree Studios, Borehamwood, Hertfordshire, England, UK",(studio)                        ,"Elstree Studios, Shenley Road, Elstree and Borehamwood, Hertsmere, Hertfordshire, East of England, England, WD6 1JG, United Kingdom",51.657052050000004,-0.2675206399488197
17,/title/tt0320808/,"The Adventures of Jimmy Neutron, Boy Genius","Dallas, Texas, USA",,"Dallas, Dallas County, Texas, United States of America",32.7762719,-96.7968559
18,/title/tt0053935/,Ice Cold in Alex,Libya,,ليبيا,26.8234472,18.1236723
19,/title/tt0053935/,Ice Cold in Alex,"Associated British Elstree Studios, Shenley Road, Borehamwood, Hertfordshire, England, UK",(studio) (studio: made at)                        ,,,
20,/title/tt0111902/,The Buccaneers,"Burghley House, Stamford, Lincolnshire, England, UK","(Allfriars, home of the Brightlingseas)                        ","Burghley House, Barnack Road, Barnack, South Kesteven, City of Peterborough, East Midlands, England, PE9 3JY, United Kingdom",52.6425003,-0.45230320487022024
21,/title/tt0111902/,The Buccaneers,"Dunluce Castle, Bushmills, County Antrim, Northern Ireland, UK",(Trevenick ruins)                        ,,,
22,/title/tt0111902/,The Buccaneers,"66 Ocean Avenue, Newport, Rhode Island, USA",(white Victorian house: scenes with girls on lawn)                        ,"66, Ocean Avenue, Ward 3, Newport, Newport County, Rhode Island, 02840, United States of America",41.45890758685487,-71.31575318059241
23,/title/tt0111902/,The Buccaneers,"Chateau-sur-Mer - 474 Bellevue Avenue, Newport, Rhode Island, USA",(dinner scene with Mr. Closson/scenes under a beech tree)                        ,,,
24,/title/tt0111902/,The Buccaneers,"Marble House - 596 Bellevue Avenue, Newport, Rhode Island, USA",(Mrs. Parmore's staircase and ballroom)                        ,"Marble House, 596, Bellevue Avenue, Salve Regina University, Ward 3, Newport, Newport County, Rhode Island, 02840, United States of America",41.46205275,-71.30574418046584
25,/title/tt0111902/,The Buccaneers,"Bellevue Avenue, Newport, Rhode Island, USA",(streets in New York City and Saratoga New York)                        ,"Bellevue Avenue, Ward 2, Newport, Newport County, Rhode Island, 02840, United States of America",41.479063,-71.308509
26,/title/tt0111902/,The Buccaneers,"Grimsthorpe Castle, Grimsthorpe, Lincolnshire, England, UK",,"Grimsthorpe Castle, North Avenue, Edenham CP, South Kesteven, Lincolnshire, East Midlands, England, PE10 0LZ, United Kingdom",52.79234995,-0.4523327930714376
27,/title/tt0111902/,The Buccaneers,"Stamford, Lincolnshire, England, UK",,"Stamford, Lincolnshire, East Midlands, England, PE9 2AJ, United Kingdom",52.6520552,-0.4804363
28,/title/tt0111902/,The Buccaneers,"Lincolnshire, England, UK",,"Lincolnshire, Stixwould and Woodhall, East Lindsey, Lincolnshire, East Midlands, England, United Kingdom",53.1823034,-0.2031208542548153
29,/title/tt0258038/,Pootie Tang,"Route 440, Jersey City, New Jersey, USA",,"Jersey City, Hudson County, New Jersey, United States of America",40.7281575,-74.0776417
30,/title/tt0258038/,Pootie Tang,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
31,/title/tt0258038/,Pootie Tang,"RKO Bushwick Theatre, Brooklyn, New York City, New York, USA",,,,
32,/title/tt8737608/,Rams,"Mount Barker, Western Australia, Australia",,"Mount Barker, Shire Of Plantagenet, Western Australia, 6324, Australia",-34.6220807,117.6641727
33,/title/tt8737608/,Rams,"Albany, Western Australia, Australia",(location)                        ,"Albany, City Of Albany, Western Australia, 6330, Australia",-35.0247822,117.883608
34,/title/tt5238626/,NieR: Automata,"Tokyo, Japan",(street scenes)                        ,"東京都, 日本 (Japan)",35.6828387,139.7594549
35,/title/tt0043476/,Double Dynamite,"RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA",(studio)                        ,,,
36,/title/tt0108758/,Earth 2,"Abiquiu, New Mexico, USA",,"Abiquiu, Rio Arriba County, New Mexico, United States of America",36.2070977,-106.3186283
37,/title/tt0108758/,Earth 2,"Santa Clara Canyon, Santa Clara Pueblo, Santa Clara, New Mexico, USA",,,,
38,/title/tt0108758/,Earth 2,"Cochiti Pueblo, New Mexico, USA",,"Cochiti Pueblo, Cochiti, Sandoval County, New Mexico, 87072, United States of America",35.6075311,-106.3472486
39,/title/tt0108758/,Earth 2,"Jemez Springs, New Mexico, USA",,"Jemez Springs, Sandoval County, New Mexico, 87924, United States of America",35.76851,-106.6921555
