,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt7435316/,,"Savannah, Georgia, USA",(Harvard Scene),"Savannah, Chatham County, Georgia, United States of America",32.0809263,-81.0911768
1,/title/tt7435316/,,"Udaipur, India",(on location),"Udaipur, Rajasthan, 313001, India",24.578721,73.6862571
2,/title/tt7549996/,,"The Mildmay Club, Newington Green, London, England, UK",,"Mildmay, Newington Green, Canonbury, London Borough of Islington, London, Greater London, England, United Kingdom",51.5502082,-0.08644744510638341
3,/title/tt7549996/,,"Noël Coward Theatre, St. Martin's Lane, Westminster, London, England, UK",(Exterior of the Talk of the Town nightclub),"Noël Coward Theatre, 85-88, St. Martin's Lane, Covent Garden, City of Westminster, London, Greater London, England, WC2N 4AU, United Kingdom",51.511118100000004,-0.12742786283210894
4,/title/tt8503618/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
5,/title/tt1950186/,,"Willow Springs International Motorsports Park, Rosamond, California, USA",(Racetrack),"Willow Springs International Motorsports Park, Streets of Willow Test Circuit, Willow Springs, Kern County, California, 92560, United States of America",34.8753727,-118.26457790665242
6,/title/tt1950186/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
7,/title/tt1950186/,,"6311 Meridian St, Los Angeles, California, USA",(Ken's house),"6311, Meridian Street, Highland Park, Los Angeles, Los Angeles County, California, 90042, United States of America",34.12020183333333,-118.17884733333334
8,/title/tt1950186/,,"Glendale, California, USA","(as ""Hollywood, California, USA"")","Glendale, Los Angeles County, California, United States of America",34.1469416,-118.2478471
9,/title/tt1950186/,,"Road Atlanta, Georgia, USA",(racing track scenes),"Atlanta, Georgia, United States of America",33.7490987,-84.3901849
10,/title/tt1950186/,,"N Brand Blvd and W Dryden St., Glendale, California, USA",(Outside of Carroll Shelby's doctor's office),,,
11,/title/tt1950186/,,"Fontana, California, USA",,"Fontana, San Bernardino County, California, United States of America",34.0922335,-117.435048
12,/title/tt1950186/,,"Georgia, USA",,"Georgia, United States of America",32.3293809,-83.1137366
13,/title/tt4916630/,,"Conyers, Georgia, USA",(Road Block),"Conyers, Rockdale County, Georgia, 30013-2028, United States of America",33.6676103,-84.0176904
14,/title/tt4916630/,,"Perry Street, Montgomery, Alabama, USA",(location),"Perry Hills, Montgomery, Montgomery County, Alabama, 36106, United States of America",32.3629166,-86.2516342
15,/title/tt4916630/,,"Montgomery, Alabama, USA",(location),"Montgomery, Montgomery County, Alabama, United States of America",32.3669656,-86.3006485
16,/title/tt4916630/,,USA,,United States,39.7837304,-100.4458825
17,/title/tt4669788/,,Canada,,Canada,61.0666922,-107.9917071
18,/title/tt0993846/,,"Ardsley, New York, USA",(old auto body shop),"Ardsley, Town of Greenburgh, Westchester County, New York, 10502, United States of America",41.0106531,-73.8437452
