,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt3606756/,Incredibles 2,"Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA",,,,
1,/title/tt3606756/,Incredibles 2,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
2,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","St John Street, Clerkenwell, London, England, UK",(JD's bar)                        ,"St. John Street, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1M 6PE, United Kingdom",51.5197935,-0.1017052
3,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","The Royal Oak Public House, Columbia Road, Bethnal Green, London, England, UK",(Samoan Jo's - the South Seas bar)                        ,,,
4,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","19, Park Street, Borough, SE1, London, England, UK",(the hideout)                        ,"Lloyd Recruitment Services, 19, Park Street, Broad Green, London Borough of Croydon, London, Greater London, England, CR0 1YF, United Kingdom",51.3736157,-0.0982058
5,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Bethnal Green Town Hall, Bethnal Green, London, England, UK",,"Bethnal Green, Roman Road, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0HU, United Kingdom",51.5272449,-0.054752
6,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Borough Market, Borough, London, England, UK",,"Borough Market, Winchester Walk, Borough, Southwark, London Borough of Southwark, London, Greater London, England, SE1 9AQ, United Kingdom",51.50558625,-0.090487028540277
7,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Royal Oak Hotel - 73 Columbia Road, Bethnal Green, London, England, UK",,,,
8,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Cheshire Street, Shoreditch, London, England, UK",,"Cheshire Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E2 6EH, United Kingdom",51.5236463,-0.0686077
9,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","Southwark Bridge, Southwark, London, England, UK",,"Southwark Bridge, Bankside, Southwark, London Borough of Southwark, City of London, Greater London, England, SE1 9HA, United Kingdom",51.5088978,-0.0940433
10,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels","13-15 Park Street, London, England, UK",,"Park Street, Mayfair, City of Westminster, London, Greater London, England, W1K 2JS, United Kingdom",51.5108885,-0.1546327
11,/title/tt0120735/,"Lock, Stock and Two Smoking Barrels",UK,,United Kingdom,54.7023545,-3.2765753
12,/title/tt0120484/,The Waterboy,"Stetson University - 421 N. Woodland Boulevard, DeLand, Florida, USA",(Inside and outside shots)                        ,,,
13,/title/tt0120484/,The Waterboy,"Lakeland, Florida, USA",,"Lakeland, Polk County, Florida, United States of America",28.0394654,-81.9498042
14,/title/tt0120484/,The Waterboy,"Orlando, Florida, USA",,"Orlando, Orange County, Florida, United States of America",28.5421109,-81.3790304
15,/title/tt0120484/,The Waterboy,"Jacksonville, Florida, USA",(Alltel stadium/Everbank Field in the opening shot)                        ,"Jacksonville, Duval County, Florida, United States of America",30.3321838,-81.655651
16,/title/tt0120484/,The Waterboy,"University of South Carolina, Columbia, South Carolina, USA",(Williams-Brice Stadium)                        ,"University of South Carolina, College Street, Five Points, Columbia, Richland County, South Carolina, 29205, United States of America",33.992829799999996,-81.02685165712111
17,/title/tt1604099/,Victorious,"Nickelodeon on Sunset - 6230 Sunset Blvd., Hollywood, Los Angeles, California, USA",,,,
18,/title/tt1791528/,Inherent Vice,"Arrowhead Springs Hotel - 24918 Arrowhead Springs Road, San Bernardino, California, USA",(Chryskylodone)                        ,,,
19,/title/tt1791528/,Inherent Vice,"Las Vegas, Nevada, USA",,"Las Vegas, Clark County, Nevada, United States of America",36.1672559,-115.1485163
20,/title/tt1791528/,Inherent Vice,"906 Loma Vista Drive, Beverly Hills, California, USA",(Wolfman's house)                        ,"906, Loma Vista Drive, Trousdale Estates, Beverly Hills, Los Angeles County, California, 90210, United States of America",34.092503750000006,-118.39916872114617
21,/title/tt1791528/,Inherent Vice,"Ocean Drive, Manhattan Beach, California, USA",(Sportello's beach house)                        ,"Ocean Drive, Manhattan Beach, Los Angeles County, California, 90266, United States of America",33.8816714,-118.4097845
22,/title/tt1791528/,Inherent Vice,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
23,/title/tt0112442/,Bad Boys,"Miami, Florida, USA",,"Miami, Miami-Dade County, Florida, United States of America",25.7742658,-80.1936589
24,/title/tt0112442/,Bad Boys,"Art Deco District, South Beach, Miami Beach, Florida, USA",,,,
25,/title/tt0112442/,Bad Boys,"Park Avenue, Miami Beach, Florida, USA",,"Park Avenue, Miami Beach, Miami-Dade County, Florida, 33139, United States of America",25.7970004,-80.1308407
26,/title/tt0112442/,Bad Boys,USA,,United States,39.7837304,-100.4458825
27,/title/tt0112442/,Bad Boys,"Coral Gables, Florida, USA",,"Coral Gables, Miami-Dade County, Florida, United States of America",25.72149,-80.2683838
28,/title/tt0112442/,Bad Boys,"South Beach, Miami Beach, Florida, USA",,"South Beach, 5th Street, South Beach, Miami Beach, Miami-Dade County, Florida, 33139, United States of America",25.7744291,-80.1332415
29,/title/tt0467406/,Juno,"Hanna Medical Clinic, 3300 Boundary Rd, Burnaby, British Columbia, Canada",,,,
30,/title/tt0467406/,Juno,"White Rock, British Columbia, Canada",,"White Rock, Metro Vancouver Regional District, British Columbia, Canada",49.0235357,-122.7979246
31,/title/tt0467406/,Juno,"Eric Hamber Secondary School, Vancouver, British Columbia, Canada",,"Eric Hamber Secondary School, Laurel Street, South Cambie, Vancouver, Metro Vancouver Regional District, British Columbia, V6H 3V4, Canada",49.240246,-123.12574123692673
32,/title/tt0467406/,Juno,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
33,/title/tt0467406/,Juno,Canada,,Canada,61.0666922,-107.9917071
34,/title/tt0107048/,Groundhog Day,"344 Fremont St, Woodstock, Illinois, USA",(Bed & Breakfast)                        ,"344, Fremont Street, Woodstock, McHenry County, Illinois, 60098, United States of America",42.31001748378175,-88.44451497566273
35,/title/tt0107048/,Groundhog Day,"Algonquin, Illinois, USA","(opening scene, Punxsutawney sign)                        ","Algonquin, McHenry County, Illinois, 60102, United States of America",42.1655801,-88.2942493
36,/title/tt0107048/,Groundhog Day,"Old Jail, Woodstock, Illinois, USA",,,,
37,/title/tt0107048/,Groundhog Day,"Town Square, Woodstock, Illinois, USA",,"Town Square, Naperville, DuPage County, Illinois, United States of America",41.74897415,-88.17289855405609
38,/title/tt0107048/,Groundhog Day,"Wayne's City Lanes, Woodstock, Illinois, USA",(bowling scenes)                        ,,,
39,/title/tt0107048/,Groundhog Day,"Opera House, Woodstock, Illinois, USA",,"Opera House, 312, West Springfield Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America",40.112629150000004,-88.21170717510404
40,/title/tt0107048/,Groundhog Day,"Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",,,,
41,/title/tt0107048/,Groundhog Day,USA,,United States,39.7837304,-100.4458825
42,/title/tt0457939/,The Holiday,"Shere, Surrey, England, UK",(village)                        ,"Shere, Surrey, South East, England, GU5 9HG, United Kingdom",51.2193911,-0.4644158
43,/title/tt0457939/,The Holiday,"Godalming, Surrey, England, UK",(village and railway station)                        ,"Godalming, Waverley, Surrey, South East, England, United Kingdom",51.1857892,-0.6149074
44,/title/tt0457939/,The Holiday,"The Huntington Library, Art Collections, and Botanical Gardens - 1151 Oxford Rd, San Marino, California, USA",,,,
45,/title/tt0457939/,The Holiday,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(interiors: Amanda's and Iris' homes)                        ,,,
46,/title/tt0457939/,The Holiday,"Great Wolford, Worcestershire, England, UK",(road scenes)                        ,,,
47,/title/tt0457939/,The Holiday,"England, UK",,"England, United Kingdom",52.7954791,-0.5402402866174321
48,/title/tt0457939/,The Holiday,"Los Angeles Convention Center - 1201 S. Figueroa Street, Downtown, Los Angeles, California, USA",(British Airways Terminal where Amanda's luggage is inspected before she boards her return flight)                        ,,,
49,/title/tt7255502/,The Kominsky Method,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
50,/title/tt0058812/,Hogan's Heroes,"RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA",,,,
51,/title/tt0058812/,Hogan's Heroes,"Culver City, California, USA",,"Culver City, Los Angeles County, California, United States of America",34.0211224,-118.3964665
