,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt10183988/,,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
1,/title/tt10183988/,,"British Columbia, Canada",,"British Columbia, Canada",55.001251,-125.002441
2,/title/tt8503618/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
3,/title/tt1327801/,,"Glendale, California, USA",,"Glendale, Los Angeles County, California, United States of America",34.1469416,-118.2478471
4,/title/tt1327801/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
5,/title/tt2771200/,,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
6,/title/tt2771200/,,"England, UK",,"England, United Kingdom",52.7954791,-0.5402402866174321
7,/title/tt2771200/,,"H Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(dark forest),,,
8,/title/tt2771200/,,"B Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(castle kitchen),,,
9,/title/tt2771200/,,"D Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(castle foyer; castle foyer balcony),,,
10,/title/tt2771200/,,"F Stage, Shepperton Studios, Shepperton, Surrey, England, UK",,,,
11,/title/tt2771200/,,"R Stage, Shepperton Studios, Shepperton, Surrey, England, UK",,,,
12,/title/tt6587640/,,"Universal City, California, USA",(DreamWorks),"Universal City, Los Angeles County, California, 91608, United States of America",34.1412926,-118.3584364
13,/title/tt0077631/,,"Los Angeles River Basin - Between 1st & 4th Street Bridges, Downtown, Los Angeles, California, USA",(Thunder Road),,,
14,/title/tt0077631/,,"Venice High School - 13000 Venice Boulevard, Venice, Los Angeles, California, USA",(exterior shots of school buildings),"Venice High School, 13000, Venice Boulevard, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States of America",33.9969623,-118.44355222171023
15,/title/tt0077631/,,"Huntington Park, California, USA",,"Huntington Park, Los Angeles County, California, 90255, United States of America",33.9827043,-118.2120343
16,/title/tt0077631/,,"John Marshall High School - 3939 Tracy Street, Los Feliz, Los Angeles, California, USA",(carnival scenes at the end of the movie),,,
