,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0091225/,,"Petaluma, California, USA","(Petaluma River is used for almost all waterway scenes, with takeoff from Western Avenue)","Petaluma, Sonoma County, California, United States of America",38.270022,-122.60612241304348
1,/title/tt0091225/,,"California Academy of Sciences, Concourse Drive, Golden Gate Park, San Francisco, California, USA","(Howard is pulled up the CAS steps, then through the African Hall)",,,
2,/title/tt0091225/,,"Fireman's Fund Building - 777 San Marin Drive, Novato, California, USA",(Ultralight lands in the fountain; building poses as Dynatechnics),,,
3,/title/tt0091225/,,"Nicasio, California, USA",,"Nicasio, Marin County, California, 94946, United States of America",38.0615885,-122.6985975
4,/title/tt0091225/,,"Rio Vista, California, USA",(Ultralight takes off downtown and flies towards the Sacramento River),"Rio Vista, Solano County, California, 94571, United States of America",38.1557502,-121.6913439
5,/title/tt0091225/,,"Rancho Seco Nuclear Generating Station, Herald, California, USA",(Appears as the Cuyahoga nuclear plant),,,
6,/title/tt0091225/,,"11th Street, San Francisco, California, USA","(Howard gets off the bus on 11th at Natoma, and sees the TV display in a corner store)","11th Street, Civic Center, San Francisco, San Francisco City and County, California, 94102, United States of America",37.774615,-122.4174891
7,/title/tt0091225/,,"Richmond, California, USA",(Joe Roma's Cajun/Sushi Café; interior),"Richmond, Contra Costa County, California, United States of America",37.9357576,-122.3477486
8,/title/tt2531344/,,"Blackhall Studios, Atlanta, Georgia, USA",,,,
9,/title/tt4034354/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
10,/title/tt0094889/,,"Toronto, Ontario, Canada",,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
11,/title/tt0094889/,,"Jackson Avenue and 50th Avenue, Queens, New York City, New York, USA",(Pats Place),"Jackson Avenue, Queens, Queens County, New York, 11101, United States of America",40.7452732,-73.9470423
12,/title/tt0094889/,,"Sandals Royal Plantation, Ocho Rios, St. Ann, Jamaica",,"Sandals Royal Plantation, Main Street, Buckfield, New Hope, Ocho Rios, Saint Ann, Middlesex County, JM19, Jamaika",18.411290649999998,-77.08332941150303
13,/title/tt0094889/,,"Don Jail, Toronto, Ontario, Canada",(as The Cell Block bar),"The Don Jail, Jack Layton Way, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 2B5, Canada",43.6660711,-79.3530364
14,/title/tt0094889/,,"Medical Sciences Building, University of Toronto, Toronto, Ontario, Canada",(class Brian attends),,,
15,/title/tt0094889/,,"The Water Club, New York City, New York, USA",(Doug and Kerry Coughlin's nightclub/Doug's suicide at the pier),"The Water Club, 500, FDR Drive, Kips Bay, Manhattan Community Board 6, Manhattan, New York County, New York, 10016, United States of America",40.74035795,-73.97235357766965
