,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt7846844/,,"Minley manor, Minley Rd, Fleet GU17 9JT, United Kingdom",(Mrs Harrison's finishing school),,,
1,/title/tt7846844/,,"Maughan Library, King's College London, Chancery Lane, Holborn, London, England, UK",(The exterior of the Houses of Parliament),,,
2,/title/tt7846844/,,"Severn Valley Railway Station, Kidderminster, Station Dr, Kidderminster DY10 1QX, United Kingdom",(Railway Station when Enola runs away from home),,,
3,/title/tt7846844/,,"Benthall Hall, The Avenue, Broseley, TF12 5RX, UK",(Exterior of Ferndell),,,
4,/title/tt7846844/,,"Fournier Street, Spitalfields, London, England, UK",,"Fournier Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 6QG, United Kingdom",51.5192431,-0.0744826
5,/title/tt7846844/,,"Ashridge, Hertfordshire, England, UK",(Tree house and woods),"Ashridge, Dacorum, Hertfordshire, East of England, England, HP4 1LU, United Kingdom",51.8062413,-0.5806941
6,/title/tt1190634/,,"Roy Thomson Hall, Toronto, Ontario, Canada",(Voight Headquarters),"Roy Thomson Hall, 60, Simcoe Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H, Canada",43.6465582,-79.38633807261267
7,/title/tt1190634/,,"Toronto, Ontario, Canada",,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
8,/title/tt7423538/,,"Bixby Bridge, Big Sur, Monterey, California, USA",,,,
9,/title/tt7423538/,,"2017 E 7th St, Los Angeles, California, USA",,"Tony's Saloon, 2017, East 7th Street, Downtown, Los Angeles, Los Angeles County, California, 90021, United States of America",34.0347168,-118.2316584
10,/title/tt7423538/,,"Santa Monica, California, USA",,"Santa Monica, Los Angeles County, California, United States of America",34.0250724,-118.4965129
11,/title/tt2802850/,,"Strathmore, Alberta, Canada",,"Strathmore, Town of Strathmore, Alberta, T1P 1H8, Canada",51.0435486,-113.3998479
12,/title/tt2802850/,,"6805 Ogden Rd SE, Calgary, Alberta, Canada",(Lou's Coffee Shop),"Ogden Road SE, Ogden, Calgary, Alberta, T2C 0R3, Canada",50.9973572,-114.0075297
13,/title/tt2802850/,,"1011 Centre Ave NE, Calgary, Alberta, Canada",(Bemidji Police Department),"Centre Avenue NE, Inglewood, Calgary, Alberta, T2E 4P5, Canada",51.0523384,-114.0294766
14,/title/tt2802850/,,"1335 9 Ave SE, Calgary, Alberta, Canada",(Bo Munk Insurance Co),"9 Avenue SE, Victoria Park, Downtown Commercial Core, Calgary, Alberta, T2P 1J9, Canada",51.0445711,-114.061884
