,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0112111/,The Outer Limits,"Victoria, British Columbia, Canada",,"Victoria, Capital Regional District, British Columbia, Canada",48.4283182,-123.3649533
1,/title/tt0472181/,The Smurfs,"Times Square, Manhattan, New York City, New York, USA",,"Times Square, West 45th Street, Times Square, Manhattan Community Board 5, Times Square, New York County, New York, 10036, United States of America",40.757280550000004,-73.98585503545917
2,/title/tt0472181/,The Smurfs,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
3,/title/tt0472181/,The Smurfs,"Queens, New York City, New York, USA",,"Queens, Queens County, New York, United States of America",40.7498243,-73.7976337
4,/title/tt0472181/,The Smurfs,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
5,/title/tt1187064/,Triangle,"Gold Coast, Queensland, Australia",,"Gold Coast City, Queensland, Australia",-28.0023731,153.4145987
6,/title/tt1187064/,Triangle,"Brisbane, Queensland, Australia",,"Brisbane City, Queensland, Australia",-27.4689682,153.0234991
7,/title/tt1187064/,Triangle,"Village Roadshow Studios, Oxenford, Queensland, Australia",,"Village Roadshow Studios, Entertainment Road, Oxenford, Gold Coast City, Queensland, 4210, Australia",-27.910527700000003,153.3118145855983
8,/title/tt6807662/,The New Legends of Monkey,"Kumeu Film Studios, 116 Access Rd, Kumeu 0891, New Zealand",,,,
9,/title/tt0029583/,Sneeuwwitje en de zeven dwergen,"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",(Walt Disney Productions)                        ,,,
10,/title/tt0406375/,Zathura: A Space Adventure,"South Pasadena, California, USA",,"South Pasadena, Los Angeles County, California, 91030, United States of America",34.1133062,-118.1478291
11,/title/tt0406375/,Zathura: A Space Adventure,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        ,,,
12,/title/tt8050756/,The Owl House,Paris France,(location)                        ,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
13,/title/tt0097428/,Ghostbusters II,"Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA",(interiors: Ghostbusters headquarters)                        ,"Fire Station 23, 225, East 5th Street, Skid Row, Downtown, Los Angeles, Los Angeles County, California, 90013, United States of America",34.0458225,-118.24658608422999
14,/title/tt0097428/,Ghostbusters II,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",,,,
15,/title/tt0097428/,Ghostbusters II,"Val's Restaurant, 10130 Riverside Drive, Toluca Lake, California, USA",(restaurant where Dana and Peter have dinner)                        ,,,
16,/title/tt0097428/,Ghostbusters II,"Stage 15, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        ,,,
17,/title/tt0097428/,Ghostbusters II,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        ,,,
18,/title/tt0374536/,Bewitched,"Book Soup - 8818 W. Sunset Blvd., West Hollywood, California, USA",,,,
19,/title/tt0374536/,Bewitched,"510 S Lucerne Blvd., Los Angeles, California, USA",,"510, South Lucerne Boulevard, Windsor Square, Los Angeles, Los Angeles County, California, 90020, United States of America",34.06504789795918,-118.3242613877551
20,/title/tt0374536/,Bewitched,"Beverly Hills, California, USA",,"Beverly Hills, Los Angeles County, California, United States of America",34.0696501,-118.3963062
21,/title/tt0374536/,Bewitched,"Pann's Restaurant, Los Angeles, California, USA",(interiors)                        ,"Pann's Coffee Shop, South La Tijera Boulevard, Westchester, Los Angeles, Los Angeles County, California, 90056, United States of America",33.9781387,-118.37056510020327
22,/title/tt0374536/,Bewitched,"Torrance, California, USA",,"Torrance, Los Angeles County, California, United States of America",33.8358492,-118.3406288
23,/title/tt12546328/,Crash Bandicoot 4: It's About Time,"Chicago Illinois, USA",(beach scenes)                        ,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
24,/title/tt3289724/,Welcome to Marwen,"Maple Ridge, British Columbia, Canada",,"Maple Ridge, Metro Vancouver Regional District, British Columbia, Canada",49.2197345,-122.5997078
25,/title/tt3289724/,Welcome to Marwen,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
26,/title/tt3289724/,Welcome to Marwen,"Riverview Hospital, Coquitlam, British Columbia, Canada",,,,
