,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt1070874/,The Trial of the Chicago 7,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
1,/title/tt1070874/,The Trial of the Chicago 7,USA,,United States,39.7837304,-100.4458825
2,/title/tt1070874/,The Trial of the Chicago 7,"New Jersey, USA",,"New Jersey, United States of America",40.0757384,-74.4041622
3,/title/tt2306299/,Vikings,"Ballyhenry Studios, Ashford, Co Wicklow, Ireland",,,,
4,/title/tt2306299/,Vikings,"Searchmont, Ontario, Canada",,"Searchmont, Unorganized North Algoma, Algoma District, Northeastern Ontario, Ontario, P0S 1J0, Canada",46.7785824,-84.0513848
5,/title/tt2306299/,Vikings,"Ashford studios, Ballyhenry, County Wicklow, Ireland",,"Ashford Studios, Ashford Road, Newtown Boswell, Killiskey, The Municipal District of Wicklow, County Wicklow, Leinster, CO. WICKLOW, Ireland",53.0211141,-6.1055288
6,/title/tt2306299/,Vikings,"Hellesylt, Norway",(Backgrounds)                        ,"Hellesylt, Stranda, Møre og Romsdal, 6218, Norge",62.0858061,6.8668801
7,/title/tt4786824/,The Crown,"Ardverikie estate, Highland, Scotland, UK",(Balmoral Castle in Scotland)                        ,"Ardverikie Estate Office, A86, Kinloch Laggan, Highland, Scotland, PH20 1BY, United Kingdom",56.974626,-4.386000295682102
8,/title/tt4786824/,The Crown,"Ely Cathedral, Chapter House, The College, Ely, Cambridgeshire, England, UK",,,,
9,/title/tt4786824/,The Crown,"Waddesdon Manor, Waddesdon, Buckinghamshire, England, UK",(Season 2)                        ,"Waddesdon Manor, North Avenue, Waddesdon, Buckinghamshire, South East, England, HP18 0JH, United Kingdom",51.84250175,-0.9373236865937951
10,/title/tt4786824/,The Crown,"Cruden Bay, Aberdeenshire, Scotland, UK",,"Cruden Bay, Aberdeenshire, Scotland, AB42 0NJ, United Kingdom",57.4172862,-1.8560211
11,/title/tt4786824/,The Crown,"Woodchester Mansion, Gloucestershire, England, UK",(Gordonstoun school - Season 2)                        ,"Woodchester Mansion, Nympsfield, Stroud, Gloucestershire, South West England, England, GL10 3TS, United Kingdom",51.71075355000001,-2.2775204032840075
12,/title/tt4786824/,The Crown,"Elstree Studios, Borehamwood, Hertfordshire, England, UK",(studio)                        ,"Elstree Studios, Shenley Road, Elstree and Borehamwood, Hertsmere, Hertfordshire, East of England, England, WD6 1JG, United Kingdom",51.657052050000004,-0.2675206399488197
13,/title/tt4786824/,The Crown,"Wrotham Park, Barnet, Hertfordshire, England, UK",,"Wrotham Park, Hertsmere, Hertfordshire, East of England, England, EN5 4RY, United Kingdom",51.6775134,-0.1957087
14,/title/tt4786824/,The Crown,"Wilton House, Wilton, Salisbury, Wiltshire, England, UK",,"Wilton, Wiltshire, South West England, England, SP2 0JP, United Kingdom",51.0805315,-1.8607051
15,/title/tt4786824/,The Crown,"Hatfield House, Hatfield, Hertfordshire, England, UK",,"Hatfield House, The Stable Yard, Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, AL9 5NF, United Kingdom",51.7605139,-0.20879851305478084
16,/title/tt4786824/,The Crown,"Theatre Royal Drury Lane, London, England, UK",,"Theatre Royal, Drury Lane, 57, Catherine Street, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2B 5JF, United Kingdom",51.51299415,-0.12022950954079237
17,/title/tt4786824/,The Crown,"Dover Castle, Dover, Kent, England, UK",,"Dover Castle, Upper Road, Guston, Dover, Kent, South East, England, CT16 1HW, United Kingdom",51.1289759,1.3228764412873386
18,/title/tt7435316/,The Glorias,"Savannah, Georgia, USA",(Harvard Scene)                        ,"Savannah, Chatham County, Georgia, United States of America",32.0809263,-81.0911768
19,/title/tt7435316/,The Glorias,"New York City, New York, USA",(on location)                        ,"New York, United States of America",40.7127281,-74.0060152
20,/title/tt7549996/,Judy,"Hackney Empire, 291 Mare St, London, England, UK","(doubling for the ""Talk of the Town"" nightclub)                        ",,,
21,/title/tt7549996/,Judy,"West London Film Studios, London, England, UK",(studio)                        ,,,
22,/title/tt7549996/,Judy,"The Hill Garden & Pergola, The Pergola, Inverforth Cl, London NW3 7EX, United Kingdom",(Judy gets spun round.)                        ,,,
23,/title/tt5743796/,Warrior,"Cape Town Film Studios, Cape Town, Western Cape, South Africa",,"Cape Town Film Studios, Film City Boulevard, Houghton, Cape Town Ward 16, Eersterivier, City of Cape Town, Western Cape, 7784, South Africa",-34.0315617,18.719156772105897
24,/title/tt11656892/,Des,"HM Prison Shepton Mallet, Shepton Mallet, Somerset, England, UK",(Later prison interiors)                        ,,,
25,/title/tt11656892/,Des,"Watford, Hertfordshire, England, UK",(As Melrose Avenue house)                        ,"Watford, Hertfordshire, East of England, England, United Kingdom",51.6553875,-0.3957425
26,/title/tt4179452/,The Last Kingdom,"Korda Studios, Etyek, Hungary",,"Korda Filmstúdió, Etyek, Bicskei járás, Fejér megye, Közép-Dunántúl, Dunántúl, 2091, Magyarország",47.4397819,18.728804513362004
27,/title/tt3833480/,The Outpost,Bulgaria,,Бългaрия,42.6073975,25.4856617
28,/title/tt3833480/,The Outpost,"Sofia, Bulgaria",,"София, Столична, София-град, България",42.6978634,23.3221789
29,/title/tt8503618/,Hamilton,"Richard Rodgers Theatre - 226 W. 46th Street, Manhattan, New York City, New York, USA",,"Richard Rodgers Theatre, 226, West 46th Street, Duffy Square, Manhattan Community Board 5, Times Square, New York County, New York, 10036, United States of America",40.7590309,-73.98674788284762
