,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0041838/,,"Bou-Saada, Algiers, Algeria",,,,
1,/title/tt0041838/,,"Alabama Hills, Lone Pine, California, USA",,"Alabama Hills, Lone Pine, Inyo County, California, 93545, United States of America",36.5677117,-118.0898097
2,/title/tt0041838/,,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio),,,
3,/title/tt0488988/,,"Manhattan, New York City, New York, USA",,"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
4,/title/tt0488988/,,"Steiner Studios - 15 Washington Avenue, Brooklyn Navy Yard, Brooklyn, New York City, New York, USA",(The Dakota),,,
5,/title/tt7025976/,,"Château de Vaux-le-Vicomte, Vaux-le-Vicomte, Seine-et-Marne, France",,,,
6,/title/tt7025976/,,"Cathédrale Saint-Maclou, Pontoise, Val-d'Oise, France",(The scene in the church),"Cathédrale Saint-Maclou, Place du Grand Martroy, Centre-Ville, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, 95300, France",49.050577849999996,2.0971798773738817
7,/title/tt7628846/,,"Ponferrada, León, Castilla y León, Spain",,"Ponferrada, El Bierzo, Ponferrada, Castilla y León, España",42.5454124,-6.5938719
8,/title/tt0056264/,,"Cook's Bay, Moorea, French Polynesia",,,,
9,/title/tt0056264/,,"Matawaii Bay, Tahiti, French Polynesia",(arrival of the Bounty),,,
10,/title/tt0056264/,,"Hawaii, USA",,"Hawaii, United States of America",19.58726775,-155.42688965312746
11,/title/tt0056264/,,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio),,,
12,/title/tt0056264/,,"Tahiti, French Polynesia",(including later retakes),"Tahiti, Teva I Uta, Îles du Vent, Polynésie Française, 98726, France",-17.68734395,-149.44516811423745
13,/title/tt0056264/,,"Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA",(studio),,,
14,/title/tt0056264/,,"Honolulu, O'ahu, Hawaii, USA",,,,
15,/title/tt0056264/,,"South Pacific, Pacific Ocean",,,,
16,/title/tt0050613/,,"Mount Fuji, Shizuoka, Japan",(Castle exterior),"富士山, 富士宮市, 駿東郡, 静岡県, 日本 (Japan)",35.362799,138.730781
17,/title/tt0050613/,,"Tokyo-Eigan Studios, Tokyo, Japan",(studio),,,
18,/title/tt0050613/,,"Tamagawa River, Tokyo, Japan",,"多摩川, 東京都, 立川市, 198-0212, 日本 (Japan)",35.6855417,139.4067251
19,/title/tt0765432/,,"Stammheim Prison, Stuttgart, Baden-Württemberg, Germany",,"JVA Stammheim, 60, Asperger Straße, Stammheim-Mitte, Stammheim, Stuttgart, Baden-Württemberg, 70439, Deutschland",48.85462905,9.154788776145256
20,/title/tt0765432/,,"Berlin, Germany",,"Berlin, 10117, Deutschland",52.5170365,13.3888599
21,/title/tt0765432/,,"Prague, Czech Republic",,"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika",50.0874654,14.4212535
22,/title/tt0765432/,,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953583
23,/title/tt1135989/,,"Jordan River, Israel",(scene of the story of two monks),"Jordan River, מועצה אזורית עמק המעיינות, נפת יזרעאל, מחוז הצפון, ישראל",32.581951,35.576434
24,/title/tt1135989/,,"Kibbutz Beit Nir, Israel",(location),"קיבוץ בית קמה, 293, מועצה אזורית בני שמעון, no, ישראל",31.4459293,34.762782
25,/title/tt1135989/,,Israel,(location),ישראל,31.5313113,34.8667654
26,/title/tt0319930/,,"Hollywood, Los Angeles, California, USA",,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States of America",34.0980031,-118.329523
27,/title/tt0319930/,,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",,,,
28,/title/tt0319930/,,"Venice High School - 13000 Venice Boulevard, Venice, Los Angeles, California, USA",,"Venice High School, 13000, Venice Boulevard, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States of America",33.9969623,-118.44355222171023
29,/title/tt0319930/,,"Washington Middle School - 1505 N Marengo Avenue, Pasadena, California, USA",,,,
30,/title/tt0110963/,,"Basilique de Saint-Quentin, Saint-Quentin, Aisne, France",(church),"Basilique, Rue Adrien Nordet, Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02100, France",49.8469648,3.2894018
31,/title/tt0110963/,,"Château de Maulnes, Cruzy-le-Châtel, Yonne, France",,"Château de Maulnes, D 12, Arthonnay, Avallon, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89740, France",47.89014160000001,4.214598726065947
