,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0100168/,Mo' Better Blues,"Brooklyn Bridge, New York City, New York, USA",,"Brooklyn Bridge, Dover Street, Financial District, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States of America",40.70569125,-73.9963578678543
1,/title/tt0100168/,Mo' Better Blues,"Shinbone Alley, Manhattan, New York City, New York, USA",(Bleek and Giant are assaulted)                        ,"Jones Alley, NoHo, Manhattan Community Board 2, Manhattan, New York County, New York, 10012-3332, United States of America",40.7257517,-73.9939865
2,/title/tt0100168/,Mo' Better Blues,"Broadway, Manhattan, New York City, New York, USA",,"Broadway, Inwood, Manhattan Community Board 12, Manhattan, New York County, New York, 10463, United States of America",40.8732847,-73.911655
3,/title/tt0100168/,Mo' Better Blues,"Brooklyn, New York City, New York, USA",,"Brooklyn, Kings County, New York, United States of America",40.6501038,-73.9495823
4,/title/tt0100168/,Mo' Better Blues,"East Village, Manhattan, New York City, New York, USA",,"East Village, Manhattan Community Board 3, Manhattan, New York County, New York, United States of America",40.7292688,-73.9873613
5,/title/tt0100168/,Mo' Better Blues,"Greenwich Village, Manhattan, New York City, New York, USA",,"Greenwich Village, 7th Avenue South, West Village, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States of America",40.7335844,-74.0028172
6,/title/tt0100168/,Mo' Better Blues,"Harlem, Manhattan, New York City, New York, USA",,"Harlem, Manhattan Community Board 10, Manhattan, New York County, New York, United States of America",40.8078786,-73.9454154
7,/title/tt0100168/,Mo' Better Blues,"Park Slope, Brooklyn, New York City, New York, USA",,"Park Slope, Brooklyn, Kings County, New York, United States of America",40.6701033,-73.9859723
8,/title/tt0100168/,Mo' Better Blues,"Tower Records - 1961 Broadway, Manhattan, New York City, New York, USA",(Clark works as jazz section cashier)                        ,,,
9,/title/tt1182937/,Rab Ne Bana Di Jodi,"Amritsar, Punjab, India",,"Amritsar, Amritsar I Tahsil, Amritsar, Punjab, 143001, India",31.6343083,74.8736788
10,/title/tt0403217/,Last Days,"Garrison, New York, USA",,"Garrison, Lower Station Road, Garrison, Town of Philipstown, Putnam County, New York, 10524, United States of America",41.3815064,-73.9471707
11,/title/tt2764784/,Phoenix,"Legnica, Dolnoslaskie, Poland",(Berlin in 1945)                        ,"Legnica, województwo dolnośląskie, Polska",51.2081617,16.1603187
12,/title/tt2764784/,Phoenix,"Kirchmöser, Brandenburg an der Havel, Brandenburg, Germany",(Spitz barge Nelly used as hide out)                        ,"Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",52.3758454,12.4228308
13,/title/tt2764784/,Phoenix,"Plauer Schloss, Schlossstrasse 27, Brandenburg an der Havel, Brandenburg, Germany",,,,
14,/title/tt2764784/,Phoenix,"18 Ignacego Daszynskiego, Legnica, Dolnoslaskie, Poland",(Johnny's apartment)                        ,"18, Ignacego Daszyńskiego, Kartuzy, Osiedle Mikołaja Kopernika, Legnica, województwo dolnośląskie, 59-220, Polska",51.2118051,16.1766787
15,/title/tt2764784/,Phoenix,Poland,,Polska,52.215933,19.134422
16,/title/tt0060010/,The Monkees,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",,,,
17,/title/tt0086946/,Beat Street,"Fresh Pond Road Train Station, Fresh Pond Road, Ridgewood, Queens, New York City, New York, USA",,,,
18,/title/tt0086946/,Beat Street,"South Bronx, New York City, New York, USA",,"The Bronx, Bronx County, New York, United States of America",40.8466508,-73.8785937
19,/title/tt0086946/,Beat Street,"Ridgewood, Queens, New York City, New York, USA",,"Ridgewood, Queens County, New York, 11385, United States of America",40.7080556,-73.9141667
20,/title/tt0086946/,Beat Street,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
21,/title/tt3397754/,"10,000 Saints","Tarrytown, New York, USA",,"Tarrytown, Town of Greenburgh, Westchester County, New York, 10591, United States of America",41.0762077,-73.8587461
22,/title/tt3397754/,"10,000 Saints","Briarcliff Manor, New York, USA",,"Briarcliff Manor, Town of Ossining, Westchester County, New York, 10510, United States of America",41.1456512,-73.8237456
23,/title/tt0420087/,A Prairie Home Companion,"Fitzgerald Theater - 10 Exchange Street E., St. Paul, Minnesota, USA",,,,
24,/title/tt0420087/,A Prairie Home Companion,"St. Paul, Minnesota, USA",,"St. Paul, Ramsey County, Minnesota, United States of America",44.9504037,-93.1015026
25,/title/tt8884430/,Echo in the Canyon,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
26,/title/tt8884430/,Echo in the Canyon,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
27,/title/tt0150915/,Hilary and Jackie,"Abbercrombe Square, Liverpool, Merseyside, England, UK",,,,
28,/title/tt0150915/,Hilary and Jackie,"Formby Park, Liverpool, Merseyside, England, UK",(beach scenes)                        ,,,
29,/title/tt0150915/,Hilary and Jackie,"School Chapel, The Blue Coat School, Liverpool, Merseyside, England, UK",,,,
30,/title/tt0150915/,Hilary and Jackie,"The Walker Art Gallery, Liverpool, Merseyside, England, UK",,,,
31,/title/tt0150915/,Hilary and Jackie,"Corridor outside main hall, The Blue Coat School, Liverpool, Merseyside, England, UK",,,,
32,/title/tt0150915/,Hilary and Jackie,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
33,/title/tt0150915/,Hilary and Jackie,"Wales, UK","(Brithdir Mawr, Flintshire, Wales, UK)                        ","Cymru / Wales, United Kingdom",52.2928116,-3.73893
34,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"1375 Gorham St, Lowell, Massachusetts, USA",(Edson Cemetery - Kerouac Grave)                        ,"1375, Gorham Street, Bleachery, Lowell, Middlesex County, Massachusetts, 01825, United States of America",42.61856845,-71.30485555
35,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Plymouth, Massachusetts, USA",(location)                        ,"Plymouth, Plymouth County, Massachusetts, United States of America",41.9583799,-70.6673851
36,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Niagara Falls, New York, USA",(location)                        ,"Niagara Falls, Niagara County, New York, United States of America",43.08436,-79.0614686
37,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Toronto, Ontario, Canada",(Gordon Lightfoot Apt.)                        ,"Toronto, Peel, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
38,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"America's Cup Ave, Newport, Rhode Island, USA",(At 41: 00 the bus enters Newport - Market Square is visible on the right and Thames Street between Pelham and Mill Streets is visible on the left)                        ,"America's Cup Avenue, Ward 3, Newport, Newport County, Rhode Island, 02840, United States of America",41.4845768,-71.3147164
39,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"The Breakers - 44 Ochre Point Ave, Newport, Rhode Island, USA",(At 46: 40 man in Guam t-shirt hits golf ball in front of mansion)                        ,"The Breakers, 44, Ochre Point Avenue, Salve Regina University, Ward 3, Newport, Newport County, Rhode Island, 02840, United States of America",41.469914450000005,-71.2981521787299
40,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Lawrence, Massachusetts, USA",(At 36: 00 when discussing New England the view is traveling south on route 495 while crossing the Merrimac River)                        ,"Lawrence, Essex County, Massachusetts, 01840, United States of America",42.7070354,-71.1631137
41,/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
