,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt10183988/,Julie and the Phantoms,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
1,/title/tt10183988/,Julie and the Phantoms,"The Bridge Studios, Burnaby, British Columbia, Canada",,"Bridge Studios, Burnaby, Metro Vancouver Regional District, British Columbia, Canada",49.2629905,-123.0205448788792
2,/title/tt8503618/,Hamilton,"Richard Rodgers Theatre - 226 W. 46th Street, Manhattan, New York City, New York, USA",,"Richard Rodgers Theatre, 226, West 46th Street, Duffy Square, Manhattan Community Board 5, Times Square, New York County, New York, 10036, United States of America",40.7590309,-73.98674788284762
3,/title/tt1327801/,Glee,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio)                        ,,,
4,/title/tt1327801/,Glee,"Alex Theatre - 216 North Brand Boulevard, Glendale, California, USA",,,,
5,/title/tt2771200/,Beauty and the Beast,"Shepperton Studios, Shepperton, Surrey, England, UK",,,,
6,/title/tt2771200/,Beauty and the Beast,"Ashridge Estate, Hertfordshire, England, UK",(Mob of villagers march to the Beast's castle)                        ,"Ashridge Drive, St Stephen, St Albans, Hertfordshire, East of England, England, AL2 3SZ, United Kingdom",51.7081013,-0.3711653
7,/title/tt2771200/,Beauty and the Beast,UK,,United Kingdom,54.7023545,-3.2765753
8,/title/tt2771200/,Beauty and the Beast,"A Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(castle entrance; castle terrace; rooftop walkway)                        ,,,
9,/title/tt2771200/,Beauty and the Beast,"C Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(ballroom)                        ,,,
10,/title/tt2771200/,Beauty and the Beast,"E Stage, Shepperton Studios, Shepperton, Surrey, England, UK",,,,
11,/title/tt2771200/,Beauty and the Beast,"G Stage, Shepperton Studios, Shepperton, Surrey, England, UK",(interior of Gaston's tavern)                        ,,,
12,/title/tt6587640/,Trolls World Tour,"Glendale, California, USA",(DreamWorks Animation)                        ,"Glendale, Los Angeles County, California, United States of America",34.1469416,-118.2478471
13,/title/tt0107688/,The Nightmare Before Christmas,"Skellington Productions - 375 7th Street, San Francisco, California, USA",(studio)                        ,,,
14,/title/tt0077631/,Grease,"Huntington Park High School - 6020 Miles Avenue, Huntington Park, California, USA",(classroom and big dance contest scenes)                        ,,,
15,/title/tt0077631/,Grease,"Pickwick Drive-In Theater - 1100 W. Alameda Avenue, Burbank, California, USA",(drive-in theatre - now demolished)                        ,,,
16,/title/tt0077631/,Grease,"Leo Carrillo State Beach - 35000 W. Pacific Coast Highway, Malibu, California, USA",(Opening beach scene)                        ,,,
17,/title/tt0077631/,Grease,"4524 Kingswell Avenue, Hollywood, Los Angeles, California, USA",(The Slumber Party)                        ,,,
18,/title/tt0077631/,Grease,"Virgil Junior High School - 152 N. Vermont Avenue, Los Angeles, California, USA",,,,
19,/title/tt0077631/,Grease,"Silver Lake, Los Angeles, California, USA",,"Silver Lake, Los Angeles, Los Angeles County, California, 90026-2106, United States of America",34.0896518,-118.2693735
20,/title/tt0077631/,Grease,"6th Street Viaduct, Los Angeles, California, USA",(Thunder Road Car Race)                        ,"6th St Viaduct, East 6th Street, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90021, United States of America",34.0382287,-118.2259863
21,/title/tt0077631/,Grease,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
22,/title/tt0077631/,Grease,"Burbank, California, USA",,"Burbank, Los Angeles County, California, United States of America",34.1816482,-118.3258554
23,/title/tt6105098/,The Lion King,South Africa,,South Africa,-28.8166236,24.991639
24,/title/tt6105098/,The Lion King,Africa,,Africa,11.5024338,17.7578122
25,/title/tt3521164/,Vaiana,Polynesia,,"Polynesia, Îles Sous-le-Vent, Polynésie Française, France",-16.31,-151.81
26,/title/tt1485796/,The Greatest Showman,"1 E 78th St, New York City, New York, USA",(James B. Duke House)                        ,"1, East 78th Street, Upper East Side, Manhattan Community Board 8, Manhattan, New York County, New York, 10075, United States of America",40.7762513,-73.9637866
27,/title/tt1485796/,The Greatest Showman,"Marcy Armory, 355 Marcy Ave, Brooklyn, New York, USA",(Circus interior)                        ,,,
28,/title/tt1485796/,The Greatest Showman,"Gould Memorial Library, Bronx Community College - University Avenue at West 181 Street, Bronx, New York City, New York, USA",(Barnum's troupe take a stand against the upper class)                        ,,,
29,/title/tt1485796/,The Greatest Showman,"Howard Gilman Opera House - 30 Lafayette Avenue, Brooklyn, New York City, New York, USA",(Jenny Lind's first performance)                        ,,,
30,/title/tt1485796/,The Greatest Showman,"Historic Richmond Town, Staten Island, New York, USA",(interior historic house)                        ,"Historic Richmond Town, Staten Island, Richmond County, New York, United States of America",40.57172645,-74.1453944110316
31,/title/tt4520988/,Frozen II,"Norway, Norge",,"Norge, Namsos, Trøndelag, Norge",64.5731537,11.52803643954819
32,/title/tt4520988/,Frozen II,"Chicago Illinois, USA",(forest)                        ,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
33,/title/tt6139732/,Aladdin,"Wadi Rum, Jordan",(location)                        ,"وادي رم, الراشدية, العقبة, Jordan / الأُرْدُن",29.48125245,35.4687082704589
