,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0090329/,,"Paul Krantz Farm - 758 Bunker Hill Road, Strasburg, Pennsylvania, USA",(Amish farm),,,
1,/title/tt0090329/,,"Intercourse, Pennsylvania, USA",(scene where John Book fights the tourist),"Intercourse, Lancaster County, Pennsylvania, 17534, United States of America",40.0386107,-76.1076485
2,/title/tt0090329/,,"30th Street Station - 3001 Market Street, Philadelphia, Pennsylvania, USA",,"30th Street Station, 2955, Market Street, Schuylkill Yards, Philadelphia, Philadelphia County, Pennsylvania, 19139, United States of America",39.9552836,-75.1821442
3,/title/tt0090329/,,"Philadelphia, Pennsylvania, USA",,"Philadelphia, Philadelphia County, Pennsylvania, United States of America",39.9527237,-75.1635262
4,/title/tt0062407/,,"Château de Chantilly, Chantilly, Oise, France",,"Château de Chantilly, Площадь Коннетабля, Chantilly, Senlis, Oise, Hauts-de-France, France métropolitaine, 60500, France",49.193852449999994,2.4852990180858905
5,/title/tt0062407/,,"Restaurant Leï Mouscardins, Rue Portalet, Saint-Tropez, Var, France",,,,
6,/title/tt0062407/,,"Cap Valéry, France",,"Chaussée du Cap Hornu, Ribeauville, Saint-Valery-sur-Somme, Abbeville, Somme, Hauts-de-France, France métropolitaine, 80230, France",50.1905215,1.6168137
7,/title/tt0062407/,,"La Colle-sur-Loup, Alpes-Maritimes, France",,"La Colle-sur-Loup, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06480, France",43.6857041,7.0976053
8,/title/tt0062407/,,"Paris, France",,"Paris, Île-de-France, France métropolitaine, 75004, France",48.8566969,2.3514616
9,/title/tt0062407/,,"Ramatuelle, Var, France",(Dalbret villa scenes),"Ramatuelle, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83350, France",43.215142,6.6128041
10,/title/tt0062407/,,"Étangs de Commelles, Coye-la-Forêt, Oise, France",,,,
11,/title/tt0102492/,,"605 Magnolia Avenue, Sanford, Florida, USA",(Mr Bixler's House),"605, Magnolia Avenue, Sanlanta, Sanford, Seminole County, Florida, 32771, United States of America",28.807004428207026,-81.266864
12,/title/tt0102492/,,"Plant City, Florida, USA",(writing class),"Plant City, Hillsborough County, Florida, United States of America",28.01806015,-82.11848198507127
13,/title/tt0102492/,,"The Stanford Inn - 555 East Stanford Street, Bartow, Florida, USA",,,,
14,/title/tt0102492/,,"113 Magnolia Ave, Sanford, Florida, USA",(Dr Welty's Surgery exterior),"113, Magnolia Avenue, Sanlanta, Sanford, Seminole County, Florida, 32771, United States of America",28.811056408163267,-81.26690375510204
15,/title/tt0102492/,,"Mirror Lake, Clermont, Florida, USA",(The Willow Tree),,,
16,/title/tt0102492/,,"Tail o' the Pup - 329 N. San Vicente Boulevard, West Hollywood, California, USA",,,,
17,/title/tt0102492/,,"603 Myrtle Avenue, Sanford, Florida, USA",(Thomas J's House),"603, Myrtle Avenue, Sanlanta, Sanford, Seminole County, Florida, 32771, United States of America",28.806990836734695,-81.269951
18,/title/tt0102492/,,USA,,United States,39.7837304,-100.4458825
19,/title/tt9683478/,,"Sparky's Diner, 129 Ramapo Road, Garnerville, NY 10923",(Diner where Paul and Aster meet),,,
20,/title/tt9683478/,,"New York, USA",,"New York, United States of America",40.7127281,-74.0060152
21,/title/tt0099731/,,"James Adams Buchanan House, 1810 Cedar St, Durham, North Carolina, USA",(Commander Fred's house),,,
22,/title/tt0099731/,,"Blue Ridge Mountains, North Carolina, USA",,,,
23,/title/tt2914762/,,"Royal Horseguards Hotel, London, England, UK",(interiors),"Royal Horseguards Hotel, 2, Whitehall Court, Westminster, Covent Garden, City of Westminster, London, Greater London, England, SW1A 2EJ, United Kingdom",51.5056673,-0.1242772
24,/title/tt2914762/,,"Church Street, Twickenham, London, England, UK",(Walk to work),"Church Street, Twickenham, London Borough of Richmond upon Thames, London, Greater London, England, TW1 3NH, United Kingdom",51.4472159,-0.3254093
25,/title/tt2802008/,,"6741 224th Street, Langley, British Columbia, Canada",,,,
26,/title/tt0138097/,,"Broughton Castle, Banbury, Oxfordshire, England, UK","(Great Hall, Middle Temple)",,,
27,/title/tt0138097/,,"Smithfield, Holborn, London, England, UK",(St. Bartholomew the Great),"Amazon.co.uk, 60, Holborn Viaduct, Smithfield, City of London, Greater London, England, EC1A 2BN, United Kingdom",51.5174596,-0.10460573009892905
28,/title/tt0138097/,,"Hatfield House, Hatfield, Hertfordshire, England, UK",,"Hatfield House, The Stable Yard, Hatfield, Welwyn Hatfield, Hertfordshire, East of England, England, AL9 5NF, United Kingdom",51.7605139,-0.20879851305478084
29,/title/tt0138097/,,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
30,/title/tt0138097/,,"Whitehall, Westminster, London, England, UK",,"Whitehall, City of Westminster, London, Greater London, England, SW1A 2NH, United Kingdom",51.5023278,-0.1260826
31,/title/tt0107822/,,"Henderson, Auckland, New Zealand",,"Henderson, Henderson-Massey, Auckland, 0650, New Zealand",-36.8805554,174.6333709
32,/title/tt0107822/,,"Karekare Beach, Karekare, Waitakere, Auckland Region, New Zealand",,,,
33,/title/tt2053425/,,"Spa, Belgium",(frozen lake),"Spa, Liège, Wallonie, 4900, België - Belgique - Belgien",50.4920654,5.8627569
34,/title/tt2053425/,,"Cannes, Alpes-Maritimes, France",(beach scenes),"Cannes, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.5515198,7.0134418
35,/title/tt2053425/,,"Brussels, Belgium",(closing scenes),"Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien",50.8465573,4.351697
36,/title/tt2053425/,,"Villeneuve-Loubet, Alpes-Maritimes, France",(beach scene),"Villeneuve-Loubet, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06270, France",43.6579947,7.1217592
37,/title/tt2053425/,,"Liège, Wallonia, Belgium",(hospital),"Liège, Wallonie, 4000, België - Belgique - Belgien",50.6451381,5.5734203
38,/title/tt0067328/,,"115 East Main Street, Archer City, Texas, USA",(picture house),"East Main Street, Archer City, Archer County, Texas, 76351, United States of America",33.594605,-98.618635
39,/title/tt0067328/,,"Archer City, Texas, USA","(town: Anarene, Texas)","Archer City, Archer County, Texas, 76351, United States of America",33.5956593,-98.6256128
40,/title/tt0067328/,,"Wichita Falls, Texas, USA",,"Wichita Falls, Wichita County, Texas, United States of America",33.9137085,-98.4933873
41,/title/tt0067328/,,"Olney, Texas, USA","(movie theater interiors at the West-Tex, now demolished)","Olney, Young County, Texas, 76374, United States of America",33.3711244,-98.7566946
42,/title/tt0120746/,,"Guaymas, Sonora, Mexico",,"Guaymas, Sonora, México",28.0738847,-111.01852472776024
43,/title/tt0120746/,,"Santa Maria Regla, Hidalgo, Mexico",,,,
44,/title/tt0120746/,,"Hidalgo, Mexico",,"Hidalgo, México",20.5,-99.0
45,/title/tt0120746/,,"Toluca, Estado de México, Mexico",,"Toluca, Estado de México, 50150, México",19.292545,-99.6569007
46,/title/tt0120746/,,"Pachuca, Hidalgo, Mexico",,"Pachuca, Pachuca de Soto, Hidalgo, 42040, México",20.1165413,-98.7413535
47,/title/tt0126886/,,"683 Parkwood Lane, Omaha, Nebraska, USA",(Linda's house),"683, Parkwood Lane, Omaha, Douglas County, Nebraska, 68132, United States of America",41.266398946970426,-96.0073097297176
48,/title/tt0126886/,,"Bellevue, Nebraska, USA",,"Bellevue, Sarpy County, Nebraska, United States of America",41.1434547,-95.9124686
49,/title/tt0126886/,,"Papillion-LaVista High School - 402 E. Centennial Road, Papillion, Nebraska, USA",,,,
50,/title/tt0126886/,,"Papillion, Nebraska, USA",,"Papillion, Sarpy County, Nebraska, 68046, United States of America",41.1544433,-96.0422378
51,/title/tt0126886/,,"Carter Lake, Iowa, USA",,"Carter Lake, Pottawattamie County, Iowa, United States of America",41.2904246,-95.9179212
52,/title/tt0126886/,,"1110 Fort Crook Rd S, Bellevue, Nebraska, USA",(Motel where Jim wants to go with Linda),"1110, Fort Crook Road South, Bellevue, Sarpy County, Nebraska, 68005, United States of America",41.15157775875138,-95.92717826795437
53,/title/tt0126886/,,"LaVista, Nebraska, USA",,"Lavista, Whitman County, Washington, 97171, United States of America",47.1429429,-117.7060395
54,/title/tt0126886/,,"Gene Leahy Mall, Omaha, Nebraska, USA",(location),"Gene Leahy Mall Redevelopment, East Omaha, Omaha, Douglas County, Nebraska, United States of America",41.25811775,-95.93386517531297
55,/title/tt0126886/,,"American Museum of Natural History - Central Park West at 79th Street, Manhattan, New York City, New York, USA",,,,
56,/title/tt0126886/,,"Lincoln Memorial, National Mall, Washington, District of Columbia, USA",,,,
57,/title/tt0126886/,,"Omaha, Nebraska, USA",,"Omaha, Douglas County, Nebraska, United States of America",41.2587459,-95.9383758
58,/title/tt0151738/,,"The El Monte Drive-In, El Monte, California, USA",(The Court - demolished),"El Monte Drive, The Mesa, Las Positas Meadows, Santa Barbara, Santa Barbara County, California, 93109, United States of America",34.39905,-119.717967
59,/title/tt0151738/,,"401 N Wabash Ave, Chicago, Illinois, USA",(Establishing and external shot of the old Chicago Sun-Times Headquarters - now demolished - and the present location of the Trump International Hotel & Tower® Chicago),"Trump International Hotel & Tower Chicago, 401, North Wabash Avenue, Near North Side, Chicago, Cook County, Illinois, 60601, United States of America",41.888895399999996,-87.62643421788432
60,/title/tt0151738/,,"William S. Hart High School - 24825 Newhall Avenue, Newhall, California, USA",(athletic facilities),"William S Hart High School, Avenida Balita, Newhall, Santa Clarita, Los Angeles County, California, 91321, United States of America",34.3839288,-118.5389091733727
61,/title/tt0151738/,,"932 W. Newport Avenue, Chicago, Illinois, USA",(Josie's house),"932-934, West Newport Avenue, Lake View, Lakeview, Chicago, Cook County, Illinois, 60657, United States of America",41.94469435,-87.65325182340952
62,/title/tt0151738/,,"Monrovia Coffee Company - 425 S. Myrtle Avenue, Monrovia, California, USA",(Coffee shop),,,
63,/title/tt0151738/,,"368 N. Ridgewood Place, Los Angeles, California, USA",(Josie's house when she was growing up),"368, North Ridgewood Place, Larchmont, Los Angeles, Los Angeles County, California, 90004, United States of America",34.077747775510204,-118.31449271428572
64,/title/tt0151738/,,"The Ebell of Los Angeles - 743 S Lucerne Blvd, Los Angeles, California, USA",(Prom interiors),"Ebell of Los Angeles, 743, South Lucerne Boulevard, Mid-Wilshire, Los Angeles, Los Angeles County, California, 90005, United States of America",34.06114455,-118.3249702734384
65,/title/tt0151738/,,"John Burroughs Middle School - 600 S. McCaddon Place, Los Angeles, California, USA",,,,
66,/title/tt0091867/,,"Horsted Keynes station, Bluebell Railway, West Sussex, England, UK",(Railway Scene),,,
67,/title/tt0091867/,,"Piazza Santa Croce, Florence, Tuscany, Italy",(Lucy visits Santa Croce basilica),"Piazza Santa Croce, Montegonzi, Greve in Chianti, Firenze, Toscana, 50022, Italia",43.581672,11.3174984
68,/title/tt0091867/,,"Linley Sanbourne house, 18 Stafford Terrace, Kensington, London, England, UK",(Mrs. Vyse's well appointed home),,,
69,/title/tt0091867/,,"Quisisana e Ponte Vecchio, Florence, Tuscany, Italy",(Lucy's hotel),,,
70,/title/tt0091867/,,"Emmetts Garden, Sevenoaks, Kent, England, UK",(Engagement party),"Emmetts Garden, Emmetts Road, Sundridge with Ide Hill, Sevenoaks, Kent, South East, England, TN14 6BA, United Kingdom",51.251627049999996,0.11631262195580258
71,/title/tt0091867/,,"Foxwold House, Brasted Chart, Kent, England, UK",(Honeychurch's house exteriors),,,
72,/title/tt0091867/,,"Kent, England, UK",,"Kent, Egerton, Ashford, Kent, South East, England, United Kingdom",51.20707485,0.7210361813401444
73,/title/tt0091867/,,"Via dei Girolami, Florence, Tuscany, Italy","(""view"" from the first room)","Via dei Girolami, Oltrarno, Quartiere 1, Firenze, Toscana, 50125, Italia",43.7682622,11.2547331
74,/title/tt0091867/,,"Basilica di Santa Croce, Florence, Tuscany, Italy",(on location: church interior and Dante's cenotaph),"Basilica di Santa Croce, 16, Piazza Santa Croce, San Niccolò, Quartiere 1, Firenze, Toscana, 50122, Italia",43.76836495,11.263020055173044
75,/title/tt0283111/,,"Los Angeles, California, USA",(Cal State Northridge) (big sky conference insignia shown on basketball court) (uncredited),"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
76,/title/tt0283111/,,"Marymount High School - 10643 W. Sunset Blvd., Los Angeles, California, USA",,"Marymount High School, 10643, West Sunset Boulevard, Court of Philanthropy, Westwood, Los Angeles, Los Angeles County, California, 90077, United States of America",34.07495735,-118.44540795656403
77,/title/tt0098258/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
78,/title/tt0098258/,,"11430 Chandler Boulevard - North Hollywood, California, USA",(Lloyd Dobler plays a boombox in the driveway),"Chandler Boulevard, NoHo, North Hollywood, Los Angeles, Los Angeles County, California, 91401, United States of America",34.168414,-118.3827352
79,/title/tt5971474/,,"San Juan, Puerto Rico",,"San Juan, Puerto Rico, 00901, United States of America",18.465299,-66.116666
80,/title/tt0241303/,,"Fonthill Lake, Fonthill Bishop, Salisbury, Wiltshire, England, UK",(river scenes),,,
81,/title/tt0241303/,,"Sarlat, Dordogne, France",,"Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24200, France",44.8879431,1.2161321
82,/title/tt0241303/,,"Wales, UK",,"Cymru / Wales, United Kingdom",52.2928116,-3.73893
83,/title/tt0241303/,,"Salisbury, Wiltshire, England, UK",,"Salisbury, Wiltshire, South West England, England, United Kingdom",51.0690613,-1.7954134
84,/title/tt0241303/,,"West Country, England, UK",,"Country, Harewood, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS17 9LA, United Kingdom",53.9068586,-1.4914586
85,/title/tt0106057/,,"New York Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
86,/title/tt0106057/,,"Stage 19, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
87,/title/tt0128445/,,"Delmar Stadium - 2020 Mangum Road, Houston, Texas, USA",(parking lot with kite flying),,,
88,/title/tt0128445/,,"Lamar High School - 3325 Westheimer Road, Houston, Texas, USA",(Grover Cleveland High School),,,
89,/title/tt0128445/,,"Kinkaid School - 201 Kinkaid School Drive, Houston, Texas, USA",,,,
90,/title/tt0128445/,,"5200 East McKinney Road, Baytown, Houston, Texas, USA",(Blume International Saw Pipes),,,
91,/title/tt0128445/,,"North Street, Houston, Texas, USA",,"North Street, Houston, Harris County, Texas, 77009, United States of America",29.785157,-95.370599
92,/title/tt0128445/,,"St. John the Divine Church - 2450 River Oaks Blvd, Houston, Texas, USA",(the chapel),,,
93,/title/tt0128445/,,"Warwick Hotel - 5701 Main St, Houston, Texas, USA",(the hotel),,,
94,/title/tt0128445/,,USA,,United States,39.7837304,-100.4458825
95,/title/tt0095690/,,"Groton, Connecticut, USA",,"Groton, New London County, Connecticut, United States of America",41.3506989,-72.0773654
96,/title/tt0095690/,,"73 Water Street, Stonington Borough, Connecticut, USA",(Mystic Pizza),,,
97,/title/tt0095690/,,"Connecticut, USA",,"Connecticut, United States of America",41.6500201,-72.7342163
98,/title/tt0095690/,,"Watch Hill, Rhode Island, USA",,"Watch Hill, Washington County, Rhode Island, United States of America",41.3137109,-71.8497909
99,/title/tt0095690/,,"201 N. Main Street, Stonington, Connecticut, USA",(Peg Leg Pub),"201, North Main Street, Lords Point, Stonington, New London County, Connecticut, 06378, United States of America",41.33934,-71.905795
100,/title/tt0095690/,,"66 Water Street, Stonington Borough, Connecticut, USA",(Mystic Harbor Yacht Club),,,
101,/title/tt0095690/,,"185 Mechanic Street, Pawcatuck, Connecticut, USA",(Jojo's house),"185, Mechanic Street, Pawcatuck, New London County, Connecticut, 06379, United States of America",41.36761162315775,-71.83710010568203
102,/title/tt0095690/,,"Yale University, New Haven, Connecticut, USA",,"Yale University Art Gallery, 1111, Chapel Street, Downtown, New Haven, New Haven County, Connecticut, 06515, United States of America",41.3084354,-72.93087953034963
103,/title/tt0095690/,,USA,,United States,39.7837304,-100.4458825
104,/title/tt0120855/,,"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",,,,
105,/title/tt0255653/,,"El Segundo, California, USA",,"El Segundo, Los Angeles County, California, 90245, United States of America",33.917028,-118.4156337
106,/title/tt0259446/,,"Chicago, Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
