,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0052864/,,Guyana,,Guyana,4.8417097,-58.6416891
1,/title/tt0052864/,,"Kaieteur Falls, Guyana",(Background for opening credits),"Kaieteur Falls, Kaieteur, Rest of Region 8, Potaro-Siparuni, Guyana",5.1749417,-59.4806521
2,/title/tt0052864/,,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.542586
3,/title/tt0052864/,,"Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA",,,,
4,/title/tt0058100/,,"Chertsey, Surrey, England, UK",,"Chertsey, Surrey, South East, England, United Kingdom",51.392296,-0.5038294
5,/title/tt1876547/,,"Verdugo Hills High School - 10625 Plainview Avenue, Tujunga, Los Angeles, California, USA",(The high school),,,
6,/title/tt0138322/,,"Budduso', Sassari, Sardinia, Italy",(Granite Quarry scenes),"Uddusò/Buddusò, Sassari, Sardegna, Italia",40.578064,9.258129
7,/title/tt0138322/,,"Museum ""Sa Dom'e Farra"" Quartu Sant'Elena, Cagliari, Sardinia, Italy",,,,
8,/title/tt0138322/,,"Las Vegas, Nevada, USA",,"Las Vegas, Clark County, Nevada, United States of America",36.1672559,-115.1485163
9,/title/tt0138322/,,"Ollolai, Nuoro, Sardinia, Italy",,"Ollollai/Ollolai, Nuoro, Sardegna, 08020, Italia",40.168503,9.178467
10,/title/tt4518260/,,"Vidin, Bulgaria",,"Видин, България",43.8012835,22.698066136025055
11,/title/tt4518260/,,"Big Rapids, Michigan, USA",,"Big Rapids, Mecosta County, Michigan, 49307, United States of America",43.698078,-85.483656
12,/title/tt0063893/,,"Betchworth Quarry, Betchworth, Reigate, Surrey, England, UK",(scene of Jason King and Annabelle Hurst's white Jaguar driving off a precipice - episode 'Who Plays the Dummy?'),,,
13,/title/tt0076809/,,"Pismo Beach, California, USA",,"Pismo Beach, San Luis Obispo County, California, 93449, United States of America",35.1427533,-120.6412827
14,/title/tt0076809/,,"Point Loma, San Diego, California, USA",,"Point Loma, San Diego, San Diego County, California, 92106, United States of America",32.7265255,-117.2444542
15,/title/tt0076809/,,"Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA",,,,
16,/title/tt0031398/,,"Alabama Hills, Lone Pine, California, USA",(Himalaya mountains - English fort),"Alabama Hills, Lone Pine, Inyo County, California, 93545, United States of America",36.5677117,-118.0898097
17,/title/tt0031398/,,"Death Valley National Park, California, USA",,"Death Valley National Park, Inyo County, California, 92328, United States of America",36.4914385,-117.10229360771876
18,/title/tt0031398/,,"Venice Canals, Venice, Los Angeles, California, USA",,,,
19,/title/tt0031398/,,"Sierra Nevada Mountains, California, USA",,"Rancho Sierra Vista, West Potrero Road, Thousand Oaks, Ventura County, California, 93012, United States of America",34.151052,-118.95678037704732
20,/title/tt0031398/,,"Horseshoe Meadow Road, Lone Pine, California, USA",(Temple of Kali),,,
21,/title/tt0031398/,,"Castle Dome Peak, Yuma, Arizona, USA",,"Castle Dome Peak, Yuma County, Arizona, United States of America",33.0844831,-114.1432722
22,/title/tt0031398/,,"Sherwood Forest, California, USA",,"Sherwood Forest, Grass Valley, Nevada County, California, 95949, United States of America",39.1843138,-121.0829634
23,/title/tt0031398/,,"Imperial County, California, USA",,"Imperial County, California, United States of America",33.0305487,-115.3595666
24,/title/tt0075987/,,"Tehran, Iran",,"شهر تهران, فرهنگسرای شفق, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, ایران",35.7006177,51.4013785
25,/title/tt0075987/,,"Jumbo Floating Restaurant, Aberdeen, Hong Kong, China",(Emanuelle inquires about Elsa Brown),,,
26,/title/tt0075987/,,"Durbar Square, Swayambhunath Temple, Hotel Shanker Kathmandu, Nepal",(street scenes),,,
27,/title/tt0075987/,,"Hong Kong, China",,"香港島 Hong Kong Island, 香港 Hong Kong, China 中国",22.2793278,114.1628131
28,/title/tt0075987/,,"Macau, China",,"澳門 Macau, China 中国",22.1757605,113.5514142
29,/title/tt0075987/,,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953583
30,/title/tt0302447/,,"Arahuetes, Segovia, Castilla y León, Spain",(town of Sagrillas),"Arahuetes, Navafría, Castilla y León, España",41.1376522,-3.8568271
31,/title/tt0302447/,,"Aranjuez, Madrid, Spain",,"Aranjuez, Las Vegas, Comunidad de Madrid, 28300, España",40.03221,-3.6039604
32,/title/tt0302447/,,"Pinto, Madrid, Spain",,"Pinto, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28320, España",40.240985,-3.7005072
33,/title/tt4153828/,,"Chicago Illinois, USA",(beach scenes),"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
34,/title/tt0056277/,,"St Mary the Virgin, Denham, Buckinghamshire, England, UK",(Scenes in churchyard.),,,
35,/title/tt0056277/,,"Ibstone windmill, Turville, Buckinghamshire, England, UK",(Village windmill),,,
36,/title/tt4288674/,,"Rodalquilar, Almería, Andalucía, Spain",(location),"Rodalquilar, Níjar, Almería, Andalucía, 04115, España",36.8468019,-2.0406035
37,/title/tt9228950/,,"Long Beach, California, USA",,"Long Beach, Los Angeles County, California, United States of America",33.7690164,-118.1916048
38,/title/tt0110706/,,Romania,,România,45.9852129,24.6859225
39,/title/tt0264262/,,"Bray Film Studios, Windsor, Berkshire, England, UK",,,,
40,/title/tt5937754/,,"Stockholm, Sweden",,"Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige",59.3251172,18.0710935
41,/title/tt0115109/,,"Sydney, New South Wales, Australia",,"Sydney, New South Wales, Australia",-33.8548157,151.2164539
42,/title/tt0460925/,,"Estacada, Oregon, USA",,"Estacada, Clackamas County, Oregon, 97023, United States of America",45.2864689,-122.3342596
43,/title/tt0460925/,,"Portland, Oregon, USA",,"Portland, Multnomah County, Oregon, United States of America",45.5202471,-122.6741949
44,/title/tt0460925/,,"Oregon City, Oregon, USA",,"Oregon City, Clackamas County, Oregon, 97045, United States of America",45.3573429,-122.6067583
45,/title/tt3343868/,,"Red Rock Canyon State Park, Oklahoma, USA",,"Red Rock Canyon State Park, 116, Caddo County, Oklahoma, 73047, United States of America",35.4489995,-98.35231750334302
46,/title/tt0033028/,,"Point Mugu, California, USA",(Panama jungle inlet),"Point Mugu State Park, Ventura County, California, United States of America",34.106923800000004,-119.02102537387437
47,/title/tt2123146/,,"Choctaw, Oklahoma, USA",,"Choctaw County, Oklahoma, United States of America",34.0246234,-95.52055
48,/title/tt2123146/,,"Oklahoma City, Oklahoma, USA",,"Oklahoma City, Oklahoma County, Oklahoma, United States of America",35.4729886,-97.5170536
49,/title/tt2123146/,,"Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA",,,,
50,/title/tt2123146/,,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.542586
51,/title/tt2123146/,,"Oklahoma, USA",,"Oklahoma, United States of America",34.9550817,-97.2684063
52,/title/tt8525684/,,"Santa Fortuna, Colombia",,"LA FORTUNA, Puerto Berrío, Magdalena Medio, Antioquia, Colombia",6.4954627,-74.4052829
53,/title/tt8525684/,,"Vermont, USA",,"Vermont, United States of America",44.5990718,-72.5002608
54,/title/tt8525684/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
55,/title/tt8525684/,,"Hawke's Bay, New Zeeland",,,,
56,/title/tt3829170/,,"Castel Film Studios, Bucharest, Romania",,,,
57,/title/tt0099474/,,"Metro Manila, Philippines",,"Metro Manila, Philippines",14.5736108,121.0329706
58,/title/tt0047072/,,"D&P Studios, Denham Studios, Denham, Buckinghamshire, England, UK",(studio) (studio: made at),,,
59,/title/tt0123351/,,"Golden Cap, Dorset, England, UK",,"Golden Cap, Dorset, South West England, England, DT6 6EP, United Kingdom",50.7263526,-2.8412535
60,/title/tt0123351/,,"Powerstock, Dorset, England, UK",,"Powerstock, Dorset, South West England, England, DT6 3TD, United Kingdom",50.7639132,-2.6869554
61,/title/tt2782844/,,"Holyhead, Anglesey, Wales, UK",,"Holyhead, Ynys Môn / Isle of Anglesey, Cymru / Wales, LL65 1UF, United Kingdom",53.3106715,-4.6330966
62,/title/tt2782844/,,"South Wales, Wales, UK",,"Newport (South Wales) County Court and Family Court, 5th Floor, Clarence Place, St Julians, Newport, Cymru / Wales, NP19 7AA, United Kingdom",51.5909537,-2.9924587
63,/title/tt0177858/,,Hungary,,Magyarország,47.1817585,19.5060937
64,/title/tt0177858/,,"Istanbul, Turkey",,"İstanbul, Beyazıt Meydanı, Beyazıt Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye",41.0096215,28.9651867
65,/title/tt0177858/,,Turkey,,Türkiye,38.9597594,34.9249653
66,/title/tt0075989/,,"Fort Pierce, Florida, USA","(Fort Pierce, Fl. USA)","Fort Pierce, St. Lucie County, Florida, United States of America",27.4467056,-80.3256056
67,/title/tt0075989/,,"Belle Glade, Florida, USA","(33 W Ave A Belle Glade, FL 33430)","Belle Glade, Palm Beach County, Florida, 33430, United States of America",26.6845104,-80.6675577
68,/title/tt0090323/,,"Olympiastadion, Charlottenburg, Berlin, Germany",,"Olympiastadion Berlin, 3, Olympischer Platz, Westend, Charlottenburg-Wilmersdorf, 14053, Deutschland",52.5147077,13.239776301622072
69,/title/tt0090323/,,"188 Oranienstrasse, Berlin, Germany",(Court yard where Strobling's thugs are ambushed),"Knoth & Krüger, 188, Oranienstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.500475,13.4218608
70,/title/tt0090323/,,"Spandau Schleuse, Spandau, Germany",(Hadad climbs fence on his way to meet Stroebling),,,
71,/title/tt0090323/,,"16a Obermeierweg, Berlin, Germany",(exterior of CSM. Murphy's home),"16A, Obermeierweg, Spandau, Berlin, 13597, Deutschland",52.5348354,13.2084875
72,/title/tt0090323/,,"Berlin Wall, Bernauer Strasse, Berlin, Germany",(Hadad's second meeting with Stroebling),,,
73,/title/tt0090323/,,"Berlin, Germany",,"Berlin, 10117, Deutschland",52.5170365,13.3888599
74,/title/tt0308353/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
75,/title/tt1301303/,,"Clearwell Caves, Coleford, Forest of Dean, Gloucestershire, England, UK",,"Clearwell Caves, Lambsquay Road, Newland, Forest of Dean, Gloucestershire, South West England, England, GL16 8JR, United Kingdom",51.7712237,-2.6143451
76,/title/tt1301303/,,"Snowdonia, Gwynedd, Wales, UK",,"Snowdonia National Park, Trawsfynydd, Gwynedd, Cymru / Wales, United Kingdom",52.9155626,-3.8326012926334223
77,/title/tt0493334/,,"Chicago Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
78,/title/tt0034182/,,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",,,,
79,/title/tt0034182/,,"Moon Ridge, San Bernardino Mountains, California, USA",(forest fire scene),,,
80,/title/tt0034182/,,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio),,,
81,/title/tt0499487/,,"Derby Road, Nottingham, Nottinghamshire, England, UK",(Liam's cab ride),"Derby Road, Broxtowe, City of Nottingham, East Midlands, England, NG9 2TB, United Kingdom",52.9384828,-1.2210997
82,/title/tt0075194/,,"Queen's Club Grounds, Queen's Club, Palliser Road, West Kensington, London, England, UK",(real tennis court scene),,,
83,/title/tt0075194/,,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio),"Pinewood Studios, Pinewood Green, Iver, Iver Heath, Buckinghamshire, South East, England, SL0 0QJ, United Kingdom",51.54831515,-0.5346765566753087
84,/title/tt0074442/,,"739 NW 5th St. Miami, Florida, USA",(Canal bridge scene),"739, Northwest 5th Street, Latin Quarter, Miami, Miami-Dade County, Florida, 33128, United States of America",25.778611507791403,-80.20662687947674
85,/title/tt3809276/,,Italy,,Italia,42.6384261,12.674297
86,/title/tt3401748/,,"City of Hobsons Bay, Victoria, Australia",(location),"City of Hobsons Bay, Victoria, Australia",-37.8568165,144.83663109195004
87,/title/tt0276830/,,"Ciudad Juárez, Chihuahua, Mexico",,"Ciudad Juárez, Juárez, Chihuahua, 32683, México",31.7097961,-106.4555818
88,/title/tt0276830/,,France,,France,46.603354,1.8883335
89,/title/tt0276830/,,Spain,,España,39.3262345,-4.8380649
90,/title/tt0276830/,,"Chihuahua, Mexico",,"Chihuahua, México",28.5000001,-106.0000001
91,/title/tt0276830/,,"Torreón, Coahuíla, Mexico",,"Torreón, Coahuila de Zaragoza, 27289, México",25.542698,-103.410512
92,/title/tt0066585/,,"Blubberhouses, Otley, Leeds, North Yorkshire, England, UK",,,,
93,/title/tt0066585/,,"West Yorkshire, England, UK",,"West Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.741427099999996,-1.7202003766777243
94,/title/tt0066585/,,"West End, Harrogate, North Yorkshire, England, UK",,"West End, Harrogate, North Yorkshire, Yorkshire and the Humber, England, HG3 4BA, United Kingdom",54.0166249,-1.7837346
95,/title/tt0066585/,,"Harrogate, North Yorkshire, England, UK",,"Harrogate, North Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.9921491,-1.5391039
96,/title/tt0066585/,,"Ilkley, Bradford, West Yorkshire, England, UK",,"Ilkley, Bradford, West Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.92023225,-1.824272287202847
97,/title/tt0066585/,,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio),,,
98,/title/tt0062782/,,"Snowdonia, Gwynedd, Wales, UK",(The Himalayas),"Snowdonia National Park, Trawsfynydd, Gwynedd, Cymru / Wales, United Kingdom",52.9155626,-3.8326012926334223
99,/title/tt0062782/,,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio),"Pinewood Studios, Pinewood Green, Iver, Iver Heath, Buckinghamshire, South East, England, SL0 0QJ, United Kingdom",51.54831515,-0.5346765566753087
100,/title/tt0050763/,,"Durango, Colorado, USA",,"Durango, La Plata County, Colorado, United States of America",37.2713951,-107.8815978
101,/title/tt0050763/,,"Buttermilk Country, Inyo National Forest, California, USA",,,,
102,/title/tt0050763/,,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio),,,
103,/title/tt0064615/,,"Kanab Movie Ranch - 5001 Angel Canyon Road, Kanab, Utah, USA",,,,
104,/title/tt0064615/,,"Monument Valley, Utah, USA",,"Monument, Disera Boulevard, Magna, Salt Lake County, Utah, 84044, United States of America",40.7143227,-112.1045506
105,/title/tt0064615/,,"Paria, Utah, USA",,"Paria, Kane County, Utah, United States of America",37.2479883,-111.9480611
106,/title/tt0064615/,,"Johnson Canyon, Kanab, Utah, USA",,,,
107,/title/tt0064615/,,"Glen Canyon, Arizona, USA",,"Glen Canyon, South Lake Powell Boulevard, Page, Coconino County, Arizona, 86040-0418, United States of America",36.8796091,-111.5342184
108,/title/tt0064615/,,"Happy Jack, Arizona, USA",,"Happy Jack, Coconino County, Arizona, United States of America",34.7428521,-111.4093051
109,/title/tt0064615/,,"Spider Rock, Canyon de Chelly National Monument, Arizona, USA",,,,
110,/title/tt0064615/,,"Canyon Diablo, Arizona, USA",,"Canyon Diablo, Coconino County, Arizona, United States of America",35.1627902,-111.117644
111,/title/tt0064615/,,"Oak Creek Canyon, Arizona, USA",,"Oak Creek Canyon, AZ 89A, Coconino County, Arizona, United States of America",34.9668934,-111.7505694
112,/title/tt0064615/,,"Ganado, Arizona, USA",,"Ganado, Apache County, Arizona, 86505, United States of America",35.7116198,-109.5421216
113,/title/tt0064615/,,"Palatki Heritage Site, Sedona, Arizona, USA",,,,
114,/title/tt2312184/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
115,/title/tt11875316/,,"North Shore Studios, North Vancouver, British Columbia, Canada",(studio),,,
116,/title/tt2039380/,,"Arvada, Colorado, USA",(studio) (Risk Factor Studio),"Arvada, Jefferson County, Colorado, United States of America",39.8211225,-105.22074299044587
117,/title/tt0082648/,,"Monument Valley, Arizona, USA",,"Monument Valley Navajo Tribal Park, Navajo County, Arizona, United States of America",36.9820026,-110.1108327
118,/title/tt0082648/,,"Bonanza Creek Ranch - 15 Bonanza Creek Lane, Santa Fe, New Mexico, USA",,,,
119,/title/tt0082648/,,"Cook Ranch, Galisteo, New Mexico, USA",,,,
120,/title/tt0082648/,,"Eaves Movie Ranch - 105 Rancho Alegre Road, Santa Fe, New Mexico, USA",,,,
121,/title/tt0082648/,,"Monument Valley, Utah, USA",,"Monument, Disera Boulevard, Magna, Salt Lake County, Utah, 84044, United States of America",40.7143227,-112.1045506
122,/title/tt0082648/,,"Santa Fe, New Mexico, USA",,"Santa Fe, Santa Fe County, New Mexico, United States of America",35.6869996,-105.9377997
123,/title/tt0116147/,,"25955 Vía Catalina, Santa Clarita, California, USA",,"25955, Via Catalina, Pardee, Santa Clarita, Los Angeles County, California, 91355, United States of America",34.409910789844396,-118.54730034273149
124,/title/tt0116147/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
125,/title/tt0116147/,,"San Pedro, Los Angeles, California, USA",,"San Pedro, Los Angeles, Los Angeles County, California, 90731, United States of America",33.7358518,-118.2922934
126,/title/tt0052027/,,"Nassau, New Providence Island, Bahamas",,"Nassau, Sidney Poitier Bridge, New Providence, 242, Bahamas",25.0769738,-77.3237203
127,/title/tt0052027/,,"Kona, Hawaii, USA",,"Kailua-Kona, Hawaiʻi County, Hawaii, 96840, United States of America",19.641941,-155.996933
128,/title/tt0052027/,,"Stage 15, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
129,/title/tt0052027/,,"Galapagos Islands, Ecuador",,"Archipélago de Galápagos, Parroquia Santa Rosa, Cantón Santa Cruz, Galápagos, Ecuador",-0.62881505,-90.3638752022324
130,/title/tt0052027/,,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
131,/title/tt0052027/,,"Stage 6, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
132,/title/tt1650060/,,"Chimney Rock, North Carolina, USA",,"Chimney Rock, Lake Lure, Rutherford County, North Carolina, 28720, United States of America",35.4327295,-82.2503096
133,/title/tt1650060/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
134,/title/tt0081747/,,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio),,,
135,/title/tt4057376/,,Russia,,Россия,64.6863136,97.7453061
136,/title/tt0112408/,,"Santa Clarita, California, USA",,"Santa Clarita, Los Angeles County, California, United States of America",34.3916641,-118.542586
137,/title/tt0112469/,,"Stu Segall Studios, San Diego, California, USA",(studio),,,
138,/title/tt0050077/,,"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",,,,
139,/title/tt0050077/,,"Whiteman Airport - 12657 Osborne Street, Pacoima, Los Angeles, California, USA",,,,
140,/title/tt0365847/,,"Anjanadri Hill, Hampi, Karnataka, India",,,,
141,/title/tt0365847/,,"Virupaksha Temple, Hampi, Karnataka, India",,"Virupaksha Temple, Hampi Bazar, Prakash Nagar, Hampe, Hosapete taluk, Bellary district, Karnataka, 583239, India",15.3351754,76.45877771562229
142,/title/tt0365847/,,"Xi'an, Shaanxi, China",,"西安市, 未央区 (Weiyang), 陕西省, China 中国",34.3468421,108.9365887
