,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0094747/,,"Kansas City, Missouri, USA",,"Kansas City, Jackson County, Missouri, United States of America",39.100105,-94.5781416
1,/title/tt0094747/,,"Birds Landing, California, USA",,"Birds Landing, Fairfield, Solano County, California, 94512, United States of America",38.132695,-121.8707927
2,/title/tt0094747/,,"Park Boulevard, Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA",,,,
3,/title/tt0094747/,,"Stage 5, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",,,,
4,/title/tt2870648/,,"London, England, UK",,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
5,/title/tt0078382/,,"El Rey Theater - 5515 Wilshire Blvd., Los Angeles, California, USA",(opening credits: movie title on marquee),,,
6,/title/tt0078382/,,"Tail o' the Pup - 311 N La Cienega Blvd, Los Angeles, California, USA",(hot dog stand),,,
7,/title/tt0078382/,,"West Hollywood, California, USA",,"West Hollywood, Los Angeles County, California, United States of America",34.0923014,-118.3692894
8,/title/tt0297037/,,"Flatiron Building - 175 Fifth Avenue, Manhattan, New York City, New York, USA",,,,
9,/title/tt4559006/,,"London, England, UK",(location),"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
10,/title/tt4559006/,,"City Hall Vienna, Austria",,"City, 1, Morzinplatz, Seitenstettnerhof, KG Innere Stadt, Innere Stadt, Wien, 1010, Österreich",48.21238985,16.37542600102991
11,/title/tt4559006/,,"Charing Cross Tube Station, London, England, UK",(location),,,
12,/title/tt4559006/,,"Maria-Theresien-Platz, Vienna, Austria",,"Maria-Theresien-Platz, KG Innere Stadt, Innere Stadt, Wien, 1010, Österreich",48.2045084,16.361976404844206
13,/title/tt4559006/,,"City Hall Park Vienna, Austria",,,,
14,/title/tt4559006/,,"Haus des Meeres Aqua Terra Zoo, Vienna, Austria",,,,
15,/title/tt4559006/,,"Schönborngasse, Vienna, Austria",,"Schönborngasse, Buchfeld, KG Josefstadt, Josefstadt, Wien, 1080, Österreich",48.210916,16.3471182
16,/title/tt4559006/,,"Hotel Imperial Vienna, Austria",,"Austria Trend Hotel Rathauspark, Rathausstraße, KG Alsergrund, Alsergrund, Wien, 1090, Österreich",48.213208,16.3568502
17,/title/tt0098090/,,"Budapest, Hungary",,"Budapest, Közép-Magyarország, 1011, Magyarország",47.4983815,19.0404707
18,/title/tt0098090/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
19,/title/tt2515086/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
20,/title/tt2515086/,,"Paley Terrace, East Bowling, Bradford, West Yorkshire, England, UK",,"Paley Terrace, Bowling, Bradford, West Yorkshire, Yorkshire and the Humber, England, BD4 7HS, United Kingdom",53.7836151,-1.7362428
21,/title/tt2515086/,,"Baildon, Shipley, Bradford, West Yorkshire, England, UK",,"Baildon, Hoyle Court Avenue, Baildon, Bradford, West Yorkshire, Yorkshire and the Humber, England, BD17, United Kingdom",53.8501789,-1.7536925
22,/title/tt2515086/,,"Shipley, Bradford, West Yorkshire, England, UK",,"Shipley, Bradford, West Yorkshire, Yorkshire and the Humber, England, BD18 3RL, United Kingdom",53.8321814,-1.7779777
23,/title/tt0102411/,,"Lancaster, California, USA",,"Lancaster, Los Angeles County, California, United States of America",34.6981064,-118.1366153
24,/title/tt0206917/,,"Paris, France",,"Paris, Île-de-France, France métropolitaine, 75004, France",48.8566969,2.3514616
25,/title/tt0206917/,,"Rue de la Harengerie, Pontoise, Val-d'Oise, France",,"Rue de la Harengerie, Centre-Ville, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, 95300, France",49.0495107,2.0982047
