,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0090329/,Witness,"Paul Krantz Farm - 758 Bunker Hill Road, Strasburg, Pennsylvania, USA",(Amish farm)                        ,,,
1,/title/tt0090329/,Witness,"Lancaster County, Pennsylvania, USA",,"Lancaster County, Pennsylvania, United States of America",40.08067,-76.2411283
2,/title/tt0090329/,Witness,"Lancaster, Pennsylvania, USA",,"Lancaster County, Pennsylvania, United States of America",40.08067,-76.2411283
3,/title/tt0062407/,Two for the Road,"Saint-Tropez, Var, France",,"Saint-Tropez, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83990, France",43.2727191,6.6405225
4,/title/tt0062407/,Two for the Road,"French Riviera, Alpes-Maritimes, France",,"Riviera Française, La Giandola de Breil, Breil-sur-Roya, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06540, France",43.952749,7.479413793610824
5,/title/tt0062407/,Two for the Road,"Beauvallon, Drôme, France",,"Beauvallon, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26800, France",44.8571562,4.9031348
6,/title/tt0062407/,Two for the Road,"Grimaud, Var, France",,"Grimaud, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83310, France",43.2737698,6.5222979
7,/title/tt0062407/,Two for the Road,"Nice, Alpes-Maritimes, France",,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, France",43.7009358,7.2683912
8,/title/tt0062407/,Two for the Road,"Port de Nice, Nice, Alpes-Maritimes, France",(ferry disembarkment sequence)                        ,"Port de Nice, Mini-Tunel Stalingrad, Le Port, Nice Est, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06300, France",43.694152849999995,7.284552741791549
9,/title/tt0062407/,Two for the Road,"Studios de la Victorine - 16 avenue Edoard Grinda, Nice, Alpes-Maritimes, France",(studio)                        ,,,
10,/title/tt0062407/,Two for the Road,France,,France,46.603354,1.8883335
11,/title/tt0102492/,My Girl,"Bartow, Florida, USA",,"Bartow, Polk County, Florida, United States of America",27.885186599999997,-81.81408775862916
12,/title/tt0102492/,My Girl,"Sanford, Florida, USA",,"Sanford, Seminole County, Florida, United States of America",28.8117297,-81.2680345
13,/title/tt0102492/,My Girl,"Ocoee, Florida, USA",(bingo scene)                        ,"Ocoee, Orange County, Florida, 34761, United States of America",28.5695186,-81.544117
14,/title/tt0102492/,My Girl,"Orlando, Florida, USA",,"Orlando, Orange County, Florida, United States of America",28.5421109,-81.3790304
15,/title/tt0102492/,My Girl,"112 East 1st Street, Sanford, Florida, USA",(Cafe / Harry & Vada see Mrs Sennett)                        ,"112, 1st Street, Sanlanta, Sanford, Seminole County, Florida, 32771, United States of America",28.811771193364518,-81.26778297354525
16,/title/tt0102492/,My Girl,"Sand Lake Road, Orlando, Florida, USA",(Warehouse used for interior sets)                        ,"Sand Lake Road, 8030, South Orange Avenue, Orange County, Florida, 32809, United States of America",28.4531634,-81.3669381
17,/title/tt0102492/,My Girl,"East 1st Street, Sanford, Florida, USA",(Main Street scenes)                        ,"1st Street, Lincoln Heights, Sanford, Seminole County, Florida, 32771, United States of America",28.8116102,-81.2811043
18,/title/tt0102492/,My Girl,"Florida, USA",,"Florida, United States of America",27.7567667,-81.4639835
19,/title/tt9683478/,The Half of It,"Piermont, New York, USA","(Last scene, outside restaurant where Aster works)                        ","Piermont, Town of Orangetown, Rockland County, New York, 10968, United States of America",41.0415342,-73.918426
20,/title/tt9683478/,The Half of It,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
21,/title/tt0099731/,The Handmaid's Tale,"Duke University, Durham, North Carolina, USA",,"Duke University, Sumter Street, Burch Avenue, Mill Grove, Durham, Durham County, North Carolina, 27708, United States of America",36.00015569999999,-78.94422972195878
22,/title/tt0099731/,The Handmaid's Tale,"Raleigh, North Carolina, USA",,"Raleigh, Wake County, North Carolina, United States of America",35.7803977,-78.6390989
23,/title/tt2914762/,The 7.39,"Woking Station, Woking, Surrey, England, UK",,"Woking, High Street, Woking, Surrey, South East, England, GU21 6BH, United Kingdom",51.3184492,-0.5573085
24,/title/tt2914762/,The 7.39,"Waterloo Station, Waterloo, London, England, UK",,"Pure, Waterloo Road, South Bank, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7LY, United Kingdom",51.50372505,-0.11370885797203917
25,/title/tt2914762/,The 7.39,"Seven Sisters, East Sussex, England, UK",(Carl's parents seaside holiday cottage)                        ,"Seven Sisters, Crowlink Lane, East Dean and Friston, Wealden, East Sussex, South East, England, BN20 0AZ, United Kingdom",50.7515798,0.1744874
26,/title/tt2802008/,Once Upon a Time in Wonderland,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
27,/title/tt0138097/,Shakespeare in Love,"Barnes, London, England, UK",(River Scenes)                        ,"Barnes, London Borough of Richmond upon Thames, London, Greater London, England, SW13 0BP, United Kingdom",51.4718962,-0.2387441
28,/title/tt0138097/,Shakespeare in Love,"Holkham Hall and Estate, Norfolk, England, UK",(beach in final scene/Viola's declaration to Will)                        ,,,
