Code,Show Name,Location,Scene
/title/tt1086064/,Bill & Ted Face the Music,"18447 Three Rivers Rd, Covington, Louisiana, USA",(Dave Grohl's mansion)                        
/title/tt1327801/,Glee,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",(studio)                        
/title/tt1327801/,Glee,"Alex Theatre - 216 North Brand Boulevard, Glendale, California, USA",
/title/tt8580274/,Eurovision Song Contest: The Story of Fire Saga,"Húsavík, Iceland",
/title/tt8580274/,Eurovision Song Contest: The Story of Fire Saga,"The SSE Hydro, Exhibition Way, Glasgow, Scotland, UK",(Eurovision Song Contest - exterior)                        
/title/tt8580274/,Eurovision Song Contest: The Story of Fire Saga,"Warner Bros. Studios, Leavesden, Hertfordshire, England, UK",
/title/tt8580274/,Eurovision Song Contest: The Story of Fire Saga,"Knebworth House, Stevenage, Hertfordshire, England, UK",(Alexander Letmov's mansion/castle)                        
/title/tt8580274/,Eurovision Song Contest: The Story of Fire Saga,"Conway Hall, London, England, UK",(Iceland song contest)                        
/title/tt8580274/,Eurovision Song Contest: The Story of Fire Saga,"University of Iceland, Reykjavík, Iceland",(The Icelandic Public Television building)                        
/title/tt0096928/,Bill & Ted's Excellent Adventure,"Metrocenter Mall - 9801 N. Metro Pkwy W., Phoenix, Arizona, USA",(Joan of Arc scenes)                        
/title/tt0096928/,Bill & Ted's Excellent Adventure,"Coronado High School - 2501 N. 74th Street, Scottsdale, Arizona, USA",
/title/tt0096928/,Bill & Ted's Excellent Adventure,"1010 West Southern Avenue, Tempe, Arizona, USA",(Circle K)                        
/title/tt0096928/,Bill & Ted's Excellent Adventure,"7337 E 2nd St, Scottsdale, Arizona, USA",(Police Station)                        
/title/tt0096928/,Bill & Ted's Excellent Adventure,"N. 18th Street & W. Bethany Home Road, Phoenix, Arizona, USA",(Bill's house)                        
/title/tt0096928/,Bill & Ted's Excellent Adventure,"AMF Tempe Village Lanes - 4407 S. Rural Road, Tempe, Arizona, USA",(bowling alley scenes)                        
/title/tt0096928/,Bill & Ted's Excellent Adventure,"Tempe, Arizona, USA",
/title/tt0096928/,Bill & Ted's Excellent Adventure,"San Dimas, California, USA",
/title/tt0096928/,Bill & Ted's Excellent Adventure,"Scottsdale, Arizona, USA","(San Dimas, California, USA)                        "
/title/tt0096928/,Bill & Ted's Excellent Adventure,Italy,
/title/tt0096928/,Bill & Ted's Excellent Adventure,"Arizona, USA",
/title/tt0096928/,Bill & Ted's Excellent Adventure,"Rome, Lazio, Italy",
/title/tt6966692/,Green Book,"Houmas House Plantation, Burnside, Louisiana, USA",(Raleigh concert venue)                        
/title/tt6966692/,Green Book,"English Turn Golf & Country Club, 1 Clubhouse Dr, New Orleans, Louisiana, USA",(Birmingham restaurant scene)                        
/title/tt6966692/,Green Book,"Carnegie Hall, New York City, New York, USA",
/title/tt6966692/,Green Book,"Aloha Motel, Metairie, Louisiana, USA",(First Green Book hotel)                        
/title/tt6966692/,Green Book,"Clover Grill, French Quarter, New Orleans, Louisiana, USA",(Gorman's hot dog competition)                        
