Code,Show Name,Location,Scene
/title/tt3344686/,Viena and the Fantomes,"Nevada, USA",
/title/tt0047472/,Seven Brides for Seven Brothers,"Corral Creek Canyon, Sun Valley, Idaho, USA",
/title/tt0047472/,Seven Brides for Seven Brothers,"Tioga Pass, California, USA",
/title/tt0104237/,Damage,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio)                        
/title/tt0104237/,Damage,"Kyoto Garden, Holland Park, London, England, UK",(Damage 1992)                        
/title/tt0104237/,Damage,"Paris, France",
/title/tt7798646/,The Photograph,"Queens Museum, Queens, New York, USA",(A Filming location in trailer)                        
/title/tt0052948/,Journey to the Center of the Earth,"Carlsbad Caverns National Park - 727 Carlsbad Caverns Highway, Carlsbad, New Mexico, USA",(the center of the earth)                        
/title/tt0052948/,Journey to the Center of the Earth,"Edinburgh, Scotland, UK",
/title/tt0052948/,Journey to the Center of the Earth,"Leo Carrillo State Beach - 35000 W. Pacific Coast Highway, Malibu, California, USA",(underground ocean and cave)                        
/title/tt0052948/,Journey to the Center of the Earth,"Old Quad, Edinburgh University, Edinburgh, Scotland, UK",
/title/tt0052948/,Journey to the Center of the Earth,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt0052948/,Journey to the Center of the Earth,"St. Giles' Cathedral, High Street, Edinburgh, Scotland, UK",(Church)                        
/title/tt0482527/,It's a Boy Girl Thing,"Mississauga, Ontario, Canada",
/title/tt0482527/,It's a Boy Girl Thing,"Toronto, Ontario, Canada",
/title/tt0482527/,It's a Boy Girl Thing,"Grimsby, Ontario, Canada",
/title/tt0482527/,It's a Boy Girl Thing,"Shepperton Studios, Shepperton, Surrey, England, UK",(studio) (as Shepperton Studios in the United Kingdom)                        
/title/tt2024519/,The Broken Circle Breakdown,"Brabantdam, Ghent, East Flanders, Flanders, Belgium",(tattoo shop at number 135)                        
